lady-of-the-night	112919926
latent period	115298087 115298227
latent schizophrenia	114422333
later	300124357 300822804 400061741 400156621 400510690
later on	400061741
lateral	100562744 300782387 302450673
lateral cerebral sulcus	105231373
lateral condyle	105480046
lateral epicondyle	105480498
lateral epicondylitis	114380125
lateral geniculate	105495346
lateral geniculate body	105495346
lateral humeral epicondylitis	114380125
lateral line	102468560
lateral line organ	102468560
lateral pass	100562744
lateral rectus	105323957
lateral rectus muscle	105323957
lateral thinking	105856709
lateral ventricle	105510847
lateralisation	106001509
laterality	105005582 105074176 106001509
lateralization	106001509
lateralize	202108059
laterally	400388491 400388669
lateran	108825406
lateran council	108332124
lateran palace	103651180
lateran treaty	106787672
laterite	114954303
lates	102563014
lates calcarifer	102563177
latest	106655816 300671602 300974685
latex	103651334 115030685
latex paint	103651334
lath	103651462
lath and plaster	114954450
lathe	103651610
lathee	103651860
lather	109359461 109462117 110267497 114426964 200036925 200109348 200513124 201413739
lathery	302765611
lathi	103651860
lathyrus	112559108
lathyrus hirsutus	112560069
lathyrus japonicus	112560755
lathyrus latifolius	112560506
lathyrus maritimus	112560755
lathyrus niger	112560993
lathyrus nissolia	112561152
lathyrus odoratus	112561305
lathyrus palustris	112561471
lathyrus pratensis	112561662
lathyrus sativus	112561908
lathyrus splendens	112562111
lathyrus sylvestris	112562310
lathyrus tuberosus	112562745
lathyrus vernus	112562971
laticifer	113111986
latimeria	102518191
latimeria chalumnae	102518344
latimeridae	102518041
latin	106975340 110267577 110267705 303091529 303091666 303091779 303091920
latin alphabet	106509863
latin america	109045201
latin american	109739652
latin cross	103652009
latin quarter	108952857
latin square	108286427
latin-american	302765767
latinae	102562902
latinate	302915997
latinesce	106909644
latinian language	106976693
latinise	200387237 200997570
latinism	106304436
latinist	110267788
latinize	200387237 200963275 200997570
latino	109739652 303083586
latish	300820745
latissimus dorsi	105566755
latitude	105134905 108613087 108613276 114018633
latitudinal	302916086
latitudinarian	110267895 300288141
latium	108824587
latke	107657190
latona	109601011
latria	101046021
latrine	103652123
latrobe	111138592
latrodectus	101776893
latrodectus mactans	101777025
lats	113723415
latte	107936462
latten	114954962
latter	113868905 301051260
latter-day	301736380
latter-day saint	110268239
latterly	400108184
lattice	103652230 104589740 105737820
latticed	302013894
latticelike	302013894
latticework	103652230
latvia	109035444
latvian	106959117 109726562 302974363
latvian monetary unit	113723288
laud	200862284
laudability	104814594
laudable	302595965
laudableness	104814594
laudably	400220366
laudanum	103652422
laudator	110268408
laudatory	300909534
lauder	110268408 111138876
laudo	109359608
laugh	106790941 106891454 107141714 200031813
laugh at	200853615
laugh away	200803798
laugh line	106791616 113929359
laugh loudly	200031533
laugh off	200803798
laugh softly	200031656
laugh track	103652605
laughable	301268418 302581199
laughably	400388921
laugher	107490247 110268573
laughing	301152861
laughing gas	103832485
laughing gull	102044834
laughing hyena	102120552
laughing jackass	101627762 101831197
laughing owl	101627762
laughingly	400221703
laughingstock	109904118
laughter	101074326 107141714
laughton	111139051
lauhala	112175526
launce	102621143
launch	100103960 103652737 200348572 201255927 201517287 201517828 201518047 202431950
launch area	103653005
launch pad	103653005
launcher	102985687 103652834
launching	100103960 100104111 100238889
launching pad	103653005
launching site	108609042
launchpad	103653005
launder	200189281 201538034
launderette	103653186
laundering	100579745
laundress	110788856
laundromat	103653186
laundry	103653380 103653533
laundry basket	103054849
laundry cart	103653745
laundry detergent	103653841
laundry truck	103653981
laundryman	110788752
laundrywoman	110788856
lauraceae	111723855
laurasia	109359759
laureate	110268708 301229682
laurel	103654118 111139180 111724138
laurel and hardy	108198293
laurel cherry	112663874 112667711
laurel family	111723855
laurel oak	112293400 112294285
laurel sumac	112781635
laurel willow	112750281
laurel wreath	103654118 106719615
laurel-tree	111727411
laureled	301384703
laurelled	301384703
laurels	106709228 114460341
laurelwood	112385802
laurence olivier	111234310
laurence stephen lowry	111163034
laurence sterne	111336965
laurens	111139466
laurentian highlands	108840311
laurentian plateau	108840311
laurentius	111141098
lauric acid	114954614
lauritz lebrecht hommel melchior	111192401
lauritz melchior	111192401
laurus	111724404
laurus nobilis	111724562
lauryl alcohol	114954808
lausanne	109055456
lautaro faction of the united popular action movement	108048416
lautaro popular rebel forces	108048416
lautaro youth movement	108048416
lav	104453410
lava	114955127
lavabo	104560989
lavage	100697740
lavalava	103654317
lavalier	103654475
lavaliere	103654475
lavalliere	103654475
lavandula	112870357
lavandula angustifolia	112870712
lavandula latifolia	112871096
lavandula officinalis	112870712
lavandula stoechas	112870928
lavatera	112202931
lavatera arborea	112203132
lavation	100256577
lavatory	103376721 104453410 104561206
lave	200025027 200036355 200218002
lavender	104977737 112870477 300377979
lavender cotton	112029889
lavender-pink	300378385
lavender-tinged	300378098
laver	101411384 101418165 103654602 111139624
lavish	202269409 301115676 302032677
lavishly	400189129 400337069
lavishness	100744939 105153718
lavoisier	111139907
lavrenti pavlovich beria	110866289
law	100612411 105879538 105881589 106171434 106544321 108226608 108458195
law agent	110268888
law court	103654773
law degree	106717503
