cowherb	111839105
crank	103131675 103759824 109994026 110167825 201283561 201344497 201598070 201862782 201995776 302300153
crank call	106284543
crank handle	103131953
crank letter	106637474
crank out	201757080
crank up	201598070 201862782
crankcase	103131854
crankiness	104649226
crankshaft	103132059
cranky	301140041 302300153
crannied	300468568
cranny	109282010 113930286
crap	106623729 114878732 200073791
crap game	100510313
crap shooting	100510313
crap up	201481639
crap-shooter	110611086
crapaud	101646537
crape	103135214 107656747 201226397 201602726
crape fern	112975113
crape jasmine	111796980
crape myrtle	112349777
crapette	100497771
crapper	104453655
crappie	102565427 107796462
crappy	301131613
craps	100509963 113765600
crapshoot	100510313 100804446
crapshooter	109995554
crapulence	100749813
crapulent	300010556
crapulous	300010404 300010556
crash	100127056 107316568 107394744 107493085 107494014 200017667 200435872 200584141 201510039 201564601 201564843 201564990 201976584 202022863 202023134 202092894 202181956 202663176
crash barrier	103132182
crash course	106689454
crash dive	100328105
crash helmet	103132398
crash land	201984780
crash landing	100306345
crash program	106689454
crash programme	106689454
crash-dive	201971930
crasher	110141609
crashing	301524775
craspedia	111979211
crass	301957533
crassitude	104851574
crassness	104851574
crassostrea	101964109
crassula	112806072
crassulaceae	112805870
crataegus	112646791
crataegus aestivalis	112648287
crataegus apiifolia	112647435
crataegus biltmoreana	112647639
crataegus calpodendron	112647880
crataegus coccinea	112649466
crataegus coccinea mollis	112649117
crataegus crus-galli	112648108
crataegus laevigata	112648511
crataegus marshallii	112647435
crataegus mollis	112649117
crataegus monogyna	112648821
crataegus oxyacantha	112649340
crataegus oxycantha	112648511
crataegus pedicellata	112649466
crataegus tomentosa	112647880
crate	103132576 113788777 201489304
crateful	113788777
crater	109282125 109282282 109495543
crater lake national park	108621641
crateva	111887411
craton	109282406
craunch	201597899
cravat	103132736
crave	200760583 201191018
craved	302537379
craven	110471580 300266362
cravenness	104867503
craving	107500615
craw	101976696
crawdad	101987769 107804861
crawdaddy	101987769
crawfish	101987336 101987769 107804861 200801045
crawfish out	200801045
crawford	110934300 110934410
crawl	100295712 100330861 100571403 201889838 201965981 202067699 202721923 202736557
crawl in	200017858
crawl space	108573247
crawler	101938036 109995649 110704310
crawling	100295712
crawlspace	108573247
crax	101802181
crayfish	101987336 101987769 107804861 107809236
crayon	103132899 201696604
craze	104700622 105759170 114415281 200338378 201791641
crazed	302082977
crazily	400081240
craziness	100513854 105655001 114421293
crazy	109995813 300889690 300923212 300971086 301842483 302082451
crazy bone	105588293
crazy glue	114727619
crazy horse	110934531
crazy house	102823933
crazy quilt	103133078
crazy weed	112575031
crazyweed	112575031
creak	107396464 202176108
creakily	400304748
creaking	107396464
creakingly	400304748
creaky	301177339 301927734 302591968
cream	103133170 107863174 108403766 200171352 201263582 201367186 201415566 201420691
cream cheese	107867274
cream of tartar	115037836
cream off	200679364 201263582
cream pitcher	103133652
cream puff	107644185
cream sauce	107853521
cream soda	107944403
cream violet	112410616
cream-colored	300398252
cream-colored courser	102042151
cream-of-tartar tree	112210296
creamcups	111927874
creamer	103133652
creamery	103133519
creaminess	104943867
creamy	300374873 302425081
creamy-colored	300398252
creamy-white	300398252
creamy-yellow	300374977
crease	103634019 113928798 113930429 200565934 201243078 201280348 201280991
crease-resistant	303068276
creaseless	302245047
creaseproof	303068276
creashak	112251875
create	201620211 201624592 201643749 201689208 201757596 202481808
create by mental act	201635076
create from raw material	201656555
create from raw stuff	201656555
create mentally	201635076
create verbally	201701711
creatin	114849413
creatine	114849413
creatine phosphate	115006980
creatine phosphoric acid	115006980
creating by mental acts	100929076
creating by removal	100943593
creating from raw materials	100910607
creation	100238736 100241051 100910190 103133774 107343542 109489410
creation science	105968652
creationism	105968445
creative	300587863 300646272
creative activity	100910190
creative person	109831743
creative thinker	110727941
creative thinking	105632483
creatively	400177625
creativeness	105632483
creativity	105632483
creator	109559474 109637345
creature	100015568 109995959 109996081
creature comforts	113387310
creche	103134122 103134287
crecy	101279127
cred	104791753
credal	303068480
credence	103134404 106203462
credendum	106281343
credential	106483016
credentialled	300343653
credentials	106483016
credenza	103134404
credibility	104790142
credible	300617814 300647861 300649713
credibleness	104790142
credibly	400297385
credit	100037921 100066675 105811755 106358051 106701019 106776392 113395454 113399691 113426819 200685849 200729105 200729753 202269560
credit account	113396777
credit analyst	109810107
credit application	106524934
credit bureau	108370992
credit card	113397185
credit crunch	114512496
credit entry	113426819
credit hour	100066895
credit line	106360255 113400586
credit order	106541621
credit rating	105811755
credit side	113427547
credit system	105911706
credit union	108251549
creditable	302596339
creditably	400444277
credited	300173433
creditor	109996258
credits	106501959
creditworthiness	104676420
creditworthy	302474578
credo	105968821
credulity	104902753
credulous	300649435 302280055
credulously	400297912
credulousness	104888351
cree	106922074 109673676
creed	105968821 106802268
creedal	303068480
creek	109252316 109673784
creek bed	109471839
creek confederacy	108320792
creel	103134499
creep	100295712 103134595 107327103 109996447 201889838 201915881 202064516 202067699
creep feed	107816612
creep in	201231430
creep up	201997244
creeper	101591927 109995649 113123407
creepiness	105731025
creeping	100295712
creeping bellflower	112057968
creeping bent	112127853
creeping bentgrass	112127853
creeping bugle	112861767
creeping buttercup	111742935
creeping charlie	112116164
creeping crowfoot	111742935
creeping fern	112977127
creeping jenny	112116164
creeping juniper	111658976
creeping lily	112476455
creeping oxalis	112724317
creeping snowberry	112255996
creeping soft grass	112143435
creeping spike rush	112174631
creeping st john's wort	112388968
creeping thistle	111974630
creeping thyme	112891651
creeping willow	112750903
creeping windmill grass	112135287
creeping wintergreen	112256282
creeping wood sorrel	112724317
creeping zinnia	112030261
creeps	107535222 114286591
creepy	300196783 301629941
creepy-crawlies	107518955
creepy-crawly	101317272 300196783
creese	103634019
cremains	105225807
cremate	200379825
cremation	100379688
cremation chamber	103134717
crematorium	103134717 103134884
crematory	103134717 103134884
creme anglais	107634910
creme brulee	107635018
creme caramel	107634817
creme de cacao	107925471
creme de fraise	107925744
creme de menthe	107925602
cremona	108826644
crenate	302254040
crenate leaf	113181502
crenated	302254040
crenation	113897197
crenature	113897197
crenel	103134991 113897197 202340625
crenelate	202340625
crenelation	100913403 102815071
crenellate	202340625
crenellation	100913403 102815071
crenelle	103134991 113897197
crenulate	302254154
crenulated	302254154
creole	106918134 109728927 109729069 303068658 303068818
creole-fish	102572536
creolize	200116173
creon	109619721
creosol	114849657
creosote	114849801 114849982 200186591
creosote bush	112743822
crepe	103135214 107656747 114850343 201602726
crepe de chine	103135412
crepe fern	112975559
crepe flower	112349777
crepe gardenia	111796980
crepe jasmine	111796980
crepe marocain	103728435
crepe myrtle	112349777
crepe paper	114850343
crepe rubber	115031249
crepe suzette	107656865
crepis	111979573
crepitate	202179828
crepitation	107396278
crepitation rale	107396644
crepuscle	115194468
crepuscular	300275417
crepuscule	115194468
crescendo	104997743 200547809 302548500
crescent	113918910 302052893
crescent roll	107707395
crescent wrench	103135517
crescent-cell anaemia	114192274
crescent-cell anemia	114192274
crescent-shaped	302052893
crescentia	112836194
crescentia cujete	112836428
cresol	114850152
cress	107748723 111889820
cress green	300375063
cress plant	111889820
cresson	300375063
crest	101328656 103135689 103143632 108565119 108635538 202011791 202699010
crested	300058121 300058232 300058520
crested cariama	102016891
crested coral root	112089510
crested myna	101580582
crested penguin	102059984
crested screamer	101863789
crested swift	101836056
crested wheat grass	112125870
crested wheatgrass	112125870
crestfallen	300706899
crestless wave	107362858
cretaceous	115151313 303068996 303069137
cretaceous period	115151313
cretan	109729191
cretan dittany	112874466
crete	108802185
crete dittany	112874466
cretin	110217144
cretinism	114145149
cretinous	301847094
cretonne	103135844
creutzfeldt-jakob disease	114123976
crevalle jack	102579537
crevasse	109282583
crevice	109281621 113930286
crew	108259720 108290088 108290657 108290764 201092025
crew cut	105268304
crew member	109996708
crew neck	103136082
crew neckline	103136082
crewelwork	103135976
crewet	103145082
crewman	109996612 109996708 110566190
crex	102018339
crex crex	102018451
crib	100492912 100493094 103136225 103136320 106358595 201274798 202283315 202581052
crib death	114333719
cribbage	100492912
cribbage board	103136442
cricetidae	102338001
cricetus	102345379
cricetus cricetus	102345710
crichton	110934777
crick	110934925 114384587 200025503
cricket	100477400 102232196 201078410
cricket ball	103136618
cricket bat	103136727
cricket equipment	103136912
cricket frog	101654128
cricket match	107481462
cricket-bat willow	112747117
cricketer	109996856
crier	109997050 110738781 110792794
crime	100767761 100768966
crime rate	115301787
crime syndicate	108263223
crime wave	107339702
crimea	109037830
crimea-congo hemorrhagic fever	114202872
crimean war	101306230
criminal	109997190 301325275 301405767 302043172
criminal congress	100849728
criminal contempt	101183556
criminal conversation	100850096
criminal court	108348140
criminal intelligence services of canada	108360029
criminal investigation command	108158092
criminal law	106551169
criminal maintenance	100767144
criminal negligence	100741640
criminal offence	100767761
criminal offense	100767761
criminal possession	100811895
criminal prosecution	101200797
criminal record	106502164
criminal suit	101185987
criminalisation	101128280
criminalise	202486512
criminalism	114014831
criminality	114014831
criminalization	101128280
criminalize	202486512 202520746
criminally	400292903 400293079
criminalness	114014831
criminate	200825330 200844668
criminative	300928193
criminatory	300928193
criminological	302931176
criminologist	109997972
criminology	106161412
crimp	105265782 109998096 113930429 201226397 201459835
crimper	103154898 109998096
crimson	104970765 200103071 300249427 300382159 300396687
crimson clover	111773612
crimson-magenta	300375276
crimson-purple	300375365
crimson-yellow	300375452
cringe	202064997 202067699
cringing	300793426
cringle	103137089
crinion	108540751
crinkle	113928798 200565934 201280991
crinkle root	111902895
crinkle-root	111902895
crinkled	300914876
crinkleroot	111902895
crinkly	300914876
crinoid	102322779 302853205
crinoidea	102322619
crinoline	103137317 103137427 103539760
criollo	107939195 109998227
cripple	109998419 200091399 200226258
crippled	301022380
crippling	301171710
crisis	107432244 113956593
crisis intervention	100704675
crisp	107728304 200322952 201280991 300549861 300783911 301034017 301071811 301255786 302456004
crispate	302254283
crispen	200322952
crisphead lettuce	107740014
crispin	110935125
crispiness	104946724
crisply	400212949
crispness	104934275 104946724 107103468
crispy	302456004
crisscross	104688744 200511794 201279364 201917230 302013796 400294485
crisscrossed	302013796
cristal	102681592
cristobal balenciaga	110852011
cristobal colon	110925067
cristobalite	114697054
cristoforo colombo	110925067
crit	107474344
criterial	302303385
criterion	105933552 107275291
criterional	302303385
criterium	107474344
crith	113740019
critic	109998602 109998851 109999119
critical	300650564 300652608 300653599 300654957 300659155 300907116 302841530
critical analysis	105741809
critical angle	113913935
critical appraisal	105741809
critical mass	105031963 105115712
critical point	114056667
critical review	106422034
criticality	114057069 114475138
critically	400186264
criticalness	114475138
criticise	200828170 201098508
criticism	105741963 106386210 106723485
criticize	200828170 201098508
critique	105741963 106422034 200857194
critter	101317154
critter sitter	110440252
crius	109598211
crixivan	103573610
crna gora	108835087
cro	103863348
cro-magnon	102477989
croak	107140075 200359085 200911172 201066423
croaker	102599011 107794318
croaking	107140075
croaky	300300179
croat	109770587
croatia	108833710
croatian	109770587 302975652
crocanthemum canadense	112396286
crocethia	102031897
crocethia alba	102032032
crochet	103137530 201676385 201676648
crochet hook	103137701
crochet needle	103137701
crochet stitch	103137828
crocheting	100911263 103137530
crock	103138066 106620878 114817703 201537790 202064887
crock pot	103138529
crock up	201789398
crocked	300801674
crockery	103138189
crocket	103138395
crocketed	300058619
crockett	110935318
crocodile	101699819
crocodile bird	102042434
crocodile river	109362418
crocodile tears	106772960
crocodilia	101698923
crocodilian	101699274
crocodilian reptile	101699274
crocodilus	101699643
crocodylia	101698923
crocodylidae	101699490
crocodylus	101699643
crocodylus niloticus	101700098
crocodylus porosus	101700252
crocolite	114697193
crocus	112436928
crocus sativus	112437208
crocuta	102120424
crocuta crocuta	102120552
croesus	109999443 110935524
croft	103138666
crofter	109999515
crohn	110935614
crohn's disease	114329417
croissant	107707395
croix de guerre	106722184
cromlech	103224940
cromorne	103634122
cromwell	110935857
cromwellian	303041749
cronartium	113085007
cronartium ribicola	113085217
crone	110175045
cronk	201055211 201066423
cronus	109581094
crony	109897417
cronyism	101156974
cronyn	110936077
croo monkey	102490634
crook	103138769 109997190 113891966 202038516
crookback	110212031 301022592
crookbacked	301022592
crooked	301242072 301967858 302319224 302326807
crooked-stemmed aster	111956496
crookedly	400242413
crookedness	104882751 105081387 113908063
crookes	110936257
crookes radiometer	103138883
crookes tube	103139045
crookneck	107731948
crookneck squash	107731948
croon	201051342
crooner	109999620
crooning	100548009 100548138
crop	101976696 103139147 103139246 107972180 111550963 113106624 201323662 201556543 201578996 201579309 201656079 201745327
crop failure	114502559
crop out	200426798
crop up	202161949
crop-dusting	100369747
cropped	301837397
cropper	110605852
croquet	100467948 201157135 201603794
croquet ball	103139390
croquet equipment	103139504
croquet mallet	103139681
croquette	107881991
crore	113773826
crosby	110936483
crosier	107282014
cross	100852055 101329963 103139803 103140183 104688744 114501251 201432586 201695693 201916152 201917990 201918650 202027242 202563998 202691213 301139748 301448808
cross bit	103140905
cross bun	107706982
cross country	107475750
cross dressing	101033890
cross examine	200788711
cross hair	103141424
cross infection	114201808
cross of calvary	102945060
cross of lorraine	103695605
cross off	200802412
cross oneself	200900331
cross out	200802412
cross product	105873342
cross question	200788711
cross section	105099683 105830445 108565640
cross street	103142624
cross thwart	104439177
cross vine	112834763
cross wire	103141424
cross-banded	301792678
cross-check	200665600
cross-classification	105743734
cross-country	400294730 400294857
cross-country jumping	100452172
cross-country riding	100452172
cross-country skiing	100441881
cross-cultural	302884212
cross-division	105743734
cross-dress	200051354
cross-dresser	110745683
cross-examination	107209610
cross-examiner	109999988
cross-eye	114529835
cross-eyed	300656537
cross-fertilisation	100041283 107452175
cross-fertilise	200053373 200053606
cross-fertilization	100041283 107452175
cross-fertilize	200053373 200053606
cross-file	202477456
cross-florida waterway	109282652
cross-grained	300915049 302336004
cross-index	106777578 202478381
cross-leaved heath	112249063
cross-legged	400293335
cross-linguistic	302853980
cross-linguistically	400132066
cross-link	111457043 201294130
cross-linkage	111457043
cross-modal	302987709
cross-ply	302716145
cross-pollinate	200053776
cross-pollinating	302716308
cross-pollination	100158138 107453392
cross-purpose	105992007
cross-question	107210290
cross-questioner	109999988
cross-refer	201027944
cross-reference	106777578
cross-section	301449131
cross-sectional	301449131 302954968
cross-sentential	303003470
cross-shaped	302153972
cross-stitch	103142395 103142514
cross-town	300655916
crossbar	103140307 103140439 103140568
crossbeam	104482731
crossbench	103140702
crossbencher	109999805
crossbill	101536534
crossbones	106820829
crossbow	103141020
crossbred	301910335
crossbreed	101329963 201432586
crossbreeding	100851398 100852055
crosscheck	100564134 105834126
crosscurrent	101170689 107419184
crosscut	104211999 108634886 201603946
crosscut handsaw	103141155
crosscut saw	103141155
crosse	103141308
crossed	300655714 300656318
crossed eye	114529835
crossfire	100992560 107148887
crosshairs	105820587
crosshatch	104689154 201699871
crosshatched	300278615
crosshead	103141695 106355699
crossheading	106355699
crossing	100298358 100314071 100852055 103141879 103586294 108565513 109306529
crossing guard	110000188
crossing over	113475303
crossjack	103142124
crossly	400294964
crossness	104649057 107568195
crossopterygian	102517845
crossopterygii	102517619
crossover	103141879 107046240 110000335 113475303
crossover voter	110000335
crosspatch	110167825
crosspiece	103142230 104482731
crossroad	103586294
crossroads	105772610 108243899 114056667
crossruff	201080966
crosstalk	107445847
crosstie	104440719
crosstown	300655916 400295138
crosswalk	103141879
crossway	103586294
crossways	400274275
crosswind	111462620
crosswise	301235790 301448596 400274275 400294391
crossword	106798511
crossword puzzle	106798511
crotal	113012597
crotalaria	112540068
crotalaria sagitallis	112540329
crotalaria spectabilis	112540520
crotalidae	101756362
crotalus	101757915
crotalus adamanteus	101758222
crotalus atrox	101759149
crotalus cerastes	101758932
crotalus horridus atricaudatus	101758593
crotalus horridus horridus	101758381
crotalus lepidus	101759374
crotalus mitchellii	101759984
crotalus scutulatus	101759756
crotalus tigris	101759557
crotalus viridis	101758730
crotaphion	105239551
crotaphytus	101682135
crotch	105521732 105605191 113937280
crotch hair	105271086
crotchet	103142779 104805073 106884177 113892186
crotchetiness	104649226
crotchety	301139173
croton	112943523 112944412
croton bug	102237500
croton eluteria	112943868
croton oil	112943693
croton tiglium	112943523
crotonbug	102237500
crotophaga	101826868
crottal	113012597
crottle	113012597
crouch	100406587 201548096 202066560
croup	102466242 114197493
croupe	102466242
croupier	110000515
croupier's rake	103142868
croupy	302716428
crouse	110936639
crouton	107697942
crow	101581669 106922167 107244407 107396886 109280335 109673964 200859199 200859335 200885156
crow blackbird	101577031
crow corn	112450703
crow garlic	112455991
crow pheasant	101827390
crow step	103110461
crow's feet	113929359
crow's foot	112220307 113929359
crow's nest	103144649
crow-bait	102383771
crow-sized	302230729
crowbait	102383771
crowbar	103142995
crowberry	112772435
crowberry family	112772162
crowd	108199297 108290764 202031458 202032568 202058788 202655407
crowd control	100805841
crowd out	202017692
crowd together	202031458
crowded	300561916
crowding	113956874
crowfoot	111740822
crowfoot family	111739937
crowfoot grass	112137251
crowing	107244407 301896819
crown	103143185 103143320 103143525 103143632 103143740 105315640 105547228 106718654 106897147 108635538 113148762 113411037 200486822 201340929 202396091 202700519
crown beard	112051123
crown colony	108517107
crown daisy	111971346
crown fire	107318971
crown gall	114303134
crown glass	114904424 114904708
crown imperial	112473341
crown jewel	103143992 113351447
crown jewels	103144115
crown land	113272961
crown lens	103144291
crown monkey	102490306
crown of thorns	103144382 112942628 114501251
crown prince	110000622
crown princess	110000713 110000808
crown roast	107684101
crown saw	103144538
crown vetch	112539594
crown wart	114303513
crown-beard	112051123
crown-of-the-field	111826013
crownbeard	112051123
crowned	300656845 300658159 301384703
crowned head	110648006
crowning	301583091 302449496
crownless	300657852
crownwork	103143740
crozier	107282014
crp	114756478
crt	102988592
crt screen	104159676
crucial	300658802 301279260 301491306
cruciality	114475138
crucially	400294248
crucian carp	101446472
cruciate	302381002
crucible	103144777
crucible steel	114827453
crucifer	111889283
cruciferae	111887994
cruciferous	302949057
cruciferous plant	111889283
cruciferous vegetable	107729140
crucifix	100435784 103144943
crucifix fish	102523760
crucifixion	100423554 101167827 107347464
cruciform	302381002
crucify	200825488 201805829 201806967 202489638
crud	114097749 114880903 115068799
cruddy	300426832
crude	115005138 300418723 300559107 300686808 300821744 301960289 302237329
crude oil	115005138
crudely	400162722 400275957
crudeness	104824795 104922298 114496208
crudites	107724257
crudity	104922298 114496208
cruel	301266123
cruel and unusual punishment	101163898
cruel plant	113256998
cruelly	400234156 400234230
cruelness	104852706
cruelty	100425602 104852706 107521621
cruet	103145082
cruet-stand	103145197
cruise	100313758 201848595 201848801 201935537 202158461
cruise control	103145303
cruise liner	103145978
cruise missile	103145422
cruise ship	103145978
