pale chrysanthemum aphid	102256043
palometa	102636307
palometa simillima	102636307
palomino	102391780
palooka	110686191
paloverde	112514373
palpability	104767279
palpable	301516397 301622528 301721570 301752186
palpably	400162619
palpate	201212916
palpation	100144705
palpatory	302784104
palpebra	105321347
palpebra conjunctiva	105323162
palpebrate	200008055 302784212
palpebration	101267669
palpitant	302312003
palpitate	201883921 201893122 201893385
palpitating	302312003
palpitation	114028057 114358502
palsgrave	110413840
palsied	302556644
palsy	114339897 114581818 200269566
palsy-walsy	301079212
palter	200837185
paltering	100753487
paltriness	105147543
paltry	300108195 302513039
pamelor	103836122
pamir mountains	109407116
pamlico	106924442 109684471
pampas	108731488
pampas grass	112135697
pamper	202576182
pamperer	110415089
pampering	101075165 301302432
pamphlet	106420933 106425532
pamphleteer	110415304
pan	102484260 103886020 103886228 109591370 200848023 201539296 202002334
pan american day	115213523
pan american union	108193800
pan gravy	107853888
pan off	201539296
pan out	201539296 202531651
pan paniscus	102485281
pan roast	200325886
pan troglodytes	102484454
pan troglodytes schweinfurthii	102484917
pan troglodytes troglodytes	102485105
pan troglodytes verus	102484691
pan-broil	200329389
pan-fry	200326850
pan-hellenic	303027540
panacea	103886467 109586171
panache	103886648 104820120
panadol	102677336
panama	102862524 108757039
panama canal	103886731
panama canal zone	108757662
panama city	108757345 109096936
panama hat	102862524
panama redwood	112583550 112583786
panama redwood tree	112583550
panama tree	112216050
panamanian	109745534 302978027
panamanian capital	108757345
panamanian monetary unit	113686146
panamica	112415980
panamiga	112415980
panatela	103886904
panax	111819989
panax ginseng	111820201
panax pseudoginseng	111820201
panax quinquefolius	111820489
panax schinseng	111820201
pancake	107655812
pancake batter	107877223
pancake day	115266695
pancake turner	103887002
pancake turtle	101674673
pancake-like	302050107
pancake-style	300620570
pancarditis	114362941
panchayat	108328452
panchayet	108328452
panchen lama	110415527
pancho villa	111386400
panchromatic film	103887101
pancreas	105394510
pancreatectomy	100688280
pancreatic	302943898
pancreatic artery	105360912
pancreatic cancer	114275463
pancreatic duct	105394738
pancreatic fibrosis	114178988
pancreatic juice	105413740
pancreatic vein	105383224
pancreatin	114873165
pancreatitis	114375739
pancytopenia	113997216
panda	102512446 102513086
panda bear	102513086
panda car	103887231
pandanaceae	112174943
pandanales	112174745
pandanus	112175290 112175643
pandanus tectorius	112175526
pandar	110453501
pandean pipe	103890094
pandeism	106235186
pandemic	107450313 301106261 301430061
pandemonium	113999769
pander	110453501 201183272 201184590
panderer	110415625 110453501
pandiculation	100630123
pandion	101618590
pandion haliaetus	101618727
pandionidae	101618466
pandora	109601426
pandora's box	103887322
pandowdy	107638972
pandurate	302177609
pandurate leaf	113180255
panduriform	302177609
panduriform leaf	113180255
pane	102678511 103887590 103888308
pane of glass	103887590
panegyric	106706894 300909321
panegyrical	300909321
panegyrist	109640191
panel	103102791 103191952 103453197 103887755 103888043 108431338 108431565 108431764 200627600 201682414
panel discussion	107158577
panel heating	103888127
panel light	103888558
panel truck	103178595
paneled	300059928
paneling	103888308
panelist	110415805
panelling	103888308
panellist	110415805
panencephalitis	114367002
panenthesism	106234997
panetela	103886904
panetella	103886904
panfish	107798915
pang	107510112 114353059 114353167
panga	103704925
pangaea	109407425
pangea	109407425
pangloss	109625557
pango pango	109014437
pangolin	102464461
panhandle	103888657 108631932 202275823
panhandler	110416036
panhellenic	303027540
panhysterectomy	100678677
panic	107535851 114429335 201785802 201786037
panic attack	107536676
panic button	103888751
panic disorder	114404654
panic grass	112147547
panic-stricken	300080947
panic-struck	300080947
panicked	300080947
panicky	300080947
panicle	113153415
panicled	302784283
panicled aster	111956838
paniculate	303145459
panicum	112147428
panicum capillare	112147754
panicum miliaceum	112148092
panicum texanum	112148285
panicum virgatum	112147977
panini	111241768
panipat	101292490
panjabi	106984279 109695732
panjandrum	110768288
pannier	103888975 103889082 103889221
pannikin	103889361
panocha	107621413
panoche	107621413
panofsky	111241946
panonychus	101785019
panonychus ulmi	101785157
panoplied	300456882 301098340
panoply	108478992
panoptic	300528239 302526842
panoptical	302526842
panopticon	103889470 103889641
panorama	103889769 105941982
panoramic	302571853
panoramic sight	103889929
panoramic view	106218836
panorpidae	102165056
panpipe	103890094
pansa	115245781
pansexual	110416161
pansinusitis	114378761
pansy	110095821 110622786 112411002
pansy orchid	112094055
pansy violet	112410018
pant	100838759 104496264 107403306 200005526 200988205
pant leg	103890990
pant-hoot	201044867
pantaloon	103890251 109625658 109625784
pantalooned	300457017
pantechnicon	103890336
pantheism	106234737 106235366
pantheist	110416293 302942988
pantheistic	302942988
pantheon	103890475 103890623 108170236
panther	102127963 102131321 102131577
panther cat	102128146
panther lily	112448917
panthera	102130772
panthera leo	102131817
panthera onca	102131577
panthera pardus	102131037
panthera tigris	102132256
panthera uncia	102131409
pantie	103890725
pantile	115001318
panting	100835796 103890891
panto	100551279
pantograph	103891107
pantomime	100551053 201728062
pantomimer	110338550
pantomimist	110338550
pantothen	114998144
pantothenic acid	114998144
pantotheria	101876263
pantropic	302452871
pantropical	302452871
pantry	103891232
pantryman	109903961
pants	102857998
pants presser	104496113
pants suit	103891366
pantsuit	103891366
panty	103890725
panty girdle	103891485
pantyhose	103891601
pantywaist	110622786
panzer	103891750
paola caliari	111383786
paolo veronese	111383786
pap	105562286 106624527 107580361
pap smear	105273738
pap test	105751241
papa	110007601
papa doc	110966616
papacy	108070012
papaia	112393617
papain	114998392
papal	302890942
papal bull	106739510
papal cross	103891848
papal infallibility	104812863
papal nuncio	110387812
papal states	108827448
papanicolaou smear	105273738
papanicolaou test	105751241
paparazzo	110416426
papaver	111921455
papaver alpinum	111921763
papaver argemone	111922066
papaver californicum	111921921
papaver heterophyllum	111929018
papaver nudicaule	111922228
papaver orientale	111922446
papaver rhoeas	111922669
papaver somniferum	111922858
papaveraceae	111920527
papaverales	111884833
papaverine	103891934
papaw	107778090 111716068
papaw tree	111716068
papaya	107778220 112393617
papaya family	112393225
papaya juice	107941663
papaya tree	112393617
papeete	109012573
paper	103827711 106266190 106277798 106280609 106421395 108079806 114998823 201270676 201271021
paper bag	104129919
paper birch	112302491
paper chain	103892338
paper chase	100461139
paper chromatography	113553130
paper clip	103892459
paper cup	103221413
paper currency	113408382
paper cutter	103892637
paper doll	103892763
paper electrophoresis	113553262
paper fastener	103892882
paper feed	103893027
paper flower	111859636
paper gold	113351956
paper knife	103663511
paper loss	113279912
paper mill	103893209
paper money	113408382
paper mulberry	112424499
paper nautilus	101973308
paper plant	112171882
paper plate	103893300
paper profit	113279724
paper round	108630653
paper route	100721583 108630653
paper rush	112171882
paper tape	114999825
paper thin	302423296
paper tiger	105214620
paper towel	103893394
paper toweling	114999910
paper trail	106516653
paper wasp	102215610
paper white	112442735
paper-back book	103892129
paper-mache	115000003
paper-pusher	110416974
paperback	103892129 300258098
paperback book	103892129
paperbacked	300258098
paperbark birch	112302491
paperboard	114825316
paperboy	110416607
paperclip	103892459
paperer	110416700
paperhanger	110416700 110416841
paperhanging	100719825
papering	100719825
paperknife	103663511
paperlike	302702268
papermaking	100610691
papers	106481744
paperweight	103893494
paperwork	100583108
papery	302423395 302702268
paphiopedilum	112095996
papier-mache	115000003
papilionaceae	112522042
papilionoideae	112522250
papilla	105481245 105481387 111840660
papillary	303021684
papillary muscle	105397576
papillary tumor	114273563
papillary tumour	114273563
papillate	303021845
papilledema	114339591
papilliform	302784423
papilloma	114273563
papillon	102089562
papillose	303021684
papio	102489196
papio ursinus	102489288
papism	101032520 106237693
papist	109700053 302933066
papistic	302933066
papistical	302933066
papoose	110417091
papoose root	111719031
papooseroot	111719031
papovavirus	101342796
pappa	110007601
pappataci fever	114242969
pappoose	110417091
pappose	300216499
pappus	111713073
paprika	107840678 112922024
paprika sauce	107855148
paprilus	102636474
paprilus alepidotus	102636607
papua	108863915
papua new guinea	108863549
papuan	106953877 109769613 303107726
papuan language	106953877
papuan monetary unit	113702568
papule	114357268
papulovesicle	114357416
papyrus	106496867 112171882 115000157
par	113617999 113969940 201086742
par excellence	400258439
par value	113356650
para	108873847 109407664 110418718 113693415 114070653
para aminobenzoic acid	114998524
para i	110491859
para river	109407664
para rubber	115032244
para rubber tree	112946799
parable	106383718 106384713
parabola	113909064
parabolic	302054336 303008412
parabolic geometry	106014867
parabolic mirror	103893596
parabolic reflector	103893719
parabolical	302054336 303008412
paraboloid	113919695
paraboloid reflector	103893719
paraboloidal	302054471
paracelsus	111242044
paracentesis	100945287
paracentral scotoma	114580357
paracervical block	114052449
paracheirodon	102586635
paracheirodon axelrodi	102586776
parachute	103893954 201972282
parachute jumper	110417181
parachuter	110417181
parachuting	100304675
parachutist	110417181
paraclete	109560892
paracosm	105641073
parade	100522141 108445442 108477406 201928458 201928665
parade ground	108632120
parader	110312993
paradiddle	107403416
paradigm	105946242 106219906 106320674 113826587
paradigmatic	302784502 302976960 302977097
paradisaeidae	101573610
paradisaic	301183628
paradisaical	301183628
paradisal	301183628
paradise	105636722 108583035
paradise flower	112510559
paradise tree	112737354
paradisea liliastrum	112627449
paradisiac	301183628
paradisiacal	301183628
paradox	106737308
paradoxical	300943164
paradoxical sleep	114049226
paradoxically	400023622
paradoxurus	102140694
paraduodenal smear	105273595
paraesthesia	114348204
paraffin	114950224 114975516 115119804
paraffin oil	114950224
paraffin scale	115045095
paraffin series	114975516
paraffin wax	115119804
parafovea	105463139
paragliding	100305175
paragon	105933151 110344909
paragonite	114713387
paragraph	106411638 201703398 201703559 202474866
paragrapher	110417393
paraguay	109000713
paraguay tea	112778428
paraguayan	109745660 302978724
paraguayan monetary unit	113701599
parainfluenza virus	101332955
parakeet	101823844
paralanguage	107096217
paraldehyde	114713486
paralegal	110417585
paraleipsis	107119399
paralepsis	107119399
paralichthys	102663947
paralichthys dentatus	102664248
paralichthys lethostigmus	102664103
paralinguistic communication	107096217
paralipomenon	106447064
paralipsis	107119399
paralithodes	101983778
paralithodes camtschatica	101983917
parallax	111548676
parallel	104753670 108613276 113903651 200526361 202665300 202665436 301722394 302387725
parallel axiom	106015807
parallel bars	103894302
parallel circuit	103894505
parallel interface	103894695
parallel lives	106760984
parallel of latitude	108613276
parallel operation	113553399
parallel port	103894695
parallel processing	113539343
parallel-park	201938701
parallel-veined leaf	113182537
parallelepiped	113907397
parallelepipedon	113907397
parallelism	104752480
parallelize	201501254
parallelogram	113903832
parallelopiped	113907397
parallelopipedon	113907397
paralogism	105903980
paralyse	200269363 200269682
paralysis	114581818
paralysis agitans	114117832
paralytic	110417732 302556759 303107905
paralytic abasia	114573192
paralytical	303107905
paralyze	200269363 200269682
paralyzed	302556759
paramagnet	103894905
paramagnetic	303014125
paramagnetism	111500921
paramaribo	109053431
paramecia	101398689
paramecium	101398689
paramedic	110417875
paramedical	110417875 302784673
parameter	105867655 105867861 106367706 107342905
parametric	302922659
parametric quantity	105867655
parametric statistic	106032371
parametritis	114375860
paramilitary	108224130 302775150
paramilitary force	108224130
paramilitary organisation	108224130
paramilitary organization	108224130
paramilitary unit	108224130
paramnesia	105680542
paramount	300795757
paramount issue	105823201
paramountcy	114466694
paramour	109971872 110098113
paramyxovirus	101339832
parana	109407814
parana river	109407814
paranasal	302784971
paranasal sinus	105261025
parang	103895094
paranoia	114421794
paranoiac	110418069
paranoic type schizophrenia	114423256
paranoid	110418069 302084287
paranoid schizophrenia	114423256
paranormal	301604114 302116107
paranthias	102572401
paranthias furcifer	102572536
paranthropus	102480147
paraparesis	114582292
parapet	103895200 103895323
paraph	106903738
paraphernalia	103435869
paraphilia	100739003
paraphrase	106440986 200963768
paraphrasis	106440986
paraphrastic	300354102
paraphrenia	114423256
paraphrenic schizophrenia	114423256
paraphysis	113113595
paraplegia	114583087
paraplegic	110418186 302556886
parapodium	102467888
parapraxis	100074648
paraprofessional	110418323
parapsychological	301604364
parapsychologist	110418505
parapsychology	107271043
paraquat	114998712
paraquat poisoning	114535690
paraquet	101823844
parasail	103895423
parasailing	100305175
parascalops	101892674
parascalops breweri	101892785
parashurama	109554647
parasitaemia	114190780
parasitaxus	111678214
parasitaxus ustus	111678355
parasite	101387328 110272371
parasite yew	111678355
parasitemia	114190780
parasitic	300730167 302731220 302844577
parasitic jaeger	102047171
parasitic plant	113141205
parasitic worm	101925358
parasitical	300730167 302844577
parasitically	400023771
parasiticidal	301168810
parasitism	113864614
parasol	103895568
parasol mushroom	113034524
parasympathetic	105513330 303022756
parasympathetic nervous system	105513330
parasympathomimetic	303022888
parathelypteris	113250645
parathelypteris novae-boracensis	113250849
parathelypteris simulata	113251088
parathion	115036781
parathion poisoning	114535872
parathormone	105419128
parathyroid	105337913
parathyroid gland	105337913
parathyroid hormone	105419128
paratrooper	110418718
paratroops	108407331
paratyphoid	114162020
paratyphoid fever	114162020
paraumbilical vein	105383393
parazoa	101908969
parazoan	101909390
parboil	200323360
parcae	109588463
parcel	101087022 103876761 108024575 108691133 201286349 201339016 202474508
parcel bomb	103663244
parcel of land	108691133
parcel out	202299397
parcel post	106276636
parceled out	300542456
parceling	101085569
parcellation	100386972
parcelling	101085569
parch	200218756
parched	300620659 302562716
parcheesi	100506626
parchesi	100506457
parchisi	100506457
parchment	114783182 115000338
pardner	109954892
pardon	101229679 101251862 106564630 200907352 200907805
pardonable	301725294
pardonably	400334820
pardoner	110418829 110418998
pare	200233461 201265128 201265500 201555001
pare down	200233461
paregmenon	107119578
paregoric	103895671
parenchyma	105276118 113117076
parent	100006150 110419190 202545454
parentage	108118903 113835977 114448818
parental	301726746 302895389
parental quality	104880021
parentally	400419209
parented	301738116
parenteral	303108092 303108204
parenterally	400419286
parenthesis	106613037 106856443
parenthesis-free notation	106827094
parenthetic	301863467
parenthetical	106326866 301863467
parenthetical expression	106326866
parenthetically	400419420
parenthood	114448818
parentless	301738231
parer	103895790 110419594
paresis	114582191
paresthesia	114348204
paretic	110419702
pareto	111242447
pareve	300832782
parfait	107631995
parfait glass	103895930
parget	115001917 201364264
pargeting	100719941 103896055 115001917
pargetry	103896055
pargetting	100719941 103896055 115001917
parheliacal	302785076
parhelic	302785076
parhelic circle	111507933
parhelic ring	111507933
parhelion	111508132
pari passu	400258553
pari-mutuel machine	103896211
pariah	110406011
pariah dog	102087770
paridae	101594131
paries	105612009
parietal	302907474
parietal bone	105549278
parietal cortex	105501782
parietal gyrus	105496722
parietal lobe	105501782
parietal pericardium	105436371
parietal placentation	111702635
parietal pleura	105395654
parietales	112379543
parietaria	112415011
parietaria difussa	112415155
parieto-occipital fissure	105231651
parieto-occipital sulcus	105231651
parietomastoid suture	105552539
parimutuel	100508173
paring	107867030 109408030
paring knife	103895790
paripinnate	302180177
paris	108952341 109168488 109523349 112489877
paris daisy	111946367
paris green	104975434 115036894
paris quadrifolia	112490022
paris university	103896410
parish	108240609 108632576
parishioner	110419807
parisian	109728146 303034963
parisienne	109728285
parisology	106617316
parity	104755666 106114921 113646953 113812345 114070653
parity bit	113646953
parity check	105834266
parjanya	109550588
parji	106994580
park	102785801 103896578 108632724 108632949 108633213 111242645 201496037 201938286
park ave.	109144925
park avenue	109144925
park bench	103896948
park commissioner	110419904
parka	103896748
parka squirrel	102361699
parked	303163313
parker	111242749 111242904
parker house roll	107707859
parkeriaceae	113192345
parkersburg	109179660
parkia	111783942
parkia javanica	111784343
parking	100169326 113800883
parking area	108633213
parking brake	103488720
parking lot	108633213
parking meter	103897029
parking space	108633385
parking ticket	106570995
parking zone	108633385
parkinson	111243109 111243284
parkinson's	114117832
parkinson's disease	114117832
parkinson's law	106780078 106780303
parkinson's syndrome	114117832
parkinsonia	112517997
parkinsonia aculeata	112518174
parkinsonia florida	112518560
parkinsonism	114117832
parkland	108632724
parks	111243386
parkway	103247416
parky	301255638
parlance	107095369
parlay	100508282 201142049
parley	107156145 200765054
parliament	100493508 108336128
parliamentarian	110420008 110420136
parliamentary	300719274 300719500 302785218
parliamentary agent	110420317
parliamentary democracy	108380638
parliamentary law	106665623
parliamentary monarchy	108380971
parliamentary procedure	106665623
parlor	103685038 103897235
parlor car	103897361
parlor game	100502733
parlor grand	102769797
parlor grand piano	102769797
parlormaid	110420525
parlour	103685038 103897235
parlour car	103897361
parlour game	100502733
parlour grand	102769797
parlour grand piano	102769797
parlourmaid	110420525
parlous	302067900
parmelia	113012405
parmeliaceae	113012248
parmenides	111243632
parmesan	107870324
parnahiba	109408309
parnaiba	109408309
parnassia	112822280
parnassia fimbriata	112822726
parnassia palustris	112822541
parnassus	109408479
parnell	111243919
parochetus	112576225
parochetus communis	112576364
parochial	300640125 302882999
parochial school	108301142
parochialism	106215433
parochially	400419581
parodist	110420697
parody	100550647 106793148 200851619 201727840
paroicous	301547669
parol evidence rule	106667384
parole	101260381 106686933 107241961 202598049
parolee	110497170
paronomasia	106794438
paronychia	111833778 114202276
paronym	106299021
parophrys	102667141
parophrys vitulus	102667272
paroquet	101823844
parosamia	114082503
parotid	302785512
parotid gland	105540845
parotid vein	105383562
parotitis	114375975
parous	302785392
parousia	107337150
paroxetime	103897548
paroxysm	114106270
paroxysmal	302785611
paroxysmal trepidant abasia	114573301
paroxytone	106312662
parquet	103897732 103897875
parquet circle	103897970
parquet floor	103897875
parqueterie	103898122
parquetry	103898122
parr	102516358 102537711 111244036
parrakeet	101823844
parricide	100222463 110420903
parrish	111244163
parroket	101823844
parroquet	101823844
parrot	101819528 110421030 200960206
parrot disease	114298477
parrot fever	114173255
parrot's beak	112537582
parrot's bill	112537582
parrotfish	102613294
parrotia	112337681
parrotiopsis	112338128
parrotlike	301219805
parry	100136324 101176985 200811316 201149526
parry manzanita	112252797
parry's penstemon	112908292
parry's pinyon	111631274
pars anterior	105492225
pars distilis	105492225
pars intermedia	105492363
pars nervosa	105492514
parse	200645572
parsec	113679107
parsee	110421167
parseeism	106254575
parser	106589545
parsi	110421167
parsiism	106254575
parsimonious	301117858
parsimoniousness	104840918 104900720
parsimony	104840918 104900720
parsley	107835872 112963155
parsley haw	112647435
parsley-leaved thorn	112647435
parsnip	107751380 112962296 112962674
parson	110003102
parson's nose	107665072
parsonage	103898254
parsons	111244299
parsons table	103898425
part	100721817 100789119 103898588 103938737 105263841 105679818 105876035 105937794 107044205 108647614 109408804 113306199 113831419 201559703 201560556 202018017 202034003 202436167 400008102
part music	107044463
part name	106304527
part of speech	106328457
part time	301093061
