annwn	105634401
anterior fontanelle	105551058
anterior horn	105432307
anterior jugular vein	105378487
anterior labial veins	105431695
anterior meningeal artery	105358826
anterior naris	105607864
anterior pituitary	105492007
anterior pituitary gland	105492007
anterior root	105432307
anterior serratus muscle	105558127
anterior synechia	114230204
anterior temporal artery	105362503
anterior vertebral vein	105365230
anteriority	105054430 105085496
anteriorly	400267010
anterograde	300131353
anterograde amnesia	105680706
anteroom	102718424
anthelminthic	104535925 301168810
anthelmintic	104535925 301168810
anthem	107049616 107062968
anthemis	111943485
anthemis arvensis	111944106
anthemis cotula	111943643
anthemis nobilis	111969871
anthemis tinctoria	111943866
anther	111695696
antheraea	102306881
antheraea mylitta	102307449
antheraea pernyi	102307309
antheraea polyphemus	102307084
antheral	301480558
anthericum	112459905
anthericum liliago	112460131
anthericum torreyi	112460335
antheridial	302615452
antheridiophore	113112251
antheridium	113112071
antheropeas	111944296
antheropeas wallacei	111944483
antherozoid	113116302
anthesis	113460743
anthidium	102214425
anthill	109221979
anthoceropsida	111558574
anthoceros	111559167
anthocerotaceae	111559033
anthocerotales	111558792
anthologise	201629742
anthologist	109815503
anthologize	201629742
anthology	106603890
anthonomus	102181215
anthonomus grandis	102181369
anthony	110838738 110839767
anthony burgess	110892092
anthony charles lynton blair	110872102
anthony comstock	110925800
anthony hopkins	111079433
anthony trollope	111369202
anthony vandyke	111379862
anthony wayne	111397559
anthophagous	300315162
anthophilous	300315162
anthophyllite	114749623
anthophyta	111685380
anthozoa	101916479
anthozoan	101916804
anthracite	114839091
anthracite coal	114839091
anthracitic	302638967
anthracosis	114173692
anthrax	114095905 114283684
anthrax bacillus	101352867
anthrax pneumonia	114096416
anthrenus scrophulariae	102173251
anthriscus	112953292
anthriscus cereifolium	112953466
anthriscus sylvestris	112953726
anthropic	302639084
anthropical	302639084
anthropocentric	303146805
anthropocentricity	106211211
anthropocentrism	106211211
anthropogenesis	113453820
anthropogenetic	302639228
anthropogenic	302639228
anthropogeny	113453820
anthropoid	102473340 109815626 301262087 301263354
anthropoid ape	102473530
anthropoidal	301263354
anthropoidea	102473082
anthropolatry	101047126
anthropological	302918488
anthropologist	109815764
anthropology	106152997
anthropology department	108132577
anthropometric	302639434
anthropometrical	302639434
anthropometry	101000546
anthropomorphic	301262195
anthropomorphise	200729371
anthropomorphism	105775383
anthropomorphize	200729371
anthropomorphous	301262195
anthropophagite	109910531
anthropophagous	302639599
anthropophagus	109910531
anthropophagy	100413995
anthroposophy	105962748
anthurium	111804389
anthurium andraeanum	111804595
anthurium scherzerianum	111804595
anthus	101531183
anthus pratensis	101531486
anthyllis	112527119
anthyllis barba-jovis	112527289
anthyllis vulneraria	112527496
anti	109816250 301822909
anti-american	109816415 302939116
anti-catholicism	106237584
anti-drug law	106544901
anti-dumping duty	113338781
anti-g suit	102723487
anti-imperialist international brigade	108043657
anti-impotence drug	104544897
anti-inflammatory	102724463
anti-inflammatory drug	102724463
anti-intellectual	110442776 301336838
anti-masonic party	108275105
anti-personnel bomb	103395173
anti-racketeering law	106545030
anti-semite	109817183 300286771
anti-semitic	303054996
anti-semitism	106213691
anti-submarine rocket	102727647
anti-sway bar	104301752
anti-takeover defense	100791747
anti-tnf compound	102727891
anti-torque rotor	104392886
anti-virus program	106582142
anti-war movement	100800786
antiacid	114802178
antiadrenergic	302615574
antiaircraft	102718623 301634500
antiaircraft fire	100989861
antiaircraft gun	102718623
antialiasing	105673265
antianxiety agent	104477467
antianxiety drug	103776976
antiapartheid	302615698
antiarrhythmic	102718852
antiarrhythmic drug	102718852
antiarrhythmic medication	102718852
antiauthoritarian	300719030
antibacterial	102719116 302844758
antibacterial drug	102719116
antiballistic missile	102719537
antibaryon	109222097
antiberiberi factor	115115696
antibiosis	108007090
antibiotic	102719777 302639718
antibiotic drug	102719777
antiblack	300286771
antibody	115051756
antic	100428583 200105532 300970835
anticancer	302639827
anticatalyst	114749203
anticholinergic	102720812 300061347
anticholinergic drug	102720812
anticholinesterase	102720995
antichrist	110838889
anticipant	109816554 301231670
anticipate	200343295 200721658 200722732 200919743 201808928 202571406
anticipated	300933056
anticipation	105783078 105960190 107526319 114509706
anticipative	301231670
anticipator	109816554
anticipatory	300123055
anticipatory breach	100070264
anticlimactic	302497584 302640076
anticlimactical	302640076
anticlimax	106385614 107442551
anticlinal	300109827
anticlockwise	300444074 400255539
anticoagulant	102721170
anticoagulant medication	102721170
anticoagulation	100711268
anticoagulative	302640263
anticonvulsant	102721380
anticonvulsant drug	102721380
anticyclone	114544623
anticyclonic	302640359
antidepressant	102721722
antidepressant drug	102721722
antidiabetic	102722016
antidiabetic drug	102722016
antidiarrheal	102722205
antidiarrheal drug	102722205
antidiuretic	102722361
antidiuretic drug	102722361
antidiuretic hormone	105421490
antido	106908197
antidorcas	102426111
antidorcas euchore	102426235
antidorcas marsupialis	102426235
antidotal	302615833
antidote	102722499
antidromic	301601256
antielectron	109420771
antiemetic	102722661
antiemetic drug	102722661
antiepileptic	102721380
antiepileptic drug	102721380
antiestablishmentarianism	105967786
antiestablishmentism	105967786
antifeminism	101158557
antifeminist	109931701
antiferromagnetic	302615926
antiferromagnetism	111500040
antifertility	301893918
antiflatulent	102722862
antifouling paint	102722959
antifreeze	114790543
antifungal	102723112 302843703
antifungal agent	102723112
antigen	115061906
antigenic	302640538
antigenic determinant	115062231
antigone	109619548
antigonia	101456232
antigonus	110839137
antigonus cyclops	110839137
antigram	106304928
antigua	108727778
antigua and barbuda	108727537
antiguan	109710420 303055181
antihaemophilic factor	115096251
antihaemophilic globulin	115096251
antihemophilic factor	115096251
antihemophilic globulin	115096251
antihemorrhagic factor	115117318
antiheretical	301694620
antihero	110192613
antihistamine	102723650
antihypertensive	102724085
antihypertensive drug	102724085
antiknock	114609403 301399936
antiknocking	301399936
antilepton	109222219
antilles	108765570
antilocapra	102431922
antilocapra americana	102432102
antilocapridae	102431769
antilog	106825652
antilogarithm	106825652
antilope	102423035
antilope cervicapra	102423155
antimacassar	102724738
antimagnetic	301473056
antimalarial	102724873
antimalarial drug	102724873
antimatter	114606715
antimeson	109222376
antimetabolite	102725091
antimicrobial	103212950 301169018
antimicrobic	103212950 301169018
antimonial	301532245
antimonial lead	114929348
antimonic	302640638
antimonious	302640638
antimonopoly	300959758
antimony	114652846
antimony potassium tartrate	114979530
antimuon	109222459
antimycin	102725274
antimycotic	102723112
antimycotic agent	102723112
antineoplastic	102725383 302639827
antineoplastic antibiotic	102725922
antineoplastic drug	102725383
antineutrino	109222606
antineutron	109222695
antinode	108515760
antinomasia	107116223
antinomian	109816698 302640819
antinomianism	106196889
antinomy	106737186
antioch	109063473
antiophthalmic factor	115114370
antioxidant	114748824
antiparallel	301722706
antiparticle	109222782
antipasto	107596814
antipathetic	301248012 301296665
antipathetical	301248012 301296665
antipathy	105819492 107517908
antipernicious anemia factor	115115871
antipersonnel	301633273
antipersonnel bomb	103395173
antiperspirant	102726090
antiphlogistic	300626613
antiphon	107046732
antiphonal	107048003 302640936 303122391
antiphonary	107048003 302640936
antiphony	107046732 107062840
antiphrasis	107115916
antipodal	113851456 302641148
antipodal opposition	113851456
antipode	113877297
antipodean	302641148
antipodes	108649325
antipollution	302616038
antipope	109816816
antiproton	109223071
antiprotozoal	102726217
antiprotozoal drug	102726217
antipruritic	102726416
antipsychotic	103719275
antipsychotic agent	103719275
antipsychotic drug	103719275
antipyresis	100665528
antipyretic	102726520 301173680
antiquarian	109817047 303055352 303055451
antiquark	109223195
antiquary	109817047
antiquate	200254387 200254550
antiquated	301643372
antique	102726679 110396589 200254387 202331791 300977350 301643104 301643588
antiquity	102726951 104932933 115277950
antiredeposition	113453975
antirrhinum	112897801
antirrhinum coulterianum	112898253
antirrhinum filipes	112898397
antirrhinum majus	112898598
antisatellite	302616203
antisemitic	303054996
antisemitism	106213691
antisepsis	113454076 114518814
antiseptic	102727132 300425759 300625502 302122604 302125327
antisepticize	200062545
antiserum	105411045
antisocial	302257692 302266728
antisocial personality disorder	114411544
antispasmodic	102727458
antispasmodic agent	102727458
antistrophe	106398475
antistrophic	302641447
antisubmarine	301634640
antisyphilitic	102727763
antitank	301634734
antitauon	109223297
antithesis	107116072 113877427
antithetic	302072808
antithetical	302072808
antithetically	400275080
antithyroid	302992940
antitoxic	302459887
antitoxin	115052617
antitrade	111540553
antitrade wind	111540553
antitrades	111445052
antitrust	300959758
antitrust case	101186535
antitrust law	106545288
antitrust legislation	106545288
antitumor	302639827
antitumour	302639827
antitussive	102728167
antitype	105849538 105935996
antitypic	302641538 302641708
antitypical	302641538 302641708
antivenene	115052775
antivenin	115052775
antivert	103744627
antiviral	102728292 302616370
antiviral agent	102728292
antiviral drug	102728292
antler	101328299
antler moth	102298928
antler-like	302041655
antlered	302041586
antlia	109223405
antlion	102266673 102266884
antlion fly	102266673
antofagasta	108738978
antoine domino	110958632
antoine henri becquerel	110860159
antoine laurent de jussieu	111114918
antoine laurent lavoisier	111139907
antoine lavoisier	111139907
anton bruckner	110887612
anton chekhov	110914404
anton chekov	110914404
anton gregor rubinstein	111293276
anton grigorevich rubinstein	111293276
anton pavlovich chekhov	110914404
anton pavlovich chekov	110914404
anton rubenstein	111293276
anton van leeuwenhoek	111149798
anton van leuwenhoek	111149798
antonin dvorak	110966953
antonine wall	102728521
antoninus	110839359
antonio allegri da correggio	110931831
antonio gaudi	111012332
antonio gaudi i cornet	111012332
antonio ghislieri	111257065
antonio lopez de santa ana	111300895
antonio lopez de santa anna	111300895
antonio lucio vivaldi	111387905
antonio pignatelli	111092663
antonio stradivari	111340816
antonio vivaldi	111387905
antonius	110839767
antonius pius	110839657
antonius stradivarius	111340816
antony	110839767
antony tudor	111371672
antonym	106298695
antonymous	302390332
antonymy	113830617
antrorse	300124525
antrozous	102150104
antrozous pallidus	102150243
antrum	105311751
antsy	302414962
antum	109538608
antwerp	108869733
antwerpen	108869733
anu	109538705
anubis	109534847
anunnaki	109538847
anura	101642010
anuran	101642406 302641889
anuresis	114089385
anuretic	302642104
anuria	114089385
anuric	302642104
anurous	300321883
anus	105545649
anvers	108869733
anvil	102728797 105333888
anwar el-sadat	111297890
anwar sadat	111297890
anxiety	107539144 114397837
anxiety attack	114105147
anxiety disorder	114403878
anxiety hysteria	114417121
anxiety neurosis	114417363
anxiety reaction	114404122
anxiolytic	103776976 302642245
anxiolytic drug	103776976
anxious	300814817 302465209
anxiously	400187482
anxiousness	107539999 114397837
any	302275443 400024868
any longer	400032002
any-and-all bid	100792338
anyhow	400026948 400027635
anymore	400032002
anyplace	400025699
anyway	400026948 400027635
anyways	400026948
anywhere	400025699
anzac	109817314
anzio	108825568
ao dai	102728942
aorist	106341030
aoristic	302642337
aorta	105343519
aortal	302642463
aortic	302642463
aortic aneurysm	114129834
aortic arch	105343925
aortic orifice	105253432
aortic plexus	105243912
aortic stenosis	114130091
aortic valve	105401869
aortitis	114281795
aotus	102494871
aotus trivirgatus	102494987
aoudad	102418750
apace	400086161 400086390
apache	106932210 109630238 109669631
apache dance	100531423
apache devil dance	100543009
apadana	102729135
apalachicola	109223527
apalachicola river	109223527
apalachicola rosemary	112866668
apanage	113275342 113319310
apar	102457766
apart	300570124 302117441 400182242 400182430 400182561 400182739 400235931 400236119
apartheid	106671913
apartment	102729230
apartment building	102729606
apartment house	102729606
apatetic coloration	104986452
apathetic	301345797 302289345
apathetically	400267091
apathy	104643967 107498762
apatite	114690689
apatosaur	101712125
apatosaurus	101712125
apatosaurus excelsus	101712125
apatura	102281356
apatura iris	102281632
apc	102729786 102743305
ape	102472956 109815626 109983941 200851272 202680878
ape-man	109817439 110342459
apeldoorn	108969808
apelike	301219381 301263354
apennines	109223752
aper	109983941
apercu	106480420
aperea	102367492
aperient	104032142 300641001
aperiodic	301977529
aperitif	107902438
aperture	102729941 102730066 109223909
apery	100550509
apetalous	301781077
apetalous flower	111694470
apex	108511997 108695539
apex of the sun's way	108511997
apgar score	105747345
aphaeresis	113454234
aphaeretic	302642606
aphagia	114119810
aphakia	114120914
aphakic	109817537 302642799
aphanite	114750494
aphanitic	302642914
aphasia	114121056
aphasic	109817685 300152798 302643014
aphasmidia	101932429
aphelion	108512918
apheresis	100651235 113454234
apheretic	302642606
aphesis	113454456
aphetic	302643155
aphid	102254878
aphid lion	102267243
aphididae	102255081
aphidoidea	102254691
aphis	102255260
aphis fabae	102255624
aphis lion	102267243
aphis pomi	102255451
aphonia	114423911
aphonic	300152929
aphorise	200743880
aphorism	107167838
aphorist	109817845
aphoristic	300549171 302664356
aphorize	200743880
aphotic	300274767
aphriza	102029152
aphriza virgata	102029283
aphrodisia	107503707
aphrodisiac	102730206 302144950
aphrodisiacal	302144950
aphrodite	109577261
aphrophora	102261006
aphrophora saratogensis	102261281
aphthous ulcer	114235467
aphyllanthaceae	112460633
aphyllanthes	112460890
aphyllophorales	113070045
aphyllous	301708072
apia	109014122
apiaceae	112950804
apian	302643246
apiarian	302643347
apiarist	109866163
apiary	102730351
apical	302449388
apical placentation	111701724
apiculate	302174962
apicultural	302643450
apiculture	100918116
apiculturist	109866163
apidae	102210594
apiece	400241635
apios	112527741
apios americana	112527884
apios tuberosa	112527884
apis	102210795
apis mellifera	102210932
apis mellifera adansonii	102211150
apis mellifera scutellata	102211150
apish	301219381
apishamore	102730491
apium	112953924
apium graveolens	112954034
apium graveolens dulce	112954163
apium graveolens rapaceum	112954376
apivorous	300316528
aplacental	301837064
aplacophora	101956981
aplacophoran	101957157
aplanatic	300637099
aplasia	114047372
aplastic anaemia	114187823
aplastic anemia	114187823
aplectrum	112065821
aplectrum hyemale	112065983
aplite	114750663
aplitic	302643567
aplodontia	102366470
aplodontia rufa	102366648
aplodontiidae	102366333
aplomb	104911339
aplysia	101953748
aplysia punctata	101953915
aplysiidae	101953593
apnea	114392813
apneic	302643662
apnoeic	302643662
apoapsis	108512627
apocalypse	106459567 107330231
apocalyptic	301888391 302643766
apocalyptical	301888391
apocarpous	300114287
apochromatic	300637244
apocope	107105947
apocrine	300099382
apocrine gland	105338396
apocrypha	106469622
apocryphal	301923074 302643873
apocynaceae	111787078
apocynaceous	302643980
apocynum	111787665
apocynum androsaemifolium	111788099
apocynum cannabinum	111788346
apocynum pumilum	111788577
apodal	301035576
apodeictic	302470523
apodeme	101907762
apodemus	102335258
apodemus sylvaticus	102335842
apodictic	302470523
apodidae	101834571
apodiform bird	101834353
apodiformes	101834160
apodous	301035576
apoenzyme	114754480
apogametic	302644098
apogamic	302644098
apogamous	302644098
apogamy	113454635
apogean	302644347
apogee	108512430 115316435
apogon	102575000
apogon maculatus	102575115
apogonidae	102574614
apoidea	102209276
apojove	108513105
apolemia	101916081
apolitical	301820504
apollinaire	110840048
apollo	109576896
apollo asteroid	109224067
apollo program	105908228
apologetic	301635891
apologetically	400175592
apologetics	106192582
apologia	106753614
apologise	200894444 200896259
apologist	109817975
apologize	200894444 200896259
apologue	106383718
apology	105829462 106645870 106753614
apolune	108513209
apomict	111557018
apomictic	302143570 302644528
apomictical	302644528
apomixis	113454900
apomorphine	102730585
aponeurosis	105590340
aponeurotic	302644724
apopemptic	302833411
apophasis	107116315
apophatic	302644883
apophatism	105950822
apophthegm	107167838
apophyseal	302645079
apophysis	105480756 113109220
apoplectic	302645220
apoplectiform	302645360
apoplectoid	302645360
apoplexy	114105785
apoptosis	111506781
aporocactus	111863754
aporocactus flagelliformis	111863910
aposelene	108513209
aposematic coloration	104986251
aposiopesis	107116444
aposiopetic	302645471
apostasy	100205663 114436815
apostate	110026763 300963168
apostatise	200759901
apostatize	200759901
apostelic father	109818636
apostle	109818234 109818636 109818884
apostle of germany	110876082
apostle of the gentiles	111245651
apostle paul	111245651
apostleship	100589918
apostolic	302870589 302890942
apostolic delegate	109819030
apostolical	302870589 302890942
apostrophe	106855037 107116603
apostrophic	302645591
apostrophise	200995799
apostrophize	200995799
apothecaries' ounce	113744627
apothecaries' pound	113744867
apothecaries' unit	113738983
apothecaries' weight	113738983
apothecary	110441215
apothecary's shop	103254045
apothecial	302645720
apothecium	111554073
apothegm	107167838
apothegmatic	300549171 302645872
apothegmatical	302645872
apotheose	200695399
apotheosis	101031146 110344909
apotheosise	200695399
apotheosize	200695399
apotropaic	301471234
appal	201786469 201814414
appalachia	108510503
appalachian	109819231 302646046
appalachian mountains	109224179
appalachians	109224179
appall	201786469 201814414
appalled	300079166
appalling	107300577 300194968
appallingly	400263006
appaloosa	102382395
appanage	113275342 113319310
apparatchik	109819343 109819479
apparatus	102730750 105226173
apparatus urogenitalis	105517103
apparel	102731365 200047662
apparel chain	108078445
apparel industry	108083153
appareled	300456473
apparency	104714021
apparent	301622528 301879953
apparent horizon	108603184
apparent motion	111445202
apparent movement	111445202
apparently	400039730 400040353
apparentness	104714021
apparition	100051304 105906160 107338036 109570240
apparitional	301579318
appeal	101188101 104694682 106525755 107201488 200757492 201026873 201811849 202503235 202503473
appeal board	108340231
appealable	300133920
appealing	300171619 302384845
appealingly	400263125
appealingness	104694682
appeals board	108340231
appeals court	108347033
appear	200423043 200426024 200426920 201725046 202137900 202139137 202603759
appearance	100051015 100756620 101236192 104681322 105948150 107336372
appearing	101236192
appeasable	301789455
appease	200767258 201196647 201769244
appeasement	101153433
appeaser	109819672
appeasing	300763371
appellant	109819892 303055597
appellate	303055597
appellate court	108347033
appellation	106347064 106350278
appellative	106350278 300725830 302646150
append	201029183 201331195 201331387
appendage	102731707 105477841 105567541
appendaged	300134330
appendant	300160129
appendectomy	100667475
appendicectomy	100667475
appendicitis	114282014
appendicle	102731912
appendicular	302646262
appendicular artery	105344441
appendicular skeleton	105594684
appendicular vein	105365415
appendicularia	101473374
appendix	105545209 106410980
appenzeller	102110560
apperceive	202111551
apperception	105716605
apperceptive	301749440
appertain	202659801
appetence	107500766
appetency	107500766
appetent	300891343
appetiser	107596911
appetising	300134488
appetisingness	105002696
appetite	107500766
appetite suppressant	104368616
appetitive	303009037
appetizer	107596911
appetizing	300134488
