lessen	200151509 200233328 200442400
libation	101043867 107901807 107901912
libber	110104404
libby	111151495
libel	106574427 106733120 200849363
libeler	110018655
libellous	301164777
libelous	301164777
liberal	110276453 110276781 300287703 300577581 300919313 301115129 302038880
liberal arts	106163352
liberal democrat party	108278510
liberal party	108278731
liberalisation	100356517
liberalise	202472426 202472626
liberalism	106004479 106228560
liberalist	110276453
liberalistic	300578036
liberality	104839749 106214555
liberalization	100356517
liberalize	202472426 202472626
liberally	400198104 400198286
liberalness	104839749 106214555
liberate	201761838 202426474 202502711 202503049
liberated	301062349 301066791
liberation	100096322 100217041 100789493
liberation theology	106194468
liberation tigers of tamil eelam	108048776
liberator	110276918
liberia	108979027
liberian	109740238 303092434
liberian capital	108979268
liberian coffee	112684015
liberian dollar	113695852
libertarian	110277099 110277221
libertarianism	106229122
libertine	110277344 301553629
liberty	100738368 114015999 114017941 114019546 115165040
liberty bell	103665554
liberty cap	103665720
liberty chit	106702971
liberty island	109137054
liberty party	108278879
liberty ship	103665888
libidinal	302956851
libidinal energy	109208337
libidinous	302140561
libido	107504688
libocedrus	111659353
libocedrus bidwillii	111659896
libocedrus decurrens	111655187
libocedrus plumosa	111659757
libra	108704888 109362015 109772396
libra the balance	108704888
libra the scales	108704888
librarian	110277645
librarianship	100595592
library	103665990 103666235 103666369 107994015 107994293
library card	106489870
library catalog	106500162
library catalogue	106500162
library fine	113322522
library paste	114729127
library program	106588441
library routine	106595966
library science	106180608
librate	201882559 202710477
libration	113528820
librettist	110277849
libretto	107025141
libreville	108965478
libritabs	103025724
librium	103025724
libya	108979456
libyan	109740363 303092588
libyan desert	109193685
libyan dinar	113692386
libyan dirham	113692504
libyan fighting group	108049347
libyan islamic fighting group	108049347
libyan islamic group	108049347
libyan monetary unit	113692261
licence	106561652 114018291 114018863 202449527
licenced	300180111
license	101141515 106561652 114018291 114018863 202449527
license fee	113343135
license number	106437478
license plate	103666506
license tax	113343135
licensed	300180111
licensed practical nurse	110278001
licensee	110278190
licenser	110278299
licensing agreement	106539567
licensing fee	113343135
licentiate	110278483
licentious	300363349
licentiously	400390848
licentiousness	100749605 104858946
lichanura	101745321
lichanura trivirgata	101745462
lichee	107782149 112765147
lichen	113007816 114252885
lichen planus	114253086
lichen ruber planus	114253086
lichenales	113007618
lichenes	113007207
lichgate	103704149
lichi	107782149
lichtenoid eczema	114249359
lichtenstein	111151648
licinius lucullus	111163590
licit	301404228 301554795
licitly	400365014
licitness	104817446
lick	100135600 100151411 109443567 200636568 201173263 201415566 201434809
licked	300698222
lickety cut	400169345
lickety split	400169345
licking	101163216 107490504
licorice	107622970 112553391
licorice fern	113194030
licorice root	112553942
licorice stick	102837232
lid	103502782 103666666 105321347
lidar	103666947
lidded	301449348 302451099
lidless	300093245 301449523 302451388
lido	103667187
lido deck	103667533
lidocaine	103667342
lie	106769542 108641771 111151798 200835938 201549783 201989043 202659476 202696550 202737265 202740213
lie about	202645989
lie around	202645989
lie awake	201550707
lie detector	103667778
lie dormant	202383421
lie down	201989043
lie in	200057124 202659476
lie in wait	201140630
lie low	200590098 202151104
lie with	201429048
lie-abed	110278593
lie-in	101066682
liebfraumilch	107913575
liebig condenser	103667627
liechtenstein	108980321
liechtensteiner	109740484 303092756
lied	107065660
lieder singer	110278713
liederkranz	107869922
lief	400349906
liege	108870679 110278791 110766249 300965495
liege lord	110278791
liege subject	110766249
liegeman	110766249
lien	105341015 113422186
lienal	302811979
lienal artery	105357609
liepaja	109035973
lietuva	109036200
lieu	100722683
lieutenancy	100595695
lieutenant	110024942 110278922 110279045 110279224
lieutenant colonel	110279477
lieutenant commander	110279694
lieutenant general	110279863
lieutenant governor	110280019
lieutenant jg	110280170
lieutenant junior grade	110280170
life	100006269 104639514 105818587 106527818 109201624 110280403 111493691 113984685 113984978 113986528 115165365 115165704 115165852 115249872
life assurance	113368252
life belt	103668045 104132954
life buoy	103668045
life class	100887442
life cycle	111494207 113529030
life estate	113272614
life eternal	113980676
life expectancy	115166985
life force	111544272
life form	105224317
life history	100283457 106527818
life imprisonment	114023685
life insurance	113368252
life jacket	103668213
life line	113929781
life mask	103668658
life office	103668759
life peer	110280640
life preserver	103668857
life principle	110777586
life raft	103669107
life ring	103668045
life saver	107623101
life science	106046810
life scientist	109875036
life sentence	115249872
life story	106527818
life style	104937809
life support	103669236 103669485
life tenant	110280908
life vest	103668213
life-and-death	300659407
life-giving	301360332
life-of-man	111818450
life-or-death	300659407
life-size	301391589
life-sized	301391589
life-style	104937809
life-support	302766406
life-support system	103669236 103669485
life-sustaining	300905499
life-threatening	300654061
life-time	115165365
lifeblood	105203064 105409194
lifeboat	103667927
lifeguard	110280497
lifehack	200589020
lifeless	300098621 300101092 300120343 301091246
lifelessly	400306284 400391087 400391203
lifelessness	105013469 114029664
lifelike	300075202 301947643
lifeline	103668395 103668560 105702492 113929781
lifelong	301443033
lifer	110280738
lifesaver	103668045 110280497
lifesaving	100094694
lifesize	301391589
lifespan	115165365
lifestyle	104937809
lifetime	115165365
lifework	100585197
lifo	100621498
lift	100117196 100310102 100317420 100675401 101211977 103286056 103669700 103669840 104238755 107362999 107385271 111442391 200061704 200178616 200178766 200178887 200198998 200354849 200357852 200545629 200551059 200794583 200801460 200988106 201314268 201454668 201457813 201582002 201972576 201977773 201978076 202281711 202281983 202282906 202357177 202702643
lift bridge	103238447
lift off	202018405
lift out	201315031
lift pump	103670166
lift up	201815703 201980103
lifted	301210893
lifter	109886067 110793062
liftgate	103503787
lifting device	103670001
liftman	110070069
liftoff	107385768
ligament	103670269 105302880
ligamentum teres uteri	105303239
ligan	103638765
ligand	115134874
ligate	200083087 200568561 201618258
ligation	100149062
ligature	100149904 102843363 103670409 103670558 106836975 107059577
liger	102132643
light	103670692 103671917 104958550 104960557 105025269 105620489 105815941 106220526 106887069 108663763 109207565 110296356 111494354 114006789 114587365 200292635 200589392 201202519 201962311 201982714 202234610 202765572 300270855 300362917 300409737 300505439 300697019 300715651 300996467 301185958 301189951 301191729 301193859 301194536 301194991 301195419 301195936 301196589 301912661 302128704 302128852 302172875 302328120 302345399 302410587 302422984 302555295 400392845
light adaptation	100194660
light air	111452501
light arm	103671177
light ballast	102782994
light beam	111448137
light beer	107903942
light bread	107702956
light breeze	111452622
light brown	104980068
light bulb	103671250
light circuit	103671564
light colonel	110279477
light company	108203311
light cream	107863893
light diet	107579207
light filter	103672386
light flyweight	110281208
light heavyweight	110281321 110281459 110281559
light hour	113678367
light intensity	105108013
light machine gun	103672878
light meter	103672990
light microscope	103673155
light middleweight	110281674
light minute	113678531
light opera	107040577
light pen	103673605
light reaction	113529208
light reflex	100867486
light second	113678698
light show	100522506
light sleep	100860015
light source	103670692
light speed	115309503
light time	105137475
light touch	107428314
light unit	113655879
light up	200292635 201202519 202767187 202770080 202777127
light upon	202291532
light welterweight	110282461
light whipping cream	107864172
light within	109207565
light year	113678138
light-armed	300143972 301196818
light-blue	300378193
light-boned	302047926
light-colored	300409737
light-duty	301191601
light-emitting diode	103671688
light-fingered	300062999
light-footed	301195791
light-green	300377031
light-haired	300244463
light-handed	300710244
light-handedly	400392962
light-headed	302128108 302555295
light-headedly	400083273
light-hearted	300364371
light-heartedly	400393047
light-minded	302128570
light-mindedness	104656223
light-o'-love	110282040
light-of-love	110282040
light-sensitive	302112007
light-tight	300435979
light-year	113678138
lightbulb	103671250
lighted	300272446 300477115
lighten	200199442 200281690 200313597 200861800 201490199 201818041
lighten up	200281690 200313597 200861800 201818041
lightening	100274721 107377780
lighter	102795575 103671917 115125928 201958711
lighter-than-air	301190865
lighter-than-air craft	103672243
lighterage	100653197 113343542
lighterman	110281085
lightheaded	302128108 302555295
lightheadedness	104901639 114395918
lighthearted	300364371
lightheartedness	107546254
lighthorse harry lee	111143752
lighthouse	102817995
lighthouse keeper	110281790
lighting	100379287 100609913 103672561 114006789
lighting circuit	103671564
lighting fixture	103672706
lighting industry	108085624
lighting-up	300272935
lightless	300276851 302528286
lightlessness	114007292
lightly	400029319 400178236 400181654 400181765 400392845 400479767 400511567
lightly armored	300145512
lightly armoured	300145512
lightly-armed	301196818
lightness	104655953 104958550 104987007 105011015 105035866 107543044
lightning	107427593 111495679
lightning arrester	104371247
lightning bug	102170897
lightning conductor	103673393
lightning hurler	109597404
lightning rod	103673393 110281880
lightproof	300435979
lights-out	106817341 115193616
lightship	103673814
lightsome	300364371 301195936
lightsomely	400393047 400393212
lightsomeness	104655953 105011015 107546254
lightweight	110282142 110282258 110282352 110796655 301190276 301284669
lightwood	111778591
ligne	113673821
ligneous	302586496
ligneous plant	113123895
lignify	200586576
lignin	114959457
lignite	114839433
lignosae	113124419
lignum	113117538
lignum vitae	112742831 112743142
ligularia	112012462
ligule	113183062
liguria	108826144
ligurian sea	109362178
ligustrum	112328128
ligustrum amurense	112328629
ligustrum ibolium	112328776
ligustrum japonicum	112328964
ligustrum lucidum	112329181
ligustrum obtusifolium	112329424
ligustrum ovalifolium	112329569
ligustrum vulgare	112329794
lii	302199066
liii	302199158
likable	301464214 302384845
like	105853946 105854415 200693431 201780873 201781131 201828678 201829904 301412553 301413463 301413922 302070958
like a shot	400049277
like an expert	400215587
like blue murder	400086743
like clockwork	400169451
like crazy	400169587
like fun	400169954
like hell	400169587 400169954
like kings	400126869
like mad	400169587
like royalty	400126869
like sin	400169587
like the devil	400169587
like thunder	400169587
like-minded	301413008
likeable	301464214 302384845
liked	301464060
likelihood	104763890
likeliness	104763890
likely	300648191 301414308 301416084 301890275 400139421
liken	200655291
likeness	103673968 104752054
likening	100652331
likewise	400048072 400070072 400138870
liking	107512613
likuta	113732651
lilac	112330866 300377979
lilac-blue	300378286
lilac-colored	300377979
lilac-pink	300378385
lilac-purple	300378500
lilangeni	113708242
liliaceae	112444070
liliaceous	302766544
liliaceous plant	112445786
liliales	112431220
lilian alicia marks	111177130
liliid monocot family	111576638
liliid monocot genus	111581679
liliidae	112430886
liliopsid	111688568
liliopsid family	111575864
liliopsid genus	111577308
liliopsida	111688013
lilith	109542210
lilium	112446605
lilium auratum	112447128
lilium canadense	112447254
lilium candidum	112447483
lilium catesbaei	112447689
lilium columbianum	112447896
lilium lancifolium	112448071
lilium longiflorum	112448262
lilium maritinum	112448451
lilium martagon	112448581
lilium michiganense	112448747
lilium pardalinum	112448917
lilium philadelphicum	112449092
lilium superbum	112449252
liliuokalani	111151971
lille	108956249
lillian gish	111021418
lillian hellman	111059184
lillian russell	111295334
lillie	111152107
lillie langtry	111137098
lilliput	105638517
lilliputian	109624603 110282577 301284018 301395201 303092913
lilo	103674129
lilongwe	108982868
lilt	104999186 200952968
lilting	302027224
lily	112446753
lily family	112444070
lily of the incas	112459288
lily of the nile	112449653
lily of the valley	112492049
lily pad	113175531
lily pons	111262311
lily turf	112493676
lily-livered	300266180
lily-of-the-valley tree	112263976
lily-white	300391522 301330632
lilyturf	112493676
lima	109002248
lima bean	107744976 112578735 112578930
lima bean plant	112578735
limacidae	101948084
limacine	302766690
limacoid	302766690
liman	109362320
limanda	102661574
limanda ferruginea	102661806
limax	101948221
limb	102740838 103674232 103674420 105567877 108610050 113184701
limb-girdle muscular dystrophy	114186045
limbed	301417087
limber	103674571 200100891 201606541 301026401 301026542 301027843
limber pine	111634318
limber up	200027057 201606541
limbers	103674693
limbic	303022544
limbic brain	105506424
limbic system	105506424
limbless	301417654
limbo	105638657 105638859 114460235
limburger	107870042
limbus	105243075
lime	107765707 112223453 112732744 114726864 114814055 114960148 201606653 202087484
lime disease spirochete	101385792
lime hydrate	114960148
lime juice	107941567
lime tree	112223453 112732744
limeade	107942586
limeira	108874901
limekiln	103674860
limelight	103674991 114457235
limen	105720373
limenitis	102279179
limenitis archippus	102279920
limenitis arthemis	102279554
limenitis astyanax	102279746
limenitis camilla	102279401
limerick	106392226 108909884
limestone	114960364
limestone fern	113218405
limestone salamander	101640970
limewater	114961231
limey	109722881
limicolae	102025152
limicoline bird	102025338
limit	105131322 108610212 108610686 113780436 113780696 115293814 200234091 200236085 200949109
limit point	113780696
limitation	100809843 105169982 105854882 113780436 115249089
limited	103311330 300531396 301010847 301107537 301417858 301536705 301920023 302009566
limited audit	113432558
limited company	108202129
limited edition	106602882
limited liability	113418191
limited review	113432706
limited war	100955391
limitedly	400131535
limiter	103675212
limiting	113823013 302011119 302011481
limitless	301011246 301418456 301502766
limitlessness	105216592
limn	201692151 201693274
limner	110475185
limning	103178190
limnobium	112634729
limnocryptes	102035300
limnocryptes minima	102035423
limnodium spongia	112634857
limnodromus	102035569
limnodromus griseus	102035862
limnodromus scolopaceus	102035978
limnological	302766797
limnologically	400393380
limnologist	110282843
limnology	106129924
limnos	108808600
limo	103675534
limonene	114961796
limonite	114961939
limonium	112119737
limosa	102036670
limosa haemastica	102036949
limousin	108962738
limousine	103675534
limp	100287600 201921237 202000434 302334464 302412798
limpa	107701947
limper	110198548
limpet	101951214 107808616
limpid	300430851 300433489 300434168
limpidity	104709291 104827489
limpidly	400391499
limping	114573529
limpkin	102016360
limply	400393479
limpness	104946223
limpopo	109362418
limulidae	101790187
limulus	101790334
limulus polyphemus	101790476
lin	111152235
linac	103677240
linaceae	112506759
linage	113347997 113735513
linalool	114918180
linanthus	112832054
linanthus dianthiflorus	112832261
linanthus dichotomus	112832473
linaria	112904683
linaria canadensis	112904860
linaria vulgaris	112905020
linchpin	103675665 105702197
lincocin	103675948
lincoln	102416363 109132519 111152452
lincoln memorial	103675782
lincoln steffens	111334310
lincoln's birthday	115211912
lincolnesque	303046094
lincolnian	303046094
lincolnshire	108904418
lincomycin	103675948
lind	111152758
lindane	114959002
lindbergh	111152938
linden	112223453 112223848
linden family	112222869
linden tree	112223453
lindera	111726390
lindera benzoin	111726794
lindesnes	108783604
lindheimera	112012809
lindheimera texana	112012948
lindsay	111153187 111153377
lindy	100533604
lindy hop	100533604
line	100583425 101206784 102937552 103676175 103676598 103676799 103676994 103952601 104014761 104409192 105756783 105781046 106270774 106638793 106812755 107025650 107026095 107041860 108118903 108393816 108447160 108447525 108610818 108611480 108611842 111495037 113400586 113735108 113886392 113928798 200223419 200455090 201273348 201278925 201585566 202709399
line backer	100727620 110282699
line block	103677423
line coach	109951447
line double	100132811
line drawing	103178190
line drive	100132428
line engraving	103677423 103677571
line feed	113529386
line item	106494860
line judge	110282956
line management	101138696
line of battle	108612270
line of business	101099024 103676994
line of control	108532274
line of credit	113400586
line of defence	103677964 108065495
line of defense	103677964 108065495
line of descent	108118903 113835254
line of destiny	113930118
line of duty	101134911
line of fate	113930118
line of fire	108635091
line of flight	108612727
line of force	111477474
line of gab	107026516
line of heart	113929950
line of inquiry	105781773
line of latitude	108613276
line of least resistance	100417750
line of life	113929781
line of longitude	108616379
line of march	108447897 108612855
line of merchandise	103676994
line of poetry	106359366
line of products	103676994
line of questioning	105781773
line of reasoning	105781046
line of saturn	113930118
line of scrimmage	108668252
line of sight	108612954
line of succession	108448005
line of thought	105781404
line of verse	106359366
line of vision	108612954
line of work	100583425
line officer	110283487
line one's pockets	202283572
line organisation	108065700
line organization	108065700
line personnel	108457374
line printer	103678153
line roulette	113931594
line score	106480194
line single	100132697
line spectrum	111495876
line squall	111534604
line storm	111522282
line triple	100132925
line up	200465234 201076346 202040495 202040600 202218118 202710073
line worker	110283817
line-at-a-time printer	103678153
line-drive double	100132811
line-drive single	100132697
line-drive triple	100132925
line-shooter	109891532
line-shooting	107244407
lineage	104929964 108118903 113347997 113735513 113835254
lineal	300661768 301419359
lineally	400393575
lineament	105609513 105857811
linear	300111308 300661426 301420302 301448329 302176256
linear a	106373341
linear accelerator	103677240
linear algebra	106022475
linear b	106373466
linear equation	106682882
linear leaf	113179410
linear measure	113624548
linear operator	113808807
linear perspective	104683665
linear programming	106027616
linear regression	106038434
linear unit	113624548
linearise	200490081
linearity	105070387
linearize	200490081
linearly	400130309
lineation	100264656 108630343
linebacker	100727620 110282699
linebacker blitzing	100978171
linecut	103677423 103677571
lined	300259663 301420811 302249287
lined snake	101738673
linelike	300661857
lineman	100727351 110069171 110283108 110283277
linemen	108447011
linen	103677678 103677847 114959136
linen paper	114959136
linendraper	110283381
liner	100132428 103678353 103678596 103679093
liner train	103399108
linesman	110069171 110283628
lineup	106497868 106497998 108448162
ling	102526058 102527559 102527751 112254046 112369152
ling ko	112369152
ling-pao	109556901
lingam	106821266
lingberry	112270059
lingcod	102555659 107800967
lingenberry	112270059
linger	202015412 202062514 202645159 202646990 202737117
linger over	202646310
lingerer	110289929
lingerie	103678776
lingering	101070347
