feudal lord	110105505
fiddlehead	112974679 113218952
fiddlehead fern	112974679
fiddleneck	112858226
fiddler	110731878 110753892 110774246
fiddler crab	101982807
fiddlestick	103337216
fiddling	301284018
fidel castro	110906681
fidel castro ruz	110906681
fidelity	104811555 104884180
fidget	107529034 202062372
fidgetiness	107529034
fidgety	302414962
fiducial	302475134 302859112 302859273
fiduciary	110105843 302859273
fiduciary duty	101133977
fiduciary relation	113860585
fiedler	110990480
fief	113270826
fiefdom	108065377 108575291
field	101099024 102690851 105941627 106005806 108015913 108016026 108021702 108022022 108523662 108569203 108587306 108587527 108588287 108677077 109416498 111477177 114537641 200677511 200817201 201084245 201084683
field artillery	103337338
field balm	112864317 112868134
field bean	112596534
field bindweed	112844813
field brome	112132144
field capacity	113638207
field chamomile	111944106
field chickweed	111827836
field coil	103337536
field corn	112164916
field cricket	102232839
field crop	113107316
field day	115163651 115163769 115198306 115198400
field emission	113501597
field event	107481697
field game	100468787
field garlic	112455991
field general	100727818 110518401
field glass	103338074
field glasses	102844544
field goal	100189783 100191280
field guide	106434555
field gun	103337338
field hand	110099179
field hockey	100469063
field hockey ball	103338197
field horsetail	113240731
field hospital	103338294
field house	103338425 103338555
field hut	103555333
field intensity	105107531
field judge	110106513
field lens	103338656
field line	111477474
field lupine	112566925
field magnet	103338796
field maple	112775408
field marigold	111971155
field marshal	110106590
field mint	112876125
field mouse	102335407 102342028
field mouse-ear	111827836
field mushroom	113022289
field mustard	111917191
field of battle	108523662
field of fire	108587771
field of force	111477177
field of honor	108523662 108664061
field of operation	101099024
field of operations	108569203
field of regard	105942374
field of study	106005806
field of view	105941627
field of vision	105942374
field officer	110106849
field pansy	112408660
field pea	107742362 112581814 112582099
field pennycress	111919244
field poppy	111922669
field press censorship	100823413
field pussytoes	111943224
field ration	107581510
field sandbur	112134307
field scabious	112704552
field soybean	107745902
field spaniel	102104322
field sparrow	101538827
field speedwell	112911250
field sport	100434601
field strength	105107531
field strength unit	113655165
field tent	103339236
field test	105807589
field theory	106003369
field thistle	111974814
field trial	100796531 105807589 107482844
field trip	100313229
field winding	103337536
field work	100641076
field wormwood	111950507
field-crop	302738738
field-effect transistor	103337729
field-emission microscope	103337934
field-grade officer	110106849
field-pea plant	112581814
field-sequential color television	103338962
field-sequential color television system	103338962
field-sequential color tv	103338962
field-sequential color tv system	103338962
field-test	202537927
fielder	110106152 110106337
fielder's choice	100131493
fieldfare	101560948
fieldhand	110099179
fielding	100127541 110990595
fielding average	113840566
fieldmouse	102335407
fields	110990710
fieldsman	110106152
fieldstone	114892267
fieldwork	103339327
fieldworker	110111025
fiend	109565450 110097659 110349658
fiendish	301136015
fiendishly	400310309
fierce	300305748 301511487 301515606 302521586
fiercely	400246861 400247047
fierceness	105044968
fieri facias	106567182
fierily	400341323
fieriness	104635693 105023737
fiery	301252042 301259807 301730449
fiesta	107464462
fiesta flower	112858563
fife	103339437
fife rail	103339612
fifo	100621324
fifteen	113769609 302195432
fifteenth	113870546 302211645
fifth	106872850 113640756 113759970 113869437 302210381
fifth amendment	106741080
fifth avenue	109143606
fifth column	108376680
fifth columnist	110107024
fifth cranial nerve	105486548
fifth crusade	100971962
fifth lateran council	108334270
fifth part	113759970
fifth wheel	103339720 103339857 105127864
fifthly	400341590
fifties	115174602 115174723
fiftieth	113871377 302215814
fifty	113416360 113771784 302198871
fifty dollar bill	113416360
fifty percent	113759137
fifty-cent piece	113411578
fifty-eight	302199631
fifty-fifth	302215939
fifty-fifty	300894463
fifty-five	302199349
fifty-four	302199255
fifty-nine	302199729
fifty-one	302198975
fifty-seven	302199534
fifty-six	302199442
fifty-three	302199158
fifty-two	302199066
fig	107012307 107769089 108049347 112422189
fig leaf	103340406 113176904
fig marigold	111841434
fig moth	102293316
fig out	200043880
fig tree	112421840
fig up	200043880
fig wax	114914124
fig-bird	101578999
fig-shaped	302154448
figeater	102175765
fight	100447478 100955670 101173452 104844656 107199051 201092746 201093838 202412468 202595732
fight back	201093838 201094695
fight down	201093838
fight off	201133623
fighter	103339975 109925991 109958771
fighter aircraft	103339975
fighter pilot	110107203
fighting	101173452 301664870
fighting chair	103340278
fighting cock	101517393
fighting french	108131556
fighting joe hooker	111078431
figment	105921754
figural	301986669
figural blindness	114580907
figuration	100264115 100901625
figurative	301422022 301986669
figuratively	400341730
figure	100558029 103183448 103340545 104683003 105128718 105224424 105939172 107012307 107120141 110364174 113352649 113763162 113885383 200591636 200638921 200713964 201638974 202728082
figure 8	113925916
figure eight	100558221 103340791 113925916
figure loom	103341113
figure of eight	103340791 113925916
figure of merit	113843330
figure of speech	107120141
figure out	200636568
figure skate	103341227 201941253
figure skating	100449733
figured	301793073
figured bass	107046043
figured-fabric loom	103341113
figurehead	103341015 110133352
figurer	109906486
figurine	103341404
figuring	105810193
figwort	112897659
figwort family	112896792
fiji	108797001
fiji dollar	113695283
fiji islands	108796449
fijian	106951400 109725305 303077397
fijis	108796449
filaggrin	114758343
filago	111990570
filago germanica	111990767
filagree	103342767
filament	103341520 105236798 111698574 114892009
filamentlike	302422647
filamentous	302422647
filar	302738849
filaree	112709664
filaria	101936119 112709664
filarial	302739268
filariasis	114391437
filariid	302739419
filariidae	101935983
filature	103341687
filbert	107788764 112309950
filch	202281711
file	103341784 103342085 106520807 108445713 200871595 201003688 201003902 201389676 201924041
file allocation table	108284118
file away	201003688 201387292
file cabinet	103342085
file clerk	110107343
file folder	103342328
file in	201924213
file name	106346543
file name extension	106346173
file out	201924587
file server	103342439
file system	105740559
file transfer protocol	106678115
file-like	300805518
filefish	102656416
filename	106346543
filename extension	106346173
filer	110107343 110107505
filet	103342672 107670946 107675810 201251858 201682852
filet de boeuf en croute	107878587
filet mignon	107676431
filial	301726916 302895579
filial duty	101133545
filial love	107559427
filiate	200701928
filiation	104929964 113835254
filibuster	101069936 110107637 202471919
filibusterer	110107637
filicales	113190572
filicide	100223022 110107870
filicinae	113190117
filicopsida	113190117
filiform	302422647
filigree	103342767 201761715
filing	100813152 100927303 107182605 109302251
filing cabinet	103342085
filing clerk	110107343
filing system	105740559
filipino	106952518 109746782 303077608
filippino lippi	111154329
filippo brunelleschi	110888149
fill	113601926 114892394 200262419 200452793 200453467 201185870 201196254 201206513 202399223 202399325 202655144
fill again	200454758
fill in	200835053 201022740 201699462 202263424
fill out	200046099 200172394 201022740 201197471 201529744 202347576
fill the bill	202673959
fill up	200452793 200453467 201206513 201425939
fill-in	110667676
fillagree	103342767
fille	110149362
fille de chambre	109925746
filled	301088332 301627925 303161743
filler	103342954 103720260 106688999 113698755 114730187
fillet	103343088 104390783 105483214 107670946 107675810 201251858 201682852
fillet of sole	107807250
filling	100403343 103343232 104606292 107899006 113501744 114892394
filling station	103430002
fillip	105837980
fillmore	110990856
filly	102379331
film	103343593 103343766 103344241 106273220 106626039 201004785 201715824
film advance	103344474
film clip	106633830
film company	108019615
film director	110107969
film editing	100947021
film fern	112972595
film festival	100518474
film industry	108084987
film maker	110108159
film making	100926528
film noir	106629672
film over	202162464
film producer	110108159
film projector	103801498
film star	110109253
film writer	110583828
film-make	201716063
filmable	301032082
filmdom	108085293
filmed	301426217
filming	100909617
filmmaker	110108159
filmy	302422186
filmy fern	112972595 112972925
filoviridae	101334300
filovirus	101334508
fils	113691111 113719726
filter	103344588 103344954 201460583 201461293 202074802
filter bed	103345128
filter out	201461293
filter paper	114892615
filter tip	103345251
filter-tipped	302439836
filter-tipped cigarette	103345408
filth	107139048 114519345 114521680 114880903
filthily	400313770
filthiness	104860193 114519345
filthy	300423109 300426832 301591882
filthy lucre	113281544
filtrate	114892715 201461293
filtration	100192829 113501870
filtration surgery	100680622
filum	105236798
fimbria	105480611
fimbriate	302254818
fin	102468763 103345526 103369002 103698002 104391493 113766661 201965517 201965698 202230693
fin de siecle	115293376 301007624
fin keel	103347893
fin whale	102067679
fin-de-siecle	301007624 301554025
finable	301325573
finagle	202533097
finagler	110109384
final	107212936 107481972 300350996 301013868 301583536
final cause	105992102
final cut	106627569
final decision	101191491
final exam	107212936
final examination	107212936
final injunction	106555380
final judgment	101191491
final payment	113320380
final period	115282503
final result	107307418
final solution	101248018
finale	100211646 107053224 115292365
finalisation	100212311
finalise	200482872
finalist	110109548
finality	104761695
finalization	100212311
finalize	200482872
finally	400048441 400048676 400066222
finance	101100603 101136358 106160103 202222048 202222646
finance committee	108343906
finance company	108437796
finance minister	110109661
finances	113377127
financial	302858779
financial aid	113286803
financial analyst	109810306
financial assistance	113286803
financial audit	100579442
financial backing	113386871
financial center	108560644
financial condition	114511901
financial crimes enforcement network	108154251
financial forecast	106763228
financial gain	113275884
financial institution	108071473
financial loss	113348918
financial management service	108157506
financial obligation	114513903
financial officer	110746908
financial organisation	108071473
financial organization	108071473
financial statement	106528586
financial support	113386871
financial year	115227916
financially	400208454
financier	110109789 202422085
financing	101101014
finback	102067679
finback whale	102067679
fincen	108154251
finch	101532313
find	100043933 105816226 200251577 200523831 200717144 200723361 200920843 200974031 201641524 202025505 202133338 202158938 202202295 202217057 202218118 202252785 202253273 202290474
find fault	200844451
find oneself	200251577
find out	200600349 200733559 200920843 200922307
finder	103345668 110110267 110110514
finder's fee	113342744
finding	100152317 101194465 109302364
finding of fact	101194640
finding of law	101194953
findings	107972575
fine	113322350 202504365 300853589 301843987 301913014 302088253 302239996 302422827 400053542 400103013
fine art	102746552
fine arts	106166666
fine print	106691251 106774705
fine spray	111477913
fine structure	111478003
fine-grained	302240614 302241135
fine-leafed	301705774
fine-leaved	301705774
fine-leaved heath	112248904
fine-looking	300220542
fine-textured	302245388
fine-tooth	302448035
fine-tooth comb	100143877 103345980
fine-toothed	302448035
fine-toothed comb	100143877 103345980
fine-tune	200296478 200303544 200474948
fineable	301325573
finedraw	201333829
finely	400103013 400103187 400192349
fineness	104735862 104820315 104955246 105144243
finer	300232532
finery	103345868
fines herbes	107828022
finespun	301844113 301955211
finesse	104849260
fingal's cave	109302633
finger	103346098 105574137 113675079 200926402 201212242 201212517 201317233
finger alphabet	106512756
finger bowl	103346551
finger cymbals	102872589
finger food	107575896
finger grass	112134914 112137534
finger hole	103346652 103346795
finger lakes	108585129
finger millet	112139178
finger paint	103346960
finger plate	103347207
finger scan	106657421
finger scanning	106657421
finger spelling	106888933
finger wave	105266909
finger's breadth	113675079
finger-flower	112903705
finger-paint	201684943
finger-painting	100719318 103347072
finger-pointing	107251894
finger-roll	100111654
finger-root	112903705
finger-spell	200743671
fingerboard	103346242 103935052 106807394
fingerbreadth	113675079
fingered	300949257
fingerflower	112903705
fingering	100141720 101055131
fingerless	300949616
fingerlike	300949488
fingerling	102515383
fingermark	104702328
fingernail	105591915
fingerpaint	103346960
fingerpointing	107251894
fingerpost	106807394
fingerprint	104702328 106657156 106899538 201752556
fingerprint expert	110110633
fingerprint man	110110633
fingerprint specialist	110110633
fingerprinting	100153158
fingerroot	112903705
fingerspell	200743671
fingerspelling	106888933
fingerstall	103347377
fingertip	105574750
finial	103347474
finical	300987815
finicky	300987815
finis	100211646 115292365
finish	100211367 104707990 105725694 107306035 107347762 107367976 108585406 114483408 115292365 200352617 200353212 200485097 201199335 201268553 202615799
finish coat	103347602
finish line	108589006
finish off	200485823
finish out	200486205
finish up	200353212 200485823
finished	300739843 301006451 301008652 301718003 301817915
finisher	102387654 103347807 109642622 109642775 109642904 109949715
finishing	100211367 104707990
finishing coat	103347602
finishing line	108589006
finishing school	108299030
finishing touch	105650523
finite	301010155 301012028
finitely	400226736
finiteness	105216927
finitude	105216927
fink	110110781 200821169 202418069
finland	108797356
finn	109725425
finnan	107805721
finnan haddie	107805721
finnan haddock	107805721
finnbogadottir	110991072
finnic	106969284
finnish	106970995 302971099
finnish capital	108797870
finnish mark	113710552
finnish monetary unit	113710424
finno-ugrian	106969027
finno-ugric	106969027
finno-ugric-speaking	300499375
finocchio	107833847
fiord	109304010
fipple	103348080
fipple flute	103348200
fipple pipe	103348200
fir	111641124 111641363
fir clubmoss	113243988
fir cone	111703574
fir tree	111641124
fire	100989024 103348406 106724098 107317454 107435035 107496515 113502051 114710347 114867017 200321337 200379335 200589392 200589500 201136251 201136664 201138209 201631504 201763170 202006442 202361419 202407967
fire alarm	103348583 107279982
fire and brimstone	114482211
fire ant	102223735
fire beetle	102179399
fire bell	103349151
fire blight	114240484
fire brigade	108138276 108138369
fire bush	111852343 112934953
fire chief	110111118
fire code	106681558
fire company	108138369
fire control	100124472
fire control radar	103349630
fire control system	103349781
fire department	108138092
fire door	103350208
fire drill	100896677
fire engine	103350333
fire escape	103350504
fire extinguisher	103350683
fire fighter	110111420
fire hook	103982284
fire hose	103350850
fire hydrant	103351744
fire insurance	113367352
fire iron	103350981
fire marshal	110111118
fire marshall	110111630
fire opal	114893067
fire pink	111837118
fire pit	109303019
fire salamander	101632603
fire sale	101121333 101121437
fire screen	103351883
fire ship	103352037
fire station	103352184
fire thorn	112671990
fire tongs	103352318
fire tower	103352463
fire tree	112759359
fire trench	103352701
fire truck	103350333
fire up	201202519 201764964
fire walker	110111766
fire walking	107469242
fire warden	110111867
fire watcher	110112068
fire watching	100819168
fire wheel	111991315
fire-bellied toad	101651261
fire-bush	111852343 112934953
fire-eater	110111219 110111333 110111420
fire-on-the-mountain	112941479
fire-raising	100379104
fire-resistant	300476301
fire-resisting	300476301
fire-resistive	300476301
fire-retardant	300476301
fire-swallower	110111219
fire-wheel	111991315
fire-worship	101048091
firearm	103348699
fireball	109302776 109302892 110481995 111504660
firebase	103349051
firebird	101552813 101575130 101600378
fireboat	103349239
firebomb	103571171 201136093
firebox	103349355
firebrand	110228847 115125724
firebrat	102273597
firebreak	108589189
firebrick	103349488
firebug	102247763 109830112
fireclay	114838013
firecracker	103349961
fired	300868071
firedamp	114751177
firedog	102712903
firedrake	109517519
firefighter	110111420
firefly	102170897 102179399
fireguard	103351883 108589189
firehouse	103352184
firelight	111478258
firelighter	114892922
firelock	103368595
fireman	100433527 110111420 110537787 110678481
fireman's ax	103351135
fireman's axe	103351135
fireman's carry	100320434
firenze	108830018
fireplace	103351301
fireplug	103351744
firepower	105211272
fireproof	200166556 300476217
fireroom	104332547
fireside	103512385 108599227
firestone	109303142 114894972
firestorm	107197274 111478361
firethorn	112671990
firetrap	103352577
firewall	100104908 103352826 103352988
firewater	107923277
fireweed	111985687 112363015
firewheel tree	112243417
firewood	115125211
firework	103353300
firing	100124054 100217041 100379287 100989024
firing chamber	103353714
firing line	108432940 108589346
firing mechanism	103474425
firing off	100124054
firing party	108441726
firing pin	103353866
firing range	103353996
firing squad	108441726
firkin	103354142 113644050
firm	108076706 200421387 200421502 300845738 300962433 301063410 301155243 301174620 301997735 302101668 302137652 302299068 302310047 400051355
firm omelet	107858948
firm up	201023880
firmament	108538450
firmamental	302882533
firmer chisel	103354213
firmiana	112218657
firmiana simplex	112218803
firmly	400051355 400092514 400226317
firmness	104785091 104868717 104945287 105039004
firmness of purpose	104868717
firmware	106369221
first	100724798 103354857 106712932 113618687 113868396 115290329 300229886 301012803 301012940 301014459 301019807 302209716 400103286 400104262 400256094 400509461
first aid	100657767
first amendment	106740783
first and last	400159313
first appearance	100238889
first balcony	103763749
first baron beveridge	110870263
first baron kelvin	111120250
first baron lytton	111166484
first baron macaulay	111166904
first baron marks of broughton	111177412
first baron passfield	111397846
first baron rutherford	111296275
first baron rutherford of nelson	111296275
first baron tennyson	111355325
first base	100244529 100724798 103354617
first baseman	110112257
first battle of ypres	101302999
first blush	105926269
first cause	109527735
first class	103354738 104737449 106275925 400341997
first council of constantinople	108330720
first council of lyons	108333276
first council of nicaea	108330522
first cousin	109991540
first cranial nerve	105485598
first crusade	100971191
first degree	105870300
first derivative	106024079
first duke of marlborough	110917346
first duke of wellington	111400918
first earl kitchener of khartoum	111126469
first earl of beaconsfield	110957356
first earl of chatham	111256307
first earl of orford	111392367
first earl wavell	111397310
first epistle of john	106458891
first epistle of paul the apostle to the corinthians	106455068
first epistle of paul the apostle to the thessalonians	106456629
first epistle of paul the apostle to timothy	106457143
first epistle of peter	106458530
first epistle to the corinthians	106455068
first epistle to the thessalonians	106456629
first epistle to timothy	106457143
first estate	108184678
first floor	103468313
first gear	103354857
first half	115282902
first harmonic	105727905
first in first out	100621324
first lady	110112563 110112649
first language	106917524
first lateran council	108332372
first law of motion	105894429
first law of thermodynamics	106114185
first lieutenant	110112747
first light	115193837
first lord of the treasury	110747110
first marquess cornwallis	110931439
first mate	110319708
first moment	106033638
first mortgage	113373479
first name	106348677
first of all	400103286
first of may	115213868
first of october antifascist resistance group	108037882
first off	400103286
first offender	110112936
first period	115282227
first person	106338711
first principles	105881364
first quarter	115232098
first reading	107177923
first sacker	110112257
first sergeant	110113244
first state	109092353
first step	100240097
first stomach	102402076
first strike	100979637
first team	108097529
first trimester	115251768
first vatican council	108334962
first viscount haldane of cloan	111042461
first viscount nuffield	111230373
first visual area	105502269
first water	104737543
first world war	101314011
first-aid kit	103354315
first-aid station	103354445
first-class	302351216
first-class honours degree	106712932
first-class mail	106275925
first-come-first-serve	301995911
first-degree burn	114314675
first-nighter	110113033
first-order correlation	106041596
first-place finish	107369511
first-rate	302349970 400342247
first-rater	110113165
first-string	301858852 301966521
first-year	301015844
firstborn	110112412 301015697
firsthand	301858740 400342127
firstly	400103286
firth	109303286 110991256
firth of clyde	109303479
firth of forth	109303637
fisa	106577388
fisc	113379533
fiscal	302858779
fiscal policy	106669706
fiscal year	115227916
fiscally	400132206
fischer	110991520 110991689 110991844
fischer's slime mushroom	113024825
fish	102514684 107791351 108705814 109773123 201143220 201322006
fish and chips	107883300
fish ball	107657537 107884931
fish bowl	103355050 113958433
fish cake	107657537
fish chowder	107603682
fish doctor	102620449
fish duck	101857056
fish eagle	101618727
fish family	101431990
fish farm	103355882
fish filet	107670946
fish fillet	107670946
fish finger	107657970
fish fly	102269073
fish fry	107592709
fish fuddle	112580023
fish genus	101435158
fish geranium	112708459
fish glue	114727727
fish hawk	101618727
fish house punch	107947973
fish joint	103357078
fish knife	103357212
fish ladder	103357330
fish loaf	107891669
fish louse	102000259
fish lure	103355448
fish meal	114891696
fish mousse	107633056
fish oil	114893186
fish scale	101905751
fish slice	103357807
fish species	108127993
fish steak	107673667
fish stew	107607044
fish stick	107657970
fish tank	102735077
fish-fly	102269073
fish-liver oil	114893186
fish-worship	101048495
fishbone	102470122
fishbowl	103355050 113958433
fisher	102453460 110113427
fisher cat	102453460
fisherman	110113427
fisherman's bend	103355198
fisherman's knot	103355302
fisherman's lure	103355448
fishery	103355726
fisheye	302739548
fisheye lens	104590498
fishgig	104278258
fishhook	103355997
fishily	400439139
fishing	100454959 100455145
fishing boat	103356108
fishing eagle	101618344
fishing expedition	105808846
fishing gear	103356280
fishing licence	106562372
fishing license	106562372
fishing line	103356614
fishing net	103357474
fishing permit	106562372
fishing pole	103356825
fishing rig	103356280
fishing rod	103356825
fishing season	115265685
fishing smack	103356108
fishing tackle	103356280
fishing vessel	103356108
fishing worm	101938036
fishmonger	110113587
fishnet	103357474
fishpaste	107872968
fishplate	103357699
fishpole bamboo	112169661
fishpond	109303819
fishtail	200440154
fishtail bit	103357993
fishtail palm	112607750
fishwife	110113587
fishworm	101938036
fishy	301923975 302739665
fissile	301020236 301020466
fission	113502427 113502611
fission bomb	102756049
fissionable	301020466
fissiparity	104712544 113502783
fissiparous	300732063 302143835
