deviousness	104882751 104926889
digitalis glycoside	115084698
digitalis lutea	112904025
digitalis purpurea	112903705
digitalisation	100711096
digitalise	200564901
digitalization	100711096
digitalize	200081262 200564901
digitally	400123884 400123996
digitaria	112137398
digitaria ischaemum	112137752
digitaria sanguinalis	112137843
digitate	300949488
digitately	400083115
digitigrade	102509779 300754691
digitigrade mammal	102509779
digitisation	105811220
digitise	200564901
digitiser	103202130
digitization	105811220
digitize	200564901
digitizer	103202130
digitoxin	103202350
dignified	300755046 301897055
dignify	200545870 202552573
dignifying	301592833
dignitary	110768288
dignity	104894076 104917861 114455328
digoxin	103202488
digram	106843888
digraph	106843888
digress	200782620 202070232
digression	100311027 100351206 106613037
digressive	300771957 301983424
digs	103200169 103200343
dihybrid	101330406
dihybrid cross	100852503
dihydric alcohol	114860150
dihydrostreptomycin	103202712
dihydroxyphenylalanine	114629137
dijon	108955621
dik-dik	102424438
dika	112738404
dika bread	107789803
dika nut	107789676
dike	103164975 109903399 201590739
dilantin	103208125
dilapidate	200209244 201666329
dilapidated	300682984
dilapidation	113487515 114586133
dilatation	100366821 114087115
dilatation and curettage	100671493
dilate	200306318 200957633
dilater	103202907
dilation	100366821 107152658
dilation and curettage	100671493
dilator	103202907 103203067 105229760
dilatoriness	105069539
dilatory	300984258
dilatory plea	106573452
dilaudid	103558888
dildo	103203184
dilemma	105693891
dilettante	110007234 301880299
dilettanteish	301880299
dilettantish	301880299
diligence	100634572 104680363 104872345
diligent	300757628 301740371
diligently	400313420
dill	107843872 112952302
dill pickle	107841170
dill seed	107844017
dill weed	107843872
dillenia	112383818
dilleniaceae	112383361
dilleniid dicot family	111585836
dilleniid dicot genus	111595876
dilleniidae	112379002
dilly-dallier	110008241
dilly-dally	202648322
dillydallier	110008241
dillydally	202648322
diltiazem	103203321
diluent	114859503
dilutant	114859503
dilute	200226497 200488684 300759612
diluted	300759612
dilution	100363485 114859648
diluvial	302857515
diluvian	302857515
dim	200311895 200313060 200314265 200314386 202166741 300276156 300285441 300442596 300785775 301232434
dim sum	107587112
dim-sighted	302167384
dim-witted	301847305
dimaggio	110955559
dimash	109056411
dime	103203503 113411213
dime bag	103203503
dime novel	106379944
dimenhydrinate	103203635
dimension	105098398 105100843 105857567 106020795 200142885 200924113
dimensional	300663500 302996534
dimensionality	105070162
dimensioning	301689582
dimer	114859739
dimetane	102908747
dimetapp	103203826
dimethyl ketone	114624684
dimethylglyoxime	114859856
dimetrodon	101725311
diminish	200151509 200442836
diminished	300557099 300885822 300886132 301278055
diminished arch	104233234
diminishing	302547823
diminuendo	104998347 302549079
diminution	100352464 107044036 113478551
diminutive	106301026 301395201
diminutiveness	105114228
dimity	103204042
dimly	400213113 400213262 400419049
dimmed	300285441
dimmer	103204172
dimness	104712023 104963084 114008808
dimocarpus	112763992
dimocarpus longan	112764112
dimorphic	302724104
dimorphism	111513043 111513483
dimorphotheca	111981735
dimorphous	302724104
dimout	114007567
dimple	105607629 113919388 114859987 200028869 200510530
dimpled chad	114859987
dimwit	110032859
din	100554860 107392073 200608245 202191956
din land	111135548
dinar	113690596 113690969 113691447 113691695 113691965 113692386 113692773 113693287 113718998
dindymene	109617267
dine	201170114 201170315
dine in	201169871
dine out	201169974
diner	103204331 103205041 110032987
dinero	113406389
dinesen	110955737
dinette	103204459
ding	104700732 107397857 202185620
ding-dong	107398216
dingbat	110033144
dingdong	202185620 400091520
dinge	114522151 200547608 200547689
dinghy	103204585
dingily	400502424
dinginess	114522151
dingle	109287505
dingo	102118293
dingy	300365961 300422169 301915458
dining	100842178
dining area	103204915
dining car	103205041
dining companion	110707322
dining compartment	103205041
dining room	103205385
dining room set	108024219
dining room suite	108024219
dining table	103205892
dining-hall	103205223
dining-room	103205385
dining-room attendant	110033359
dining-room furniture	103205590
dining-room set	108024219
dining-room suite	108024219
dining-room table	103205719
dink	100568317 108005662
dinka	107010982
dinkey	103204836
dinky	103204836 300168782 301395848
dinner	107591291 108270736
dinner bell	103206213
dinner bucket	103206680
dinner dress	103206322
dinner gown	103206322
dinner jacket	103206460
dinner napkin	103206579
dinner pail	103206680
dinner party	108270736
dinner plate	103206807
dinner service	103206930
dinner set	103206930
dinner table	103207038
dinner theater	103207165
dinner theatre	103207165
dinnertime	115191117
dinnerware	103207306
dino paul crocetti	111179688
dinoceras	102374792
dinocerata	102374123
dinocerate	102374698
dinoflagellata	101419682
dinoflagellate	101420002
dinornis	101525593
dinornis giganteus	101525889
dinornithidae	101525430
dinornithiformes	101525235
dinosaur	101702472
dint	100174021
diocesan	110033556 302882753
diocese	108568541
diocletian	110955960
diode	103207444 103207624
diodon	102658324
diodon holocanthus	102658662
diodon hystrix	102658478
diodontidae	102657985
diodora apertura	101952140
dioecian	301547800
dioecious	301547800
dioestrous	302145843
dioestrual	302145843
diogenes	110956271
diol	114860150
diomedea exulans	102061248
diomedea nigripes	102061401
diomedeidae	102060728
dionaea	112803534
dionaea muscipula	112803675
dionysia	100512687
dionysian	302724317
dionysius	110956416
dionysius the elder	110956416
dionysus	109582027
dioon	111623324
diophantus	110956559
diopter	113606121
dioptre	113606121
dior	110956708
diorama	103889769
diorite	114956692
dioscorea	112108324
dioscorea alata	112108844
dioscorea batata	112109012
dioscorea bulbifera	112109285
dioscorea elephantipes	112109426
dioscorea paniculata	112109837
dioscorea trifida	112110013
dioscoreaceae	112108167
diospyros	112791037
diospyros ebenum	112791289
diospyros kaki	112792150
diospyros kurzii	112791652
diospyros lotus	112792650
diospyros virginiana	112792357
diovan	104526314
dioxide	114860297
dioxin	114860478
dip	100435953 100443832 103207773 105119135 107379034 107598174 110451671 113915590 113927512 200287243 200433014 201194845 201315317 201579924 201580815 201580973 201664870 201980234 202041990 202043524 202044954 202166741 202316837
dip circle	103571735
dip into	200627478
dip solder	201598412
dip switch	103209242
diphenhydramine	103207909
diphenylbutyl piperidine	103208325
diphenylhydantoin	103208125
diphtheria	114146992
diphthong	107127072
diphthongise	200746223
diphthongize	200746223
diphylla	102153760
diphylla ecaudata	102153882
dipladenia	111793607
dipladenia boliviensis	111793877
diplazium pycnocarpon	113215816
diplegia	114110690
diplococcus	101383251
diplococcus pneumoniae	101383395
diplodocus	101712818
diploic vein	105372832
diploid	101322584 301151125
diploidy	114594257
diploma	106490253
diplomacy	104849260 104898060 107163281
diplomat	110033672 110034403
diplomate	110034516
diplomatic	300762004 302724451
diplomatic building	103208490
diplomatic corps	108374574
diplomatic immunity	114552814
diplomatic minister	110340353
diplomatic mission	108419650
diplomatic negotiations	107163281
diplomatic pouch	103208643
diplomatic service	108374574
diplomatical	300762004
diplomatically	400204629
diplomatist	110033672
diplopia	114176767
diplopoda	101789043
diplopterygium	113191559
diplopterygium longissimum	113191738
diplotaxis	111905617
diplotaxis erucoides	111905993
diplotaxis muralis	111905761
diplotaxis tenuifolia	111905761
diplotene	113487652
dipnoi	102518545
dipodidae	102354170
dipodomys	102352632
dipodomys ordi	102353009
dipodomys phillipsii	102352757
dipogon	112547451
dipogon lignosus	112547586
dipolar	302965519
dipole	103208818 109289852
dipole antenna	103208818
dipole molecule	109290034
dipole moment	111503754
dipped	301023733
dippel's oil	114807410
dipper	101604335 101852833 103208990 109242765 109363358
dippers	108107513
dipsacaceae	112702815
dipsacus	112703025
dipsacus fullonum	112703429
dipsacus sativus	112703643
dipsacus sylvestris	112703857
dipsomania	109204890
dipsomaniac	109801608
dipsosaurus	101680554
dipsosaurus dorsalis	101680684
dipstick	103209120
diptera	102190717
dipteran	102191351
dipterocarp	112397715
dipterocarpaceae	112397467
dipteron	102191351
dipteronia	112776819
dipterous	302724591
dipterous insect	102191351
dipteryx	111770211
dipteryx odorata	111770389
diptych	103209494
dipus	102354338
dipylon	108803810 303029172
dipylon gate	108803810
dirac	110956886
dirca	112368007
dirca palustris	112368156
dire	300195400 300654473
dire straits	114056963
direct	200711834 200714920 200751211 200751382 200992844 201153025 201153576 201714176 201736802 201935739 201955339 202003830 202444366 300005472 300764460 300767176 300767444 300772799 300773485 300774039 300917922 301419359 301858594 400052386
direct action	101170859
direct antonym	106316706
direct contrast	113877824
direct correlation	106042428
direct current	111467249
direct discourse	107153444
direct dye	115011900
direct electric current	111467249
direct evidence	106747826
direct examination	107209901
direct fire	100992805
direct flight	100302424
direct loan	113420552
direct mail	106276949
direct mailer	108078928
direct marketing	101114662
direct object	106321568
direct primary	100183572
direct quotation	107153444
direct sum	108015346
direct support	100974216
direct supporting fire	100991471
direct tax	113334486
direct tide	107417473
direct transmission	109290133
direct trust	113383520
direct-grant school	108295845
directed	301478184 301687721
directed study	100892248
directed verdict	101195304
directing	300200706
direction	100816981 101135602 105712641 106206950 106663446 106799486 107184131 108697710 113849639
direction finder	103210025
directional	300200706 302724710 302724999
directional antenna	103209639
directional microphone	103209827
directional mike	103209827
directionality	105071022 105073795
directionless	301917033
directive	107184731 300200706
directiveness	105074036
directivity	105073795 105074036
directly	400049277 400052386 400058666 400506737
directness	104878915 104925387
director	109972018 110034684 110034960 110035230 110107969
director of central intelligence	110035352
director of research	110542549
director-stockholder relation	113861486
directorate	108397499
directorate for inter-services intelligence	108360461
directorship	100592973
directory	106435262 106502442
direful	300195400
direfully	400313645
dirge	107064659
dirham	113692103 113692504 113692895 113693632 113693918 113720550
dirigible	102695736 301478303
diriment impediment	105697714
dirk	103210179
dirndl	103210295 103210390
dirt	107238471 114521680 114868863 114878732 301292603
dirt ball	110811668
dirt bike	104474106
dirt cheap	300938143
dirt track	103210481
dirtily	400313770 400313913
dirtiness	104910855 114511588 114521347
dirty	201536935 300306389 300420808 300425889 300428105 300624475 300960933 301248652 301406016 301408416 301591882 301915458 302121576
