pervasively	400423235
pettifoggery	107199395
pettily	400423314
pettiness	104841304 105180732 106215562
petting	100855630
petting zoo	108009968
pettish	301140041
pettishly	400218072
pettishness	104649615
petty	100785737 300289364 301284018 302108248
petty apartheid	108396186
petty bourgeoisie	108199023
petty cash	113443584
petty criticism	106731952
petty juror	110440022
petty jury	108432229
petty larceny	100785737
petty morel	111818450
petty officer	110440554
petty spurge	112939570
petty whin	112550944
petulance	107568195
petulant	301140041
petulantly	400218072
petunia	112930012 112930181
petunia axillaris	112930374
petunia hybrida	112930677
petunia integrifolia	112930519
peul	107009170
pew	103926989
pewee	101552071
pewit	101552071 102027417 102044834
pewit gull	102044834
pewter	114742260
peyer's patch	105438031
peyote	103756403 111869740
peyton rous	111292513
peziza	113051198
peziza coccinea	113051612
peziza domicilina	113051376
pezizaceae	113050917
pezizales	113050706
pezophaps	101814035
pezophaps solitaria	101814183
pfalz	108793272
pfannkuchen	107656989
pfc	115003691
pfennig	113710295
pflp	108055131
pflp-gc	108055500
ph	105046261
ph scale	105046261
ph.d.	106716878
phacelia	112857622
phacelia campanularia	112857812
phacelia minor	112858019
phacelia tanacetifolia	112858226
phacelia whitlavia	112858019
phacochoerus	102399622
phacoemulsification	100680383
phaeochromocytoma	114273714
phaeophyceae	101404810
phaeophyta	101405022
phaethon	102057620 109593243
phaethontidae	102057488
phaeton	104466357
phage	101337503
phagocyte	105458464
phagocytic	302787383
phagocytosis	113557040
phagun	115246270
phaius	112096724
phalacrocoracidae	102056374
phalacrocorax	102056513
phalacrocorax carbo	102056690
phalacrosis	114480489
phalaenopsis	112096882
phalaenopsis amabilis	112097353
phalaenoptilus	101839168
phalaenoptilus nuttallii	101839314
phalangeal	302787495
phalanger	101883812
phalangeridae	101883578
phalangida	101772276
phalangiidae	101772430
phalangist	110096263
phalangitis	114376206
phalangium	101772571
phalangium opilio	101772722
phalanx	105286083 108289381 108289485
phalaris	112150042
phalaris aquatica	112150677
phalaris arundinacea	112150255
phalaris canariensis	112150503
phalaris tuberosa	112150677
phalarope	102040118
phalaropidae	102039932
phalaropus	102040367
phalaropus fulicarius	102040523
phalguna	115246270
phallaceae	113060630
phallales	113060313
phallic	301480698 302850064
phallic phase	115171788
phallic stage	115171788
phalloplasty	100691248
phallus	105534035 113060868
phallus impudicus	113061389
phallus ravenelii	113061556
phalsa	112225621
phanerogam	111572837
phanerogamae	111572110
phaneromania	109205681
phanerozoic	115149100
phanerozoic aeon	115149100
phanerozoic eon	115149100
phantasm	105906160 109570240
phantasma	105906160 109570240
phantasmagoria	105937626
phantasmagoric	301949684
phantasmagorical	301949684
phantasmal	301579318
phantasy	105640291 105904666 106380048
phantasy life	105640772
phantasy world	105640889
phantom	105906160 109570240 301946019
phantom limb	105948808
phantom limb pain	105733082
phantom limb syndrome	114331595
phantom orchid	112081047
pharaoh	110440761
pharaoh ant	102222707
pharaoh of egypt	110440761
pharaoh's ant	102222707
pharaoh's chicken	101620407
pharaonic	302787620
pharisaic	301786645
pharisaical	301786645
pharisee	110440928 110441084
pharma	108019020
pharmaceutic	103927111 303110260
pharmaceutical	103927111 303110260 303110588
pharmaceutical chemist	110441498
pharmaceutical company	108019020
pharmaceutics	106064831
pharmacist	110441215
pharmacogenetics	106088797
pharmacokinetics	106065060
pharmacologic	302923999
pharmacological	302923999
pharmacological medicine	106064423
pharmacologically	400423382
pharmacologist	110441498
pharmacology	106064423
pharmacopeia	106423526
pharmacopoeia	103927331
pharmacy	103254045 106064831
pharomacrus	101847055
pharomacrus mocino	101847387
pharos	102817995
pharsalus	101293204
pharyngeal	107134884 303008607
pharyngeal consonant	107134884
pharyngeal recess	105617639
pharyngeal reflex	100868101
pharyngeal tonsil	105536919
pharyngeal vein	105384441
pharyngitis	114196966
pharynx	105555141
phascogale	101887673
phascolarctos	101885248
phascolarctos cinereus	101885355
phase	104683897 114503649 115315368 115315573 200395287 201652436
phase angle	115315368
phase change	113557219
phase i	100794381
phase i clinical trial	100794381
phase ii	100794615
phase ii clinical trial	100794615
phase iii	100794873
phase iii clinical trial	100794873
phase in	201646259
phase iv	100795190
phase iv clinical trial	100795190
phase modulation	106292501
phase of cell division	113557502
phase of the moon	115231540
phase out	201646362
phase space	100029413
phase transition	113557219
phase-out	101025080
phaseolus	112576535
phaseolus aconitifolius	112597867
phaseolus acutifolius latifolius	112579185
phaseolus angularis	112598191
phaseolus aureus	112598760
phaseolus caracalla	112598400
phaseolus coccineus	112578186
phaseolus limensis	112578735
phaseolus lunatus	112578930
phaseolus multiflorus	112578186
phaseolus vulgaris	112577298
phasianid	101805362
phasianidae	101804950
phasianus	101805536
phasianus colchicus	101806003
phasmatidae	102233959
phasmatodea	102233434
phasmid	102233704
phasmid insect	102233704
phasmida	102233434
phasmidae	102233959
phasmidia	101932592
phatic communication	107148995
phatic speech	107148995
phd	106716878
pheasant	101805719 107663211
pheasant coucal	101827503
pheasant cuckoo	101827503
pheasant under glass	107889174
pheasant's-eye	111745129
phegopteris	113251319
phegopteris connectilis	113251976
phegopteris hexagonoptera	113251741
pheidias	111251933
phellem	114847717
phellodendron	112734424
phellodendron amurense	112734626
phenacetin	102678208
phenacomys	102345186
phenaphen	102677336
phenazopyridine	103927459
phencyclidine	103927621
phencyclidine hydrochloride	103927621
phenelzine	103927871
phenergan	104016724
phenicia	108939466
pheniramine	103928037
pheno-safranine	115026207
phenobarbital	104263262
phenobarbitone	104263262
phenol	114820243 115014112
phenolic	114926778
phenolic plastic	115006020
phenolic resin	114926778
phenolic urea	115006020
phenolphthalein	103928231
phenomenal	301681586 302870797
phenomenally	400423540
phenomenology	106176822
phenomenon	100034512 107438418
phenoplast	114926778
phenothiazine	114795804
phenotype	104941029
phenotypic	302953684
phenotypical	302953684
phenoxymethyl penicillin	103917158
phensuximide	103928534
phentolamine	103928683
phenyl salicylate	115034997
phenylacetamide	102677766
phenylalanine	115006138
phenylamine	114778684
phenylbutazone	103928844
phenylephrine	103928985
phenylethylene	114619723
phenylic acid	114820243
phenylketonuria	114530977
phenylpropanolamine	103929126
phenyltoloxamine	103929351
phenytoin	103208125
pheochromocytoma	114273714
pheresis	100651235
pheromone	114871060
phi	106849325
phi coefficient	106044943
phi correlation	106044943
phial	103929501
phidias	111251933
phil anderson	110837321
philadelphaceae	112811416
philadelphia	109158883
philadelphia fleabane	111987365
philadelphia pepper pot	107602289
philadelphus	112811824
philadelphus coronarius	112812089
philaenus	102260717
philaenus spumarius	102260850
philander	201039782 202597066
philanderer	110808758
philanthropic	300360725 303018207
philanthropic foundation	108423782
philanthropic gift	101091407
philanthropically	400423660
philanthropist	110441701
philanthropy	101091407
philatelic	303018362
philatelical	303018362
philatelically	400423749
philatelist	110442150
philately	101018362
philemon	106457887 111252040 111252219
philharmonic	108265777 301509298 303110716
philharmonic pitch	104992829
philhellene	110442285 303144809
philhellenic	303144809
philhellenism	107516433
philhellenist	110442285
philia	107560035
philibert de l'orme	110949188
philibert delorme	110949188
philip	111252465
philip anderson	110837321
philip augustus	111252979
philip dormer stanhope	110914825
philip ii	111252605 111252827 111252979
philip ii of macedon	111252827
philip ii of spain	111252605
philip marlowe	109624745
philip michael ondaatje	111234916
philip milton roth	111292020
philip of valois	111253373
philip roth	111292020
philip v	111253201
philip vi	111253373
philip warren anderson	110837321
philipp lenard	111145947
philipp melanchthon	111191841
philipp schwarzerd	111191841
philippi	101293333 108935433
philippian	110442504
philippians	106456128
philippic	107248075
philippine	106952518 303077608
philippine cedar	112721117
philippine islands	109002670
philippine mahogany	112721117 112721320
philippine monetary unit	113715068
philippine peso	113715189
philippine sea	101293490
philippines	109002670 109003614
philippopolis	108732628
philippus aureolus paracelsus	111242044
philistia	108817558
philistine	110442616 110442776 301336838 303110849
philistinism	114062792
phillidae	102234582
phillips screw	103929686
phillips screwdriver	103929814
phillipsite	115132244
phillis wheatley	111402925
phillyrea	112330367
philodendron	111811810
philogyny	107516565
philohela	102034109
philohela minor	102034239
philological	303031469
philologist	110442970
philologue	110442970
philology	106180756
philomachus	102032568
philomachus pugnax	102032689
philomath	110443259
philophylla	102200673
philosopher	110443334 110445710
philosopher's stone	114607050
philosopher's wool	115132654
philosophers' stone	114607050
philosophers' wool	115132654
philosophic	300861240 302869320
philosophical	300861240 302869320
philosophical doctrine	106177044
philosophical system	105952149
philosophical theory	106177044
philosophically	400133226 400503820
philosophise	200631688
philosophiser	110445948
philosophize	200631688
philosophizer	110445948
philosophizing	106755467
philosophy	105952149 105953535 106168062
philosophy department	108134200
philter	107899636
philtre	107899636
phimosis	114533185
phineas taylor barnum	110854465
phintias	111253585
phiz	105609112 110886325
phlebectomy	100691385
phlebitis	114376295
phlebodium	113197771
phlebodium aureum	113197946
phlebogram	104533407
phlebothrombosis	114376413
phlebotomise	200085829
phlebotomist	110446127
phlebotomize	200085829
phlebotomus	102206736 114242969
phlebotomus papatasii	102206901
phlebotomy	100699862
phlegm	104643310 105423159 107498922
phlegmasia alba dolens	114126500
phlegmatic	300861527
phlegmatical	300861527
phlegmatically	400423889
phlegmy	301182400
phleum	112150925
phleum pratense	112151066
phloem	113119721
phlogiston	114607408
phlogopite	114714951
phlomis	112882105
phlomis fruticosa	112882301
phlox	112831355
phlox bifida	112831607
phlox family	112829693
phlox stellaria	112831607
phlox subulata	112831787
phnom penh	108734892
phobia	114404821
phobic	301590087
phobic disorder	114404821
phobic neurosis	114404821
phobophobia	114407538
phobos	109413766
phoca	102082358
phoca vitulina	102082503
phocidae	102081822
phocine	302864548
phocoena	102072963
phocoena phocoena	102073276
phocoena sinus	102073428
phocomelia	114490151
phoebe	101552527 109600486 113766661
phoebe bird	101552527
phoebus	109576896
phoebus apollo	109576896
phoenicia	108939466
phoenician	107002133 109661838 302787738
phoenicophorium	112614450
phoenicopteridae	102010076
phoeniculidae	101832824
phoeniculus	101832957
phoenicurus	101563959
phoenix	109080839 109413860 109524068 112614587
phoenix dactylifera	112614755
phoenix tree	112218803
pholadidae	101970318
pholas	101970453
pholidae	102617418
pholidota	102464003 112097563
pholiota	113028530
pholiota astragalina	113028917
pholiota aurea	113029075
pholiota destruens	113029245
pholiota flammans	113029449
pholiota flavida	113029599
pholiota nameko	113029845
pholiota squarrosa	113030189
pholiota squarrosa-adiposa	113030004
pholiota squarrosoides	113030416
pholis	102617787
pholis gunnellus	102617928
pholistoma	112858403
pholistoma auritum	112858563
phon	113736088
phonate	200747173
phonation	107125323
phone	103266479 104408223 107125755 200791110
phone bill	106529654
phone book	106435397
phone booth	104408815
phone call	106283456
phone card	113397685
phone company	108203139
phone cord	104408963
phone jack	104409084
phone line	104409192
phone message	106286940
phone number	106437781
phone plug	104409477
phone service	108203139
phone system	104409881
phone tapper	110710814
phone-in	106632974
phonebook	106435397
phoneme	107126419
phonemic	302869175 400132742
phonemic system	107127900
phonemically	400132742
phonemics	106187166
phoner	109907469
phonetic	302868815 302868982
phonetic alphabet	106512439
phonetic symbol	106852908
phonetic transcription	106361322
phonetically	400132646
phonetician	110446218
phonetics	106186749
phoney	110215212 301121219
phonic	302868982 303111006 303111095
phonics	100890087
phonogram	106834773
phonogramic	302787862
phonograph	104071513
phonograph album	103929923
phonograph needle	103930040
phonograph record	103930191
phonograph recording	103930191
phonograph recording disk	102677931
phonologic	302787967
phonologic system	107128045
phonological	302787967
phonological system	107128045
phonologist	110446394
phonology	106187166
phonophobia	114407632
phony	110215212 301121219
phoradendron	112760355
phoradendron flavescens	112760726
phoradendron serotinum	112760726
phoronid	102316012
phoronida	102315847
phoronidea	102315847
phosgene	115006406
phosphatase	115006542
phosphate	107944818 115006824
phosphate buffer solution	114810520
phosphine	115006688
phosphocreatine	115006980
phospholipid	115007240
phosphoprotein	114759404
phosphor	114673214
phosphor bronze	114741946
phosphoresce	202638116
phosphorescence	111511426
phosphorescent	300273421
phosphoric	303111199
phosphoric acid	115007466
phosphorous	303111199
phosphorous acid	114638772
phosphorus	109382368 114673375
phot	113662345
photalgia	114353293
photic	302849690
photinia	112657191
photinia arbutifolia	112653822
photius	111253924
photo	103931348
photo credit	106777462
photo finish	107368843
photo op	107470370
photo opportunity	107470370
photo-offset	106693176
photo-offset printing	106693176
photoblepharon	101454841
photoblepharon palpebratus	101454986
photocathode	103930529
photocell	103931100
photochemical	302703552
photochemical exchange	111430137
photochemical reaction	113557726
photochemistry	106099985
photocoagulation	100691534
photocoagulator	103930654
photoconduction	111429803
photoconductive	302838298
photoconductive cell	103931100
photoconductivity	111429803
photocopier	103930801
photocopy	103930933 201740180
photoelectric	302838675
photoelectric cell	103931100
photoelectric emission	113557864
photoelectrical	302838675
photoelectrically	400122654
photoelectricity	111511594
photoelectron	109413982
photoemission	111430286
photoemissive	302838456
photoengraving	103483344
photoflash	103363018
photoflood	103370220
photogelatin process	106692471
photogenic	300170082
photogenic epilepsy	114112821
photograph	103931348 201005294 202740528
photograph album	103932299
photographer	110446513
photographer's model	110446867
photographic	300918534 302849477
photographic camera	102946154
photographic density	105096574
photographic emulsion	103289393
photographic equipment	103932386
photographic film	103343766
photographic material	103932650
photographic paper	103932650
photographic plate	103967077
photographic print	103932813
photographically	400122778
photography	100621794 100905257 113557997
photogravure	101105397 103460746 106691912
photojournalism	106277363
photojournalist	110446987
photolithograph	103932995
photolithography	106692940
photomechanical	302788162
photomechanics	105674374 113558379
photometer	103672990 103933114
photometric	302788355
photometrical	302788355
photometrically	400122898
photometrician	110447123
photometrist	110447123
photometry	101005214
photomicrograph	103933329
photomontage	103933439
photomosaic	103793437
photon	109414116
photophobia	114353293 114407756
photopic vision	105665011
photopigment	115113671
photoplate making	113558379
photoretinitis	114578651
photosensitise	202119213
photosensitive	302112007
photosensitivity	105662046
photosensitize	202119213
photosphere	109414279
photostat	103933537 103933777 201740550
photostat machine	103933537
photosynthesis	113558632
photosynthetic	302788493
phototherapy	100707139
phototrophic bacteria	101362586
phototropic bacteria	101362586
phototropism	100864077
photovoltaic	302838547
photovoltaic cell	104265096
phoxinus	101445496
phoxinus phoxinus	101445613
phragmacone	101907606
phragmipedium	112098006
phragmites	112151276
phragmites communis	112151454
phragmocone	101907606
phrasal	302948445
phrasal idiom	107169038
phrasal verb	106341757
phrase	100528098 106327041 107059411 107169038 200963146 200982485
phrase book	106428095
phrase structure	106185823
phraseology	107095931
phrasing	101014550 107095931
phratry	107987168
phreatic	302788738
phrenetic	300087026
phrenic	303008735
phrenic nerve	105576183
phrenic vein	105384595
phrenitis	114365537
phrenological	302788823
phrenologist	110447231
phrenology	106055378
phrontistery	103933890
phrygia	108719224
phrygian	106956140 110447422
phrygian deity	109617111
phrynosoma	101684453
phrynosoma cornutum	101684813
phs	108150837
phthalic acid	115007595
phthalic anhydride	114792944
phthiriidae	102187533
phthirius	102187659
phthirius pubis	102187819
phthirus	102187659
phthisis	114167546
phthorimaea	102296931
phthorimaea operculella	102297059 102297229
phycobilin	101401877
phycocyanin	101402091
phycoerythrin	101402007
phycology	106084057
phycomycetes	112997432
phycomycetes group	112997432
phycomycosis	114205814
phylactery	106869239
phyle	108390896
phyletic	302954295
phyllidae	102234582
phylliform	302156485
phyllitis	113205062
phyllitis scolopendrium	113203954
phyllium	102234738
phyllo	107643677
phylloclad	113150773
phyllocladaceae	111670048
phylloclade	113150773
phyllocladus	111670200
phyllocladus alpinus	111670881
phyllocladus asplenifolius	111670611
phyllocladus trichomanoides	111670758
phyllode	113152511
phyllodial	303145551
phyllodoce	112263185
phyllodoce breweri	112263626
phyllodoce caerulea	112263367
phylloporus	113079556
phylloporus boletinoides	113079723
phylloquinone	115117509
phyllorhynchus	101732174
phylloscopus	101567879
phylloscopus sibilatrix	101567986
phyllostachys	112169479
phyllostachys aurea	112169661
phyllostachys bambusoides	112170038
phyllostachys nigra	112169867
phyllostomatidae	102144716
phyllostomidae	102144716
phyllostomus	102145227
phyllostomus hastatus	102145550
phylloxera	102258350
phylloxera vitifoleae	102258507
phylloxeridae	102258219
phylogenesis	113498226
phylogenetic	302954295
phylogenetic relation	113834508
phylogenetically	400116024
phylogeny	113498226
phylum	108119521 108120601
phylum acanthocephala	101925812
phylum annelida	101936848
phylum arthropoda	101769840
phylum aschelminthes	101932037
phylum brachiopoda	102317961
phylum bryozoa	102316147
phylum chaetognatha	101926278
phylum chordata	101468635
phylum cnidaria	101911752
phylum coelenterata	101911752
phylum cryptophyta	101423653
phylum ctenophora	101920951
phylum cycliophora	102317369
phylum echinodermata	102319044
phylum ectoprocta	102316653
phylum entoprocta	102316973
phylum mollusca	101943129
phylum nematoda	101932037
phylum nemertea	101931001
phylum nemertina	101931001
phylum phoronida	102315847
phylum platyhelminthes	101927231
phylum pogonophora	101931378
phylum porifera	101909193
phylum protozoa	101391829
phylum pyrrophyta	101391633
phylum rotifera	101931688
phylum sipuncula	102318348
physa	101955353
physalia	101915676
physalis	112930901
physalis alkekengi	112931635
physalis ixocarpa	112932200
physalis peruviana	112931839
physalis philadelphica	112932433
physalis pruinosa	112932024
physalis pubescens	112931436
physalis viscosa	112932674
physaria	111913920
physeter	102069753
physeter catodon	102069893
physeteridae	102069603
physiatrics	100701253
physic	104032142
physic nut	112946343
physical	300629845 300630045 300845863 300877400 301578652 301782757 302790581
physical ability	105208927
physical anthropology	106156592
physical attraction	107503095
physical body	105224424
physical change	113557219
physical chemistry	106099035
physical composition	104940721
physical condition	114057659
physical contact	100125700
physical education	105764885
physical entity	100001930
physical exercise	100625978
physical exertion	100625978
physical fitness	114570034
physical geography	106132052
physical object	100002684
physical pendulum	103934030
physical phenomenon	111439518
physical process	100029976
physical property	105016354
physical rehabilitation	100401803
physical restoration	100401803
physical science	106104194
physical therapist	110447528
physical therapy	100701253
physical topology	105739168
physical value	113324067
physicalism	105981452
physicality	104631874
physically	400116161
physicalness	104768026
physician	110040615
