cardiopulmonary resuscitation	100834287
casuarina	112245495
casuarina equisetfolia	112246080
casuarinaceae	112245039
casuarinales	112244826
casuarius	101522042
casuist	109919381
casuistic	303064865 303065062
casuistical	303064865 303065062
casuistry	106169771 106169960
casus belli	107305938
cat	100903174 102124272 102130460 102986962 102989061 103614083 109919605 110172934 200076153 201414524
cat and mouse	100485543
cat and rat	100485543
cat bear	102512446
cat box	102985970
cat burglar	110207845
cat cracker	102985024
cat fancier	109921374
cat flea	102189931
cat food	107822019
cat rig	102989213
cat scan	104149614
cat scanner	103088876
cat scratch disease	114097388
cat shark	101491026
cat squirrel	102359033 102359763
cat suit	103662837
cat thyme	112890808
cat valium	103611785
cat's cradle	100485813
cat's eye	114828056
cat's feet	111942843
cat's foot	111942843
cat's-claw	111785283
cat's-ear	112004613 112467242
cat's-paw	102989283 110229217
cat's-tail	112176290
cat-o'-nine-tails	102989061
cata-cornered	301723743
catabatic	300110593
catabatic wind	111463379
catabiosis	113464882
catabolic	300108795 302693436
catabolise	200239606
catabolism	113464960
catabolize	200239606
catacala	102298369
catachresis	107116700
catachrestic	302693600
catachrestical	302693600
cataclinal	300109245
cataclysm	107329438 111454130
cataclysmal	300589886
cataclysmic	300589886
catacomb	102984483
catacorner	301723743
catadromous	300110193
catafalque	102984657
cataflam	103196651
catalan	106980203 109919736 303065264 303065425
catalase	114761818
catalatic	302693786
catalectic	106359870 300318980
catalepsy	114093688
cataleptic	109919843 303065621
catalexis	107109021
catalina cherry	112667992
catalina island	109089425
catalog	106427849 106499734 200654293 201629881
catalog buying	100083043
cataloged procedure	106595354
cataloger	109919951
catalogue	106427849 106499734 200654293 201629881
cataloguer	109919951
catalonia	109050432
catalpa	112835403
catalpa bignioides	112835617
catalpa speciosa	112835720
catalufa	102574441
catalyse	200268405
catalysis	113465304
catalyst	109920164 114747789
catalytic	303065814
catalytic converter	102984780
catalytic cracker	102985024
catalytically	400077611
catalyze	200268405
catamaran	102985251
catamenia	113534950
catamenial	302890577
catamite	109920326
catamount	102127963 102129704
catamountain	102127733
catananche	111967196
catananche caerulea	111967387
cataphasia	114425282
cataphatic	302693897
cataphatism	105951187
cataphoresis	113493721
cataphoretic	302729581
cataphract	102865388
cataphyll	111706664
cataplasia	107442857
cataplasm	103999761
cataplastic	302694052
catapres	103052397
catapult	102985366 102985687 104247204 201516980 201518198
catapultian	302694156
catapultic	302694156
cataract	109260824 114278052
cataract canyon	109260936
cataract surgery	100679668
catarrh	114363177
catarrhal	302694387
catarrhal fever	114285921
catarrhine	102487104 301411710
catarrhinian	301411710
catasetum	112070265
catasetum macrocarpum	112070483
catastrophe	107329438 111454130 114499874
catastrophic	301165179
catastrophic illness	114089487
catastrophically	400133731
catatonia	114422520 114568647
catatonic	303065956
catatonic schizophrenia	114422520
catatonic type schizophrenia	114422520
catawba	106921381 107775300 109671242
catbird	101590167 101603298
catboat	102985871
catbrier	112491017
catcall	107136726 201062781
catch	100089545 100139776 100459665 102986054 102986245 105172200 107081800 109261049 109920434 113777962 200087740 200461312 200544096 200591299 200601230 200727710 200727971 201084847 201157556 201217985 201330498 201330694 201383031 201403769 201441809 201482779 201483099 201508590 201741988 201810472 202022224 202114099 202122438 202155378 202193614 202193844 202253107 202516571 202767092
catch a glimpse	202134344
catch a wink	200015491
catch cold	200087872
catch crop	113106980
catch fire	202766580
catch it	202506138
catch on	200544367 200591761
catch one's breath	200781405
catch out	200733559
catch phrase	107167171
catch sight	202134344
catch some z's	200014735
catch up	200600148 202002825
catch up with	201157556 202526396
catchall	102986527
catcher	100724492 109920596
catcher's mask	102986644
catchfly	111831942 111835960
catching	100078801 100127706 100151907 301305977
catchment	102986812
catchment area	108536123
catchment basin	108536123
catchpenny	300938007
catchphrase	107167171
catchweed	112686920
catchword	106302383 107166967
catchy	300171978 300750431
catclaw	111785283
catechesis	100889560
catechetic	302993534 302993720
catechetical	302993534
catechetical instruction	100889715
catechin	115091804
catechise	200789021 200789177
catechism	106424414 107208953
catechismal	302993367
catechist	109920790
catechistic	302993720
catechize	200789021 200789177
catecholamine	114832099
catechu	111777659 111777902
catechumen	109920955
categorem	106765124
categorematic	302603205
categoreme	106765124
categorial	302694606
categoric	301920312 302694742
categorical	301920312 302694742
categorical imperative	106668888
categorically	400087676
categorisation	101014654 105740701 107955878
categorise	200658931
categorised	300416342
categorization	101014654 105740701 107955878
categorize	200658931
categorized	300416342
category	105847274 108014145
catena	108393257
catenary	113891246
catenate	201468932
catenulate	201468932 302153444
cater	201183141 201185006
cater-cornered	301723743
catercorner	301723743
caterer	109921095
catering	101106229
caterpillar	102311989 102986962
caterpillar track	104471653
caterpillar tread	104471653
caterpillar-tracked	302462824
caterwaul	107393169 200916587
catfish	102520073 102619481 107796014
catgut	102987196 112593363
catha	111618551
catha edulis	111618738
catharacta	102047313
catharacta skua	102047562
catharanthus	111792623
catharanthus roseus	111792877
cathari	108102074
catharism	106237839
cathars	108102074
catharsis	100254262 100254444
cathartes	101621793
cathartes aura	101621951
cathartic	104032142 300641089 300858056 301169374
cathartid	101621563
cathartidae	101621312
cathay	108740839
cathaya	111649805
cathect	200023373
cathectic	302694935
cathedra	102987359
cathedral	102987516 102987658 302695054
cather	110906889
catherine	110907172 110907345
catherine de medicis	110907542
catherine howard	111082106
catherine i	110907042
catherine ii	110907172
catherine of aragon	110907345
catherine parr	111244036
catherine the great	110907172
catherine wheel	102987783
catheter	102987924
catheterisation	100322388
catheterise	200189053
catheterization	100322388
catheterize	200189053
cathexis	109208509
cathode	102988154 102988392
cathode ray	111448681
cathode-ray oscilloscope	103863348
cathode-ray tube	102988592
cathodic	302637412
catholic	109699321 300287994 302932264
catholic church	108100197
catholic pope	110473089
catholic reaction force	108041161
catholic school	108428326
catholicise	200387237
catholicism	106237394
catholicity	104772946 106237394
catholicize	200387237
catholicon	103886467
catholicos	109921239
cathouse	104588881
cation	109261200
cationic	302941700
cationic detergent	114827865
catjang pea	112531279
catkin	111695249
catkinate	302695219
catling	102988961
catmint	112880746
catnap	100860015 200015491
catnip	112880746
catocala nupta	102298673
catoptric	302695294
catoptrical	302695294
catoptrics	106110787
catoptrophorus	102033363
