climbing bird's nest fern	113197612
clitocybe	113041383
clitocybe clavipes	113041724
clitocybe dealbata	113041926
clitocybe inornata	113042092
clitocybe irina	113042449
clitocybe nuda	113037862
clitocybe robusta	113042303
clitocybe subconnexa	113042627
clitoral	302851213
clitoral vein	105371732
clitoria	112537758
clitoria mariana	112537950
clitoria turnatea	112538147
clitoric	302851213
clitoridectomy	100670398
clitoris	105531071
clitter	202176740
clive	110922686
clive sinclair	111322219
clive staples lewis	111150281
clivers	112686920
cloaca	104186187 105311840
cloak	103049322 103049683 201337217 201619938 202152033
cloak-and-dagger	301710918
cloaked	301699958 301711683
cloakmaker	109949319
cloakroom	103049785 103049913
clobber	113272053 201415566 201420070
clochard	110764201
cloche	103050014 103050118
clock	103050242 200491904
clock dial	103050642
clock face	103050642
clock golf	100574143
clock in	200968362
clock off	200968672
clock on	200968362
clock out	200968672
clock pendulum	103050787
clock radio	103050906
clock time	115154879
clock tower	103051037
clock up	201004663
clock watcher	109949446
clock-watching	105711017
clocking	115158855
clockmaker	109949560
clocks	112709664
clocksmith	109949560
clockwise	300443798 400255849
clockwise rotation	107455973
clockwork	103051156
clockwork universe	106221264
clod	107977630 110294336
cloddish	300442506
clodhopper	102908252
clofibrate	103051338
clog	100531245 103051538 103051675 200182182 200369020 200441962 201303864 201481233 201713790
clog dance	100531245
clog dancer	110010228
clog dancing	100531245
clog up	201481233
clogged	300871756 301625449 302424560
clogging	301768863
cloggy	300504399
cloisonne	103051784 300057806
cloister	103051926 104081060 200496572 201474064 202730001
cloistered	301864995 302589332
cloistral	302589332
clomid	103052079
clomiphene	103052079
clomiphene citrate	103052079
clomipramine	103052307
clomp	201933986
clon	107956482
clonal	302709037
clone	103632216 107956482 110551114 201698879
clonic	302828052
clonidine	103052397
cloning	100639486
clonus	114106543
clop	107395534 202189411
clopidogrel bisulfate	103052583
clopping	107395534
clorox	114839798
close	100211646 106410044 115292365 200352791 200765876 201294544 201347791 201349660 201425939 201481053 201610192 202058306 202058465 202108781 202145254 202380710 202430760 202431242 202616663 202760151 300022256 300310743 300446553 300448955 300453543 300502916 300560964 300893915 301116967 301439442 301450828 301865308 302007394 302240484 302519542 400411619 400507682
close at hand	300450348 300450678
close call	100061834
close corporation	108400421
close down	202431242
close in	201589983 202058627
close off	201480024 202035671 202686341
close order	108444120
close out	200352373 202357534 202635471
close quarters	108640999
close set	300450958
close shave	100061834
close support	100974088
close supporting fire	100990782
close to	400007414
close to the wind	400161487
close together	300450164
close up	201042933 201294544 201479113 202431242 400411953
close-fitting	301450828
close-grained	302240614
close-hauled	300450811
close-knit	300454440
close-minded	300288828
close-order drill	100898224
close-packed	300504558
close-quarter fighting	100961648
close-set	300450958
closed	301657224 301657980 301659588 301662186 301664561 301993431 302009676 302264415 302483852
closed book	105693343
closed chain	109269789
closed circuit	103052868
closed corporation	108400421
closed couplet	106397371
closed curve	113890887
closed fracture	114317619
closed gentian	112314848 112315240
closed in	301662186
closed interval	106025811
closed loop	103053311
closed primary	100183746
closed session	107161824
closed shop	108251997
closed universe	109269977
closed-angle glaucoma	114279018
closed-captioned	303166997
closed-chain	300680123
closed-circuit	302709115
closed-circuit television	103053051
closed-class word	106302098
closed-door	301865406
closed-end fund	108088744
closed-end investment company	108088744
closed-heart surgery	100676600
closed-loop system	103053311
closed-minded	300288828
closed-ring	300680123
closedown	100230127
closefisted	301117247
closelipped	300502916
closely	400161639 400161858 400507682
closely held corporation	108400772
closely knit	300454440
closely-held	300361522
closemouthed	300502916
closeness	104662799 104664764 104840918 105092779 105119774 107545512
closeout	101121211
closer	109949715 109949922 400409712
closest	400409931
closet	103053442 103152990 104557470 104565764 201305377
closet auger	103053590
closet drama	107028514
closet queen	109950086
closeup	103053680
closeup lens	103053767
closing	100211959 100230127 100282306 100344866 106410044 301013622
closing curtain	100211646
closing off	101204519
closing price	113325362
closing time	115193712
clostridia	101359797
clostridial myonecrosis	114337370
clostridium	101359797
clostridium botulinum	101359969
clostridium perfringens	101360148
clostridium perfringens epsilon toxin	114738514
closure	100230127 100282306 101076618 102856708 105797094 106259551 106679574 200528114
closure by compartment	106679772
clot	105409434 200369020 200458725 200458953 200459231
clot buster	104436303
clotbur	111944914
cloth	103314753
cloth cap	103053909
cloth covering	103054011
clothe	200047662 201619938 202391817
clothed	300455759 301699958
clothes	102731365
clothes basket	103054849
clothes closet	103054531
clothes designer	109991687
clothes drier	103054640
clothes dryer	103054640
clothes hamper	103054849
clothes hanger	103061905
clothes moth	102294400
clothes peg	103055234
clothes pin	103055234
clothes tree	103055381
clothesbrush	103054438
clotheshorse	103055026 110010564
clothesless	300461135
clothesline	103055137
clothespin	103055234
clothespress	103054531
clothier	109950230
clothing	103055525
clothing store	103056449
clotho	109588632
clotted	302424560
clotted cream	107863429
clotting	113475652
clotting factor	115047343
clotting time	115322163
cloture	106679574 200528114
cloud	108012591 109270316 111459786 113983643 114006484 114548710 200392535 200511445 200589133 201540747 201773486 202045422 202162161 202776675
cloud bank	109270753
cloud chamber	103056613
cloud cover	114547800
cloud grass	112127708
cloud nine	114011390
cloud over	200362041 202776978
cloud seeder	110595038
cloud up	202776978
cloud-covered	300464004
cloud-cuckoo-land	105635005
cloudberry	112678055
cloudburst	111522520
clouded	300432261 300438259 300464004 302466067
cloudiness	104711046 114007953 114547800
clouding	113470739
clouding up	113470739
cloudless	300462979
cloudlessness	104959155
cloudlike	300464162
cloudy	300435243 300463344 300785533
clout	100135600 103056902 105164657 107276946 201415413
clout nail	103056902
clove	107830463 107834398 112360043 112360348
clove hitch	103057032
clove oil	114917422
clove pink	111828937
clove tree	112360043
clove-scented	301060024
cloven	302490425
cloven foot	102156916 106808514
cloven hoof	102156916 106808514
cloven-footed	302709250
cloven-hoofed	302709250
clover	111773047
clover fern	112978368
clover-leaf roll	107707993
clover-root	112653287
cloverleaf	103057148
cloveroot	112653287
clovis	110922924
clovis culture	108308503
clovis i	110922924
clowder	108011807
clown	109950334 109950623 200105532
clown anemone fish	102609831
clown around	200105532
clowning	100514412 106794240
clownish	301268218
clownlike	301268218
cloy	201196465 202338221
cloying	302377134
cloyingly	400255193
clozapine	103057257
clozaril	103057257
cloze	302709399
cloze procedure	105749084
cloze test	105749084
club	102934801 103057459 103057773 103058296 103451003 108096490 108244135 201322981 201426583 202598267 202598406
club car	103057961
club drug	103058083
club fungus	113006533
club head	103451212
club member	110328061
club moss	113242427
club sandwich	107712584
club soda	107952788
club steak	107676208
club-head	103451212
club-moss	113242427
club-shaped	302153650 302153762
clubable	302265357
clubbable	302265357
clubbing	114326367
clubbish	302265487
clubby	301864680 302265487
clubfoot	114238066
clubfooted	302148624
clubhead	103451212
clubhouse	103058296
clubmoss family	113243375
clubroom	103058476
clubroot fungus	113004414
cluck	107395700 201056721
clucking	107395700
clue	106656526 106815643 201526189
clue in	200929871
clueless	301311691
clumber	102104208
clumber spaniel	102104208
clump	107411545 107976557 107977630 201487029 201933986 202028855 202189411
clumping	107395534
clumsily	400191871
clumsiness	104822855 105011459 105656304
clumsy	301004599 301144412 302237069 302574753
clumsy person	109950725
clunch	114838701
clunk	107411545 202189411
clunking	107395534
clunky	300175317 301144412
clupea	102534451
clupea harangus	102534659
clupea harengus harengus	102534903
clupea harengus pallasii	102535082
clupea sprattus	102535549
clupeid	102532403
clupeid fish	102532403
clupeidae	102532146
clusia	112386417
clusia flava	112386570
clusia insignis	112386703
clusia major	112386830
clusia rosea	112386830
clusiaceae	112384505
cluster	107976557 201487029 202028855
cluster bean	112540911
cluster bomb	103058590
cluster bomblet	102871580
cluster headache	114350948
cluster of differentiation 4	114912680
cluster of differentiation 8	114912871
clustered	300469010 302261292
clustered bellflower	112058875
clustered lady's slipper	112078396
clustered poppy mallow	112196115
clustering	107976557
clutch	100814187 103058886 103059144 103059403 108417409 108417827 114056219 200739661 201215136 201222867
clutch bag	103059403
clutch pedal	103059144
clutches	100814187
clutter	107278413 114524151 200182020
clutter up	200182020
cluttered	302433722
clv	302205145
clx	302205264
clxv	302205377
clxx	302205497
clxxv	302205613
clxxx	302205738
clyde	109270848
clyde tombaugh	111365534
clyde william tombaugh	111365534
clydesdale	102389620
clydesdale terrier	102100619
clypeus	101906272
clyster	100697197
clytemnestra	109618719
clytocybe alba	113042303
cm	113680636 114660398
cmb	111461173
cmbr	111461173
cmv	101342442
cn gas	114628216
cn tower	103059522
cnemidophorus	101688320
cnemidophorus exsanguis	101689044
cnemidophorus sexlineatus	101688685
cnemidophorus tesselatus	101689449
cnemidophorus tigris	101689250
cnemidophorus velox	101688861
cnicus	111975867
cnicus benedictus	111976001
cnidaria	101911752
cnidarian	101912063
cnidoscolus	112945744
cnidoscolus urens	112945939
cnidosporidia	101429425
cnossos	108802433
cnossus	108802433
cnpz	108051986
cns	105488446
cnut	110901134
co	109089754 109976492 114659468 114821811
co-author	201708490
co-beneficiary	109953430
co-defendant	109952869
co-discoverer	109953543
co-ed	109953671 301329367
co-educate	202392934
co-occur	202666520
co-occur with	202666897
co-occurrence	105055452 107299259
co-occurrent	302387064
co-op	101102782
co-operative republic of guyana	108968119
co-opt	202367459 202402408 202406193 202541764
co-optation	100165820 100182040
co-option	100165820 100182040
co-ordinate	106020279
co-ordinated	300062411 301331181 301490011
co-ordinator	109983393
co-pilot	109983732
co-referent	302714741
co-respondent	109985155
co-sign	201000075 202470568
co-star	109987497 201725292 202637618
co-vary	202668725
co-worker	109955673
co2	114821139
coach	102927500 103059655 103901563 109950876 109951098 200835381 201935233
coach dog	102112993
coach horse	102390539
coach house	103059842
coach station	102929672
coach-and-four	103059655
coachbuilder	109951685
coaching	100271644
coaching job	100271644
coachman	109951794
coachwhip	101734405 112402448
coachwhip snake	101734405
coact	202422198
coaction	101207646
coadjutor	109633123
coagulable	302424734
coagulant	114839898
coagulase	114760132
coagulate	200458953 200459231 302424832
coagulated	302268138 302424832
coagulation	113475652
coagulation factor	115047343
coagulator	114839898
coagulum	105409434
coahuila	108760836
coal	109296036 114838786 201602904 202357700 202777955
coal black	104967759
coal car	103060082
coal chute	103060200
coal gas	114709636
coal house	103060273
coal industry	108084296
coal mine	103060353
coal miner	109951966
coal miner's lung	114173692
coal oil	114711794
coal scuttle	104165063
coal seam	108676873
coal shovel	103060478
coal tar	114936050
coal tongs	103352318
coal-black	300389910
coal-burning	301102519
coal-fired	301102519
coal-tar creosote	114849801
coalbin	103059995
coalesce	200395719 201463781
coalesced	302486112
coalescence	100382917
coalescency	100382917
coalescent	302486345
coalescing	302486345
coalface	108676962
coalfield	108677294
coalhole	103059995
coaling station	108656942
coalition	100382917 108310903 114442066
coalman	109951887
coalpit	103060353
coaming	103060568
coapt	201603019 201603112
coarctate	301662293
coarctation	105078354 107328118
coarse	301957020 302238735 302355096
coarse-furred	300214663
coarse-grained	302239100 302239247
coarse-haired	300214663
coarse-textured	302250830
coarsely	400192221
coarsen	200136251 201256032
coarsened	302355324
coarseness	104824511 104955899 104956433 107086878
coast	100329328 105942765 109271059 109451197 201890721
coast banksia	112236341
coast boykinia	112817145
coast lily	112448451
coast live oak	112289923
coast mountains	109271383
coast polypody	113194386
coast range	109271383
coast redwood	111661485
coast rhododendron	112264975
coast white cedar	111655603
coastal	300464942 302709518
coastal diving bird	102043159
coastal plain	109271200
coastal rein orchid	112087322
coaster	103060686 109952074 109952164
coaster brake	103060858
coaster wagon	104550795
coastguard	108209291
coastguardsman	109952246
coastland	109271305
coastline	108630575
coastward	400449404
coastwise	300465195 400287481
coat	101901372 103061006 103062092 200051228 201264885 201266847
coat button	103061526
coat closet	103061621
coat hanger	103061905
coat of arms	103062747
coat of mail	102865388
coat of paint	103062970
coat rack	103063106
coat stand	103055381
coat tree	103055381
coat-of-mail shell	101957725
coatdress	103061709
coated	300457438 301703548
coatee	103061826
coati	102512146
coati-mondi	102512146
coati-mundi	102512146
coating	100713478 103062092 103062624 104707990
coatrack	103063106
coatroom	103049785
coats land	108559017
coattail	103063239
coattails effect	111433107
coauthor	109952350
coax	103063369 200770823
coax cable	103063369
coaxal	300545337
coaxer	110795047
coaxial	300545337
coaxial cable	103063369
coaxing	106708770 301774701
coaxingly	400287580
cob	101861421 102044529 102388793 107788764
cobalamin	115115871
cobalt	114659468
cobalt 60	114659720
cobalt bloom	114698937
cobalt blue	104976975 114695905
cobalt ultramarine	114695905
cobaltite	114696056
cobber	109952478
cobble	103063531 200262731 201270039
cobble together	201629637
cobble up	201629637
cobbler	107641440 107930014 109952556
cobbler's last	103649846
cobblers	105532751 106620758
cobblestone	103063531 201270039
cobbling	100619105
cobia	102576902
cobitidae	101441102
cobnut	107788764 112309950
cobol	106915387
cobra	101750526
cobweb	103063688 103063809 103063937
cobwebby	300422827 302422186
coca	103064077 110923165 112710807
coca cola	107944936
coca plant	112710807
cocain	103064297
cocaine	103064297
cocaine addict	109952693
cocaine addiction	114088466
cocainise	200021672
cocainize	200021672
cocarboxylase	114824308
coccal	302709634
cocci	101353496
coccid insect	102251020
coccidae	102251396
coccidia	101425476
coccidioidomycosis	114170496
coccidiomycosis	114170496
coccidiosis	114476756
coccidium	101425943
coccinellidae	102167899
coccobacillus	101353635
coccoid	302049498
coccoidea	102250799
coccothraustes	101543338
coccothraustes coccothraustes	101543473
cocculus	111734097
cocculus carolinus	111734232
coccus	101353496
coccus hesperidum	102251786
coccygeal	302709747
coccygeal nerve	105577208
coccygeal plexus	105514483
coccygeal vertebra	105597406
coccyx	105281746
coccyzus	101826251
coccyzus erythropthalmus	101826381
cochimi	106935262 109672719
cochin	101793453
cochin china	101793453
cochineal	102252932 115011584
cochineal insect	102252932
cochise	110923322
cochlea	105334172
cochlear	303026168
cochlearia	111904268
cochlearia officinalis	111904414
cochlearius	102013810
cochlearius cochlearius	102013935
cochon de lait	107684843
cochran	110923474
cock	101517309 101794799 103486907 104334820 105534354 201249990 201888861 201920627
cock of the rock	101553721 101553941
cock sucking	100856930
cock up	201987020
cock's eggs	112933034
cock-a-doodle-doo	107395831
cock-a-hoop	301896819
cock-a-leekie	107601215
cock-and-bull story	106770000
cockade	103064602
cockaigne	105635168
cockamamie	301804729
cockamamy	301804729
cockateel	101822375
cockatiel	101822375
cockatoo	101821756
cockatoo parrot	101822375
cockatrice	109517280
cockchafer	102177311
cockcroft	110923670
cockcroft and walton accelerator	103064731
cockcroft and walton voltage multiplier	103064731
cockcroft-walton accelerator	103064731
cockcroft-walton voltage multiplier	103064731
cockcrow	115193837
cocked hat	103065053
cocker	102104970 202576182
cocker spaniel	102104970
cockerel	101795070
cockeyed	300801674 302320130 302581199
cockfight	107481335
cockfighting	100453138
cockhorse	103065214
cockiness	105174939
cockle	101962626 107803589 201281420 202043899
cockle-bur	112053608
cockle-burr	112053608
cocklebur	111945318 112053608
cockleburr	112053608
cockleshell	103065348
cockloft	103065431
cockney	106960779 109724166 303066948 303067063
cockpit	103065508 103065677 103065822
cockroach	102235990
cockscomb	101794896 103065896 109993020 111845820
cocksfoot	112136946
cockspur	111861716 112136946
cockspur hawthorn	112648108
cockspur thorn	112648108
cocksucker	109834593 109952782
cocksure	300340186
cocksureness	105705754
cocktail	107597340 107927917
cocktail dress	103066018
cocktail lounge	103066125
cocktail party	107463208
cocktail sauce	107853086
cocktail shaker	103066248
cocktail table	103067971
cockup	100076438
cocky	300157706
cocky-leeky	107601215
coco	112608564
coco de macao	112613305
coco palm	112608564
coco plum	107774383 112645764
coco plum tree	112645764
cocoa	107771065 107939004
cocoa bean	107770870
cocoa butter	107618605 114888882
cocoa palm	112608564
cocoa plum	107774383 112645764
cocoa powder	107618786
cocoanut	107788911
cocobolo	112544355
coconspirator	109978371
coconspire	200709151
coconut	107788911 107789214 112608564
coconut cake	107646007
coconut cream	107856648
coconut macaroon	107652388
coconut meat	107789214
coconut milk	107789404 107856648
coconut oil	107689906
coconut palm	112608564
coconut tree	112608564
coconut water	107789404
cocoon	102315396 201584782 202096947
cocooning	101204396
cocopa	106935356 109672849
cocopah	106935356 109672849
cocos	112608447
cocos nucifera	112608564
cocoswood	111769742
cocotte	103066339 110505025
cocoyam	107752789 111807312
cocozelle	107732394 112180459
cocteau	110923859
cocus	109598104
cocuswood	111769742
cocytus	109271630
cod	102525030 107805039 113160826 200852181 200856586 300137816 400255418
cod liver oil	114840037
cod oil	114840234
cod-liver oil	114840037
coda	107053224
codariocalyx	112538325
codariocalyx motorius	112538518
coddle	200321211 202576182
coddled egg	107857471
coddler	110415089
code	106365341 106367301 106680062 200996121 201592644
code flag	106888442
code of behavior	105675939
code of conduct	105675939
codefendant	109952869
codeine	103066464
coder	110500853
codetalker	109953071
codex	106419015 106501551
codfish	102525030 107805039
codfish ball	107881551
codfish cake	107881551
codger	109953300
codiaeum	112944199
codiaeum variegatum	112944412
codicil	106556648
codification	101011449 106680062
codified	302294522
codify	200482670
coding	100615776
coding dna	114855162
coding system	106365164
codlin moth	102287831
codling	102525268
codling moth	102287831
codlins-and-cream	112363609
codon	114840571
codpiece	103066654
codswallop	106624351
cody	110924022
coeducate	202392934
coeducation	100885880
coeducational	301329367
coefficient	113607325
coefficient of absorption	113607658
coefficient of concordance	106044544
coefficient of correlation	106041776
coefficient of drag	113608034
coefficient of elasticity	113609166
coefficient of expansion	113609828
coefficient of friction	113608233
coefficient of mutual induction	113608439
coefficient of reflection	113610022
coefficient of self induction	113608728
coefficient of viscosity	113610343
coelacanth	102518344
coelenterata	101911752
coelenterate	101912063
coelenterate family	101910928
coelenterate genus	101911056
coelenteron	101908184
coeliac	303020393
coeliac plexus	105516386
coeloglossum	112072522
coeloglossum bracteatum	112072736
coeloglossum viride	112072916
coelogyne	112073256
coelom	105614556
coelophysis	101715811
coelostat	103066801
coenobite	110538884
coenobitic	302697367
coenobitical	302697367
coenzyme	114824447
coenzyme a	114824709
coenzyme q	115107457
coequal	300894074
coerce	202510211
coercion	100157632 101129566
coercive	301832045
coereba	101541777
coerebidae	101541416
coetaneous	302386759
coeur d'alene	109104219 109673000
coeur d'alene lake	109266006
coeval	109979896 302386759
coevals	108386333
coexist	202610484 202610635
coexistence	113980554
coexistent	302386915
coexisting	302386915
coextension	105141013
coextensive	300483453
cofactor	114824876
coffea	112683415
coffea arabica	112683784
coffea canephora	112684120
coffea liberica	112684015
coffea robusta	112684120
coffee	104979718 107945591 107945759 112683533
coffee bar	102939042
coffee bean	107945591
coffee berry	107945591
coffee blight	114240275
coffee break	107593483
coffee cake	107646121
coffee can	103066988
coffee cappuccino	107936589
coffee cream	107863893
coffee cup	103067076
coffee fern	113232923
coffee filter	103067202
coffee fungus	113037049
coffee grinder	103067488
coffee grounds	109271820
coffee liqueur	107925369
coffee maker	103067341
coffee mill	103067488
coffee mug	103067602
coffee ring	107707169
coffee roll	107708359
coffee rose	111796980
coffee royal	107946180
coffee senna	112521256
coffee shop	102939042
coffee stall	103067837
coffee substitute	107747098
coffee table	103067971
coffee tree	112683533
coffee urn	103068253
coffee-table book	103068121
coffeeberry	113162959
coffeecake	107646121
coffeehouse	102939042
coffeepot	103067692
coffer	103068353 103068446
cofferdam	102940477
coffey still	103068566
coffin	103068762 201502587
coffin nail	103034648
cofounder	109633203
cog	103068939 109953795 201296521 201394114
cog railway	103069067
cogency	104790831 113817005
cogent	301774916
cogent evidence	105833063
cogged	302447953
coggle	201872996 201922796
cogitable	302426889
cogitate	200630153 200705278
cogitation	105792247 105843892
cogitative	302428707 302909685
cognac	107920081
cognate	106299854 110255811 301978911 301980887 301981033
cognate word	106299854
cognation	113835803 113836967
cognisable	301377508
cognisance	105683749
cognisant	300191603
cognise	200596016
cognition	100023451
cognitive	302909836
cognitive content	105817200
cognitive factor	105694286
cognitive neuroscience	106091724
cognitive neuroscientist	109953946
cognitive operation	105709328
cognitive process	105709328
cognitive psychology	106148033
cognitive science	106152312
cognitive scientist	109954105
cognitive semantics	106190264
cognitive state	105677778
cognitively	400515525
cognizable	301377508
cognizance	105683749 105718428 105813165
cognizant	300191603
cognize	200596016
cognomen	106348274 106349063
cognoscente	109975866
cognoscible	301377508
cognovit judgement	101190763
cognovit judgment	101190763
cogwheel	103435461
cohabit	202610484 202657288
cohabitation	101056800
cohan	110924215
cohere	201223449 202759301 202759517
coherence	104828508 114443868
coherency	104828508 114443868
coherent	300053624 300329426 300466504 301932107
coherently	400287686
cohesion	111456699 113470887 114443868
cohesive	300053804 302486522
cohesiveness	104943081 114443868
cohn	110924391
coho	102539495 107812444
coho salmon	102539495 107812444
cohoe	102539495 107812444
cohort	107959756 108268025 108268134
cohosh	111744239
cohune	112613883
