sweet four o'clock	111860715
sympatry	113982749
sympetalous	301780525
symphalangus	102486195
symphalangus syndactylus	102486339
symphilid	101786347
symphonic	301167485 303013548
symphonic music	107058506
symphonic poem	107061431
symphonious	301167485
symphonise	201730929
symphonist	110706013
symphonize	201730929
symphony	107058506 108265777
symphony orchestra	108265777
symphoricarpos	112698188
symphoricarpos alba	112698373
symphoricarpos orbiculatus	112698602
symphyla	101786025
symphysion	105242937
symphysis	113585151 114229857
symphytum	112843410
symphytum officinale	112843715
symplocaceae	112796972
symplocarpus	111813067
symplocarpus foetidus	111813211
symploce	107115608
symplocus	112797151
symplocus paniculata	112797534
symplocus tinctoria	112797318
symposiarch	110733335
symposiast	110706094
symposium	108344546
symptom	106811045 114323139
symptomatic	300358334 302818072
symptomatically	400145154
symptomless	302551669
synaeresis	113585842 113585998
synaesthesia	105728549
synaesthetic	302818949
synagogue	104381822
synagrops	102569832
synagrops bellus	102569965
synanceja	102646343
synanceja verrucosa	102646466
synapse	105481580
synapsid	101722044
synapsid reptile	101722044
synapsida	101721816
synapsis	113585248
synaptic	302945291
synaptomys	102348542
synaptomys borealis	102348822
synaptomys cooperi	102348649
sync	200394859
syncarp	113158449
syncarpous	300114474
syncategorem	106765409
syncategorematic	302603584
syncategoreme	106765409
synchro	104177755
synchrocyclotron	104381994
synchroflash	104382167
synchromesh	104382328
synchronal	302386219
synchroneity	113867436
synchronic	302385754 302386219 302387891
synchronic linguistics	106191164
synchronicity	113867436
synchronisation	100809161 101003039 113867436
synchronise	200394859 200465741 200465909 200737871 200962766 202745129
synchronised	302388023
synchroniser	104383013
synchronising	101003039
synchronism	113867436
synchronization	100809161 101003039 113867436
synchronize	200394859 200465741 200465909 200737871 200962766 202745129
synchronized	302388023
synchronizer	104383013
synchronizing	100809161 101003039 113867436
synchronoscope	104383013
synchronous	302386219 302389133
synchronous converter	104382492
synchronous motor	104382702
synchronous operation	113585704
synchronously	400474799
synchrony	113867436
synchroscope	104383013
synchrotron	104382862
synchytriaceae	112999729
synchytrium	112999889
synchytrium endobioticum	113000076
synclinal	300109944
syncopate	200170308 200317887
syncopated	302028023
syncopation	107071425 107101415 107147437
syncopator	110706190
syncope	107147437 107493458
syncretic	302818301 302818598
syncretical	302818301 302818598
syncretise	200369175 200554693
syncretism	113585418 114445128
syncretistic	302818301 302818598
syncretistical	302818301 302818598
syncretize	200369175 200554693
syncytium	105613517
syndactylism	114495510
syndactyly	114495510
syndetic	302389657
syndic	110706381
syndicalism	108338551
syndicalist	109811257
syndicate	108253359 108263223 108372251 202248540 202453876 202454048
syndication	101117669 101140868
syndicator	110706521
syndrome	105879412 114327487
synecdoche	107123138
synecdochic	301423361
synecdochical	301423361
synechia	114229959
synentognathi	102552164
synercus	102412015
synercus caffer	102412154
syneresis	113585842 113585998
synergetic	300622960
synergism	106201589 113586113
synergist	104383346
synergistic	300622960 300626030 302958225
synergistically	400518214 400518336
synergy	113586113
synesthesia	105728549
synesthetic	302818949
synesthetic metaphor	107122207
synezesis	113586404
synge	111347739
syngnathidae	101458233
syngnathus	101458627
syngnathus hildebrandi	101458778
syngonium	111813501
synizesis	113586404
synod	108339450
synodic month	115232668
synodontidae	102546043
synoecious	301547528
synoicous	301547528
synonym	106314672
synonym finder	106432659
synonymist	110706631
synonymity	113830373
synonymous	302389870
synonymously	400518447
synonymousness	113830373
synonymy	113830373
synopsis	106480622
synoptic	302071941 302819203
synoptic gospels	106467167
synoptical	302071941
synoptics	106467167
synovia	105422543
synovial	302819371
synovial fluid	105422543
synovial joint	105550810
synovial membrane	105614002
synovitis	114379733
synovium	105614002
synsemantic	302603893
synset	108289781
syntactic	302891861
syntactic category	106320373
syntactical	302891861
syntactically	400137077
syntactician	110160884
syntagm	106324447
syntagma	106324447
syntagmatic	302819476
syntax	106185823 106186038 108453213
syntax checker	106592719
syntax error	107315112
syntax language	106914247
synthesis	105782126 105791945 113586582
synthesise	200645728
synthesiser	104383487 110706727
synthesist	110706727
synthesize	200645728 200646092
synthesizer	104383487 110706727
synthetic	114926110 300111940 300112667 300113439 301122172 301576851 301577961
synthetic cubism	108494088
synthetic fiber	114983197
synthetic heroin	103759543
synthetic resin	114926292
synthetic rubber	115031356
synthetic substance	114926110
synthetic thinking	105791945
synthetical	300111940 300113439
synthetically	400474961
synthetism	104383802
syph	114157467
syphilis	114157467
syphilitic	110706923 303133523
syphon	101471554 104231230 201857528
syracuse	101298618 101298787 108827903 109148194
syria	109055808
syrian	109752891 303028032
syrian arab republic	109055808
syrian bean caper	112741882
syrian bear	102135118
syrian desert	109195920
syrian hamster	102345972
syrian monetary unit	113717672
syrian pound	113717779
syringa	112330670 112812089
syringa amurensis japonica	112331741
syringa emodi	112331155
syringa josikaea	112331357
syringa josikea	112331357
syringa persica	112331562
syringa reticulata	112331741
syringa villosa	112331930
syringa vulgaris	112332096
syringe	104383963 201376087
syrinx	102514264 103890094
syrrhaptes	101818977
syrrhaptes paradoxus	101819115
syrup	107875559
syrupy	302346107 302377134 302425824
system	104384144 104775896 105226371 105244557 105669841 105734541 105911466 108452398 115005742
system administrator	110707012
system call	106599393
system clock	104384929 104385111
system command	107290947
system error	106599224
system of logic	105671913
system of macrophages	105469186
system of measurement	113598374
system of numeration	106821932
system of rules	105669841
system of weights	113737860
system of weights and measures	113598747
system program	106592822
systema alimentarium	105336763
systema digestorium	105336763
systema lymphaticum	105403709
systema nervosum	105469891
systema nervosum centrale	105488446
systema nervosum periphericum	105511987
systema respiratorium	105517540
systema skeletale	105593033
systema urogenitale	105517103
systematic	302391502 303030011
systematic desensitisation	100703008
systematic desensitization	100703008
systematically	400121358
systematics	106162291
systematisation	101011132
systematise	200481900
systematiser	110401068
systematism	101033737
systematist	110401068 110713320
systematization	101011132
systematize	200481900
systematizer	110401068
systeme international	113599470
systeme international d'unites	113599470
systemic	301429146
systemic circulation	111459408
systemic lupus erythematosus	114244793
systemise	200481900
systemiser	110401068
systemize	200481900
systemizer	110401068
systems analysis	105790710
systems analyst	110707224
systems program	106592822
systems software	106592822
systole	107416009
systolic	303133664
systolic murmur	114358411
systolic pressure	111450597
syzygium	112359836
syzygium aromaticum	112360043
syzygy	111538763
szechuan	108744138
szechwan	108744138
szechwan province	108744138
szell	111347959
szent-gyorgyi	111348080
szilard	111348284
t	105420990 105421216 106846270 113747698 114854334 115097424
t cell	105459557
t hinge	104406981
t lymphocyte	105459557
t'ai chi	100828450
t'ai chi chuan	100828450
t'ien-ching	108746715
t-bar	104403785
t-bar lift	104403785
t-bill	113415765
t-bone steak	107676747
t-junction	104449036
t-man	110732903
t-network	104449150
t-scope	104389624
t-shaped	302157984
t-shirt	103600807
t-square	104500554
t. e. lawrence	111140824
t. h. white	111404017
t. s. eliot	110977064
t.b.	114166897
ta	114680845
ta'ziyeh	107296340
taal	106965623
tab	103942844 104385210 104386183 106278644 106529933
tab key	104386183
tabanidae	102198055
tabard	104385576
tabasco	107737797 107842067 108763520
tabasco pepper	112922781
tabasco plant	112922781
tabasco sauce	107842067
tabbouleh	107824880
tabby	102125530 102125697 301792057
tabby cat	102125697
tabernacle	104381822 104385738 104385929
tabernacles	115186919
tabernaemontana	111796806
tabernaemontana divaricate	111796980
tabes	114158663
tabes dorsalis	114158301
tabi	104386043
tabis	104386043
tablature	106829193
table	104386330 104387051 107580824 108283156 108497146 109374802 201749344 202648898
table d'hote	106509322 302462089
table game	100500077
table knife	104387433
table lamp	104387620
table lifting	107272061
table linen	104387704
table mat	104387888
table mustard	107835456
table napkin	103813077
table of contents	106501650
table rapping	107271895
table salt	107829083
table saw	104388003
table service	104182441
table talk	107156630
table tapping	107271895
table tennis	100500274
table tilting	107272061
table tipping	107272061
table turning	107272061
table wine	107914720
table-mountain pine	111638082
table-tennis bat	104388811
table-tennis racquet	104388811
table-tennis table	104388674
tableau	105943498 108389642
tableau vivant	108389642
tablecloth	104387230
tablefork	104387342
tableland	109476138
tablemate	110707322
tablespoon	104388160 113792450
tablespoonful	113792450
tablet	103942844 104388270 104388389 114997692
tablet-armed chair	104388537
tabletop	104388947
tableware	104389081
tabloid	106278546 106278644
taboo	104891497 105959101 202514626 301765887 302064165
tabooli	107824880
tabor	104389421
tabor pipe	103951735
tabora	109058327
taboret	104389525
tabour	104389421
tabouret	104389525
tabriz	108932200
tabu	104891497 105959101 301765887 302064165
tabuk	109017383
tabula rasa	105620826 114508230
tabular	300662804 303134301
tabular array	108283156
tabular matter	107016108
tabularise	201749344
tabularize	201749344
tabulate	200142787 201749344
tabulation	100653902 107016108
tabulator	103121418
tabun	115090692
tacamahac	112752595
tacca	112496098
tacca leontopetaloides	112496279
tacca pinnatifida	112496279
taccaceae	112495955
tach	104389967
tacheometer	104390102
tachina fly	102195466
tachinidae	102195325
tachistoscope	104389624
tachogram	107019013
tachograph	104389782
tachometer	104389967
tachycardia	114386432
tachyglossidae	101874735
tachyglossus	101874885
tachygraphy	106361497
tachylite	114905375
tachymeter	104390102
tachypleus	101790798
tacit	300945432
tacit consent	106701870
tacitly	400475152
taciturn	302391948
taciturnity	104659795
taciturnly	400112833
tacitus	111348519
tack	100315221 100352160 104195411 104302219 104390217 108698822 200121486 201331195 201334030 201360132 201660471 201950267
tack hammer	104390388
tack on	201331195
tack together	201660471
tacker	104310495 109862436 110707418
tackiness	104825691 104943081
tacking	100352160 102808296
tackle	100563022 100729199 103356280 104098805 110707566 201152630 201494354 202575545
tackler	110707734
tacky	302402358 302561661
taco	107896726 109742312
taco sauce	107839345
tacoma	109177495
tacoma narrows bridge	104390488
taconic mountains	109476418
taconite	114894816
tact	104849041
tactful	300762714 302392951
tactfully	400475301
tactfulness	104849041
tactic	105913746
tactical	302962337
tactical intelligence	100984433
tactical maneuver	100169058
tactical manoeuvre	100169058
tactical warning	107240517
tactically	400475679
tactician	110707852
tactics	105913746 106259098
tactile	302400251 302880379
tactile agnosia	114079625
tactile property	104953730
tactile sensation	105730374
tactility	105729937
tactless	300064212 302393411
tactlessly	400475469
tactlessness	104853474
tactual	302400251 302880379
tactual exploration	100144705
tactual sensation	105729937 105730374
tactually	400199833
tad	113785325
tadalafil	104390624
tadarida	102151949
tadarida brasiliensis	102152305
tadeus reichstein	111277385
tadeusz andrzej bonawentura kosciuszko	111129718
tadirida femorosacca	102152513
tadjik	109043331
tadorna	101851989
tadpole	102472103
tadpole shrimp	101998934
tadpole-shaped	302158073
tadzhik	106987050 108501820 109043331 109753438
tadzhikistan	109043331
tae kwon do	100828342
taegu	108976234
taekwondo	100828342
tael	113741396
taenia	101930856 104390783
taeniidae	101930306
taffeta	104390926
taffeta weave	103960288
taffrail	104391010
taffrail log	103904484
taffy	107625016
taffy apple	107616267
taft	111348709 111348925
tag	100145844 100488885 104053034 107287841 107288121 201031793 201591414 201603521 201705892 202005890
tag along	202030876
tag end	104053034
tag line	106791616
tag on	201331195
tagalog	106952763 110707987
tagalong	110708167
tagamet	103035538
tagasaste	112535097
tagetes erecta	112041205
tagetes patula	112041410
tageteste	112040857
tagged	301382631
tagger	106589761 110708307 110708471
tagging program	106589761
tagliatelle	107717117
tagore	111349025
taguan	102365221
tagus	109476696
tagus river	109476696
tahini	107874460
tahiti	109012311
tahitian	106951071 109753225 303133889
tahoka daisy	112013672
tai	106947166 109753726 303128319 303128477 303128680
tai chi	100828450
tai chi chuan	100828450
tai dam	106947793
tai long	106948000
tai lue	106948091
tai nuea	106947888
tai yuan	106948194
taichi	100828450
taichichuan	100828450
taichung	108748890
taif	109017490
tail	102160209 104323784 104391103 104391286 105566889 110708600 113941307 115293196 201324456 201558960 202005890
tail assembly	104391103
tail bone	105281746
tail coat	103243757
tail end	105566889 113941307 115293196
tail feather	102471975
tail fin	102469588 104391493 104537257
tail gate	104391844
tail lamp	104391997
tail rotor	104392886
tail-flower	111804389
tail-shaped	300321654
tailback	100728435 110708802
tailboard	104391680
tailcoat	103243757
tailed	300320962
tailed frog	101647541
tailed toad	101647541
tailfin	104391493 104537257
tailflower	111804389
tailgate	104391680 202002157
tailgater	110708925
tailing	100321312
tailless	300321883
tailless tenrec	101897163
taillight	104391997
taillike	300320863
tailor	110709060 200302443 201670222 201670612
tailor's chalk	104392244
tailor's tack	104392359
tailor-made	104392166 300675647
tailor-make	201626526 201670222
tailorbird	101568848
tailored	300675647 301798494
tailoring	100619676
tailpiece	104392518
tailpipe	104392623
tailplane	103541302
tailrace	104392756
tails	103243757
tailspin	100307036 114427446
tailstock	104393138
tailwind	111463505
tailwort	112837268
taimyr peninsula	109044502
taint	114511315 200088465 201540747
tainted	301074386
taipan	101754113
taipeh	108748728
taipei	108748728
taira	102454046
taiwan	108748187 108748383
taiwan dollar	113696150
taiwanese	106943410 109753331 303134068
taiyuan	108746428
taj mahal	104393370
tajik	106987050 108501820 109043331 109753438
tajiki	106987050
tajikistan	109043331
tajikistani	302974949
tajikistani monetary unit	113724501
taka	113730119
takahe	102020379
takakkaw	109476848
takayasu's arteritis	114282459
take	100909831 113281089 200087488 200173351 200524175 200525762 200558481 200601387 200626148 200671680 200676526 200736077 200758121 200760378 201004785 201103241 201153576 201159300 201216829 201429760 201846632 201934453 201986409 202003830 202080104 202081903 202113499 202205920 202210054 202211401 202212900 202213319 202214527 202214718 202240906 202241406 202272834 202399325 202596409 202605633 202634015 202707070 202722977 202747421
take a bow	200900804 200900967
take a breath	200001740
take a breather	200781405
take a chance	202550045
take a crap	200073791
take a dare	200952238 200952369
take a dive	200840764
take a firm stand	200820635
take a hit	201202393
take a hop	201896097
take a joke	200671548
take a leak	200071765
take a look	202136242
take a powder	200428511
take a shit	200073791
take aback	201813031
take account	200593736
take advantage	202284617 202575977
take after	201748331 202672014
take aim	201153576
take apart	200645135 201575341 201661660
take arms	201095876
take away	200173351 200179456 200533195 200572138 201169274 201436911 202210501
take back	200612324 200800738 201856558 202082541 202210669 202463837
take care	202442554 202555278 202597753
take chances	202550045
take charge	202445635
take control	202445635
take down	201022943 201665698 201804404 201977139
take effect	200523362
take exception	200809824
take fire	202766580
take five	200781953
take flight	202079709
take for	200695546
take for granted	200633898
take form	202629987
take heart	201810374
take heed	202175483
take hold	201219234 202445635
take hold of	201441809
take home	202294759
take in	200304881 200414120 200603650 200856586 201159300 201200618 201217350 201472854 201541851 201543626 202155378 202193614 202222955 202294200 202498233 202663091 202771422
take in charge	202545352
take in vain	201164146
take in water	200258833
take into account	200725507
take issue	200806464
take it easy	200026934
take it on the chin	200671446
take kindly to	202725121
take leave	202012411
take lying down	200671284
take note	202123398
take notice	202123258
take off	200050171 200179205 200642914 201329005 201747194 201868424 202018017 202018405 202417080
take office	202388984
take on	200525762 201081873 202241406 202386868 202575545
take one's lumps	200740164
take orders	202391408 202548720
take out	200179456 200617464 200678940 201169274 201353852 201355093 201488139 201858118 201999243 202244043 202316367 202331951 202410046 202492311
take over	202221342 202279144 202279327 202306786 202351720 202386868 202417305 202601659
take pains	202536754
take part	202455121
take place	200340744
take pride	201832935
take root	200416323
take shape	202629987
take sides with	200897044
take someone's side	200897044
take stage	202541026
take stock	202157817 202477918
take ten	200782097
take the air	201886163
take the bull by the horns	201081732
take the cake	201110306
take the count	201127635
