law enforcement	101130458
leg-pulling	100516170
legacy	113284678
legal	300855933 301403566 302508961 302764868 302764969
legal action	101184392
legal age	115177022
legal assistant	110417585
legal blindness	114150390
legal brief	106555772
legal code	106680537
legal community	108129368
legal document	106491336
legal duty	101133836
legal expert	110247655
legal fee	113343014
legal fraud	100779303
legal guardian	110751971
legal holiday	115224427
legal injury	100745429
legal instrument	106491336
legal jointure	113285241
legal opinion	106563775
legal ouster	101196821
legal philosophy	106171434
legal power	105205695
legal principle	105965518
legal proceeding	101187304
legal profession	108129368
legal relation	113860404
legal representation	114024305
legal representative	110272993
legal residence	108576692
legal right	105184812
legal separation	101203919 106553372
legal status	113975819
legal system	105911823
legal tender	113395181
legal transfer	101110658
legalese	107085406
legalisation	101197870
legalise	202487025
legalism	106222037
legality	104816489
legalization	101197870
legalize	202487025
legally	400125495 400253289
legate	110273176
legatee	110273308
legateship	100595375
legation	100595375 108420039
legato	302301995 400389887
legend	106358261 106383036
legendary	301379281 301942336
legendary creature	109510152
leger	111144951 113425421
leger line	106875449
legerdemain	100100771
legerity	105011015
legged	301432358
legging	103660398
leggy	302394419 302394570
leghorn	102862524
legibility	104710452 104826516
legible	301407728
legibly	400364072
leging	103660398
legion	108199880 108200720 108288722 108289169 301556776
legionary	110273400
legionary ant	102223170
legionella	101376865
legionella pneumophilia	101376865
legionnaire	110273400 110273584
legionnaires' disease	114172316
legislate	202472093
legislating	101128014
legislation	101128014 106547213
legislative	302840307 302840450
legislative act	106576378
legislative assembly	108180172
legislative body	108180172
legislative branch	108373302
legislative council	108180601
legislatively	400130101
legislator	110273692
legislatorship	100595489
legislature	108180172
legitimacy	104790511 104817287
legitimate	200576436 200898327 202487025 301404228 301409612 301640266 302509114
legitimately	400364627 400365014
legitimation	101197870 101198074
legitimatise	202487025
legitimatize	202487025
legitimise	202487025
legitimize	202487025
legless	301432882
legless lizard	101693858
leglike	301432549
lego	103660621
lego set	103660621
legs	105040201
legume	107724543 111767937 111768471
legume family	111767245
leguminosae	111767245
leguminous	302765962
leguminous plant	111767937
lehar	111145070
lehigh river	109360437
lei	104613372
leibnitz	111145183
leibnitzian	303045797
leibniz	111145183
leibnizian	303045797
leicester	108899424 108904239
leicestershire	108904239
leichtlin's camas	112470289
leiden	108970850
leiden jar	103660796
leigh	111145536
leigh hunt	111086762
leiomyoma	114272866
leiomyosarcoma	114264570
leiopelma	101647919
leiopelmatidae	101647734
leiophyllum	112259617
leiophyllum buxifolium	112259757
leipoa	101804120
leipoa ocellata	101804120
leipzig	108788949
leishmania	101421139
leishmaniasis	114201559
leishmaniasis americana	114204891
leishmaniosis	114201559
leister	103660915
leisure	101067210 115162628
leisure time	115162628
leisure wear	103661046
leisured	300296101
leisureliness	105069424
leisurely	301275286 400105677
leitmotif	107042284
leitmotiv	107042284
leitneria	111763214
leitneria floridana	111763347
leitneriaceae	111763000
lek	113706737
lekvar	107899131
leland stanford	111332551
lem	103702700
lemaireocereus	111869079
lemaireocereus chichipe	111869336
lemaitre	111145636
lemanderin	112732158
lemma	106356061 106764547 113176246
lemming	102347180
lemmon	111145830
lemmus	102347437
lemmus lemmus	102347570
lemmus trimucronatus	102347730
lemna	111815260
lemna minor	111815518
lemna trisulca	111815685
lemnaceae	111814736
lemniscate	113925772
lemniscus	105483214
lemnos	108808600
lemon	103661164 104973720 105724289 107765558 112732356
lemon balm	107834665 112875360
lemon butter	107865162
lemon cheese	107658635
lemon curd	107658635
lemon drop	107614813
lemon extract	107844251
lemon geranium	112709133
lemon grass	112124901 115126734
lemon grove	103661337
lemon juice	107941469
lemon lily	112477596
lemon meringue pie	107641896
lemon mint	112876470 112879747
lemon oil	107828766
lemon peel	107616746 107754736
lemon rind	107754736
lemon shark	101493311
lemon sole	102662108 102662438 102667029 102667272 107807511 107807639
lemon sumac	112784051
lemon tree	112732356
lemon yellow	104973720
lemon zest	107826721
lemon-scented	301060257
lemon-scented gum	112358775
lemon-wood	112690564
lemon-wood tree	112690564
lemonade	107942490
lemonade mix	107609726
lemongrass	112124901 115126734
lemongrass oil	115126734
lemonlike	302378028
lemonwood	112690564 112690774
lemonwood tree	112682835 112690564
lemony	302378028
lempira	113707070
lemur	102499544
lemur catta	102500304
lemuridae	102500039
lemuroidea	102499207
lena	109360592
lena calhoun horne	111080530
lena horne	111080530
lena river	109360592
lenard	111145947
lend	202329178 202329474 202742266
lend oneself	202713289
lend-lease	101111019
lendable	300185976
lender	110274089
lending	101095590
lending institution	108072470
lending library	103661417
lendl	111146071
length	103661557 105058400 105136466 105136830 105140372
length of service	105058885
lengthen	200317432 200318501
lengthened	301437093
lengthening	101020308
lengthily	400065975
lengthiness	105059047 105140800
lengthways	301447704 400390113
lengthwise	301447704 400390113
lengthy	301442029
lenience	101073137 104645942 104837153
leniency	101073137 104645942 104837153
lenient	300439484 300715296 301767671
leniently	400389158
lenify	201769244
lenin	111146480
leningrad	109030824
leninism	106224905
lenitive	103661700 301344206
lenity	104837153
lennoaceae	112275969
lennon	111146773
lennox robinson	111286107
lens	103661810 103662283 105327912 106271713 112564532
lens cap	103662447
lens capsule	105333748
lens cortex	105328184
lens cover	103662447
lens culinaris	112564745
lens hood	103536988
lens implant	103662565
lens maker	110399699
lens nucleus	105328312
lens of the eye	105327912
lens system	103661810
lense	103661810
lensman	110446513
lent	115266840
lent lily	112447483
lente iletin	105418244
lente insulin	105418244
lenten	303092184
lenten rose	111754962
lententide	115266840
lentia	108865731
lentibulariaceae	112892752
lentic	300260299
lenticel	113174683
lenticular	300539965
lenticular nucleus	105505699
lentiform	300539965
lentiform nucleus	105505699
lentiginose	301793352
lentiginous	301793352
lentigo	105252535
lentil	107741231 112564745 112565044
lentil plant	112564745
lentil soup	107604145
lentinus	113022503
lentinus edodes	113022690
lentinus lepideus	113022969
lentisk	112782809
lentissimo	300986310
lento	300986243 400390398
leo	108704559 109360739 109772126
leo delibes	110948729
leo esaki	110980914
leo i	111147178
leo iii	111147409
leo ix	111147555
leo szilard	111348284
leo the great	111147178
leo the lion	108704559
leo tolstoy	111365373
leo x	111147742
leo xiii	111147986
leon	108761524 109048730 109050737
leon battista alberti	110831312
leon trotsky	111369313
leonard	111148226
leonard bernstein	110868398
leonard bloomfield	110873363
leonard constant lambert	111135121
leonard marx	111180851
leonardesque	303046001
leonardo	111148384
leonardo da vinci	111148384
leonberg	102113781
leoncita	102493738
leone	113707321
leonhard euler	110982603
leonid brezhnev	110883492
leonid fyodorovich myasin	111183849
leonid ilyich brezhnev	110883492
leonidas	111148663
leonide fedorovitch massine	111183849
leonine	302766073
leonotis	112871478
leonotis leonurus	112871666
leonotis nepetaefolia	112871854
leonotis nepetifolia	112871854
leontief	111148824
leontocebus	102493595
leontocebus oedipus	102494105
leontocebus rosalia	102493960
leontodon	112009243
leontodon autumnalis	112009556
leontopodium	112009735
leontopodium alpinum	112009862
leontyne price	111266398
leonurus	112872064
leonurus cardiaca	112872229
leopard	102131037 114789601
leopard cat	102128969
leopard frog	101644032
leopard lily	112436578 112447689 112448917
leopard lizard	101682603
leopard plant	112012635
leopard's-bane	111982340
leopardbane	111982340
leopardess	102131250
leopold antoni stanislaw stokowski	111338962
leopold kronecker	111131075
leopold stokowski	111338962
leopoldville	108752997
leotard	103662837
leotards	104442066
leotia lubrica	113049697
lepadidae	102001574
lepanto	101286058
lepas	102001702
lepas fascicularis	102001840
lepechinia	112872433
lepechinia calycina	112872620
leper	110274282 110274367
leper lily	112473691
lepidium	111910798
lepidium alpina	111914385
lepidium sativum	111910976
lepidobotryaceae	112721938
lepidobotrys	112722426
lepidochelys	101666885
lepidochelys kempii	101667133
lepidochelys olivacea	101667315
lepidocrocite	114958491
lepidocybium	102625038
lepidocybium flavobrunneum	102625177
lepidodendraceae	113242933
lepidodendrales	113242705
lepidolite	114704422
lepidomelane	114704576
lepidophobia	114408648
lepidoptera	102276197
lepidopteran	102276676
lepidopterist	110274458
lepidopterologist	110274458
lepidopterology	106082026
lepidopteron	102276676
lepidopterous insect	102276676
lepidoptery	106082026
lepidosauria	101675408
lepidote	302248991
lepidothamnus	111676831
lepidothamnus fonkii	111677000
lepidothamnus laxifolius	111677222
lepiota	113034294
lepiota americana	113035169
lepiota cepaestipes	113035639
lepiota clypeolaria	113035501
lepiota morgani	113034725
lepiota naucina	113034857
lepiota procera	113034524
lepiota rhacodes	113035025
lepiota rubrotincta	113035341
lepiotaceae	113033373
lepisma	102273125
lepisma saccharina	102273275
lepismatidae	102272978
lepisosteidae	102643693
lepisosteus	102643845
lepisosteus osseus	102644009
lepista irina	113042449
lepomis	102566128
lepomis gibbosus	102566279
lepomis macrochirus	102566423
lepomis punctatus	102566580
leporid	102326554
leporid mammal	102326554
leporidae	102326367
leporide	102330661
leppy	102406572
leprechaun	109564545
lepromatous leprosy	114160156
leprose	302248991
leprosy	114159669
leprosy bacillus	101380445
leprous	302840596
leptarrhena	112819879
leptarrhena pyrolifolia	112820029
leptinotarsa	102172485
leptinotarsa decemlineata	102172626
leptocephalus	102314400
leptodactylid	101645584
leptodactylid frog	101645584
leptodactylidae	101645312
leptodactylus	101646328
leptodactylus pentadactylus	101646537
leptoglossus	102242586
leptomeninges	105489980
leptomeningitis	114372851
lepton	109360919 113697454
leptopteris	112974945
leptopteris superba	112975113
leptoptilus	102005529
leptoptilus crumeniferus	102005858
leptoptilus dubius	102005691
leptorhine	301411565
leptorrhine	301411565
leptorrhinian	301411565
leptorrhinic	301411565
leptospira	101386143
leptospirosis	114296867
leptosporangiate	301412193
leptosporangium	113113861
leptotene	113528539
leptotyphlopidae	101743034
leptotyphlops	101743362
leptotyphlops humilis	101743526
lepus	102328889 109361149
lepus americanus	102330494
lepus arcticus	102330308
lepus californicus	102330087
lepus europaeus	102329514
lepus townsendi	102329827
ler	109532902
leresis	104659040
lermontov	111149007
lerner	111149120
leroi jones	110853607
lerot	102356063
leroy robert paige	111240654
lesbian	109730926 110274662 301205665
lesbianism	100859053
lesbos	108801435
lescol	103377502
lese majesty	100783726
lesion	114234776 114322317
leslie howard	111082280
leslie howard stainer	111082280
leslie richard groves	111037657
leslie townes hope	111079258
lesotho	108978603
lesotho monetary unit	113709629
lespedeza	112563415
lespedeza bicolor	112563691
lespedeza cuneata	112564331
lespedeza sericea	112564331
lespedeza stipulacea	112564144
lespedeza striata	112563960
lesquerella	111911192
less	301559809 301561306 302355910 400100077 400100418
less-traveled	301822517
lessee	110271772
