franco	110998838
frat house	103010901
fratercula	102050489
fratercula arctica	102050629
fratercula corniculata	102050769
fraternal	300292337 300293164 302742435
fraternal twin	110128966
fraternally	400346866
fraternisation	101083791
fraternise	202395069
fraternity	108092224 108246388
fraternity house	103010901
fraternization	101083791
fraternize	202395069
fratricide	100222848 100993049 110129111
frau	106352077
fraud	100755028 100770581 110221154
fraud in fact	100779710
fraud in law	100779902
fraud in the factum	100780072
fraud in the inducement	100780306
fraudulence	100755028 104882547 106773680
fraudulent	301226630
fraudulent scheme	100777440
fraudulently	400346945
fraught	301088588 302467160
fraulein	106352208
fraxinella	112733386
fraxinus	112323866
fraxinus americana	112324632
fraxinus caroliniana	112324803
fraxinus cuspidata	112324937
fraxinus dipetala	112325089
fraxinus excelsior	112325220
fraxinus latifolia	112325416
fraxinus nigra	112325606
fraxinus oregona	112325416
fraxinus ornus	112325810
fraxinus pennsylvanica	112325992
fraxinus pennsylvanica subintegerrima	112326171
fraxinus quadrangulata	112326336
fraxinus texensis	112326503
fraxinus tomentosa	112326606
fraxinus velutina	112326787
fray	101178825 201253472 201371869
frayed	302592601
frazer	110999690
frazzle	114041526 200075461 201371869
freak	109788499 110129212 201787967
freak out	105907037 201787967
freakish	300611168 301601969 301848219
freakishly	400283116
freakishness	104805434
freaky	300611168 300972146
freckle	105252535 200510938 200511197
freckled	301793352
fred astaire	110845956
fred hoyle	111083304
fred sanger	111300643
fred skinner	111324456
fred zinnemann	111427170
freddie mac	108401270
frederic auguste bartholdi	110856151
frederic francois chopin	110916396
frederic goudy	111029111
frederic william goudy	111029111
frederic william maitland	111170461
frederick	109117375
frederick barbarossa	110999883
frederick carleton lewis	111151125
frederick childe hassam	111053988
frederick delius	110949067
frederick douglass	110961507
frederick i	110999883 111000093
frederick ii	111000252 111000444
frederick jackson turner	111372696
frederick james furnivall	111006268
frederick law olmsted	111234503
frederick loewe	111157324
frederick moore vinson	111387030
frederick north	111229780
frederick sanger	111300643
frederick soddy	111327582
frederick the great	111000444
frederick william	111000677
frederick william i	111000889
frederick william ii	111001085
frederick william iii	111001247
frederick william iv	111001405
fredericksburg	101281835 109174835
frederico garcia lorca	111009973
fredericton	108843646
free	107964544 200270568 200904187 201478583 201531310 201761838 202321284 202355171 202426474 202427126 202499696 202570061 300919313 300931219 301062062 301064646 301065188 301069383 301628191 301628296 301714713 400359817
free agency	114024127
free agent	110129431 110129595
free association	105779529
free burning	300599002
free central placentation	111702161
free electron	109308554
free energy	111472635
free enterprise	108381886
free fall	105119135 107377299
free form	106317832
free french	108131556
free grace	104847946
free hand	114017170
free house	103397871
free kick	100138354
free lance	110130190
free list	106503159
free living	104938218
free love	100849912
free lunch	113285421
free morpheme	106317832
free nerve ending	105476892
free of charge	400259685
free pardon	101251862
free people	107964544
free phagocyte	105458841
free port	108655608 108657161
free press	106273855
free radical	114898347
free rein	114017327
free soil party	108276923
free spirit	110129431
free state	109023554 109072545 109116186
free thought	106233684
free throw	100111784
free throw lane	103398370
free time	101067611 115162377
free trade	101094567
free trader	110131127
free verse	106391996
free weight	104578578
free will	105206024
free world	108185636
free zone	108657161
free-and-easy	301048429
free-associate	200716623
free-base	201202706
free-enterprise	300298621
free-flying	301383497
free-for-all	101178921
free-lance	110130190 300867010 301713534
free-liver	110130500
free-living	300732437
free-range	300561756
free-reed	103398053
free-reed instrument	103398178
free-soil	301069630
free-spoken	300768027
free-swimming	300161553
free-tailed bat	102152072
free-thinking	300288141
freebee	113293568
freebie	113293568
freeboard deck	103397762
freebooter	110462744
freeborn	301069550
freedman	110129754
freedom	114015308 114552475
freedom fighter	110229738
freedom from cruel and unusual punishment	105193020
freedom from discrimination	105194034
freedom from double jeopardy	105192374
freedom from involuntary servitude	105193189
freedom from search and seizure	105191729
freedom from self-incrimination	105192078
freedom of assembly	105191350
freedom of religion	105190892
freedom of speech	105191047
freedom of the press	105191200
freedom of the seas	114017499
freedom of thought	105189622
freedom party	108040596
freedom rider	110129862
freedom to bear arms	105191581
freedwoman	110129754
freehand	301691672
freehanded	301115129 301691672
freehearted	301115023
freehold	113264032 113264159
freeholder	110130056
freeing	100096322
freelance	110130190 202582195 300867010 301713534
freelancer	110130190
freeload	202275493
freeloader	110130662
freely	400211960
freemail	106290458
freeman	110130792
freemason	110130913
freemasonry	108252434 113953106
freesia	112437567
freestanding	300162033
freestone	107754081
freestyle	107475608
freetail	102152072
freetailed bat	102152072
freethinker	110020122
freethinking	105975825
freetown	109019502
freeware	106580041
freeway	103311555
freewheel	103398597 201890900 202623391
freewheeler	110129431
freewheeling	302005360 302008336
freewill	302530880
freewoman	110130792
freeze	100810428 101065621 111460617 113505847 200012606 200021990 200077891 200270309 200364146 200374806 200376536 200446666 201838672 202764784
freeze down	200446666
freeze off	200798638
freeze out	200446666
freeze-dried	301076470 301076596
freeze-dry	200212278
freeze-drying	113506140
freezer	103175301
freezing	113505847
freezing mixture	114898715
freezing point	105021151
fregata	102055293
fregatidae	102055165
freight	101108177 102967841 113347220 201491790 201955135
freight agent	110131232
freight car	103398748
freight elevator	103398985
freight liner	103399108
freight rate	113347220
freight train	103399316
freightage	101108177 113347220
freighter	102881464
fremont	111001565
fremontia	112219145
fremontodendron	112219145
french	106977643 109752317 111001746 201301713 302969938
french academy	108297734
french and indian war	101307311
french bean	107744561
french blue	115107850
french bracken	112974244
french bread	107703214
french bulldog	102111567
french canadian	109716159
french capital	108952341
french chalk	115091233
french congo	108751877
french door	103399485
french dressing	107849792
french endive	107747743
french foreign legion	108289007
french foreign office	108131375
french franc	113699893
french fries	107726825
french fritter	107655325
french guinea	108967092
french heel	103399652
french honeysuckle	112555367 112971906
french horn	103399752
french indochina	108749786
french kiss	100139619
french knot	103399931
french lavender	112870928 112871096
french leave	100054225
french lesson	100730935
french loaf	107699829
french marigold	112041410
french oceania	109012067
french omelet	107859093
french pancake	107656747
french pastry	107642568
french people	109752317
french person	109727801
french polish	103400092 104962603
french polish shellac	103400092
french polynesia	109012067
french region	108959335
french republic	108949695
french revolution	101307498
french riviera	108959210
french roof	103400237
french rye	112129388
french sorrel	107752503 112625606
french spinach	111850721
french sudan	108987949
french teacher	110131370
french telephone	103493521
french toast	107884176
french ultramarine	115107850
french ultramarine blue	115107850
french vermouth	107915409
french weed	111919244
french west indies	108765720
french window	103400350
french-fried potatoes	107726825
french-fry	200327111
french-speaking	300499580
frenchify	200411574 200411742
frenchman	109727801
frenchwoman	109727801
frenetic	300087026
frenetically	400106723
frenzied	300087026 302399571
frenziedly	400347080
frenzy	114415281
freon	114898882
frequence	115303267
frequency	113619480 113843782 115303267
frequency band	106271281
frequency distribution	106034929
frequency modulation	106292374
frequency response	105027185
frequency-response characteristic	107013504
frequency-response curve	107013504
frequent	201848373 202471557 300488978 301070231
frequentative	106484712
frequenter	110427471
frequently	400035445
fresco	100938921 103400466 201687166
fresh	300206887 300419717 301071383 301074886 301077395 301359875 301645893 301691809 301912517 302378651 302443615 302565190 400113522
fresh bean	107743554
fresh breeze	111453001
fresh fish	109910752
fresh food	107588277
fresh foods	107588277
fresh gale	111482551
fresh start	114508230
fresh water	115033893
fresh-cut	301071924
freshen	200024642 200024807 200164252
freshen up	200024807 200163249
freshener	103400581
fresher	110131457
freshet	107421737
freshly	400113522 400368286
freshman	110131457 110375148 301015844
freshman class	108256627
freshness	104807845 104923043 104933905 105642900 114074538
freshwater	115033893
freshwater bass	102566901 107793488
freshwater bream	102565813 107793334
freshwater clam	101967082
freshwater cordgrass	112160438
freshwater eel	102529449
freshwater fish	107792521
freshwater limpet	101952614
freshwater mussel	101967082
fresnel	111001957
fresnel lens	103400695
fresno	109085729
fress	201171347
fret	103400910 103401147 104690359 114426964 200275432 200275523 201253472 201573390 201755530 201755833 201771313 201777746 201792983 201797944 202124124 202335105
fretful	300515906 302414962
fretfully	400347981
fretfulness	107568195
fretsaw	103603976
fretted	302013894 302742586
fretwork	103652230
freud	111002123
freudian	110131548 303043247
freudian psychology	106066857
freudian slip	100074912
frey	109603299
freya	109603528
freyja	109603528
freyr	109603299
frg	108784821
fri	115189510
friability	104946919
friable	300712182
friar	110131672
friar preacher	110798013
friar's lantern	111479768
friar's-cowl	111805745
friary	103401416
fricandeau	107681816
fricassee	107607665 200324504
fricative	107133262 301160686
fricative consonant	107133262
frick	111002291
friction	100713284 111479937 114004622
friction clutch	103401490
friction match	103733928
friction tape	103401677
frictional	302742795
frictionless	302743002
friday	115189510
fridge	103278824
fridtjof nansen	111219717
fried	300620041
fried egg	107859612
fried rice	107884316
friedan	111002446
friedcake	107654285
friedman	111002654
friedman test	105751955
friedreich's ataxia	114115007
friedrich anton mesmer	111196922
friedrich august kekule	111118866
friedrich august kekule von stradonitz	111118866
friedrich august von hayek	111055953
friedrich august wolf	111414209
friedrich engels	110979215
friedrich froebel	111003754
friedrich gottlieb klopstock	111128074
friedrich hebbel	111057832
friedrich krupp	111131700
friedrich max muller	111215442
friedrich wilhelm august froebel	111003754
friedrich wilhelm bessel	110869221
friedrich wilhelm nietzsche	111227115
friend	109699104 109783207 109804483 110132360 110697152
friend of the court	109807678
friendless	302538635
friendlessness	104630029
friendliness	104661694 107514854
friendly	108414446 301078338 301081326 301081683 301249700
friendly fire	100993049
friendly islands	109059608
friendly relationship	113954178
friendly takeover	100792608
friendship	113954178
friendship plant	112415980
frier	107661078
fries	107726825
friesian	102410042
friesland	108971158 108971286
frieze	103401833 103401923
frig around	202645690
frigate	103402102 103402248
frigate bird	102055429
frigg	109603695
frigga	109603695
fright	107534492 201783082
frighten	201783082
frighten away	201789567
frighten off	201789567
frightened	300080219 300080947
frightening	101225155 300195400
frighteningly	400347587
frightful	300195081 301130978 301681792
frightfully	400055488
frightfulness	104789730
frigid	301255223 301261336 301469690
frigid zone	108590805
frigidity	104636961 105022301 105220961
frigidly	400347823
frigidness	104636961 105022301 105220961
frigorific	301256094
frijol	112577569
frijole	107743353 112577569
frijoles refritos	107897600
frijolillo	112591208
frijolito	112591208
frill	103381284 103402368 105554630 105554782
frilled	300058955
frilled lizard	101690884
frilly	300058955
frimaire	115201366
fringe	103402598 105266468 107991297 108708530 111480147 113926582 201470380 201754829
fringe benefit	113319034
fringe bush	112322765
fringe cups	112823986
fringe tree	112322588
fringe-toed lizard	101681646
fringed	300059081 300259453 302254910
fringed gecko	101677993
fringed gentian	112316949
fringed grass of parnassus	112822726
fringed loosestrife	112116060
fringed orchid	112085817
fringed orchis	112085817
fringed pink	111830223 112832261
fringed polygala	112726458
fringed poppy mallow	112195698
fringepod	111919692
fringilla	101532897
fringilla coelebs	101533080
fringilla montifringilla	101533216
fringillidae	101531677
fringy	300332787
frippery	102777507
frisbee	103402783
frisch	111002866 111003003 111003168
frisia	108971550
frisian	106967982 109719314 302743141
frisian islands	108971730
frisk	100947876 201320883 201887709
friskily	400348098
friskiness	104657192
frisking	100947876
frisky	302130305
frisson	107535351
fritillaria	112472294
fritillaria affinis	112472761
fritillaria agrestis	112473178
fritillaria biflora	112472985
fritillaria imperialis	112473341
fritillaria lanceolata	112472761
fritillaria liliaceae	112473523
fritillaria meleagris	112473691
fritillaria micrantha	112474044
fritillaria mutica	112472761
fritillaria parviflora	112474044
fritillaria pluriflora	112474219
fritillaria recurva	112474362
fritillary	102280862 112472420
frittata	107884484
fritter	107655464 201198337
fritter away	201198337
fritter batter	107877310
fritz albert lipmann	111153928
fritz haber	111041174
fritz kreisler	111130781
fritz w. meissner	111191399
friuli	106980609
friuli-venezia giulia	108824469
friulian	106980609
frivol	202599051
frivol away	201198337
frivolity	100514412 102777507 104655564
frivolous	302127738
frivolously	400348224
frivolousness	104655564
frizz	114599245 201226397
frizzle	200326448 201226397
frizzly	301034017
frizzy	301034017
frobisher	111003499
frock	103241438 103402989 103403064 200048629
frock coat	103403143
froebel	111003754
froelichia	111846004
frog	101642406 103403297 109728044 201385472
frog kick	100575645
frog legs	107884660
frog orchid	112072916 112086150
frog's lettuce	112637757
frog's-bit	112634169
frog's-bit family	112633674
frogbit	112634169
frogbit family	112633674
frogfish	102551879
froghopper	102260637
frogman	110039277
frogmarch	201453962 202089014
frogmouth	101839713
frolic	100512828 201887709
frolicky	302129430
frolicsome	302129430
frolicsomeness	104657192
from each one	400241635
from head to toe	400253175
from nowhere	400172975
from pillar to post	400511820
from scratch	400161088
from start to finish	400153344
from the heart	400380634
from time to time	400021667
from way back	400161376
fromental halevy	111043879
frond	113175289
front	103403382 105949020 108481612 108591019 108591221 108643655 108660207 110133352 111480887 114538093 201081565 202699161 300199739
front bench	103403962
front burner	113973500
front crawl	100571403
front door	103404155
front end	108591019
front entrance	103404155
front line	108591221
front man	110133352
front matter	106402331
front porch	103404592
front projector	103404676
front room	103685038
front tooth	105313689
front yard	103404767
front-porch campaign	100801470
front-porch campaigning	100801470
front-runner	110133522
front-stall	103009223
frontage	103318278 105131200 113850156
frontage road	103403690
frontal	103318278 103403865 103404494 300132090 300132248 300200349 302906130
frontal bone	105548864
frontal cortex	105501410
frontal eminence	105549142
frontal gyrus	105496402
frontal lobe	105501410
frontal lobotomy	100685381
frontal sinus	105260802
frontal suture	105551711
frontally	400142726
frontbencher	110133131
frontier	106007230 108518135 108522423
frontier settlement	108391580
frontiersman	110132841
frontierswoman	110133018
frontispiece	103404306 103404415
frontlet	103404494
frontmost	300200202
frontstall	103009223
frontward	400074907
frontwards	400074907
frore	301256184
frost	111003927 111460617 113506473 114939773 200196970 201211020 201211169 201519807
frost fish	102625585
frost heave	111482083
frost heaving	111482083
frost mist	111529795
frost over	202764539
frost snow	111529795
frost's bolete	113076552
frost-bound	301082528
frost-weed	112052016 112396286
frostbite	114318180
frostbitten	301082361
frosted	300435686
frosted bat	102148562
frostian	303043400
frostily	400347823
frostiness	104968760 105023062
frosting	107636431
frostweed	112052016 112396286
frostwort	112396286
frosty	301255786 301256326 301261336
froth	109305630 200109197 200512936 200520443
froth at the mouth	201800226
frothily	400348388
frothiness	104740587
frothing	301180331
frothy	300809380 302284054
frottage	100857705
frotteur	110133638
froward	301618926
frown	106890899 200032974
frown line	113929683
frown on	200676156
frown upon	200676156
frowning	301812241
frowningly	400241299
frowsty	301057614
frowsy	302434522
frowzled	302433993
frowzy	302434522
frozen	300348809 300781829 301076274 301081990 301261336 301510624 301569274
frozen custard	107632660
frozen dessert	107626967
frozen food	107588423
frozen foods	107588423
frozen metaphor	107121768
frozen orange juice	107941195
frozen pudding	107632515
frozen yogurt	107631655
frs	108367397
fructidor	115202752
fructification	111570656 113506611
fructify	200055930 200507620 200507753
fructose	114899083
fructosuria	114291090
frugal	302430138
frugality	104900553
frugally	400347253
frugalness	104900553
fruit	104620079 107309308 113155706 201656273 201656437
fruit bar	107653346
fruit bat	102142323
fruit cocktail	107597496
fruit compote	107626655
fruit crush	107940273
fruit custard	107635117
fruit drink	107942206
fruit fly	102198996
fruit grower	110133883
fruit juice	107940273
fruit machine	103404886
fruit of the poisonous tree	106667020
fruit punch	107946302
fruit salad	107823898
fruit sugar	114899083
fruit tree	112672582
fruit-eating	300315363
fruitage	113107513
fruitcake	107646959 109994026
fruiterer	110133766
fruitful	301083985
fruitfully	400215173
fruitfulness	105154628 105632849
fruiting	301492369
fruiting body	113110006
fruition	100062737 105221642 114599394
fruitless	301872762
fruitlessly	400215382
fruitlessness	105155433 105657383
fruitlet	113156451
fruitwood	112673637
fruity	302082059 302405704
frumenty	107720401
frump	110133978
frumpily	400323648
frumpish	300977710
frumpishly	400323648
frumpy	300977710
frunze	109043162
frustrate	201806967 202563998
frustrated	302341968
frustrating	300871066 301769257
frustration	100068810 107533902 107556254
frustrative	301769257
frustum	113940490
fruticose	303033380
fruticulose	303033380
fry	109937051 111004122 111004253 200326129 202490546 202744116
fry bread	107701291
fry cook	110134153
frye	111004414
fryer	107661078
frying	100247807
frying pan	103405146
frypan	103405146
fsb	108441619 108502608
fsh	114772944
ft	113671663
ft-l	113662654
ftc	108368034
fthm	113638589 113682290
fto	108409094
ftp	106678115 202238134
fucaceae	101406770
fucales	101406446
fuchs	111004585
fuchsia	112363997
fuchsia coccinea	112364270
fuchsia excorticata	112364468
fuck	100847651 201429048
fuck all	113762905
fuck off	201433266 202014716 202645690
fuck up	202533317
fucked-up	301673870
fucker	110134245
fuckhead	110059388
fucking	100847651 301524775 400033092
fuckup	100075610 109899210
fucoid	101407006 101407136
fucoid algae	101407006
fucus	101407648
fucus serratus	101407748
fucus vesiculosus	101407891
fuddle	114524151 200623406 201173463 201193274
fuddled	300801674
fuddy-duddy	110134319
fudge	107621083 200811316 202583006
fudge factor	113778097
fudge sauce	107852978
fudge together	201743556
fuego	109197805
fuel	114899228 201766030 202241806 202343382 202361419
fuel cell	103405713
fuel consumption rate	113845499
fuel filter	103405887
fuel gauge	103406044
fuel indicator	103406044
fuel injection	103406194
fuel injection system	103406194
fuel level	113390247
fuel line	103406415
fuel oil	114710746
fuel pod	103980303
fuel system	103406636
fuel-air bomb	104427596
fuel-air explosive	103405304
fueled	301102185
fueling	101061643
fuentes	111004872
fuerzas armadas revolucionarios de colombia	108058935
fug	114545556
fugacious	301760804
fugaciousness	105062654
fugacity	105062654 105063029
fugal	303022634
fugally	400029674
fugard	111004975
fuggy	302519768
fugitive	110134554 110134739 301445988
fugitive from justice	110134554
fugleman	110134928
fugly	300223145
fugo	102785455
fugu	107798180
fugue	107057421 114053773 114417884
fuji	109197913 112667366
fuji cherry	112667366
fuji-san	109197913
fujinoyama	109197913
fujiyama	109197913
fukien	106943410
fukkianese	106943410
fukuoka	108945603
ful	107009170
fula	107009170 109724867
fulah	109724867
fulani	107009170 109724867
fulbe	109724867
fulbright	111005156
fulcrum	103406995
fulfil	201185870 201644397 202677669
fulfill	201185870 201644397 202677669
fulfilled	300554309
fulfillment	100063271 107547500
fulfilment	100063271 107547500
fulgent	300281710
fulgid	300280484
fulgoridae	102262496
fulgurant	301286879
fulgurating	300807321
fulgurous	301286879
fulica	102020532
fulica americana	102020861
fulica atra	102021022
full	115232352 200434478 200434621 201401959 300106819 300107089 300517305 300524974 301086845 301214203 301459489 302308182 400010928
full admiral	109790627
full blood	104931180
full complement	108235133
full cousin	109991540
full dress	103243757
full employment	114513107
full faith and credit	106699318
full gainer	100444902
full general	110143381
full house	107974713
full metal jacket	103407284
full moon	115232352
full moon maple	112776487
full nelson	100815232
full page	106267827
full phase of the moon	115232352
full point	106856570
full professor	110135405
full radiator	109245313
full service bank	108435377
full skirt	103407426
full stop	106856570
full term	115251247
full treatment	114485263
full-blood	301909992
full-blooded	301175290 301909992
full-blown	300525157 301492448
full-bodied	302405819
full-bosomed	302146404
full-clad	300524769
full-dress	300525318 301046603 301046908
full-dress uniform	103407103
full-face	300205087
full-fashioned	302147067
full-fledged	300939061 301100001
full-grown	301491979
full-length	300005106 300517547
full-of-the-moon	115232352
full-page	300517678
full-scale	300523754
full-size	301391589
full-strength	300760641
full-term	301498529
full-time	301092828 400254098
full-wave rectifier	103407536
fullback	100728118 110135087 201078643
fuller	110135260 111005436 111005649
fuller's earth	114899858
fuller's teasel	112703643
fullerene	114646319
fullness	104996251 105113324 114475377 114485103
fully	400010928 400180395 400507076
fully fashioned	302147067
fully fledged	300939061 301100001
fully grown	301491979
fulmar	102062786
fulmar petrel	102062786
fulmarus	102062669
fulmarus glacialis	102062786
fulminant	301147587
fulminate	114822879 200307842 200426334 200843446
fulminate of mercury	114822985
fulminating mercury	114822985
fulmination	100378715 107247964
fulminic acid	114635982
fulsome	302189062
fulsomely	400487963
fulsomeness	104875718 106709053
fulton	111005834
fulvic acid	114900029
fulvicin	103465606
fumaria	111929822
fumaria claviculata	111924743
fumaria fungosa	111930333
fumaria officinalis	111929996
fumaria sempervirens	111924946
fumariaceae	111929517
fumaric acid	114900217
fumble	100076732 201077720 201213583 201317398 202055471 202533317
fumbler	109899210
fumbling	302237069
fume	111528510 200068398 201799344 202131565 202773880
fumed	301961339
fumed oak	112289616
fumeroot	111925212 111929996
fumes	114861534
fumewort	111925212 111929996
fumigant	114900357
fumigate	202131565
fumigation	100714231
fumigator	103407700 110135497
fumimaro konoe	111128757
