pekan	102453460
peperomia argyreia	113171859
peperomia sandersii	113171859
pepin	111249085
pepin iii	111249085
pepin the short	111249085
peplos	103920049
peplum	103920049 103920225
peplus	103920049
pepper	107736187 107831564 112921222 113170289 201123738 202200527
pepper box	103920557
pepper bush	112270697
pepper family	113169574
pepper grass	111910976
pepper grinder	103920456
pepper mill	103920456
pepper pot	103920557 107602289
pepper root	111902895
pepper sauce	107855288
pepper shaker	103920557
pepper shrub	111760883
pepper spray	103920702
pepper steak	107893825 107893937
pepper tree	112738834 112785875
pepper vine	113170079
pepper-and-salt	103920350
peppercorn	107831564
peppercorn rent	113317112
peppered steak	107893937
pepperidge	112361272
pepperiness	105000490
peppermint	107622147 112356609 112876851
peppermint candy	107622147
peppermint gum	112356609
peppermint oil	107828473
peppermint patty	107615125
pepperoni	107693225
pepperoni pizza	107890135
pepperwood	111728296
pepperwort	111910976 112978368
peppery	302406081
peppiness	104642190
peppy	300808879
pepsi	107945030
pepsi cola	107945030
pepsin	115003288
pepsinogen	115003446
peptic	302919838
peptic ulcer	114235884
peptic ulceration	114235884
peptidase	115023673
peptide	114767225
peptide bond	111458374
peptide linkage	111458374
peptisation	113555301
peptise	200331719
peptization	113555301
peptize	200331719
pepto-bismal	114801927
peptone	114714608
pepys	111249313
per annum	400252039
per capita	300484441 400503489
per capita income	113283099
per centum	113839738
per diem	113314775 400252267
per se	400037166
per year	400252039
peradventure	105707565 400301501
perak	108986176
perambulate	201914958 202170198
perambulating	301528087
perambulation	100284945 100293230
perambulator	102769539
peramelidae	101878821
perboric acid	115003611
perca	102559664
perca flavescens	102559813
perca fluviatilis	102559949
percale	103920950
perceivable	300535672 301752333
perceive	200592914 202110960
perceived	301613997 301614125
perceiver	109649777
percent	113839738
percent sign	106841249
percentage	113306199 113839738
percentage point	106825147
percentage sign	106841249
percentile	105745697
percept	105938922
perceptibility	105024414
perceptible	301290284 301751027
perceptibly	400367464
perception	100878552 105716379 105717967 105844792 105938922
perceptive	301748360 302879608
perceptively	400421705
perceptiveness	104851106 105718157 105757616 107528486
perceptivity	107528486
perceptual	302956714
perceptual constancy	105716765
perceptual experience	105938922
perceptually	400421786
perch	102558494 102559477 103921038 107796149 108644333 113635960 113672539 201546513 201614144 201982714
perchance	400301501 400421914
percher	101526297 109650205
percheron	102389745
perching bird	101526297
perchlorate	114708768
perchloric acid	114708851
perchloride	115042033
perchloromethane	114822209
percidae	102559254
perciformes	102555827
percina	102560710
percina tanasi	102560837
percipient	109649777 300775175
percival lowell	111162604
percoid	102557361
percoid fish	102557361
percoidea	102557143
percoidean	102557361
percolate	115022455 200023466 201460583 201460857 201461093 202064365 202075555
percolation	100192998 100249119 113555477
percolator	103921237
percomorphi	102555827
percophidae	102622663
percuss	201250587
percussion	100378621 100546096 100877917 108234478
percussion cap	103921439
percussion instrument	103921556
percussion section	108234478
percussionist	110434782
percussive	303016209
percussive instrument	103921556
percussor	103973083
percutaneous	302955664
percy	111249489 111249652
percy aldridge grainger	111030693
percy bysshe shelley	111316904
percy grainger	111030693
perdicidae	101809906
perdicinae	101809906
perdition	105637465
perdix	101810342
perdix perdix	101810469
perdurability	105061897
perdurable	301758551
pere david's deer	102438148
pere jacques marquette	111178146
peregrinate	202085253
peregrination	100297304
peregrine	101614113 302135465
peregrine falcon	101614113
perejil	109412892
peremptorily	400367080
peremptory	300688642 300716670 300791150
perennate	202624957
perennation	113555811
perennial	111573691 300595517 300681740 301444620
perennial pea	112560506
perennial ragweed	111940602
perennial ryegrass	112145335
perennial salt marsh aster	111956917
perennially	400229434
pereskia	111872724
pereskia aculeata	111873000
perestroika	106671290
perfect	113828352 200474503 300918435 301524174 301753804
perfect game	100475892
perfect gas	114940663
perfect participle	106342147
perfect pitch	105665951
perfect tense	113828352
perfecta	100508036
perfected	302156332
perfecter	110435184
perfectibility	105631227
perfectible	301756191
perfection	100261337 105933151 114482870
perfectionism	104645079
perfectionist	110434975
perfective	113827101 113828352
perfective aspect	113827101
perfective tense	113828352
perfectly	400009459 400010112
perfervid	301730449
perfidious	300963283
perfidiously	400422032
perfidiousness	104887159
perfidy	100751065 104887159
perfluorocarbon	115003691
perfoliate	302177968
perfoliate leaf	113180456
perforate	201230239 201445398 300665326
perforated	300665160 300665326
perforated eardrum	105331936
perforating vein	105383884
perforation	100946449 103922019 109412760
perforce	400261520
perform	201716563 201718067 202379855 202567910
performance	100047847 100098324 100551808 106904543 113546752
performance bond	113359975
performance capability	105211411
performer	110435383
performing	100549363
performing artist	110435383
performing arts	106167042
perfume	103922150 105722413 200043211 202130847
perfumed	301056310 301056587
perfumer	110436015
perfumery	100939210 103922408 103922504 103922589
perfunctorily	400261760
perfunctory	300313032 301047301
perfuse	200455206 200455430
perfusion	100325059
pergamum	109064926
pergola	102735832
perhaps	400301501
peri	109570034 110436109
periactin	103162248
perianal	302867673
perianth	111712734
periapsis	108635954
periarterial plexus	105515628
periarteritis	114282264
periarteritis nodosa	114103834
pericallis	112022034
pericallis cruenta	112022176
pericallis hybrida	112022393
pericardiac	302867743
pericardial	302867743
pericardial cavity	105436551
pericardial sac	105612609
pericardial space	105436551
pericardial vein	105384064
pericarditis	114363087
pericardium	105436050
pericarp	111704733
pericementoclasia	114104507
periclase	114714768
pericles	111249791
peridinian	101420755
peridiniidae	101420448
peridinium	101420623
peridium	111553816
peridot	115004520
peridotite	114957081
perigee	108636244
perigon	113915367
perigonal	302786520
perigone	111712734
perigonium	111712734
perihelion	108636406
perijove	108636581
peril	100803899 114565454 114567154 201038191 202702962
perilla	112881602
perilla frutescens crispa	112881738
perilous	302067900
perilously	400090716
perilousness	114565140
perilune	108636687
perilymph	105329795
perimeter	105108523 113894091 113926393
perimysium	105303626
perinasal	302990473
perinatal	300130348
perinatologist	110436189
perinatology	106063513
perineal	302867940
perineal artery	105361055
perineotomy	100682056
perineum	105546127
perineurium	105303500
period	106856570 113534950 115137796 115169138 115272329 115283092 115315015
period of play	115281726
period of time	115137796
period piece	103922700
periodic	300596641 301974305
periodic acid	114997141
periodic apnea of the newborn	114392935
periodic breathing	100835951
periodic edema	114143792
periodic event	107310808
periodic law	105895763
periodic motion	107364279
periodic movement	107364279
periodic sentence	106296593
periodic table	108284367
periodical	106605500 301974305
periodical cicada	102259936
periodically	400214272
periodicity	104775044
periodontal	302927319
periodontal disease	114104104
periodontia	106058382
periodontic	302927319
periodontics	106058382
periodontist	110436312
periodontitis	114104104
periophthalmus	102622039
periosteum	105334921
peripatetic	109827503 110436477 302135768 303039979
peripateticism	105978061
peripatidae	102002690
peripatopsidae	102003272
peripatopsis	102003418
peripatus	102002421
peripeteia	107313333
peripetia	107313333
peripety	107313333
peripheral	103922839 300332344 301863683
peripheral device	103922839
peripheral nervous system	105511987
peripheral vision	105665218
peripherally	400115839
periphery	113926582
periphrasis	107104571
periphrastic	300771186
periplaneta	102236833
periplaneta americana	102237007
periplaneta australasiae	102237222
periploca	113258241
periploca graeca	113258406
peripteral	300141138
perirhinal	302990473
periscope	103923170
periselene	108636687
perish	200359085
perishability	104800980
perishable	107953584 301757867
perishableness	104800980
perisher	110436573
perisoreus	101583682
perisoreus canadensis	101583807
perisoreus canadensis capitalis	101584075
perisperm	111707121
perissodactyl	102375988
perissodactyl mammal	102375988
perissodactyla	102375745
peristalsis	113555976
peristediinae	102653845
peristedion	102654042
peristedion miniatum	102654247
peristome	102514141 111706345
peristylar	300141343
peristyle	103923320
perithecium	112983070
perithelial	302786604
perithelium	105335200
peritoneal	303012520
peritoneal cavity	105435523
peritoneal inflammation	114376092
peritoneum	105435316
peritonitis	114376092
peritonsillar abscess	114197305
peritrate	103918447
peritrichous	301701452
periwig	103923449
periwigged	302575413
periwinkle	101951087 107798644 111792877 111798398
periwinkle plant derivative	103923577
perjure	200836424
perjurer	110436654
perjury	100773870
perk	113319034 200023466
perk up	200022679 200023466
perked up	300120803
perkily	400422171
perkiness	104657008 107546111
perky	300364701
perleche	114081548
perlis	108985494
perm	105268016 109031742 200039537
permafrost	109413039
permalloy	115003844
permanence	105060366
permanency	105060366
permanent	105268016 301758923 301764039
permanent injunction	106555380
permanent magnet	103923744
permanent press	103923936
permanent tooth	105314207
permanent wave	105268016
permanent-press	301363001
permanently	400088404
permanganate	115003969
permanganate of potash	115019845
permanganic acid	115004147
permeability	104947673
permeable	301776577
permeableness	104947673
permeant	300470786
permeate	201229799 201231635 201460583
permeating	300470786
permeation	100052532 113556157
permeative	300470786
permed	301034170
permian	115152117
permian period	115152117
permic	106969636
permissibility	104800440
permissible	301765456 301766916
permissibly	400087414
permission	101141515 106702042
permissive	301767351 301768106
permissive waste	101254711
permissively	400087333
permissiveness	104645280
permit	101141515 102582559 106561652 200803980 200804608 202427979
permutability	104744808
permutable	300921314
permutableness	104744808
permutation	100340472 100400031 100871990 107458361
permute	200381095
pernambuco	108875467
pernambuco wood	112509773
pernicious	301165950 301615857
pernicious anaemia	114190908
pernicious anemia	114190908
perniciously	400278865 400380042
perniciousness	104798152
pernickety	300988295
pernio	114207004
pernis	101610727
pernis apivorus	101610906
pernod	107926896
pernyi moth	102307309
perodicticus	102501809
perodicticus potto	102501947
perognathus	102351692
perognathus flavescens	102352042
perognathus flavus	102351857
perognathus hispidus	102352209
peromyscus	102339103
peromyscus eremicus	102339823
peromyscus gossypinus	102339984
peromyscus leucopus	102339478
peromyscus maniculatus	102339653
peron	111250011
peroneal	302868061
peroneal vein	105384187
peroneus	105583591
peronospora	113001412
peronospora destructor	113002061
peronospora hyoscyami	113002203
peronospora tabacina	113001846
peronosporaceae	113001238
peronosporales	113000991
perorate	201053445 201053570
peroration	106410769 107256383
peroxidase	115004289
peroxide	114805384 115004646 200280431
peroxide blond	110436790
peroxide blonde	110436790
perpendicular	103924095 103975985 105851763 113893319 301149209 301236220 301724515
perpendicular style	105851763
perpendicularity	105079377 113851260
perpendicularly	400422293 400454019
perpetrate	202588700
perpetration	100774724
perpetrator	110436913
perpetual	300597981 301759536
perpetual calendar	108283929
perpetual motion	114029034
perpetual motion machine	103924196
perpetual warrant	113439789
perpetually	400020735 400229584
perpetuate	202654355
perpetuation	101020308
perpetuity	105060678
perphenazine	103924419
perplex	200403446 200624056
perplexed	301770155
perplexedly	400422436
perplexing	300432472
perplexity	105693168
perquisite	105186242 113319034
perry	107938387 111250148 111250392 111250659
perry mason	109625890
persea	111727098
persea americana	111727230
persea borbonia	111727411
persecute	202591574
persecution	100421490
persecutor	110735654
persephone	109592596
persepolis	108932858
perseus	109413129 109520294
perseverance	101023521 104871746
perseverate	200960855
perseveration	101023521 106209745
persevere	200351115
persevering	301740371
perseveringly	400273866
pershing	111250770
persia	108930441 108932615
persian	106986787 109733825 303086619
persian cat	102126046
persian deity	109554762
persian empire	108932615
persian gulf	109413317
persian gulf illness	114329126
persian gulf war	101309581
persian iris	112434954
persian lamb	102415623 114789419
persian lilac	112331562 112716736
persian melon	107772475 112185398
persian violet	112312980
persian walnut	112339931
persiflage	106790871
persimmon	107762162 112791952
persimmon tree	112791952
persist	200351115 202653599 202736899
persist in	202753797
persistence	101023521 104871746 105061281
persistency	104871746
persistent	300595708 301044226 301762851 302335561
persistently	400273943 400422590
persisting	300598687
persnickety	300988295 301896449
person	100007846 105224944 106337790
person agreement	113819959
person hour	115255278
person of color	109659294
person of colour	109659294
person-to-person	301773691 400044989
persona	104685073 105937794
persona grata	110437588
persona non grata	109654317 110437714
personable	300169956
personableness	104626278
personage	110220400 110437427
personal	106281941 301620309 301771841 301783973 302869796 302869905
personal appeal	104693886
personal business	105679520
personal care	100666719
personal chattel	113266745
personal check	113404462
personal cheque	113404462
personal computer	103924602
personal credit line	113400586
personal digital assistant	103924859
personal effects	113266978
personal equation	104780307
personal estate	113266525
personal expense	113298667
personal foul	100772687
personal identification number	106900491
personal identity	104625427
personal income	113280258
personal judgement	101192140
personal judgment	101192140
personal letter	106637836
personal line of credit	113400586
personal loan	113420955
personal magnetism	104693886
personal manner	104917312
personal matters	105679520
personal memory	105769041
personal organiser	103924859
personal organizer	103924859
personal pronoun	106338129
personal property	113266525
personal relation	113803882
personal relationship	113803882
personal representative	110437296
personalise	200388736
personalised	301772764
personality	104624919 110437169
personality assessment	106485960
personality disorder	114411212
personality inventory	106485960
personality test	101009405
personalize	200388736
personalized	301772764 301773481
personally	400132870 400132968 400133132 400368062 400368189
personalty	113266525
personate	200729535 200838967
personation	100549839 100550321
personhood	104626138
personification	100935074 107122808 110437846
personify	200729535 202703567 202704786
personnel	108135966 108224937
personnel carrier	103925218
personnel casualty	107355325
personnel department	108135966
personnel office	108135966
personnel pouch	102866110
persoonia	112242851
perspective	104683665 106218486
perspex	114618212
perspicacious	300775362 302580114
perspicaciousness	105629222
perspicacity	104899279 105629222
perspicuity	104828846
perspicuous	300430851
perspicuously	400391499
perspicuousness	104828846
perspiration	105413094 113556464
perspire	200067316
perspirer	110438480
persuadable	302370402
persuade	200768463 202592213
persuader	110438586
persuasible	302370402
persuasion	105954491 107259785
persuasive	301774367
persuasively	400422738
persuasiveness	105199100
pert	302287824
pertain	202659801 202681865
pertainym	106333350
perth	108853798
pertinacious	302335561
pertinaciously	400422859
pertinacity	104871746
pertinence	113817392
pertinency	113817392
pertinent	300139582 301982897
pertinently	400423009
pertly	400368286
pertness	104640060 104657008
perturb	200277400 201768023 202069257 202069580
perturbation	100554210 104912173 107443050 111434988 114426686
perturbed	300534780
perturbing	301192929
pertusaria	113010061
pertusariaceae	113009902
pertussis	114168108
peru	109001424
peruke	103923449
peruked	302575413
perusal	106610798
peruse	202157242
perusing	106610798
perutz	111250967
peruvian	109745913 302977699
peruvian balsam	112571962
peruvian bark	112685471
peruvian cotton	112197646
peruvian current	111510278
peruvian lily	112459288
peruvian mastic tree	112785875
peruvian monetary unit	113702378
pervade	201231635
pervaporate	200367894 200368069
pervaporation	100376156
pervasion	113556157
pervasive	300470786
