tooth socket	105292979
torino	108828072
torment	100426281 107434954 107510691 107511895 107534279 114356838 200070949 201806671 201806967
tormented	301367501 302467274
tormenter	104463547 110735654
tormentor	104463547 110735654
torn	301321879 302492689
tornado	103129835 111539883
tornado cellar	104336819
tornado lantern	103555077
tornillo	111786658
torodal	103617587
toroid	113922781 113922980
toroidal	302828586
toronto	108847424
torpedinidae	101498840
torpediniformes	101498678
torpedo	101498972 104463707 104463969 104464199 104464392 107713570 110171603 201140409
torpedo boat	104464561
torpedo tube	104464873
torpedo-boat destroyer	104464709
torpid	300034435 300189643
torpidity	104644238 114038092
torpidly	400299316
torpidness	104644238
torpor	104644238 114038092
torquato tasso	111352245
torque	111540135
torque converter	104465002
torque wrench	104465145
torquemada	111365873
torr	113733521
torrent	107422193 111522520 113797906
torrential	300016570 300603894 302828735
torreon	108763856
torres strait	109483269
torrey pine	111638976
torrey tree	111669810
torrey's pine	111638976
torreya	111669463
torreya californica	111669601
torreya taxifolia	111669810
torricelli	111366105
torrid	301253778 301260402 301730449
torrid zone	108683019
torridity	105023851
torsion	111540135 113908063
torsion balance	104465280
torsk	102528013
torso	105557463
tort	100735181
tort-feasor	110735935
torte	107649120
tortellini	107715912
tortfeasor	110735935
torticollis	114581311
tortilla	107896558
tortilla chip	107728601
tortious	302828938
tortoise	101672733
tortoise plant	112109426
tortoiseshell	102125894 102278425 114782599
tortoiseshell butterfly	102278425
tortoiseshell turtle	101667631
tortoiseshell-cat	102125894
tortricid	102286603
tortricid moth	102286603
tortricidae	102286380
tortrix	102287263 102287536
tortuosity	113908063
tortuous	300772681 302184401 302321464
tortuously	400481824 400481921
tortuousness	104773875 113908063
torture	100422440 100752872 107510691 107511895 114356838 200070949 201806671
torture chamber	104465436
tortured	301367501
torturer	110736038
torturesome	301716177
torturing	100422440 301716177
torturous	301716177
torturously	400262820
torulose	302149861
torus	104465534 113922781
tory	110736225 110736347 110736513
toscana	108829834
toscanini	111366252
tosh	106623500
tosk	106955312
tosk dialect	106955312
toss	100106640 100346643 101248633 201421190 201515257 201517157 201894785 201897072 202227100
toss away	202227100
toss back	201515777
toss bombing	100981434
toss in	201029370
toss off	201204994 201704514
toss out	202227100
toss-up	111540232
tossed salad	107822609
tosser	110736704 110736845
tossup	111540232
tostada	107897285 107897379
tot	110734114 113796106 200951320
tot up	200951320
total	104360881 105869651 200260268 200951320 202651091 300517305 300524974
total aphasia	114121829
total darkness	114007292
total depravity	106201762
total eclipse	107383806
total heat	105019456
total hysterectomy	100678856
total parenteral nutrition	101061369
totaled	300740423
totalisator	103896211
totalise	200194134
totaliser	102682111 103896211
totalism	106223441
totalistic	302829050
totalitarian	110736986 300722079 302829050
totalitarian state	108243048
totalitarianism	106223441 108457622
totalitation regime	108243048
totality	104360881 104773106 114484815
totalizator	103896211
totalize	200194134
totalizer	102682111 103896211
totally	400008423
totara	111673577
tote	102973867 201456857
tote bag	102973867
tote up	200951320
totem	104465644 108389501
totem pole	104465868
totemic	302965877
totemism	105963539
totemist	110737110
toter	109917148
totipotence	105222244
totipotency	105222244
totipotent	302829341
totten trust	113384538
totter	201885027 201922796 201923035
totterer	110665293
tottering	302301324 302313165
tottery	302313165
toucan	101846024
toucanet	101846360
touch	100047263 104938605 104953937 105650398 105662964 105730374 107178814 107202898 107293990 107424192 113796315 114105668 200137133 200287688 200592037 201028737 201174998 201208316 201208838 201209469 201210147 201774723 202131823 202605322 202677976 202681865 202691488
touch a chord	201763770
touch base	202394488
touch down	201983716
touch football	100471757
touch modality	105662964
touch off	201647199
touch on	200137133 200261534 201026772 202681865
touch perception	105729937
touch screen	104466078
touch sensation	105730374
touch system	106414750
touch typing	106414750
touch up	200230988
touch-and-go	302067900
touch-me-not	111775788 112186275 112705140
touch-type	201007827
touch-typist	110737421
touchable	302400023
touchback	100189298
touchdown	100189615 100305831
touched	301564296 302083068 302454161
toucher	110737238
touchily	400481981
touchiness	107568482
touching	100047263 107424192 301565214
touchingly	400067005
touchline	108671604
touchscreen	104466078
touchstone	107275291
touchwood	115126153
touchy	300750606 302113789
touchy-feely	301469220
tough	109898763 110203700 110682088 300480301 300711239 300750063 300751671 301131133 302454704 302456417 302457510 302522699
tough guy	110737570
tough luck	114498989
tough-minded	302457822
tough-skinned	302115378 302455619
toughen	200304090
toughened	301525661 302456417
toughie	106798224 110203700
toughly	400482096
toughness	104718142 105028701 105038369 105040073
toulon	108957768
toulouse	108957936
toulouse-lautrec	111366386
toupe	104466253
toupee	104466253
toupeed	302575540
tour	100311492 115317305 115318833 201849171
tour de force	100047759
tour de france	107474184
tour guide	110737689
tour of duty	115318833
touraco	101827919
tourer	104466357 110737780
tourette	111366563
tourette's syndrome	114334544
touring car	104466357
tourism	100298987
tourist	110737780
tourist attraction	105862385
tourist class	104466478
tourist court	103796288
touristed	301822040
touristry	100298987
touristy	301822040
tourmaline	115101186
tournament	107479682 107487467
tournedos	107676335
tourney	107479682 201125585
tourniquet	103086660
tours	108958124
tourtiere	107888357
tousle	201476664
tousled	302433993
tout	110732484 110737998 110738158 200884747 200973492
tout ensemble	104684187 107971894 400152813
touter	110737998
tovarich	110738314
tovarisch	110738314
tow	100116112 201457042
tow car	104468931
tow truck	104468931
tow-headed snake	101745088
towage	100116112
towboat	104503138
towel	104466597 201396989
towel bar	104467144
towel horse	104467008
towel rack	104467008
towel rail	104467144
towel ring	104467273
toweling	104466845
towelling	104466845
tower	104467365 104503138 113923115 202702345
tower block	103524550
tower cress	111892942 111893127
tower mustard	111892942 111893127
tower of babel	104467869
tower of london	104468182
tower of pharos	104468383
tower of strength	110738443
towering	301208145
towhead	110738601
towheaded	300244802
towhee	101544563
towing line	104468529
towing path	104468805
towing rope	104468529
towline	104468529
town	108243435 108683242 108689937 111366705
town clerk	110738685
town crier	110738781
town gas	114709802
town hall	104468672
town house	104122350
town meeting	108329171 108329392
town planning	100930357
townee	110739044
towner	110738916
townes	111366868
townie	110739222
townsend	111367075
townsend harris	111050851
townsendia	112046775
townsendia exscapa	112046945
townsfolk	108243435
township	108689937
townsman	110738916 110739341
townspeople	108243435
towny	110739222
towpath	104468805
towrope	104468529
toxaemia	114214389 114214519
toxaemia of pregnancy	114214519
toxemia	114214389 114214519
toxemia of pregnancy	114214519
toxic	302458503
toxic condition	114533314
toxic dumpsite	108591585
toxic industrial waste	114882788
toxic shock	114493728
toxic shock syndrome	114493728
toxic site	108679205
toxic waste	114882788
toxic waste area	108679205
toxic waste dump	108591585
toxic waste site	108591585
toxicant	115056943 302459585
toxicity	104798152 113604681
toxicodendron	112787001
toxicodendron diversilobum	112787968
toxicodendron quercifolium	112788183
toxicodendron radicans	112787629
toxicodendron vernicifluum	112788408
toxicodendron vernix	112787355
toxicognath	101787733
toxicologic	302924161
toxicological	302924161
toxicologist	110739456
toxicology	106074012
toxin	115058641
toxin antitoxin	115053122
toxoid	115059021
toxoplasmosis	114209528
toxostoma	101590354
toxostoma rufums	101590643
toxotes	102623073
toxotes jaculatrix	102623208
toxotidae	102622948
toy	102088026 103774770 103971038 104469114 104469337 200013321 201589199 202442312
toy box	104469246
toy business	108091845
toy chest	104469246
toy dog	102088026
toy industry	108091845
toy manchester	102097583
toy manchester terrier	102097583
toy poodle	102116276
toy soldier	104469553
toy spaniel	102088998
toy terrier	102089698
toy with	200713544
toying	100513533
toynbee	111367312
toyohashi	108946004
toyon	112653822
toyonaki	108946154
toyota	108946316
toyshop	104469475
tpn	101061369
tra-la	107064419
tra-la-la	107064419
trabeate	302322436
trabeated	302322436
trabecula	105302659
trabecular	302955291
trabeculate	302955291
trablous	108977766
trace	104469642 104470508 106659391 106659799 107178814 113795501 200627767 200731071 201585566 201698271 201999981 202007615 202008366 202160493
trace detector	104469811
trace element	115101498
trace program	106593042
traceable	300173569 302462377
tracer	104469942 104470070 104470252 110739621
tracer bullet	104469942
tracery	104470376
trachea	105539447 105539683
tracheal	302955426
tracheal vein	105391789
tracheid	113119612
tracheitis	114380775
trachelospermum	111797834
trachelospermum jasminoides	111798021
tracheobronchitis	114380859
tracheophyta	111554885
tracheophyte	113104346
tracheostomy	100694652
tracheotomy	100694652
trachinotus	102582051
trachinotus carolinus	102582393
trachinotus falcatus	102582559
trachipteridae	102548808
trachipterus	102549108
trachipterus arcticus	102549258
trachodon	101709935
trachodont	101709935
trachoma	114280859
trachurus	102583177
trachurus symmetricus	102583310
trachurus trachurus	102583461
tracing	100151752 100940235 104470508
tracing paper	115101676
tracing routine	106596712
track	100440979 104044101 104470745 104470914 104471218 104471360 104471446 104471653 105835238 106625218 109410115 201621487 201916152 202005890 202082700 202202143
track and field	100440766
track down	201146304
track event	107484001
track meet	107483832
track record	100048486 100064130
track star	110739846
track-to-track seek time	115294288
trackable	302462377
trackball	104471850
tracked	302462670
tracked vehicle	104472087
tracker	110739746
tracking	100321110
tracklayer	110458854
trackless	300020278 302463135
trackless trolley	104494337
tract	105483530 105518558 106420933 108691133
tract house	104472285
tract housing	104472438
tractability	104912365
tractable	302371053 302460186
tractableness	104912365
tractarian	110739916
tractarianism	106239523
tractile	302151851
traction	100116942 111480680
traction engine	104472593
tractive	302955572
tractor	104472736 104472901
tractor trailer	104474900
tracy	111367514
trad	107079972
trade	100607485 101093829 101098359 101111592 101112179 108453572 111540382 202249738 202263812 202264892 202265169 202734659
trade acceptance	113399347
trade balance	113430536
trade barrier	106672969
trade bill	106549823
trade book	106423993
trade cycle	107458700
trade deficit	113417941
trade discount	113295755
trade edition	106423993
trade embargo	106673265
trade expense	113297353
trade gap	113430536
trade good	103080712
trade in	202264892
trade magazine	106609049
trade name	106858649
trade policy	106675763
trade protection	101130195
trade rat	102342574
trade route	104170425 108697975
trade school	108302515
trade secret	106687130
trade stoppage	106673265
trade union	108249977
trade union movement	108489901
trade unionism	108490493
trade unionist	110740613
trade wind	111540382
trade-in	113269691
trade-last	106708169
trade-off	101169250
tradecraft	105651861
trademark	104739783 106864792 201004206 201591797
trademarked	301114530
tradeoff	101169250
trader	110740102
trades union	108249977
tradescant	111367669
tradescant's aster	111957664
tradescantia	112627558
tradesman	110611560
tradespeople	107967271
trading	100080218
trading card	104473030
trading floor	103371147
trading operations	101109631
trading post	103123854
trading stamp	106809191
tradition	105675248 105817771
traditional	300613438 301695220
traditional knowledge	105994266
traditionalism	101216192 104809126 105986667
traditionalist	110740773 300577363
traditionalistic	300614377
traditionality	104809126
traditionally	400478938
traduce	200849849
traducement	106732328
traducer	110018655
trafalgar	101300197
trafalgar square	108614579
traffic	100041542 101115977 107294158 108442260 202265577 202265930
traffic circle	104473168
traffic control	101072356
traffic cop	110740970
traffic court	108353282
traffic island	104473404
traffic jam	108200459
traffic lane	104473621
traffic light	106887235
traffic pattern	108509757
traffic signal	106887235
trafficator	107277372
trafficker	110596736
tragacanth	115101793
tragedian	110741261 110741357
tragedienne	110741468
tragedy	107030062 107329438
tragelaphus	102426433
tragelaphus angasi	102427555
tragelaphus buxtoni	102427732
tragelaphus eurycerus	102426731
tragelaphus imberbis	102427235
tragelaphus scriptus	102427874
tragelaphus strepsiceros	102427132
tragic	301366069 302984786
tragic flaw	114486915
tragical	301366069
tragically	400238709
tragicomedy	107029911 107030275
tragicomic	301270872 301366286 302985085
tragicomical	301270872 301366286
tragopan	101809746
tragopogon	112047233
tragopogon dubius	112047450
tragopogon porrifolius	112047691
tragopogon pratensis	112048127
tragulidae	102438320
tragulus	102438698
tragulus javanicus	102438984
tragulus kanchil	102438855
tragus	105331682
trail	104473848 105835238 109483442 201456580 201545624 202005890 202062680 202063844
trail bike	104474106
trail boss	110741678
trail head	108602974
trail riding	100300939
trailblazer	110454492 110741568
trailer	104474334 104474542 106901724 110012790
trailer camp	104474741
trailer park	104474741
trailer truck	104474900
trailhead	108602974
trailing	100321110
trailing arbutus	112255568
trailing edge	104475134
trailing four o'clock	111858882
trailing windmills	111858882
train	103436655 104475240 104475711 107309535 108444586 108476659 200099798 200604200 200604693 200835381 201153576 201456580 201940396 202392176 202393545 202515254 202559394
train depot	104056210
train dispatcher	110822635
train fare	113329772
train of thought	105781545
train oil	115121997
train set	104475942
train station	104056210
train ticket	106531598
trainband	108302640
trainbandsman	110741786
trainbearer	110741888
trained	301918064
trained nurse	110160449
trained worker	110625393
trainee	110742034
traineeship	113288839
trainer	103368209 110742224
training	100895653 104929077
training college	108302817
training program	105918515
training school	104076889 108302960
training ship	104153927
training table	107581023
trainload	113795016
trainman	110742407
trainmaster	110822635
traipse	201914866
trait	104623416
traitor	110047315 110742614
traitorous	300966128
traitorously	400337533
traitorousness	104886853
traitress	110742879
trajan	111367829
trajectory	111501734
tralatitious	300614150
tram	104342573 104476082 104477048 201949042
tramcar	104342573 104476082
tramline	104476238
trammel	104188289 104476382 104476486 104476580 200234091 201483400
trammel net	104476580
tramontana	111540704
tramontane	111540704 300411526 301039540
tramp	100289814 104476919 107413160 110195742 110703158 110742949 201885173 201885950 201924691 201925197
tramp down	201871490
tramp steamer	104476919
tramp's spurge	112939955
tramper	110195742 110666381
trample	107413259 200070210 201871490 201933420
trampler	110666381 110743110
trampling	107413259
trampoline	104476749
tramway	104476238 104477048
trance	105689175 114430940 201810472
trancelike	300438864
tranche	113306642
trandate	103635835
trandolapril	104477272
tranquil	300303750 300531862
tranquilising	302316152
tranquility	104911529 107530799 113992548
tranquilize	200022309 201768652
tranquilizer	104477467
tranquilizing	302316152
tranquillise	200022309 201768652
tranquilliser	104477467
tranquillising	302316152
tranquillity	104911529 107530799 113992548
tranquillize	200022309 201768652
tranquillizer	104477467
tranquillizing	302316152
tranquilly	400188416
trans fatty acid	114765303
trans-alaska pipeline	102697635
transact	202250547
transactinide	114651551 302884517
transaction	101108713
transaction file	106522262
transactional immunity	100215661
transactions	106520103
transactor	110743233
transalpine	110743367 300411745
transaminase	115101905
transaminate	200581219 200581422
transamination	113589163 113589312
transatlantic	302958114
transcaucasia	108537099
transcend	202674870 202675266
transcendence	113973658 113986901
transcendency	113973658 113986901
transcendent	301377838 302353288
transcendental	301581495 302884663
transcendental number	113752866
transcendental philosophy	106201921
transcendentalism	106201921
transcendentalist	110743509
transcendentally	400482210
transcontinental	301571687
transcortical aphasia	114122346
transcribe	200557466 200996727 200996940 200997148 201711972
transcribed	301426060
transcriber	109829330 110743620 110743768 110743908 110744916
transcript	106517508 107292089
transcriptase	115009246
transcription	100911901 100941444 104477840 106360967 113589441
transcultural	302884346
transcutaneous	302955664
transdermal	302955664
transdermal patch	104477976
transdermic	302955664
transduce	200162357
transducer	104478188
transducing vector	109483646
transduction	113589727 113589999
transect	201553731
transept	104478383
transeunt	301277235
transexual	110745370 110745529
transfer	100202520 100316812 101109837 105764200 106531471 110744008 200556317 201438013 201859141 202016196 202090707 202092508 202225243 202236972 202398228
transfer agent	108436731
transfer of training	105764200
transfer paper	115102319
transfer payment	113299123
transfer rna	114857313
transfer tax	113336638
transferability	104743756
transferable	300094409 301527843
transferase	115102138
transferee	110744008 110744206
transference	100202520 101109837 106257311
transferer	110744335
transferor	110744635
transferrable	300094409 301527843
transferral	100316812
transferred possession	113273872
transferred property	113273872
transferrer	110744335
transferrin	115102484
transfiguration	100400525 100403116 107372977 115324610
transfiguration day	115324610
transfiguration of jesus	107372977
transfigure	200384726 200581589
transfix	201446945 201825070
transfixed	300869156
transform	200382272 200382521 200382681 200382927 200383306 200384213 200545091
transformable	300349639
transformation	100399512 100399838 107275000 107374199 113807348
transformed	300356045
transformer	104478550
transforming gene	105447986
transfuse	200081120 200087042 201857426 202330038
transfusion	100324749 100324882
transfusion reaction	101269837
transgender	302608655
transgendered	110745529 302608655
transgene	105449262
transgress	202023426 202571602 202572443 202695371
transgression	100746160 100746303 111540868
transgressor	110305459
transience	105060193 105062429
transiency	105062429
transient	107362068 110744785 301277235 301760804
transient global amnesia	105682163
transient ischemic attack	114190071
transiently	400482326
transistor	104478867
transistorise	202345732
transistorised	301098970
transistorize	202345732
transistorized	301098970
transit	100309941 104426208 104480667 201857682 201870858 201871058 201919358
transit declinometer	103173599
transit instrument	104479147
transit line	104479333
transit zone	108709183
transition	100201907 106412971 107101833 107373176 107430330 200551623 200551900
transitional	302956031
transitionally	400482524
transitive	106342274 302498383
transitive verb	106342274
transitive verb form	106342274
transitively	400382927
transitiveness	113820330
transitivise	200421669
transitivity	113820330 113820703
transitivize	200421669
transitorily	400482635
transitoriness	105062429
transitory	301760804
translatable	300349639 302498770
translate	200384213 200523521 200595247 200921579 200961859 200963979 201438923 202108203 202734017 202758975
translating program	106593444
translation	100331810 100399512 106441153 106548380 107461004 113590186 113807948
translational	303137593
translator	106593444 110232171 110744916
transliterate	200996727
transliteration	106361198
translocate	202367129 202367322
translocation	113590667 113590867
translucence	104709699
translucency	104709699
translucent	300434341
translucent substance	115103117
translunar	301184093 302768371
translunary	301184093 302768371
transmigrante	110745074
transmigrate	201860612 202704568
transmigration	107335987
transmissible	301305977 301317151 301317491
transmission	100122186 104479478 106261911 107375247 113610206
transmission channel	106270551
transmission control protocol	106678955
transmission control protocol/internet protocol	106679231
transmission density	105096574
transmission line	102937552
transmission mechanism	109483810
transmission shaft	104479798
transmission system	104479478
transmission time	115156221
transmit	200975088 201438013 202084180 202236443
transmittable	301305977
transmittal	100122186
transmittance	113610206
transmitted	301317491
transmitter	104479961 109492415 110598214
transmitting	100122186
transmitting aerial	102718140
transmogrification	100400654
transmogrify	200384726
transmontane	300411526
transmundane	301581907
transmutability	104741385
transmutable	300349639
transmutation	101253413 107374199 107431041
transmute	200382272 200383164 200383306
transnational	301573559
transoceanic	302901693
transom	104480196 104480343
transom window	104480343
transonic	300176789
transorbital lobotomy	100685703
transparence	104709475 111541052
transparency	103380802 104709475 111541052
transparent	300433489 301623870 302326628 302422186
transparent gem	115102617
transparent quartz	114718454
transparent substance	115103117
transparently	400482715 400482882
transparentness	104709475
transpirate	202070685
transpiration	113590977 113591108 113591275
transpire	200068511 200341832 200343834 200368216 202070685
transpiring	303166797
transplacental	301836921
transplant	100331928 100694932 105590509 200556317 201533219 201859141 202759130
transplantable	301528751
transplantation	100331928 100694932
transplanter	110745249
transplanting	100331928
transpolar	302849355
transponder	104480510
transport	100316812 101107164 103105141 104399851 113591439 114009857 201438013 201452567 201821281 201954657 201957669
transport ship	104481422
transportable	301527843
transportation	100208610 100316812 101107164 104480667 108160653 113329169
transportation company	108020531
transportation secretary	100603784 110592793
transportation security administration	108161316
transportation system	104480667
transporter	103105548 104481119 104481270
transposability	104744808
transposable	300921314
transpose	108287211 200121734 200381095 200381543 200554484 200556317 201710490 201871289
transposed	300203553
transposition	100102982 100340602 100340733 100870938 107440503 107458361 114127480
transposon	114855982
transsexual	110745370 110745529 302608757
transsexual surgery	100692901
transsexualism	114595655
transship	202017015
transshipment	100317286
transshipment center	108655346
transubstantiate	200383306 200383764
transubstantiation	101253413 106202146
transudate	114877299
transudation	107446937 114877299
transude	200067770
transuranic	302884861
transuranic element	114648369
transurethral resection of the prostate	100695341
transvaal	109023743
transvaal daisy	111992396
transvaal kafferboom	112549273
transversal	301448808
transversally	400138580
transverse	301448808
transverse colon	105544491
transverse flute	103376875
transverse muscle of abdomen	105565711
transverse process	105595278
transverse sinus	105260298
transversely	400138580
transversus abdominis	105565711
transversus abdominis muscle	105565711
transvestic	302608907
transvestism	101033890
transvestite	110745683 302608907
transvestitism	101033890
transylvania	108832633
transylvanian alps	109484018
tranylcypromine	104481552
trap	101249473 102923753 104481701 104482078 104482157 104482267 105309806 105845694 201209769 201483400 201609852 202501834
trap block	100563860
trap door	104482544
trap line	108449274
trap play	100978356
trap-and-drain auger	104482430
trap-door spider	101778371
trapa	112368644
trapa bicornis	112369152
trapa natans	112369035
trapaceae	112368409
trapeze	104482646
trapezium	105280390 109484199 113904038
trapezium bone	105280390
trapezius	105599525
trapezius muscle	105599525
trapezohedron	113941750
trapezoid	105280572 113904169
trapezoid bone	105280572
trapezoidal	302960321
trapped	301068602
trapper	110745885
trapper's tea	112259273
trapping	102958976
trappings	103410505
