prefer	200681308 201830440 202405179 202405393
prepare for	200274056
prepared	301098778 301849304 302576155
preparedness	114054590
prepay	202255148
prepayment	101123813
preponderance	105035325 105129364 105198754
preponderant	300795757
preponderantly	400162217
preponderate	202651681
preponderating	300795757
prepose	201250969
preposition	106336138 106495681
prepositional	303113735
prepositional object	106321439
prepositional phrase	106328240
prepositionally	400517151
prepossess	200682064 201774017 201787565 202209794
prepossessing	300170172
prepossession	105958804 113947896
preposterous	302581199
preposterously	400388921
prepotency	114466215
preprandial	300130684
prepubertal	301494217
prepuberty	115173041
prepubescent	301494217
prepuce	105534590 105534718
prepupal	301494429
prepyloric vein	105385365
prerecord	201001474
prerecorded	301426364
prerequisite	105901034 300852656
prerogative	105186242
pres young	111423688
presage	107301073 107537775 200873606
presbyope	110485201
presbyopia	114578806
presbyopic	302164814
presbyter	110485397
presbyterian	110485488
presbyterian church	108108857
presbyterianism	106242653
presbytery	104005518
presbytes	102490780
presbytes entellus	102491046
preschool	108293460
preschooler	110485626
prescience	105928025
prescient	300775696
presciently	400432154
prescott	109081098
prescribe	200749139 201074284 201074513
prescribed	300723656 301047187 301966728 302137098
prescript	106664987
prescription	104005638 106377253 106377447 106801422 301851973
prescription drug	104005638
prescription medicine	104005638
prescriptive	300735987
prescriptive grammar	106185683
prescriptive linguistics	106191609
prescriptivism	106260574 106260727
preseason	115264916
presence	101236367 104917554 105925768 108660207 109570657 113980887
presence chamber	104005979
presence of mind	104869978
presenile dementia	114419359
present	106340727 113289865 115144478 200775012 200901719 200902866 200903414 200991634 201068455 201692666 201715304 202153218 202205200 202266695 202267560 202728538 301735600 301852337
present moment	115144992
present participle	106342007
present perfect	113828616
present perfect tense	113828616
present progressive	113828186
present progressive tense	113828186
present tense	106340727
present times	115145470
present-day	300670302
presentable	302000698
presentably	400432413
presentation	100522618 101050621 103215661 105088641 106904072 107182066 107232009
presentational	302795123
presenter	110045455 110485764 110485953
presentiment	107537367
presentism	105975469
presentist	110486130
presently	400034309 400048806
presentment	100522618 101189953 107205822
presentness	105057266
preservable	300741163
preservation	100820685 107434199 113561813 114602485
preservationist	110486325
preservative	115022096 301894653
preserve	107658080 108604994 114539065 200212840 202230274 202284977 202685709 202688596 202738997
preserved	300740790 301075111
preserver	103668857 110486484 110486618 110534555
preserves	107658080
preset	301802142
preside	202448474
presidency	100597922 115291076
president	100598380 110486745 110486961 110488144 110488335 110488547
president abraham lincoln	111152452
president adams	110827804 110827957
president andrew johnson	111108049
president arthur	110844784
president benjamin harrison	111051664
president buchanan	110889518
president bush	110895055 110895517
president carter	110904583
president cleveland	110921803
president clinton	110922343
president coolidge	110928671
president eisenhower	110974958
president fillmore	110990856
president ford	110994732
president franklin roosevelt	111290013
president garfield	111010729
president george w. bush	110895517
president grant	111031119
president harding	111048442
president harrison	111051416 111051664
president hayes	111056136
president hoover	111078628
president jefferson	111101818
president john adams	110827804
president john f. kennedy	111120990
president john quincy adams	110827957
president johnson	111108049 111108336
president kennedy	111120990
president lincoln	111152452
president lyndon johnson	111108336
president madison	111168476
president mckinley	111189408
president monroe	111206032
president nixon	111228162
president of the united states	100598380 110486961
president pierce	111254803
president polk	111260723
president reagan	111275450
president roosevelt	111289687 111290013
president taft	111348709
president taylor	111353232
president theodore roosevelt	111289687
president truman	111369734
president tyler	111374140
president van buren	111378714
president washington	111395413
president william henry harrison	111051416
president wilson	111410850
presidential	300757025 302995536
presidential directive	107184933
presidential term	115291076
presidentially	400517229
presidents' day	115212454
presidentship	100597922
presiding officer	110488931
presidio	104006121
presidium	108344320
presley	111266030
presocratic	302773176
press	100113933 100628253 104006350 104006669 104006838 104557470 106274022 108200316 114474815 200761702 200767694 201152836 201390440 201393270 201393487 201449876 201450251 201666509 201757913 202028213 202595732 202652148 202728657
press agency	108372002
press agent	110489196
press association	108372002
press box	104006950
press clipping	106625002
press conference	107159542
press corps	108420392
press cutting	106625002
press down	201577597
press down on	201600017
press gallery	104007074
press gang	108233329
press home	201016371
press lord	110489371
press of canvas	104007356
press of sail	104007356
press on	201997581
press out	200479613 201354457 201666509
press photographer	110489459
press release	106760197
press run	115286783
press stud	104255319
press-up	100630558
pressburg	108777096
pressed	301362613
pressing	100113933 104007225 300717023
pressingly	400432599
pressman	109986240 110494882
pressmark	106831297
pressor	104529716 302795364
pressure	100113933 105202630 105732420 111449572 111515441 114474815 114500660 202510211 202587158
pressure cabin	104007490
pressure cooker	104007623
pressure dome	104007755
pressure feed	103700448
pressure gage	104007857
pressure gauge	104007857
pressure group	107985266
pressure level	111515441
pressure point	105246369 105695459 108639915
pressure sensation	105732420
pressure sore	114235608
pressure suit	104008203
pressure unit	113629228
pressure-cook	200329489
pressure-feed lubricating system	103700448
pressure-wash	201538703
pressurise	200404056 200404308 200404516
pressurize	200404056 200404308 200404516
pressurized water reactor	104008019
prestidigitation	100553349
prestidigitator	110300371
prestige	114459275
prestigious	301836421 301990022
prestigiousness	114459275
prestissimo	300985621 400425660
presto	300985548 400062352 400062437
presumable	302427208
presumably	400054490
presume	200011544 200633898 201017686 202380015
presumption	101228051 104845958 105789344 105901963
presumptive	300648303 301416413
presumptively	400054490
presumptuous	300207288
presumptuously	400432676
presumptuousness	104845958
presuppose	200718250 200718436
presupposition	105787920
presymptomatic	302794218
preteen	109650451 301653713
preteenager	109650451
pretence	100756299 104686265 104796081 105777927 106772060
pretend	100756843 200758694 200839722 200840203 200918880 201725433 202280644 301944376
pretended	301120599
pretender	110215212 110221154 110489564
pretending	100756299
pretense	100756299 104686265 104796081 105777927 106772060
pretension	104796081 104796210 106743120
pretentious	301854283 301855216 302403542
pretentiously	400432814
pretentiousness	104796210 104825154
preterist	110489717
preterit	113828826
preterite	113828826
preterition	107119399
preterm baby	110485017
preterm infant	110485017
pretermission	105715093
pretermit	200616690 200618983
preternatural	301581495 301682392
preternaturally	400433131
pretext	104686265 106772487
pretor	110482594
pretoria	109022642
pretorial	303113275
pretorian	300624670 303113275
pretorium	104004233
pretrial	107159734
pretrial conference	107159734
prettify	200293903
prettily	400433289
prettiness	104692998
pretty	300221674 301132550 400036138
pretty much	400023171
pretty up	200042809
pretty-pretty	300221833
pretzel	107711487
preussen	108793617
prevacid	114801436
prevail	200779838 201104145 202650318 202653599 202654604
prevailing	301070476
prevailing party	110489899
prevailing westerly	111546047
prevailing wind	111517986
prevalence	104772610 105129364 113846326
prevalent	301070476
prevaricate	200837185
prevarication	100753287 104832614 106769542
prevaricator	110276234
prevenient	300123055
prevent	202455370 202458316
preventable	300344782
preventative	103101244 103525974 104008384 301170813 301768325
prevention	101079274
preventive	103101244 103525974 104008384 301170813 301768325
preventive attack	100980091
preventive medicine	100614569
preventive strike	100980091
preview	106901556 106901724 202156246
previous	300128009 300818796 301734051
previous question	107178454
previously	400061170
previse	200722732 200872604
prevision	105783078 105783826 105813285 105928025
prevue	106901724
prewar	300130950
prexy	110488335
prey	102155533 110490045 201206120 201206335
priacanthidae	102573931
priacanthus	102574117
priacanthus arenatus	102574441
priam	111266245
priapic	301480698 301480871
priapism	114234046
priapus	109593972
price	105148930 105152365 105171334 107181692 111266398 113324337 113324781 200723813 202356006
price bracket	108022847
price competition	113859399
price control	106670209
price cut	100353687
price cutting	100353687
price floor	106671014
price freeze	100810940
price gouging	105744838
price increase	105117407
price index	106653830
price level	106653830
price list	106506529
price of admission	113342517
price reduction	100362929
price support	113288434
price tag	107287729
price war	113859399
price-controlled	300602272
price-fixing	101072632
price-to-earnings ratio	113846552
priceless	302511316
pricelessness	105148469
pricey	300936868
pricing	105744681
pricing system	105913512
prick	100946605 105534354 109834593 113927849 201243499 201443420 201448026 201764789 201987020 202127763 202127889
prick up	201987020
pricker	102892139 113110391
pricket	102433394 104008620
pricking	100946605
prickle	113110391 201443420 202127448 202127763
prickle cell	105249005
prickle-weed	112546683
prickleback	101457497 102618272
prickliness	104956976
prickling	105730815
prickly	300146351 301138920
prickly ash	112242607 112735515
prickly custard apple	111715133
prickly heat	114345533
prickly lettuce	112007980
prickly pear	107784834 111872047
prickly pear cactus	111872047
prickly pine	111638082
prickly poppy	111922066 111923178
prickly shield fern	113221091
prickly-edged leaf	113182802
prickly-leafed	301707366
prickly-leaved	301707366
prickly-seeded spinach	111856037
prickteaser	109984664
pricy	300936868
pride	100759528 104893841 107523725 107546924 108011720 201776419
pride of barbados	112510559
pride of bolivia	112594416
pride of california	112562111
pride of place	108639047
pride oneself	201832935
pride-of-india	112349990 112716736
prideful	300708342 301897176
pridefulness	107523725
prie-dieu	104008729
priest	110490364 110490835
priest-doctor	110645556
priest-penitent privilege	105188204
priestcraft	105651652 105917321
priestess	110491155
priesthood	108130409
priestley	111266532
priestlike	300576415
priestly	300576415 302910918
prig	110636540
priggish	301886245
priggishly	400433396
priggishness	104907157
prilosec	114801765
prim	200044876 200145592 200526244 301886245 301954782
prim out	200044876
prim up	200044876
prima	107757599 301475933
prima ballerina	110491225
prima donna	110491317 110491444
prima facie	300431289 400261706
primacy	114458819
primaeval	300817158
primal	300817158 301280207
primality	105216164
primaquine	104008810
primarily	400074163 400139220
primary	100183420 102471711 104008987 109421644 300702966 301280536 301858102 301862151
primary amenorrhea	114327074
primary atypical pneumonia	114171446
primary care	100657276
primary care physician	110491533
primary care provider	110184702
primary cell	104548047
primary censorship	100824011
primary coil	104008987
primary color	104964353
primary color for light	104964766
primary color for pigments	104964533
primary colour	104964353
primary colour for light	104964766
primary colour for pigments	104964533
primary dentition	105289746
primary dysmenorrhea	114349714
primary election	100183420
primary feather	102471711
primary health care	101091221
primary quill	102471711
primary school	108429706
primary sex character	105014744
primary sex characteristic	105014744
primary sexual characteristic	105014744
primary solid solution	115076272
primary subtractive color for light	104965031
primary subtractive colour for light	104965031
primary syphilis	114157833
primary tooth	105314393
primary winding	104008987
primate	102472545 109826498
primates	102472219
primateship	100598647
primatology	106083197
primaxin	104008894
prime	113615208 115177369 115254580 115320288 200409549 200454973 201368058 301016587 301016768 301492920 302351005 303023717
prime factor	113615379
prime interest rate	113340894
prime meridian	108616848
prime minister	109926439 109926654
prime mover	109527735
prime number	113615545
prime of life	115177369
prime quantity	113615208
prime time	115191944
primed	301937602
primer	103365691 103412032 106426591
primer coat	103365691
primeval	300817158
primidone	104009289
primigravida	110491714
priming	101146559 103365691 103412032
priming coat	103365691
primipara	110491859
primiparous	303113884
primitive	106305722 106305894 109650650 300414509 300821300 300821744 301919239
primitive art	103867479
primitive person	109650650
primitively	400433705 400433834
primitiveness	114496208
primitivism	104009468 114496208
primly	400433542
primness	104907157 104908329
primo	107044763 300230468
primogenitor	110146343
primogeniture	113284156
primordial	300817158
primordial dwarf	110492032
primordium	105305658
primp	200043414
primping	100830220
primrose	112111407
primrose family	112110835
primrose jasmine	112327455
primrose path	100417142
primula	112111407
primula auricula	112112323
primula elatior	112112067
primula polyantha	112112470
primula sinensis	112112214
primula veris	112111894
primula vulgaris	112111730
primulaceae	112110835
primulales	112110558
primum mobile	109527735
primus	104009599 110492275
primus stove	104009599
prince	110492384
prince albert	104009717 110831144
prince albert yew	111679699
prince albert's yew	111679699
prince charles	110912168
prince charming	110493038
prince consort	110493147
prince edward	110969944
prince edward island	108847742
prince eugene of savoy	110982415
prince fumimaro konoe	111128757
prince fumimaro konoye	111128757
prince klemens wenzel nepomuk lothar von metternich	111197522
prince of darkness	109566482
prince of smolensk	111133067
prince of wales	110493502
prince of wales heath	112249628
prince otto eduard leopold von bismarck	110871195
prince otto von bismarck	110871195
prince peter kropotkin	111131184
prince philip	111252465
prince rupert	111294093
prince's pine	112278087
prince's-feather	111844225 112622566
prince's-plume	111844225 111917935 112622566
prince-of-wales feather	112975113
prince-of-wales fern	112975113
prince-of-wales plume	112975113
prince-of-wales'-heath	112249628
princedom	108576025 114456581
princeling	110493303 110493374
princely	301596515 302032205
princess	110493649
princess diana	110953409
princess feather	112622566
princess grace of monaco	111119913
princess of wales	110953409
princess pine	113244608
princess royal	110493928
princeton	104009811 109136781
princeton university	104009811
princeton wordnet	106651729
princewood	112839106 112839361
principal	110494031 110494230 110494535 110668135 113376883 113421835 301280536
principal axis	106019454
principal diagonal	108285557
principal investigator	110494748
principal sum	113376883
principality	108576025
principality of andorra	109045488
principality of liechtenstein	108980321
principality of monaco	108990219
principally	400074163
principalship	100598744
principe	109015514
principen	102708510
principle	105801218 105881099 105882839 105922132 105964190 106668133
principle of equivalence	105999866
principle of liquid displacement	106000127
principle of parsimony	105999623
principle of relativity	105999365
principle of superposition	106000326 106000661
principled	301555487
prinia	101568445
prinival	103682634
prink	200043880 200045263
print	103932813 104009955 104010232 104010358 106690891 106691047 106811608 201749530 201750523 201751753 201752992
print buffer	104010475
print media	106274262
print over	201752081
print run	115286783
print seller	110495420
print shop	104011466
printable	301971758
printed circuit	104010586
printed symbol	106830481
printer	104010851 104011143 110494882
printer cable	104011366
printer's devil	110495169
printer's ink	114942174
printing	101105064 106414934 106602491 106690047
printing business	108086463
printing company	108086463
printing concern	108086463
printing ink	114942174
printing machine	104010851
printing operation	113561994
printing press	104006669
printing process	106690047
printing shop	104011466
printing unit	113629450
printmaker	110495272
printmaking	100939292
printout	107279743
priodontes	102458518
priodontes giganteus	102458639
prion	109421810
prionace	101493526
prionace glauca	101493647
prionotus	102653558
prionotus carolinus	102653690
prior	110495525 300122938
prioress	109773548
prioritise	200662052
prioritize	200662052
priority	105054430 113973020
priority processing	113562178
priorship	100598843
priory	104011573
priscoan	115154524
priscoan aeon	115154524
priscoan eon	115154524
prise	200695834 201596175 201634445
prism	104011716 113907168
prism spectroscope	104280183
prismatic	300404731 303114015
prismatoid	113940907
prismoid	113941128
prison	104012006 113960317
prison camp	104012288 104608091
prison cell	102994757
prison chaplain	109928227
prison farm	104608091
prison guard	110169387
prison house	104012006 113960317
prison term	115249488
prison-breaking	100060809
prisonbreak	100060809
prisoner	110495671
prisoner of war	110495916
prisoner of war camp	104012288
prisoner of war censorship	100823634
prisoner's base	100461602
prisonlike	301069227
prissily	400433542
prissy	300987524 301886245
pristidae	101499585
pristine	300420198 301913490
pristis	101499919
pristis pectinatus	101500054
pritzelago	111914277
pritzelago alpina	111914385
privacy	104630289 114439493
private	110496052 300955371 301772598 301773890 301864034
private citizen	110477469
private corporation	108400421
private detective	110496256
private enterprise	108381886
private eye	110496256
private foundation	108423957
private instructor	109950876
private investigator	110496256
private line	104012603
private nuisance	105839736
private parts	105521732
private practice	100634063
private property	113266525
private road	103249091
private school	108428127
private security force	108227903
private treaty	100093032
private-enterprise	300298621
privateer	104012443 110496513
privateersman	110496513
privately	400163336 400163844
privately held corporation	108400421
privateness	104630289 114439493
privates	105521732
privation	101152695 114517010
privatisation	101154528
privatise	200412973
privatization	101154528
privatize	200412973
privet	112328273
privet andromeda	112261709
privet hedge	104012706
privilege	105165679 105186242 105187094 202459141
privilege against self incrimination	105192078
privilege of the floor	105186937
privileged	301869016 301870073 302374646
privily	400278494
privine	103812592
privy	103865924 104453410 301311044 301866520
privy council	108328617
privy purse	113315325
prix de rome	107283868
prix fixe	106509224 302462089
prix goncourt	107284135
prize	104495252 113283562 113289169 200695834 201596175 202260917 302351005
prize fight	107486946
prize money	113289781
prize ring	102888904
prize winner	109650995
prizefight	107486946 201423105
prizefighter	110496662
prizewinning	300229617
prn	400182904
pro	106661968 110500168 301822805 400290519
pro bono	301715162
pro forma	301047301 400261760
pro rata	400261963
pro re nata	400182904
pro tem	301762120 400258709
pro tempore	301762120 400258709
pro-american	302939257
pro-choice	302604321
pro-choice faction	108434238
pro-inflammatory	301181568
pro-life	302604474
pro-life faction	108434393
pro-lifer	110477922
proaccelerin	115095933
proactive	300039507 302602462
probabilism	105984125 106170497
probabilistic	303114328 303114515
probabilistically	400433947
probability	104763427 105098974
probability theorist	110497050
probability theory	106046620
probable	110477590 301414991 301416084
probable cause	105832838
probably	400139421 400297385
probate	100155714 106556423 202470720 202649956
probate court	108352014
probate will	106556423
probation	101260931 115322546 115322715
probation officer	110497424
probationary	300558544
probationer	110497170 110497298
probative	302171330
probatory	302171330
probe	100642765 100948857 104012787 105808619 200790226 201229439
probenecid	104012960
probing	300883160
probiotic	101352136
probiotic bacterium	101352136
probiotic flora	101352136
probiotic microflora	101352136
probity	104877024
problem	105695143 106796860 114434009
problem solver	110477677
problem solving	105804758 106149888
problem-oriented language	106911886
problematic	300750063 301923165
problematical	300750063 301923165
problematically	400434111
proboscidea	102505533 112895756
proboscidea arenaria	112896457
proboscidea fragrans	112896621
proboscidea louisianica	112896029
proboscidean	102505758
proboscidian	102505758
proboscis	102455598 105606839
proboscis flower	112896029
proboscis monkey	102491797
proboscis worm	101931158
procaine	104013103
procaine hydrochloride	104013329
procarbazine	104013502
procardia	103829554
procaryote	101418561
procaryotic	302871272
procavia	102375465
procavia capensis	102375604
procaviidae	102375049
procedural	300055580 303114655
procedure	100578105 101025578 101025762 106594579
proceed	200342215 200783045 201999581 202377696 202690747
proceeding	101187304
proceedings	101187304 106520103
proceeds	113281089
procellaria	102062046
procellaria aequinoctialis	102062194
procellariidae	102061587
procellariiform seabird	102060552
procellariiformes	102060132
process	100029976 101025762 105477841 105709328 105709685 106568683 200516235 200640499 201441318 201672498 202000767 202443400 202588127
process cheese	107867902
process of monition	106570425
process printing	106691786
process-server	110497703
processed	301850509 301958506 301960119
processed cheese	107867902
processing	113562370
processing time	115322915
procession	100282894 100297411 107341888
processional	107047896 303114837 303114977
processional march	107072911
processor	102998952 108082773 110497540
processus coronoideus	105479684
prochlorperazine	104013615
prociphilus	102256762
prociphilus tessellatus	102256898
proclaim	200862284 200979368 200980205 201019010
proclaimed	300691027
proclamation	101268984 106738907
proclivity	106209296
procnias	101554556
proconsul	102481506 110497878 110498047
proconsular	303115112
proconsulate	100598936
proconsulship	100598936
proconvertin	115096070
procrastinate	202648322 202648694
procrastination	101069286 105069539
procrastinator	110498211
procreate	200054856
procreation	100851153
procreative	301085280
procrustean	302772458
procrustean bed	107276450
procrustean rule	107276450
procrustean standard	107276450
procrustes	109592838
proctalgia	114353670
proctitis	114377662
proctocele	114320652
proctologist	110498412
proctology	106071775
proctoplasty	100692186
proctor	110498545 202599510
proctorship	100599072
proctoscope	104013791
proctoscopy	100644310
procumbent	301242283
procurable	300185663
procural	100084549
procurance	100084549
procurator	110498720 110506494
procure	201183272 202243552
procurement	100084549
procurer	110453501 110498913
procuress	110499078
procursive epilepsy	114113074
procyclidine	104013886
procyon	102510494 109422360
procyon cancrivorus	102510977
procyon lotor	102510844
procyonid	102510280
procyonidae	102509968
prod	104014040 107267046 201232540 201233274 201233816
prodding	107267046
prodigal	110499146 302431016
prodigality	100744939 104902002
prodigally	400434339
prodigious	301387664 301680620 302171721
prodigiously	400434522
prodigy	105947962 107301073 110499368
prodroma	114327304
prodromal	302795507
prodrome	114327304
prodromic	302795507
produce	107721456 200094214 201624592 201743695 201756303 201756692 202145619 202161530
producer	107343356 110311977 110499603
producer gas	114886632
producer price index	106654173
product	103754377 104014270 105868214 108015510 111435956 115022266
product development	100251749
product introduction	100239738
product line	103676994
product research	100641803
product-moment correlation coefficient	106042957
production	100523792 100914791 100915416 100915536 104014270 107020067 107228649 113780885
production cost	113323797
production line	104014761
production order	106542134
productive	301085028 301871147 301873245 302340596
productively	400215173
productiveness	105155187
productivity	105155187 113846712
proenzyme	114715606
prof	110500315
profanation	100274163 100747885
profanatory	302064848
profane	202573980 202585532 300426521 302019844 302062330 302064284
profaned	300576311
profanely	400434644 400434800
profaneness	104863245 106217609
profanity	107143235
profess	200758694 200762780 200820214 200821417 200889847 200890178 201012717
professed	300691351 300691573 301875208
professedly	400190790 400277958
professing	106745674
profession	100611221 106697785 106745674 108129062
professional	110318149 110499838 110500168 301874674 301876050 302567172 302850390 302850580
professional association	108259596
professional baseball	100475668
professional basketball	100482814
professional boxing	100447296
professional dancer	110009040
professional football	100471629
professional golf	100467341
professional golfer	110156887
professional life	100607342
professional organisation	108282991
professional organization	108282991
professional person	110499838
