take the field	201096197 201157020
tapestry moth	102295344
tapeworm	101930097
tapeworm infection	114209102
taphephobia	114407914
taphouse	104024793
taping	104398925
tapioca	107635490
tapioca plant	112947449
tapioca pudding	107635656
tapir	102396232
tapiridae	102395952
tapirus	102396097
tapirus indicus	102396592
tapirus terrestris	102396459
tapis	104400642
tapotement	100661567
tappa	104398532 113183843
tappa bark	113183843
tappan	111351187
tappan zee bridge	104400774
tapped	301664003
tapper	110710644 110710814 110710981 110711096 110711260
tappet	104400901
tappet wrench	103853688
tapping	107411258
taproom	102800154
taproot	105843270 113146809
taps	106817341
tapster	110711260
tar	110314263 114935855 201275021
tar heel state	109148971
tar paper	115000560
tar pit	109477874
tar-and-feather	201275146
tar-wood	111674889 111676043
tara	108910011
tara vine	112391719
tarabulus	108977766
tarabulus al-gharb	108979872
tarabulus ash-sham	108977766
taracahitian	109689985
taradiddle	106623500 106769768
tarahumara	109690226
tarahumara frog	101645032
taraktagenos	112399795
taraktagenos kurzii	112400048
taraktogenos	112399795
taraktogenos kurzii	112400048
tarantella	100534842 107071988
tarantelle	100534842
tarantino	111351295
tarantism	114119224
tarantula	101777391 101778011
taras grigoryevich shevchenko	111318509
tarawa	101299188 108859956
tarawa-makin	101299188
taraxacum	112044465
taraxacum kok-saghyz	112045274
taraxacum officinale	112044914
taraxacum ruderalia	112044914
tarbell	111351437
tarboosh	103336022
tarchanoff phenomenon	100861689
tardigrada	101786577
tardigrade	101786934
tardily	400100817 400162829
tardiness	105055107
tardive	300823278
tardive dyskinesia	114116186
tardy	301907298
tare	104401124 105035595 112145700 112596184 113296160
tareekh e kasas	108062180
taret organ	105523881
target	104401354 105990115 107276776 108678672 110490045 201153025
target acquisition system	104401514
target area	108678672
target cell	105462782 105615961
target company	108092911
target language	106294720 106913283
target organ	105523718
target practice	100900123
target program	106589069
target range	103353996
target-hunting	301432133
tarheel	109764165
taricha	101633676
taricha granulosa	101633995
taricha torosa	101634153
tariff	113337021 202312973
tarkovsky	111351664
tarmac	104401723 115001747 201606339
tarmacadam	104401723 115001747
tarn	109477772
tarnish	104703311 201540197
tarnished plant bug	102241010
taro	107752789 111807008 111807312
taro plant	111807008
taro root	107752789
tarot	104401914
tarot card	104401914
tarp	104402159
tarpan	102384261
tarpaulin	104402159
tarpon	102544318
tarpon atlanticus	102544318
tarquin	111351799
tarquin the proud	111351799
tarquinius	111351799
tarquinius superbus	111351799
tarradiddle	106623500 106769768
tarragon	107837586 111950672
tarred-and-feathered	301908115
tarriance	101070347
tarrietia	112221683
tarrietia argyrodendron	112221848
tarry	202015412 202645159 300054604
tarsal	105289373 303134811
tarsal bone	105289373
tarsal gland	105336056
tarsier	102504214
tarsiidae	102503906
tarsioidea	102503732
tarsitis	114379902
tarsius	102504063
tarsius glis	102504637
tarsius syrichta	102504554
tarsus	105602577
tart	107639273 107639542 110505025 301809862 302378028
tart up	200043768 201682035
tartan	104402241
tartar	109478055 109664724 110049454 115037836
tartar emetic	114979530
tartar sauce	107847426
tartar steak	107893651
tartare sauce	107847426
tartarean	301307016
tartarian honeysuckle	112697701
tartaric	303134964
tartaric acid	115092143
tartarus	105638060
tartary	108990741
tartlet	107639948
tartly	400476072
tartness	104650754 105001304 105724691
tartrate	114979698
tartu	109035105
tartufe	110711433
tartuffe	110711433
tarweed	111993810 112014619
tarwood	111674889 111676043
tarzan	109626935 110711586
tarzan of the apes	109626935
tashkent	109044908
tashmit	109545256
tashmitum	109545256
tashunca-uitco	110934531
task	100720957 100797381 201168553 202397742
task force	108207539 108225365
taskent	109044908
taskmaster	110711765
taskmistress	110711901
tasman	111352063
tasman dwarf pine	111677604
tasman sea	109478176
tasmania	108852973 108853115
tasmanian	302819833
tasmanian devil	101887475
tasmanian tiger	101887117
tasmanian wolf	101887117
tasse	104402467
tassel	104402336
tassel flower	111844041 111983774 111984041
tassel hyacinth	112481614
tassel-shaped	302157904
tasseled	300060312
tasselled	300060312
tasset	104402467
tasso	111352245
taste	100884380 105666071 105723230 105757616 107302729 107513449 107594444 200598456 201197832 202195992 202197438 202198732 202198941
taste bud	105312635
taste cell	105312888
taste perception	105723230
taste property	104999341
taste sensation	105723230
taste tester	110711978
taste-maker	110747885
taste-tester	110711978
tastebud	105312635
tasteful	302401445
tastefully	400476193
tastefulness	104820644
tasteless	302401968 302408123
tastelessly	400476348
tastelessness	104825515 105004197
taster	110711978
tastily	400476193 400476516
tastiness	105002599
tasting	100843562 100884380 105830972
tasty	302403682
tat	101010039 104825691 201678439
tatahumara	106931799
tatar	106940005 109664399 109664724
tatary	108990741
tate	111352418
tater	107726361
tati	111352567
tatou	102458639
tatouay	102458059
tatter	104053034
tatterdemalion	110524257 300682984 302594057
tattered	300740215 302594057
tattily	400335934
tatting	100911370 104402630
tattle	106818155 200939238 201038676
tattler	102032941 110712192
tattletale	110712192
tattletale gray	104969866
tattletale grey	104969866
tattling	300498304
tattoo	100264196 104402786 106818355 201685228
tatty	302402358 302593481
tatu	102458639
tatum	111352683 111352887
tau	106849109
tau coefficient of correlation	106044743
tau cross	104402895
tau-minus particle	109478336
tau-plus particle	109223297
taunt	101225348 200852181
taunting	101225348 302002696
tauntingly	400476618
tauon	109478336
taupe	104982041 300376152
taurine	114681105 302819951
tauromachy	100453020
taurotragus	102429280
taurotragus derbianus	102429829
taurotragus oryx	102429678
taurus	108704070 109478436 109771712 111221376
taurus the bull	108704070
taut	302412229 302414755
tauten	200421387 200421502
tautly	400476787
tautness	104784179 114567937
tautog	102612696
tautoga	102612581
tautoga onitis	102612696
tautogolabrus	102612864
tautogolabrus adspersus	102613003
tautologic	300552046
tautological	300552046
tautology	107105406 107105577
tavern	104403010
tavern keeper	110510006
taw	104403228 106852133
tawdrily	400348805
tawdriness	104825931
tawdry	302354846 302402358
tawney	111353066
tawniness	104985317
tawny	300385844
tawny eagle	101617197
tawny owl	101625600
tawny-brown	300385844
tawny-colored	300402089
tawny-coloured	300402089
tawse	104403361
tax	113330021 200845840 201168553 202312527 202313369
tax advantage	113334613
tax assessment	105153425
tax assessor	110712379
tax avoidance	101081875
tax base	113330798
tax benefit	113319560
tax bill	106529858
tax boost	105118288
tax bracket	108022692
tax break	113319560
tax collection	101018690
tax collector	110712548
tax credit	113400141
tax cut	100353926
tax deduction	113350069
tax evasion	100743095
tax form	106488055
tax haven	108678908
tax hike	105118288
tax income	113282815
tax law	108473630
tax liability	113330978
tax lien	113423863
tax policy	105910017
tax program	105910017
tax rate	113330887
tax return	106560662
tax revenue	113282815
tax shelter	113334755
tax system	105912604
tax write-off	113350069
tax-exempt	113438462 302410012
tax-exempt security	113438462
tax-free	302410012
tax-increase	105118288
taxability	114554165
taxable	302408942
taxaceae	111681430
taxales	111681299
taxation	101162657 113282815 113330021
taxer	110712731
taxi	102934150 201952731 201952866
taxi dancer	110712830
taxi fare	113329565
taxi rank	108535244
taxi strip	104403601
taxicab	102934150
taxidea	102450222
taxidea taxus	102450393
taxidermist	110712955
taxidermy	105644247
taxidriver	110713142
taximan	110713142
taximeter	104403470
taxing	301192652
taxis	100694244 100864364
taxistand	108535244
taxiway	104403601
taxman	110712548
taxodiaceae	111660060
taxodium	111662239
taxodium ascendens	111662694
taxodium distichum	111662414
taxodium mucronatum	111662881
taxon	108008892
taxonomer	110713320
taxonomic	303030011
taxonomic category	108008892
taxonomic group	108008892
taxonomical	303030011
taxonomically	400518567
taxonomist	110713320
taxonomy	101015712 106162674 108395087
taxophytina	111680988
taxopsida	111680988
taxpayer	110713659
taxpaying	302375042
taxus	111681658
taxus baccata	111682360
taxus brevifolia	111682579
taxus cuspidata	111682822
taxus floridana	111683036
tay	106948688
tay-sachs	114192846
tay-sachs disease	114192846
tayalic	106953616
tayassu	102400029
tayassu angulatus	102400396
tayassu pecari	102400639
tayassu tajacu	102400396
tayassuidae	102399903
taylor	111353232 111353385 111353596
taymyr peninsula	109044502
tayra	102454046
tazicef	102993140
tazir crime	100776003
tb	113650943 113651137 113651315 114166897 114681745
tbilisi	109041564
tbit	113651315
tc	108313421 114681226
tce	114875601
tchad	108737870
tchaikovsky	111353757
tchotchke	103002303 109924983
tchotchkeleh	109924983
tcp	106678955
tcp/ip	106679231
tdt	115181706
te	106882179 114681407
te deum	107051130
te kanawa	111354768
tea	107591075 107949081 107949514 108271662 112950543
tea bag	104403943 107949394
tea ball	104404037
tea biscuit	107650510
tea bread	107697009
tea break	107593483
tea caddy	102938771
tea cart	104404162
tea ceremony	101029173
tea chest	104404303
tea cloth	104404513
tea cosy	103119030
tea cozy	103119030
tea family	112949821
tea garden	104404688
tea gown	104404780
tea leaf	107949081
tea maker	104404995
tea napkin	104405084
tea parlor	104405632
tea parlour	104405632
tea party	107465063
tea rose	112643244
tea service	104405444
tea set	104405444
tea table	104406086
tea tortrix	102287263
tea towel	103212556
tea tray	104406181
tea trolley	104404162
tea urn	104406293
tea wagon	104404162
tea-like drink	107949770
tea-scented	301061240
tea-strainer	104405969
teaberry	107759699 112256282
teacake	107650360 107650510
teacart	104404162
teach	111353998 200274533 200830768
teach-in	107160491
teachable	302460707
teacher	105863377 110713754
teacher's certificate	106491165
teacher's pet	110714345
teacher-student relation	113862752
teachers college	108429577
teachership	100605926
teaching	100884975 100888759 106195690
teaching aid	104404396
teaching certificate	106491165
teaching fellow	110714435
teaching method	105668782
teaching reading	100889962
teacup	104404587 113792775
teacupful	113792775
teahouse	104405632
teak	112937271 112937483
teakettle	104404903
teakwood	112937483
teal	101850764 104975603 300372225
team	108001826 108225481 201091696
team spirit	104632486
team sport	100889222
team teaching	100889380
team up	201091696
teammate	110714546
teamster	110714688 110714829
teamsters union	108250548
teamwork	101205984
teapot	104405179
teapot dome	107321298
teapot dome scandal	107321298
tear	100391894 100511734 105412667 109433806 200066748 201386929 201559128 201576346 202059191
tear apart	200848023
tear away	200179012
tear down	201665698
tear duct	105339360
tear gas	115092444
tear gland	105339201
tear into	201245101
tear off	200179012
tear out	201353852
tear sac	105339536
tear sheet	106267718
tear up	201576722
tearaway	110714946 300327506
teardrop	105412667 113924618
tearful	301368155 302482616
tearfully	400476889
tearfulness	107549666
teargas	115092444 201127984
tearing	113527046 301515606
tearing down	100218912
tearjerker	106385771
tearless	302483452
tearoom	104405632
tears	100869874
teary	302483130
teary-eyed	302483130
teasdale	111354210
tease	100426908 109984664 110715051 200039919 200852181 200854188 201358959 201466421 201534423 201575217 201807344 201807605
tease apart	201466421
teased	300923844
teasel	112703172
teaser	104405302 104463547 106409288 106797496 107265536 110715051 110715318
teashop	104405632
teasing	100257828 100426908 100514852 300090253 302105282 302130499
teasingly	400476618
teasle	112703172
teaspoon	104405823 113792869
teaspoonful	113792869
teat	105562286
teatime	107591075
teazel	112703172
tebaldi	111354312
tebet	115239864
tebibit	113651497
tebibyte	113650943
tec	110028930
tech	108302167
techie	110715413
technetium	114681226
technical	100772845 104406404 300486058 301112409 302235691 302820043 302820296 302820431 302902437
technical analysis	100650509
technical analysis of stock trends	100650509
technical analyst	109930298
technical foul	100772845
technical grade	301914722
technical knockout	100135066
technical school	108302167
technical sergeant	110715597
technical-grade	301914722
technicality	105828731 114604142
technically	400127721 400127856 400128014
technician	110715747 110716004
technicolor	105674930
technique	105651035 105672990
techno	107072104
technobabble	107102511
technocracy	108380033
technocrat	110716168 110716251
technological	302092125 302820431
technological revolution	115285088
technologically	400146377
technologist	109638837
technology	100951435 103707142 106134474
technology administration	108147694
technophile	110716384
technophilia	107571340
technophilic	302820697
technophobe	110716509
technophobia	107519497
technophobic	302820797
techy	301140041
tecophilaeacea	112485612
tectaria	113222137
tectaria cicutaria	113222321
tectaria macrodonta	113222464
tectona	112937116
tectona grandis	112937271
tectonic	302909373 302950436
tectonic movement	107324956
tectonics	106127977 106133966
tecumseh	111354423
tecumtha	111354423
ted	110716631
ted hughes	111085224
ted shawn	111316592
ted williams	111409896
teddy	103017234 104406517
teddy bear	104406517
teddy boy	110716631
teddy boys	108387131
tedious	300551456 301348155
tediously	400216346
tediousness	105213505
tedium	105213505 107555178
tee	104406672 104406835 108679015 201358513 201502331
tee hinge	104406981
tee off	201086581
tee shirt	103600807
tee up	201502331 201652226
teeing ground	108679015
teem	202032212 202720849
teem in	202721798
teeming	300016388
teemingness	105122340
teen	109791452 301652425
teenage	301652425
teenaged	301652425
teenager	109791452
teens	113769254 115173427
teensy	301395585
teensy-weensy	301395585
teentsy	301395585
teeny	301395585
teeny-weeny	301395585
teeoff	100575114
teepee	104419551
teeter	104174820 201885027
teeter-totter	104174820 201996407
teeterboard	104174820
teetertotter	104174820 201996407
teeth	105289932
teethe	200095744
teething	113586984
teething ring	103079772
teetotal	201198897 300803524
teetotaler	110716778
teetotaling	101071791
teetotalism	101071791
teetotalist	110716778
teetotaller	110716778
teetotum	104461511
