ringgold wilmer lardner	111137734
rise	100325210 100365086 105076087 105117485 105117708 107339517 107341888 107362999 107460080 109229873 200018151 200098524 200154951 200155355 200433389 200434185 201158011 201822083 201972576 201973786 201974362 201987148 201987278 201994295 202589224 202630344 202702643
rise to power	100237448
rise up	201985637 201994295 202589224
risen	302500986
riser	104101814 104101953 110552133
riser main	104101953
riser pipe	104101953
riser pipeline	104101953
risibility	104648187
risible	301268418
rising	100964240 107460080 301647285 301737331 302494208 302496610
rising prices	113520031
rising slope	105076087
rising tide	107417630
rising trot	100288606
risk	100803899 105100555 105100680 114565454 202550045 202551275
risk arbitrage	101096217
risk capital	113375275
risk of exposure	105100555
risk of infection	105100680
risk taker	110138857
risk-free	302065933
riskily	400446091
riskiness	114567154
riskless	302065933
risklessness	114562510
risky	302067215 302282286
risky venture	100797976
risotto	107891412
risque	302139604
riss glaciation	113508841
rissa	102045291
rissole	107882253
rit.	302549225
ritalin	103762153
ritardando	302549225
rite	101029801 101031438
rite of passage	101039326
ritenuto	302549225
ritonavir	104102077
rittenhouse	111283327
ritual	100415803 101029801 101032852 302903641 302903908
ritual dance	100542516
ritual dancing	100542516
ritual killing	100228462
ritualise	200526526
ritualism	101033055 106157453
ritualist	110552308 110552443
ritualistic	303123500
ritualize	200526526
ritually	400222149
ritz	104102203 106902925 111283548
ritzy	300854054
rival	110552570 201124620 202677976
rivalrous	300514866
rivalry	101171059
rive	201559354 201576107
river	109434308
river acheron	109209606
river adige	109210640
river aire	109214585
river arno	109229581
river avon	109234851 109235058
river basin	108536123
river birch	112303450
river blindness	114477496
river boat	104102304
river bottom	109438549
river boulder	109438671
river cam	109254494
river cocytus	109271630
river cooter	101671533
river dolphin	102074692
river gum	112356850
river horse	102401173
river kasai	109347380
river lethe	109361359
river limpet	101952614
river otter	102447635
river pear	107769424
river prawn	101990368 107810329
river red gum	112356850
river severn	109453675
river shad	102533462
river styx	109472922
river thames	109480150
river trent	109484645
river tyne	109487935
rivera	111283677
riverbank	109438462
riverbed	109438549
riverside	109087338 109438462
rivet	104102436 104350424 200724156 200724637 201369969
rivet line	104102819
riveter	104102671 110553098
riveting	301347019
riveting machine	104102671
rivetter	104102671 110553098
riviera	108958974
rivina	111876858
rivina humilis	111877042
rivulet	109438816
rivulus	101450299
riyadh	109016241
riyal	113720432 113720811
riyal-omani	113719239
rn	110536120 114676283
rna	114856363
rna polymerase	115009246
rnase	114856216
ro	106910573
roach	101445091 102235990 104042970 104102947 105268587 201302059 201302148
roach clip	104103032
roach holder	104103032
road	100174852 104103160
road agent	110195138
road builder	110553238
road construction	100914564
road game	100457714
road gang	108260413
road hog	110553337
road map	104104350 105921146
road mender	110553431
road metal	114720851
road rage	101172896
road roller	104317295
road runner	110312630
road sense	105623041
road show	100524134
road surface	104104621
road test	105808161
road to damascus	107433097
roadbed	104103827
roadblock	104103942 105698721
roadbook	106434733
roadhog	110553337
roadhouse	104104179
roadkill	101761650
roadless	300020278
roadman	110553431 110746438
roadrunner	101826676
roads	108657875
roadside	104572519
roadstead	108657875
roadster	102915903 104104467
roadway	104104716
roadworthiness	104814878
roald amundsen	110835827
roald hoffmann	111074851
roam	201885173
roamer	110785347
roan	102377954 115039412 300401533
roanoke	109174166
roar	107136069 107392282 107406880 200029829 200917558 201047931 201048804 201050590 202000220
roar off	202018585
roarer	110553540
roaring	107136069 107392282 302339849 400446217
roast	105742326 107596347 200325361 200853615 300620996
roast beef	107679541
roast beef plant	112434147
roast lamb	107683960
roast pork	107685533
roast veal	107681589
roasted	300620996
roaster	104104854 107661240 110553834 110553946
roasting	100248309
rob	202324030 202326371
rob roy	107932040 111167338
robalo	102562493
robaxin	103761074
robber	110554143
robber fly	102198771
robber frog	101645896 101646148
robbery	100783339 100968703
robbery conviction	101196715
robbery suspect	110554305
robbins	111283793
robe	103455460 104104960 200051760 201619938
robe-de-chambre	103242695
robed	300456473
robert	111283992
robert a. heinlein	111058501
robert abram bartlett	110856619
robert adam	110827649
robert alexander schumann	111307006
robert andrews millikan	111200466
robert anson heinlein	111058501
robert barany	110853772
robert bartlett	110856619
robert benchley	110863301
robert boyle	110879704
robert brown	110885972
robert browning	110886651
robert bruce mathias	111184322
robert bunsen	110891011
robert burns	110893266
robert burns woodward	111416333
robert charles benchley	110863301
robert charles venturi	111382880
robert clive	110922686
robert curl	110937871
robert de niro	110950664
robert e lee day	115207404
robert e lee's birthday	115207404
robert e. lee	111143580
robert e. peary	111247786
robert edward lee	111143580
robert edwin peary	111247786
robert emmet sherwood	111318393
robert f. curl	110937871
robert falcon scott	111309481
robert floyd curl jr.	110937871
robert frost	111003927
robert fulton	111005834
robert graves	111032296
robert gray	111032672
robert herrick	111065791
robert hooke	111077920
robert hutchings goddard	111022891
robert i	110887060
robert indiana	111091457
robert james fischer	110991520
robert jemison van de graaff	111379032
robert joffrey	111105803
robert king merton	111196659
robert koch	111128390
robert lee frost	111003927
robert louis balfour stevenson	111337892
robert louis stevenson	111337892
robert lowell	111162778
robert m. yerkes	111422622
robert macgregor	111167338
robert maynard hutchins	111088912
robert mearns yerkes	111422622
robert merton	111196659
robert mills	111200633
robert mitchum	111202956
robert morris	111211838
robert motherwell	111213918
robert nesta marley	111177570
robert oppenheimer	111235899
robert orr	111237062
robert owen	111239111
robert peary	111247786
robert peel	111248029
robert penn warren	111394947
robert r. livingston	111155600
robert ranke graves	111032296
robert redford	111276115
robert robinson	111286514
robert schumann	111307006
robert scott	111309481
robert southey	111329159
robert the bruce	110887060
robert traill spence lowell jr.	111162778
robert treat paine	111241097
robert tyre jones	111110502
robert van de graaff	111379032
robert venturi	111382880
robert walpole	111392367
robert wilhelm bunsen	110891011
robert william service	111313626
robert woodrow wilson	111411910
robert woodward	111416333
robert's rules of order	110554406
roberto francesco romolo bellarmine	110862326
roberts	111284183 111284333 111284498 111284604
robertson	111284818
robeson	111284963
robespierre	111285173
robin	101561634 101564906
robin goodfellow	109564920
robin hood	110554604
robin redbreast	101564906
robin's plantain	111987611
robinia	112588273
robinia hispida	112588455
robinia pseudoacacia	112588691
robinia viscosa	112589154
robinson	111285406 111285581 111285721 111285904 111286107 111286269 111286514
robinson crusoe	110554753
robinson jeffers	111101663
robitussin	104105126
roble	112294456 112583290
roble beech	112287650
robot	102764397
robot bomb	102933307
robot pilot	102765174
robotic	301503678 302951118
robotic telesurgery	100686449
robotics	106143105
robotics equipment	104105263
robotlike	301503678
robust	301957934 302045115 302331139 302405819
robusta coffee	112684120
robustious	301670742
robustly	400446279
robustness	104927177 105038178
roc	109524454
rocambole	112455490
roccella	113009767
roccella tinctoria	113009767
roccellaceae	113009463
rocco marciano	111175933
roccus	102570591
roccus saxatilis	102570718
rocephin	102993348
rochambeau	111286693
rochelle powder	115034204
rochelle salt	115034041
rochelle salts	115034041
rochester	109125720 109147869
rochon prism	104105354
rock	100348834 107078755 107624692 109438954 110554923 111286910 114720954 201879288 201880021
rock 'n' roll	107078755
rock 'n' roll musician	110555438
rock and roll	107078755
rock band	108267422
rock barnacle	102001395
rock bass	102567034 102570264
rock beauty	102608682
rock bit	104105493
rock bottom	108529254
rock brake	113194595 113231103 113232688
rock cake	107657679
rock candy	107624589 107624692
rock climber	110555161
rock climbing	100326920
rock concert	106906018
rock cornish	101793198
rock cornish hen	107661772
rock crab	101981096
rock cress	111892615
rock crystal	114718454
rock dove	101815303
rock drill	102878678
rock elm	112426993 112429378
rock fever	114151511
rock garden	104106948
rock geranium	112819226
rock group	108267422
rock gunnel	102617928
rock harlequin	111924946
rock hind	102572262
rock hopper	102059984
rock hyrax	102375604
rock island	109106836
rock kangaroo	101881570
rock lobster	101987336 107809236
rock maple	112774005
rock music	107078755
rock of gibraltar	109051211
rock oil	115005138
rock opera	106604544
rock outcrop	109404154
rock partridge	101810932
rock penstemon	112908473
rock pigeon	101815303
rock pink	111884186
rock plant	113144440
rock polypody	113194595
rock purslane	111879172
rock python	101747042
rock rabbit	102331081 102375604
rock rattlesnake	101759374
rock rose	112394935 112396590
rock salmon	107811574
rock salt	114696385
rock sandwort	111827148
rock sea bass	102570264
rock snake	101747042
rock spikemoss	113245973
rock springs	109182961
rock squirrel	102361542
rock star	110555973
rock sunfish	102567034
rock wallaby	101881570
rock wool	114793805
rock wren	101588356 101591366
rock'n'roll	107078755
rock-and-roll	107078755
rock-bottom	301215762
rock-inhabiting	301315421
rock-loving	301175579
rock-ribbed	301028827 302249578
rock-steady	302309650
rockabilly	107078577
rockbound	302249578
rockchuck	102364502
rockcress	111892615 111894550
rockefeller	111287103
rocker	104105607 104105804 104105889 104107063 110555263 110555438 110555578
rocker arm	104106097
rockers	108387805
rockery	104106948
rocket	104106269 104106523 104240011 107277721 111907006 201244317 201947945
rocket base	104106743
rocket cress	111894550
rocket engine	104106269
rocket engineer	110555691
rocket firing	100104239
rocket fuel	114716187
rocket larkspur	111753036
rocket launcher	103652834
rocket launching	100104239
rocket propellant	114716187
rocket propellent	114716187
rocket propulsion	111519079
rocket range	104106855
rocket salad	111907006
rocket scientist	110555691 110555831
rocket-propelled	302799740
rocketry	106145110
rockfish	102570718 102646743 107808195
rockfoil	112813775
rockford	109106734
rockies	109439448
rockiness	104779430
rocking chair	104107063
rocking horse	103528796
rockingham	111287333
rockingham podocarp	111672827
rocklike	301155454
rockrose	112394935 112396590
rockrose family	112394519
rockslide	107420417
rockweed	101407269
rockwell	111287558
rockwell kent	111121566
rocky	300751523 302249732 302251311 302300873
rocky marciano	111175933
rocky mountain bee plant	111887175
rocky mountain bighorn	102418223
rocky mountain bristlecone pine	111637723
rocky mountain dogbane	111788577
rocky mountain goat	102421111
rocky mountain jay	101584075
rocky mountain national park	108626370
rocky mountain pinon	111630498
rocky mountain sheep	102418223
rocky mountain spotted fever	114165138
rocky mountain whitefish	102542722
rocky mountains	109439448
rocky mountains cherry	112663495
rocky-mountain maple	112774934
rococo	104707115 301801353
rocroi	101295228
rod	101380243 103432112 104107268 105464032 113635960 113672539
rod cell	105464032
rod laver	111139624
rod-shaped	302054833 302152403
rodent	102332053
rodentia	102331745
rodeo	100523995 104107613
rodeo rider	109992602
rodgers	111287735
rodhos	108801664
rodin	111287939
rodlike	302054833
rodney george laver	111139624
rodolia	102169326
rodolia cardinalis	102169478
rodomontade	107244749
rodrigo borgia	110832808
rodya raskolnikov	110527376
roe	101464086 101464173 102325276 107815254
roe deer	102436177
roebling	111288108
roebuck	102436360
roentgen	111288316 113667510
roentgen ray	111547628
roentgenium	114677003
roentgenogram	104107714
roentgenographic	303009946
roentgenography	100906321
roentgenoscope	103375492
rofecoxib	104108088
rogaine	103777353
rogation	107205134
rogation day	115217571
roger bacon	110850327
roger bannister	110853191
roger brooke taney	111350687
roger de mortimer	111212891
roger eliot fry	111004253
roger fry	111004253
roger huntington sessions	111313795
roger sessions	111313795
roger sherman	111317746
roger taney	111350687
roger williams	111409614
rogers	111288513 111288657 111288873
roget	111289075
rogue	110556285
rogue elephant	102506387
rogue nation	108187273
rogue state	108187273
rogue's gallery	108423117 108423216
roguery	100737673
roguish	301227614 302129677
roguishly	400446377 400446492
roguishness	100737673 104916898
rohypnol	103374866
roi	115306547
roil	201422383 201889423
roiled	300088282 301811355
roiling	300088282
roily	300088282
roister	202498909
roisterer	110556454
rolaids	114802015
roland de lassus	111138352
rolando's area	105497292
rolando's fissure	105231116
role	100721817 100723312 105156572 105937794
role model	110344517
role player	109784701 110221154
roleplay	201723780
roleplaying	100553134
rolf	111289226
roll	100105229 100171161 100290503 101248360 104108326 104108469 106419376 106506991 107364132 107403416 107403930 107456219 107696677 113377742 113898609 200100164 200124886 200125097 200143024 200325228 201057850 201393934 201525056 201528927 201870178 201870596 201879677 201885173 201891013 201905776 202202528 202327592 202693093
roll around	200344696
roll call	101013825
roll down	201970713
roll film	104109966
roll in	200585681
roll in the hay	100847651 201429048
roll of tobacco	104110585
roll off	200947680
roll out	201393934 201489811
roll over	201871802 202276335 202276512
roll up	200124886 200436641 200436806 201348271 201489634 202010467 202309962
roll-on	104110759 104110863
roll-on roll-off	104111012
rollback	100363084 100982865
rolled	300254335 301884326 302325735
rolled biscuit	107709914
rolled into one	301333614
rolled oats	107584067
roller	100130255 101817396 101829005 103154898 104108591 104108795 107364132
roller bandage	104108954
roller bearing	102783338
roller bit	104105493
roller blind	104109379
roller coaster	104109500 114003271
roller skate	104109712 201941393
roller skating	100449943
roller towel	104109854
roller-skater	110556664
rollerblade	104109256 201941851
rollerblader	110556575
rollerblading	100449857
rollick	201887709
rollicking	302129430
rollickingly	400222767
rolling	100123350 100785416 107403930 301884326
rolling hitch	104110056
rolling mill	104110188
rolling paper	114836736
rolling pin	104110300
rolling stock	104110458
rolling wave	107364132
rollmops	107801463
rollo	111289226
rollover	101158209
rolodex	104111241
roly-poly	107635754 110101915 300990698
roly-poly pudding	107635754
rolypoliness	105008254
rom	104065351
roma	108824749 110173755
romaic	106989493 303123714
romaine	107740237
romaine lettuce	107740237 112007198
roman	106840553 109736329 109736443 302932638 302932882 302933066 302933399
roman a clef	106380700
roman alphabet	106509863
roman arch	104111478
roman architecture	105850817
roman basilica	102804213
roman building	104111594
roman calendar	115198877
roman candle	104111735
roman catholic	108100476 109699900 302933066
roman catholic church	108100476
roman catholic pope	110473089
roman catholicism	106237693
roman church	108100476
roman collar	103045949
roman coriander	111757594
roman deity	109575810
roman emperor	110556797
roman empire	108818110
roman fleuve	106381313
roman hyacinth	112479218
roman inquisition	108350566
roman jakobson	111098764
roman law	106546650
roman legion	108200838
roman letters	106840553
roman mile	113677032
roman mythology	107999593
roman nettle	112413282
roman nose	105607256
roman numeral	106820515
roman osipovich jakobson	111098764
roman pace	113677188
roman print	106840553
roman republic	108817810
roman times	115145657
roman type	106840553
roman wormwood	111924946 111951463
romanal	106910752
romance	105215690 106380839 106382890 106976693 113954469 200836236 201039782 201779703 202540158 303091779
romance language	106976693
romanesque	105851233
romanesque architecture	105851233
romani	110173755 303123845
romania	108831830
romanian	106981017 109747627 302973817
romanian monetary unit	113707451
romanic	302932638
romanise	200997570
romanism	106237693
romanist	302933066
romanize	200997570
romanoff	108174571 110557265
romanov	108174571 110557265
romans	106454833
romansh	106980848 302799855
romantic	110557379 110557463 301468104 301842899 302799975
romantic movement	106164599
romantic realism	108485272
romantically	400446613 400472504
romanticisation	101221796
romanticise	200535760 200694938
romanticism	105160149 105215690 106164599
romanticist	110557463 110599128 302799975
romanticistic	302799975
romanticization	101221796
romanticize	200012847 200535760 200694938
romany	106982496 110173755 303123845
romberg	111289357
rome	108102450 108824749
rome beauty	107758581
romeo	110557639
romish	302933066
rommany	110173755
rommel	111289505
romneya	111928023
romneya coulteri	111928158
romp	100512828 107490247 110734679 201102978 201887709 201930831
romper	104111864 110557711
romper suit	104111864
romulus	109579434
ron	106995774
ronald george wreyford norrish	111229665
ronald reagan	111275450
ronald wilson reagan	111275450
rondeau	106392502 107057714
rondel	106392502
rondelet	106392897
rondo	107057714
roneo	103772994 201699354
roneograph	103772994
rontgen	111288316
rood	103144943
rood screen	104112019
rood-tree	103144943
roof	104112162 104112532 106670391 109439768 201236557
roof garden	104112703
roof mushroom	113039962
roof of the mouth	105317250
roof peak	104112885
roof rack	103701635
roof rat	102336561
roofed	301704528
roofer	110557829
roofing	100619229 104112798
roofing material	115030283
roofing paper	115000560
roofing tile	115099135
roofless	301054302 301704746
rooftop	108681512
rooftree	104096264
roofy	104042970
rooibos	112528328
rook	101582051 102984084 202578034
rookery	108662001
rookie	110001364
room	104112987 108002390 113799976 114509020 202662859
room access	103228735
room clerk	110557955
room decorator	110230422
room light	104114837
room rate	113348158
room temperature	105021626
roomer	110289155
roomette	104114692
roomful	113791263
roomie	110558075
roomily	400446725
roominess	105112565 105626390
rooming house	103691146
roommate	110558075
rooms	104358628
roomy	110558075 300478239
roosevelt	111289687 111290013 111290370
rooseveltian	303049438
roost	104114964 104115078 200416560 201546513
rooster	101794799
root	105315809 106311183 106311435 108022396 108524579 109811996 113145876 113753809 200358789 200358968 200416323 201285016 201531982 202562263 202629812
root beer	107945127
root beer float	107939416
root canal	105316006
root cap	113147187
root celery	112954376
root cellar	104115231
root climber	113123782
root crop	113147067
root for	201151176
root hair	113147443
root on	200860463
root out	201569697 201666012
root rot	114305494
root system	113145762
root vegetable	107726028
root word	106311183
rootage	108524579 113145762 114030169
rootbound	300256908 301837660
rooted	301569274
rooter	110659323
rooter skunk	102449276
rooting	113573327
rooting reflex	100868841
rootle	201285016
rootless	302136116
rootlet	113147339
roots	114088894
rootstalk	113149341
rootstock	113148062 113149341
rope	104042970 104115362 201291758 201607172
rope bridge	104115916
rope burn	114310497
rope down	201927051
rope in	200770675 201591218
rope ladder	104116002
rope off	201591218
rope tow	104116093
rope up	201291933
rope yard	104116198
rope yarn	104116334
rope-a-dope	100447617
rope-maker	110558186
ropebark	112368156
ropedancer	110558572
ropemaker	110558186
roper	110558186 110558290 110558410
ropewalk	104116198
ropewalker	110558572
ropeway	104477048
ropey	302356281 302425561 302800233
rophy	104042970
ropiness	104943081
roping	100300506
ropy	302356281 302425561 302800233
roquefort	107868278
roquefort dressing	107849648
roquette	111907006
roridula	112805131
roridulaceae	112804756
rorippa	111915739
rorippa amphibia	111916183
rorippa islandica	111915941
rorippa nasturtium-aquaticum	111913600
rorqual	102066991
rorschach	101009849
rorschach test	101009849
rosa	112640792
rosa banksia	112641730
rosa canina	112641871
rosa chinensis	112642021
rosa damascena	112642171
rosa eglanteria	112642380
rosa laevigata	112642706
rosa melba ponselle	111262459
rosa moschata	112643058
rosa multiflora	112642833
rosa odorata	112643244
rosa parks	111243386
rosa pendulina	112641422
rosa ponselle	111262459
rosa spithamaea	112641540
rosacea	114245834
rosaceae	112640067
rosaceous	300383235 303153546
rosales	112639703
rosario	108731238
rosary	104116429
rose	104978580 107909228 112640957 300383235
rose acacia	112588455
rose apple	107786010 112352735
rose bay	111794456
rose bed	104116565
rose beetle	102178221
rose bug	102177666
rose campion	111832563
rose chafer	102177666 102178221
rose chestnut	112391066
rose family	112640067
rose garden	104116693
rose geranium	112708223
rose globe lily	112467851
rose gum	112358317
rose hip	112641307
rose leek	112453079
rose louise hovick	111144462
rose mallow	112194429 112199413
rose moss	111878344
rose of china	112199908
rose of jericho	111891528 113246263
rose of sharon	112200424
rose oil	114917279
rose periwinkle	111792877
rose pink	112318912
rose quartz	115030462
rose water	104117162
rose window	104117272
rose wine	107909228
rose-apple tree	112352735
rose-cheeked	301174367
rose-colored	300401705 301668621
rose-colored pastor	101580099
rose-colored starling	101580099
rose-lavender	300383473
rose-lilac	300383473
rose-mauve	300383574
rose-purple	300383656
rose-red	300383383
rose-root	112807033
rose-tinged	300383755
rose-tinted	300383755
roseate	300383235
roseate spoonbill	102009938
roseau	108781220
rosebay	112265167
rosebay willowherb	112363015
rosebud	110558717 111695476
rosebud cherry	112670799
rosebud orchid	112072261
rosebush	112640957
rosefish	102647447 107808093
rosehip	112641307
roselle	112200149
rosellinia	112987884
rosemaling	104116796
rosemary	107836121 112884920
roseola	114345380
roseola infantilis	114147241
roseola infantum	114147241
rosetta stone	106417534
rosette	104116993 104117272 113182896 114305051
rosewood	112542693 112542998
rosewood tree	112542693
rosh chodesh	115207920
rosh hashana	115207640
rosh hashanah	115207640
rosh hashona	115207640
rosh hashonah	115207640
rosh hodesh	115207920
rosicrucian	110558835 110559019 303153690
rosicrucianism	106201218
rosid dicot family	111587133
rosid dicot genus	111605791
rosidae	112233327
rosilla	111998356
rosin	114918291 201253240
rosin bag	104117375
rosiness	104978580 104984679 114074353
rosinweed	111993810 112035690
rosita	112311492
rosmarinus	112884798
rosmarinus officinalis	112884920
ross	111290567 111290762 111290938 111291084 111291339
ross sea	109440118
rossbach	101295421
rossetti	111291553
rossini	111291710
rostand	111291849
roster	106506991
rostock	108792537
rostov	109031860
rostov na donu	109031860
rostov on don	109031860
rostrate	300208626
rostrum	102455444 103164306
roswell	109138874
rosy	300177959 300372673 301174367 301668621
rosy boa	101745462
rosy-cheeked	301174367
rosy-colored	300401705
rosy-purple	300383656
rot	106624034 113479192 114584518 200093529 200210263
rot-resistant	301779745
rota	106508853 108352341
rotarian	110559173
rotary	104382492 104473168 300679539 303010069
rotary actuator	104117533
rotary club	108253172
rotary converter	104382492
rotary engine	104046849 104117748
rotary international	108253172
rotary joint	105604943
rotary motion	100342854
rotary press	104117935
rotary wing	104119346
rotatable	301528564
rotate	200246799 201098716 202048992 202049364 202049739 202399036
rotated	302477333
rotating mechanism	104118049
rotating shaft	104118284
rotation	100342854 105052532 107455579 113807769
