ciconiiformes	102004082
circumflex artery of the thigh	105350221
circumflex femoral vein	105371548
circumflex humeral artery	105350402
circumflex iliac artery	105350585
circumflex iliac vein	105371416
circumflex scapular artery	105350766
circumflex vein	105371224
circumfuse	202087643
circumlocution	106774053 107104571
circumlocutious	300771186
circumlocutory	300771186
circumnavigate	201915519
circumnavigation	100297089
circumpolar	302453443 302525865
circumscribe	200236085 201586415 201586577
circumscribed	302009566
circumscription	101151975
circumspect	301904557
circumspection	104898379 105623283
circumspectly	400282667
circumstance	105831106 107465938 113965927 114536419
circumstances	113350511 114496806
circumstantial	301107369
circumstantial evidence	106748282
circumstantially	400040959 400404465 400501406 400501538
circumstantiate	201014801
circumvallate	201133484
circumvent	200811316 201107263 201129837
circumvention	100742983
circumvolute	202744271
circumvolution	100343250
circumvolve	202049739
circus	100520795 100553716 101612190 103038845 103039074 108206141
circus acrobat	109943019
circus aeruginosus	101612597
circus cyaneus	101612867
circus pygargus	101612741
circus tent	103039237
cirio	112402750
cirque	109268421
cirrhosis	114139964
cirrhosis of the liver	114139964
cirrhus	113123705
cirriped	102000837
cirripede	102000837
cirripedia	102000673
cirrocumulus	109268556
cirrocumulus cloud	109268556
cirrostratus	109268739
cirrostratus cloud	109268739
cirrus	101902982 109268870 113123705
cirrus cloud	109268870
cirsium	111974231
cirsium arvense	111974630
cirsium discolor	111974814
cirsium eriophorum	111975111
cirsium flodmanii	111974953
cirsium helenioides	111975267
cirsium heterophylum	111975267
cirsium lanceolatum	111975622
cirsium rivulare	111975509
cirsium vulgare	111975622
cis	108312059
cisalpine	300411345
cisc	104939738 108360029
cisco	102542204 107811435
cislunar	302768218
cismontane	300411155
cissy	301479632
cistaceae	112394519
cistercian	110746040
cistern	103039495 103039700 105524362
cisterna	105524362
cistothorus	101587635
cistothorus palustris	101587928
cistothorus platensis	101588063
cistron	105444328
cistus	112394755
cistus albidus	112395222
cistus ladanifer	112395379
cistus ladanum	112395379
citadel	102809273
citation	102386978 106570268 106625409 106718888 106776392 107195230
citation form	106311622
cite	106776392 200792796 201017875 201025080 201025268 201025583 201026199 201709116
citellus	102360393
citellus citellus	102361236
citellus lateralis	102361042
citellus leucurus	102360563
citellus parryi	102361699
citellus richardsoni	102361364
citellus variegatus	102361542
citharichthys	102664711
citharichthys cornutus	102665027
cither	103039817 104622583
cithern	103039817
citified	302060007
citify	200500723
citizen	109943131
citizen genet	111014093
citizenry	108177175
citizens committee	108342616
citizenship	104905385 113976685
citizenship day	115215487
citlaltepetl	109196674
citole	103039817
citrange	107766275 112733080
citrange tree	112733080
citrate	114628362 200136481
citric	303066383
citric acid	114837042
citric acid cycle	113526670
citrin	115117704
citrine	114837237
citron	107766425 112730109
citron tree	112730109
citroncirus	112732909
citroncirus webberi	112733080
citronwood	111663957 112730351
citrophilous mealybug	102253719
citrophilus mealybug	102253719
citrous	303066464 303066642
citrous fruit	107763031
citrulline	114628464
citrullus	112184166
citrullus vulgaris	112184582
citrus	107763031 112728541
citrus aurantifolia	112732744
citrus aurantium	112729414
citrus bergamia	112729701
citrus decumana	112729863
citrus fruit	107763031
citrus grandis	112729863
citrus limetta	112732577
citrus limon	112732356
citrus limonia	112732158
citrus maxima	112729863
citrus mealybug	102254245
citrus medica	112730109
citrus nobilis	112731677
citrus paradisi	112730448
citrus reticulata	112730661
citrus sinensis	112731453
citrus tangelo	112731942
citrus tree	112728541
citrus whitefly	102249593
citta del vaticano	109184245
cittern	103039817
city	108243256 108542298 108558466
city block	108659720
city boy	109943771
city center	108541617
city centre	108541617
city council	108328212
city desk	108135567
city district	108555400
city editor	109943454
city father	109943564
city hall	103040007
city limit	108558693
city limits	108558693
city line	108533150
city man	109943653
city manager	110323481
city of bridges	108870026
city of brotherly love	109158883
city of god	105635976
city of light	108952341
city of london	108894500
city of the angels	109086143
city of westminster	108895774
city planning	100930357
city room	108135567
city slicker	109943771
city state	108194876
city university	103040229
city-born	302060007
city-bred	302060007
city-like	302060161
city-state	108194876
cityfied	302060007
cityscape	103040134 106219505
citywide	300528872
ciudad bolivar	109185207
ciudad de mexico	108762069
ciudad juarez	108760576
ciudad trujillo	108770126
ciudad victoria	108760725
cive	112455657
civet	102137872
civet bean	107745201
civet cat	102137872 102511373
civic	302707657 302708066
civic center	103082510 108561059
civic duty	101133325
civic leader	109943895
civic pride	104893985
civic responsibility	101133325
civic spirit	104893985
civics	106152905
civies	103040326
civil	300413432 300645401 300645956 301522244 302707657 302707853
civil action	101186720
civil authority	110561390
civil censorship	100823179
civil contempt	101183208
civil day	115182001
civil death	100233632 113976010
civil defense	100962799
civil disobedience	101182417
civil engineer	109943998
civil engineering	106137134
civil law	106546650 108470475
civil leader	109943895
civil libertarian	109944312
civil liberty	105190510 114019147
civil list	113443234
civil marriage	101039609
civil officer	110561390
civil order	113992306
civil right	105189831
civil rights activist	109944454
civil rights leader	109944454
civil rights movement	108488380
civil rights worker	109944454
civil servant	109944917
civil service	108374185
civil suit	101185521
civil time	115141495
civil union	113987940
civil war	100964678
civil wrong	100735181
civil year	115227430
civil-libertarian	300577871
civilian	109944200 301522004
civilian clothing	103040454
civilian dress	103040454
civilian garb	103040454
civilisation	104819244 108128749 108304765 113470143
civilise	200412237 202393545
civilised	300412963 301954376
civility	101230397 104921310
civilization	104819244 108128749 108304765 113470143
civilize	200412237 202393545
civilized	300412963 301954376
civilly	400339616
civvies	103040326
cjd	114123976
cl	113645213 114658769 302205033
clabber	107866195 200458725
clack	103040686 107394563 201038676 201056721 202176571
clack valve	103040686
clad	300455759 302162648
cladding	103320589
clade	108008750
cladistic analysis	106162992
cladistics	106162992
cladode	113150773
cladogram	113935439
cladonia	113011698
cladonia rangiferina	113011944
cladoniaceae	113011560
cladophyll	113150773
cladorhyncus	102038499
cladorhyncus leucocephalum	102038882
cladrastis	112536545
cladrastis kentukea	112536670
cladrastis lutea	112536670
claes oldenburg	111233716
claes thure oldenburg	111233716
claforan	102992930
claim	101063869 105183431 105188726 106742613 106743312 107206789 200758121 200758383 200760378 201020361 202280210
claim agent	109789352
claim form	106485611
claim jumper	109945282
claimant	109945050
claiming race	107476607
claims adjuster	109789352
claims adjustor	109789352
clairvoyance	107271363
clairvoyant	109945411 301888573 302116292
clam	101959122 107802662 113417070 201386601
clam chowder	107603271
clam dip	107598535
clam up	201042933
clamant	300716342 301926766
clamatores	101549784
clamatorial	302708414
clambake	107592534
clamber	100326328 201925765
clammily	400501646
clamminess	114559687
clammy	302559389
clammy chickweed	111827577
clammy locust	112589154
clammyweed	111887780
clamor	107136826 107392073 200776686 200916994 202512573
clamoring	107136826
clamorous	301926766
clamorously	400414618
clamour	107136826 200776686 200916994
clamouring	107136826
clamp	103040851 200749938 201346292
clamp down	200419874
clampdown	100810628
clams	113406389
clamshell	101959490 103041093
clan	107986142
clan member	110327942
clandestine	301710918
clandestine operation	100985737
clang	107394744 202178559
clanger	100077213
clanging	301927233
clangor	107394744 202178559 202178905
clangoring	107394744
clangorous	301927233
clangour	107394744 202178905
clangula	101856404
clangula hyemalis	101856511
clank	107394744 202178755
clanking	301927410
clannish	301864680 302119261
clannishly	400286319
clannishness	104896532
clansman	110327942
clanswoman	110327942
clap	107390857 107394563 114157025 200034108 200863593 201239962 201240163 201610494 202098450 202098577
clap on	201367700
clap together	201626402
clap up	201626402
clapboard	115127574 201340094
clapped out	302591803
clapper	103041213 105308571 109945546
clapper valve	103040686
clapperboard	103041389
clapperclaw	200846978 201309226
clappers	102872589
clapping	106704734
claptrap	107101969
claque	108240058
clara josephine schumann	111307176
clare booth luce	111163796
clarence	103041575
clarence darrow	110942898
clarence day	110945524
clarence malcolm lowry	111162912
clarence seward darrow	110942898
clarence shepard day jr.	110945524
claret	104971178 107911410 201174096
claret cup	107947336
clarification	100265035 107185857
clarified butter	107864747
clarify	200506232 200941888
clarifying	301326767
clarinet	103041694
clarinet section	108234925
clarinetist	109945704
clarinettist	109945704
clarion	103041884 200980087 201737875 301456160
clarity	104708808 104827489
clark	110918301 110918445 110918681 110918916
clark cell	103042026
clark gable	111006433
clark standard cell	103042026
clark's nutcracker	101584625
clarksburg	109178757
claro	103042175
clary	112886922
clary sage	107836659 112885797
clash	100961487 107394744 114004622 114004756 200806890 201563925 202673757
clashing	300510504
clasp	100814187 103042266 201219086 201224892 201551072 201551358
clasp knife	103042465
class	100886144 104822408 107990472 108014145 108120743 108255384 108255581 108256729 200656296
class acrasiomycetes	112996742
class act	110345215
class actinozoa	101916479
class action	101185656
class amphibia	101628388
class angiospermae	111685380
class anthoceropsida	111558574
class anthozoa	101916479
class aphasmidia	101932429
class arachnida	101771610
class archiannelida	101937346
class ascidiaceae	101471173
class ascomycetes	113044543
class asteroidea	102319864
class aves	101504903
class bacillariophyceae	101403532
class basidiomycetes	113017601
class bivalvia	101958104
class bryopsida	111559386
class cephalopoda	101970756
class cestoda	101929942
class channidae	102516829
class charophyceae	101414726
class chilopoda	101787068
class chlorophyceae	101410106
class chondrichthyes	101482977
class chrysophyceae	101403216
class chytridiomycetes	112998325
class ciliata	101397542
class ciliophora	101397542
class coniferopsida	111626159
class crinoidea	102322619
class crustacea	101977040
class cryptophyceae	101423805
class cyanobacteria	101360900
class cyanophyceae	101360900
class cycadopsida	111620145
class cyclosporeae	101406609
class deuteromycetes	113016828
class diatomophyceae	101403532
class dicotyledonae	111686232
class dicotyledones	111686232
class diplopoda	101789043
class echinoidea	102321567
class equisetatae	113239620
class euglenophyceae	101408903
class eumycetes	113016195
class feeling	107563690
class fellow	110579534
class filicinae	113190117
class filicopsida	113190117
class flagellata	101418995
class gasteromycetes	113059704
class gasteropoda	101944311
class gastromycetes	113059704
class gastropoda	101944311
class ginkgophytina	111683900
class ginkgopsida	111683900
class gnetopsida	111616937
class gymnospermae	111615763
class hemiascomycetes	113045523
class hepaticae	111562792
class hepaticopsida	111562792
class heterokontae	101403216
class hexapoda	102161923
class hirudinea	101940360
class holothuroidea	102323994
class hyalospongiae	101910136
class hydrozoa	101914152
class hymenomycetes	113018890
class insecta	102161923
class lamellibranchia	101958104
class larvacea	101472928
class liliopsida	111688013
class list	106501181
class lycopodiate	113241740
class lycopodineae	113242281
class lycopsida	113241740
class magnoliopsida	111686232
class mammalia	101864106
class mastigophora	101418995
class merostomata	101789832
class monocotyledonae	111688013
class monocotyledones	111688013
class musci	111559386
class myriapoda	101789043
class myxomycetes	112996368
class nuda	101921740
class oligochaeta	101937653
class onychophora	102002028
class oomycetes	112998056
class ophiuroidea	102320140
class osteichthyes	102517206
class pauropoda	101785846
class pelecypoda	101958104
class period	101234811
class phaeophyceae	101404810
class phasmidia	101932592
class pinopsida	111627522
class placodermi	101482578
class plectomycetes	113047289
class polychaeta	101938860
class polyplacophora	101957370
class psilopsida	113236834
class psilotatae	113236834
class pteridospermopsida	111625149
class pyrenomycetes	113048830
class reptilia	101663360
class rhodophyceae	101416385
class sarcodina	101392516
class scaphopoda	101943671
class schizomycetes	101360776
class scyphozoa	101913170
class sphenopsida	113239620
class sporozoa	101424137
class structure	108395286
class struggle	100961911
class symphyla	101786025
class tardigrada	101786577
class taxopsida	111680988
class tentaculata	101922145
class thaliacea	101471863
class tiliomycetes	113086462
class trematoda	101928110
class turbellaria	101927774
class ulvophyceae	101410729
class war	100961911
class warfare	100961911
class xanthophyceae	101403413
class zygomycetes	112993389
class-action suit	101185656
class-conscious	301206375
classic	103042580 109945884 300414699 300613690 302352097 302479168
classic hemochromatosis	114230738
classical	107039369 300414699 300414979 300415245 300415419 300613690 302305827 302708882
classical architecture	105850512
classical ballet	100530659
classical conditioning	105767179
classical greek	106990270
classical haemophilia	114194254
classical hemophilia	114194254
classical latin	106975822
classical mechanics	106120942
classical music	107039369
classical mythology	107995347
classical scholar	109946114
classical style	104705859
classicalism	106164248
classically	400248413
classicise	200527723
classicism	106164248
classicist	109945977 109946114
classicistic	302931299
classicize	200527723
classics	106180087
classifiable	301275828
classification	101014654 101151399 105740701 107955878
classification system	105735165
classificatory	303030315
classified	107264253 300416228 300416747
classified ad	107264253
classified advertisement	107264253
classified stock	113356023
classifier	106319426 109946320
classify	200656296 200741667 202514452
classifying adjective	106333150
classless	300719121
classmate	110579534
classroom	103042670
classroom project	100730147
classwork	100730273
classy	300978969
clast	109269040
clastic	300163513 301335022
clastic rock	109269198
clathraceae	113063274
clathrate	301661988 302013634
clathrus	113063454
clatonia lanceolata	111879941
clatter	107395073 202176571
clattery	301927570
claude achille debussy	110946349
claude bernard	110867389
claude debussy	110946349
claude e. shannon	111315609
claude elwood shannon	111315609
claude levi-strauss	111150103
claude monet	111205382
claude shannon	111315609
claudication	114573529
claudio monteverdi	111207354
claudius	110919166
claudius i	110919166
claudius ptolemaeus	111267403
clausal	302948308
clause	106325134 106404578
clausewitz	110919499
claustrophobe	109946449
claustrophobia	114406657
claustrophobic	300079946 300560838
claustrum	105505573
clavariaceae	113006389
claver	201040538
claviceps	112986223
claviceps purpurea	112986386
clavichord	103042855
clavicipitaceae	113045260
clavicle	105281604
clavier	103043000 103935052
clavus	114388207
claw	102157394 102158792 102159184 103537852 200847444 201216068 201309314 201918290
claw hammer	102969997
claw hatchet	103043141
claw-shaped	302153574
clawback	100090477
clawed	300147151 302499639
clawfoot	114237483
clawhammer	102969997
clawlike	302499776
claxon	103627267 201055367 202187621
clay	105225393 110919703 110919898 114837352 114980464
clay pigeon	103043244
clay pipe	103043603
clay sculpture	103785154
clay-colored robin	101561801
clayey	300143538 300504399
claymore	103043338 103043478
claymore mine	103043338
claystone	114838589
claytonia	111879493
claytonia caroliniana	111879744
claytonia virginica	111880206
clayware	103999061
clean	100628078 200035769 200177724 200177871 200180982 201535222 201535377 201536230 201611610 201611855 202747835 300047873 300061923 300144562 300418932 300425527 300427844 300428828 300524165 300753551 300959923 301090782 301407924 301552957 301754399 301912517 301912661 301920489 302123753 400009835 400286521
clean and jerk	100628078
clean bill of health	107242249
clean bomb	103043696
clean house	201536230
clean out	200449819 202319764 202408550
clean room	103044361
clean slate	114508230
clean up	200040497 200276642 202259479 202284160
clean-burning	301102371
clean-cut	300783570 302431847
clean-handed	301322826
clean-limbed	302146978
clean-living	301552957
clean-shaven	302161120
cleanable	300419417
cleaner	103044572 109946547 109946763
cleaners	103043812
cleaning	100251880
cleaning device	103043932
cleaning equipment	103043932
cleaning implement	103043932
cleaning lady	109930684
cleaning pad	103044214
cleaning woman	109930684
cleanliness	104903356 114520035
cleanly	300419497 400232612 400286876
cleanness	114013874 114519777
cleanse	200035769 200502977
cleanser	103044572
cleansing	100251880 302123584 302125146
cleansing agent	103044572
cleanthes	110920118
cleanup	100251880 106498242 113280696
cleanup position	106498242
cleanup spot	106498242
clear	108649998 114013987 200178349 200181809 200195686 200195961 200451520 200451646 200451818 200550297 200622730 200763499 200804987 200905999 202057414 202085425 202161274 202213191 202294039 202294200 202296219 202296509 202355436 202427509 202529017 202777127 300429900 300433163 300436905 300462768 300701368 300775175 300783570 300872561 301066627 301323136 301408073 301587006 301626686 301754557 301912661 301920489 302468895 400287002 400287169
clear and present danger	114564849
clear away	200181704
clear liquid diet	107577737
clear off	200181704
clear out	200449819 200577305 201860336
clear sailing	100283797
clear the air	202007200
clear the throat	200035082
clear up	200178349 200485823 200622730 200941888 202777127
clear-air turbulence	114548089
clear-cut	200195435 300430512 300783570 301293151
clear-eyed	300775362
clear-sighted	300775362 302166061
clear-thinking	300436728
clearance	101143914 105097318 113800473
clearance sale	101121097
clearcutness	104828682
cleared	301292824 301323136
clearheaded	300436728
clearing	100265035 101250194 108558851
clearing house	108072268
clearly	400039452 400183387 400203770 400287002
clearness	104708808 104827489
clearstory	103045795
clearway	103044821
clearweed	112415585
cleat	103044968 103045099 103045250 201307262 202357391
cleats	103045434
cleavable	300788478
cleavage	100387153 105561530 113470329 113470492 113943045
cleavage cavity	101461883
cleave	201223449 201559354 201561463
cleaver	103045617
cleavers	112686920
clef	106875612
cleft	109281621 113931215 302179812 302490240
cleft foot	114237691
cleft lip	114237837
cleft palate	114237968
cleg	102198178
clegg	102198178
cleistes	112071754
cleistes divaricata	112071983
cleistes rosea	112072261
cleistocarp	111554223
cleistogamic	302708518
cleistogamous	302708518
cleistogamy	107453767
cleistothecium	111554223
clematis	111749947
clematis baldwinii	111750329
clematis crispa	111750484
clematis lasiantha	111750674
clematis ochreleuca	111750781
clematis tangutica	111750927
clematis texensis	111751071
clematis versicolor	111751219
clematis verticillaris	111752128
clematis viorna	111751402
clematis virginiana	111751626
clematis vitalba	111751880
clemence sophia harned lozier	111163153
clemenceau	110920276
clemency	101073335 114546010
clemens	110920482
clement	300439279 300439906
clement attlee	110847477
clement iii	110920705
clement philibert leo delibes	110948729
clement richard attlee	110847477
clement vii	110920944
clement xi	110921172
clement xiv	110921341
clementine	107764133 112731175
clementine tree	112731175
clench	100814187 103046969 201397466 201575809
clenched	301450672
clenched fist	105572697
cleome	111886547 111886717
cleome hassleriana	111886938
cleome pinnata	111917935
cleome serrulata	111887175
cleopatra	110921579
clepsydra	104565633
clerestory	103045795
clergy	108169784
clergyman	109946909
cleric	109947594
clerical	302566999 302708648 302708768
clerical collar	103045949
clericalism	106501401
clericalist	109947822
clerid	102173645
clerid beetle	102173645
cleridae	102173500
clerihew	106390250
clerisy	108404085
clerk	109947909 110567784 202416932
clerking	100620470
clerkship	100591633
clethra	112270510
clethra alnifolia	112270697
clethraceae	112270338
clethrionomys	102344761
cleveland	109153394 110921803
clever	300062144 300440992 301337910
clever clogs	109948303
clever dick	109948303
cleverly	400188967
cleverness	104737625 105628738 105641517
clevis	103046124
clew	106656526 107977993 201526189
clews	103046369
cli	106587681
clianthus	112537089
clianthus formosus	112537333
clianthus puniceus	112537582
clianthus speciosus	112537333
cliche	107168754
cliched	301693895
clichy	108953210
clichy-la-garenne	108953210
click	100113648 103907626 107132918 107393823 200593150 201056721 201057018 201244772 201897764 202190110 202190307
click beetle	102179091
click off	200492487
click open	201349230
click-clack	107395286
clickety-clack	107395384
clickety-click	107395384
client	103832647 110004189 110004605
client-centered therapy	100704489
client-server	302896674
clientage	113859550
clientele	108418511
cliff	109269370
cliff brake	113232688
cliff diving	100444677
cliff dweller	109948463
cliff dwelling	103046475
cliff penstemon	112908473
cliff rose	112119548
cliff swallow	101597609
cliff-brake	113232688
cliff-hanging	302414601
cliffhanger	106634188 107472890
clifford odets	111232110
clifford trust	113382797
cliftonia	112771803
cliftonia monophylla	112771932
climacteric	115179422 115179606
climactic	302497396
climate	114542968 114548263
climate change	113470623
climatic	303066779
climatic zone	108559644
climatical	303066779
climatically	400287341
climatologist	109948660
climatology	106128984
climax	100062953 106385370 107117039 107431643 114592097 200486540
climb	100325936 107385010 109229873 200154951 200249903 200434185 201925957 201927862 202041834
climb down	201982590
climb on	201927367
climb up	200155355 201925957 202109935
climb-down	107220962
climbable	301729245 302090537
climber	103131036 109948756 110354670 110638201 113123168
climbing	107385010
