poronotus triacanthus	102636052
potassium bitartrate	115037836
potassium bromide	114885717
potassium carbonate	114885867
potassium chlorate	114886038
potassium chloride	114885193
potassium cyanide	114886215
potassium dichromate	114886343
potassium ferrocyanide	115019628
potassium hydrogen carbonate	114884993
potassium hydrogen tartrate	115037836
potassium hydroxide	115021410
potassium iodide	114886467
potassium muriate	114885193
potassium nitrate	114885506
potassium permanganate	115019845
potassium sodium tartrate	115034041
potassium-argon dating	100994630
potation	100845236 107899955
potato	107726361 112918253
potato bean	107790008 112527884 112576058
potato beetle	102172626
potato blight	114241975
potato bug	102172626
potato chip	107728304
potato disease	114241975
potato family	112912986
potato fern	113199605 113236156
potato fungus	113036836
potato mildew	114241975
potato mold	114241975
potato mosaic	114304488
potato moth	102297059
potato murrain	114241975
potato nose	114420444
potato pancake	107657190
potato peel	107727428
potato peelings	107727428
potato race	107478280
potato salad	107823570
potato scab bacteria	101379288
potato skin	107727428
potato tree	112915007 112918759
potato tuber moth	102297059
potato tuberworm	102297229
potato vine	112916571 112918548
potato wart	114305353
potato wart fungus	113000076
potato worm	102302157
potato yellow dwarf	114308378
potato yellow-dwarf virus	101344368
potawatomi	106924633 109686054
potbellied	300989648
potbelly	103997560 105563704
potbelly stove	103997560
potboiler	106398696
potbound	301837660
potboy	110479599
poteen	107923582
potemkin	111264051
potemkin village	103997679
potence	114075210
potency	105041380 105203850 114075210 114506204
potent	301829730 301831137 301832697 301836317
potentate	110031556
potential	111514227 114506204 300044573 301890275
potential difference	111514227
potential divider	103997801
potential drop	111514227
potential energy	111514872
potential unit	113656245
potentiality	105630964 114506204
potentially	400302263
potentiate	200230227
potentiation	113560625
potentilla	112657466
potentilla anserina	112657884
potentiometer	103998004 103998195
potently	400429855
poterium	112658080
poterium sanguisorba	112658246
potful	113791173
pothead	110479759
pother	114427176 201823849 201824015
potherb	107724917
potholder	103998473
pothole	109420951
potholed	302249458
potholer	110479852
pothook	103998566
pothos	111809196 111812498
pothouse	104024793
pothunter	110480067 110480165 110480286
potion	107899226
potlatch	107469911
potluck	107589741
potman	110479599
potomac	109093744 109421092
potomac river	109421092
potomania	109204890
potoroinae	101882624
potoroo	101883114
potorous	101882996
potos	102511702
potos caudivolvulus	102511828
potos flavus	102511828
potpie	107891128
potpourri	103998683 107061563 108415730
potsdam	108792379
potsdam conference	108345018
potsherd	103998794
potshot	100125586 106724478
pott's disease	114163873
pottage	107602594 107602682
potted	300004816 301076882 301839839
potter	110480372 201475806 201475976 202420524
potter around	201475806
potter bee	102214548
potter wasp	102217151
potter's clay	114838295
potter's earth	114838295
potter's field	108644420
potter's wheel	103998867
potterer	110515778
pottery	100611136 103999061 103999246
pottle	103999333
potto	102501947 102511828
potty	103007879 104453655 300801955 301284984 301468558
potty chair	103999411
potty seat	103999411
potty-trained	301918864
potyokin	111264051
pouch	103999538 105524499 113937488 200264117 201440820 201488676
pouch-shaped	300538524
pouched	302774012
pouched mammal	101877075
pouched mole	101888686
pouched mouse	101887799
pouched rat	102356513
pouchlike	300538524
poudrin	111529795
pouf	103863938 110095821
pouf paste	107643790
pouffe	103863938
poulenc	111264409
poulet	107660576
poulette	107856280
poulterer	110480626
poultice	103999761 200082682
poultry	101792381 107660315
poultryman	110480626
pounce	101260841 202068286
pound	101177806 104000061 106822614 111264540 113669802 113708765 113715746 113716122 113716762 113717041 113717525 113717779 113742201 113742407 200332324 201304843 201305025 201417280 201566777 201577977 201884106 201929501
pound cake	107648838
pound net	104000236
pound off	201566777
pound sign	106822614
pound sterling	113708765
pound up	201305025
pound-foolish	302431273
poundage	100087117 105035514 113344229 113345934
poundal	113669615
pounder	103925552 113669996
pounding	101177806 107416326 107425126
pounds per square inch	113733675
pour	202032212 202073176 202073479 202074224 202360802 202763991
pour cold water on	201823710
pour down	201204994
pour forth	201544585
pour out	200943597 202073716 202074078 202074224
pourboire	113319724
pouring	301243678
pousse-cafe	107927039
poussin	111264755
pout	102521971 102619837 106890792 200034751 202724891
pouter	101814828 110647261
pouter pigeon	101814828
pouteria	112796290
pouteria campechiana nervosa	112796477
pouteria zapota	112796679
poutingly	400430084
poverty	114516729
poverty grass	112397257
poverty level	113314269
poverty line	113314269
poverty trap	113949965
poverty-stricken	302030681
pow	110495916
pow camp	104012288
powder	104000366 115021579 115040881 200041904 200332964
powder and shot	104000655
powder blue	104976608 300381240
powder compact	103082999
powder flask	104000972
powder horn	104000972
powder keg	104001115 114566747
powder magazine	103709577
powder metallurgy	106135447
powder method	113560788
powder monkey	110480846
powder photography	113560788
powder room	103638254
powder store	103709577
powder technique	113560788
powder-post termite	102228450
powder-puff	301488121
powdered	302241135
powdered ginger	107831139
powdered milk	107862119
powdered mustard	104000775
powdered sugar	107611485
powderer	110480735
powderiness	104955246
powderise	200332964 200333255
powderize	200332964 200333255
powderpuff	104001232
powdery	300410396 302241135
powdery mildew	112984388
powdery-blue	300381240
powell	111264877 111265100
power	105037846 105198072 105624029 106825275 108194510 109859605 110480990 111470903 111473433 113968154 201183856
power brake	104001376
power breakfast	108402720
power broker	110481783
power cable	104001893
power company	108203311
power cord	104001623
power couple	108005525
power dive	100327960
power drill	104001730
power failure	107436636
power grid	104003385
power hammer	103486604
power hunger	104843814
power law	106005270
power line	104001893
power loading	113848827
power loom	104002019
power meter	103277721
power module	104002104
power mower	104002214
power of appointment	105041203
power of attorney	106542780
power outage	107436636
power pack	104002362
power plant	104003013
power play	100559433 100561903 100789758
power point	103981029
power politics	107163646
power pylon	104035057
power saw	104002503
power series	105871554
power service	108203311
power shovel	104002774
power station	104003013
power steering	104003207
power structure	108392782
power system	104003385
power takeoff	104003632
power tool	104003842
power train	103436655
power trip	100812697
power unit	113656569
power user	110482154
power walking	100630249
power worker	110482317
power-assisted	302362557
power-assisted steering	104003207
power-dive	201967662
power-driven	301834867
power-station worker	110482317
powerboat	103795763
powerbroker	110481783
powered	301834109
powerful	301264435 301831389 301836317 302329581 302330844 400032793
powerfully	400429855 400430156
powerfulness	105198072
powerhouse	104003013 108098019 110481995
powerless	301833253
powerlessly	400430404
powerlessness	105211905
powerwash	201538703
powhatan	106924738 109686181 111265372
powwow	107159124 108339360 200765181
powys	111265580 111265734 111265892
pox	114147714 114157467
poxvirus	101336372
poyang	109421408
poyou	102458351
pozsony	108777096
ppk	108046661
pplo	101376704
ppp	100690982
pr	107262593 108770807 114675391
pr man	110489196
practicability	105159397
practicable	301828067 301841381
practicableness	105159397
practicably	400430483
practical	300866742 301840022 301947268 301948431
practical application	100950950
practical joke	100515139
practical joker	110483280
practical nurse	110278001
practical politics	106158489
practicality	105158335
practically	400023283 400054050 400054282
practice	100411260 100412061 100632621 100896250 105675040 200607488 201727101 202380559 202567247 202574587
practice bundling	200015156
practice game	100457923
practice of law	100612411
practice of medicine	100613447
practice range	104004103
practice session	100896250
practice teacher	110685698
practiced	300939696 302234002
practician	110482426
practise	200607488 201727101 202574587
practised	300939696
practitioner	110482426
praenomen	106348964
praesidium	108344320
praetor	110482594
praetorial	303113275
praetorian	110482825 300624670 303113275
praetorian guard	108446303 110482825
praetorium	104004233
praetorship	100597308
prag	108775759
pragmatic	106553569 301841127 301947268 302793891
pragmatic sanction	106553569
pragmatical	301841127 302793891
pragmatically	400430615
pragmatics	106189208
pragmatism	105159116 105983665
pragmatist	110482952 110483148
prague	108775759
praha	108775759
praia	108735927
prairia sabbatia	112319154
prairial	115202291
prairie	108637099
prairie anemone	111758221
prairie aster	111955938
prairie berry	112915690
prairie bird's-foot trefoil	112565737
prairie chicken	101801125
prairie coneflower	112027665 112027875
prairie cordgrass	112160438
prairie crab	112656505
prairie dock	112021763
prairie dog	102361976
prairie fire	107318606
prairie fowl	101801125
prairie fox	102122286
prairie gentian	112312476
prairie golden aster	112001944
prairie gourd	112182942 112183275
prairie gourd vine	112182942
prairie grass	112153979
prairie grouse	101801125
prairie lotus	112565737
prairie mallow	112208408
prairie marmot	102361976
prairie mimosa	112546683
prairie orchid	112087934
prairie rattler	101758730
prairie rattlesnake	101758730
prairie rocket	111904097 111907779
prairie sage	111951257
prairie sagewort	111951040
prairie schooner	103126946
prairie smoke	112653096
prairie soil	115021841
prairie star	112820809
prairie state	109105071
prairie sunflower	111999996
prairie trefoil	112565737
prairie trillium	112489050
prairie vole	102344268
prairie wagon	103126946
prairie wake-robin	112489050
prairie white-fringed orchid	112098952
prairie white-fringed orchis	112087934
prairie willow	112749268
prairie wolf	102117507
praise	106705943 106706247 200858506
praiseful	300909534
praiseworthily	400220366
praiseworthiness	104814594
praiseworthy	302595965
praising	300909534
praisworthiness	105146607
prajapati	109550841
prakrit	106985752 106986165
prakritic	302772341
praline	107624475
pram	102769539
prance	100290969 201920627 201962727 201962881 201963040
prancer	102381522
prandial	302794056
prang	107316782 201565408
prang up	200052876
prank	100428583 100514412 200043643 201681753
prankish	302130013
prankishness	104916898
prankster	110483280
praseodymium	114675391
prat	105566889
prate	107151837 201038676
prater	109931028
pratfall	100075610 100077989
pratincole	102041647
prattle	107151837 201038676
prattler	110483509
praunus	101992031
pravachol	104004338
pravastatin	104004338
prawn	101990186 107810135 201385260
praxis	100412061
praxiteles	109550959
pray	200761314 200761989
praya	101915987
prayer	101044000 106467660 107201488 107203790 110483618
prayer beads	104116429
prayer book	106428589
prayer mat	104004552
prayer meeting	101034924
prayer of azariah and song of the three children	106470506
prayer rug	104004552
prayer service	101034924
prayer shawl	104004691
prayer wheel	106430018
prayerbook	106428589
prayerful	301786971
praying mantid	102238893
praying mantis	102238893
prazosin	104004883
prc	108740839
pre-christian	302772716
pre-columbian	303041610
pre-eclampsia	114214924
pre-eminently	400430768
pre-empt	106750757
pre-emption	100085861 105185921 105186098 105966105
pre-emptive	301769749
pre-emptive strike	101249703
pre-emptor	110484436 110484568
pre-existent	300123196
pre-existing	300123196
pre-jurassic	302764372
pre-raphaelite	110484814 303113567
pre-socratic	110489096 302773176
preach	200829391 200829664
preacher	110483744
preacher man	110483744
preachification	106755925
preachify	200830035
preaching	106725264 107258497
preachment	107259609
preachy	301328225
preadolescent	301653713
preakness	107477226
preamble	106409733 200903907
preanal	302794135
prearrange	201652332
prearrangement	105803342
preassemble	201743144
prebend	113315426
prebendary	110483998
precambrian	115153663
precambrian aeon	115153663
precambrian eon	115153663
precambrian period	115153663
precancerous	302794452
precarious	300826760 302067900 302102317
precariously	400430990
precariousness	104764142 104863852
precast	302156660
precative	300718207
precatory	300718207
precaution	100824631 104671671 105623652
precautional	301769407
precautionary	301769407
precava	105430439
precede	200903562 202003250 202412896 202698528 202718318
precedence	101259825 105054430 113973020
precedency	101259825 105054430 113973020
precedent	105829846 106547026 106612635 108470733 300127369
precedented	300129539
precedentedly	400491086
precedential	302107656
preceding	300126583 301299212
precentor	109939229
precentorship	100597405
precentral gyrus	105500458
precept	106195690 106668133
preceptor	110484108
preceptorship	100597508
precess	202105748
precession	101259825 114029213
precession of the equinoxes	113561097
prechlorination	113561294
precinct	108555989
preciosity	104795560
precious	300149910 301465547 302511483 302597871 400431167
precious coral	114847206
precious metal	113392662
precious stone	103601980
preciously	400431167
preciousness	104795560 105148469 105153519
precipice	109421552
precipitance	105067645
precipitancy	105067645
precipitant	115021960 301273978
precipitate	114615815 200475925 201510228 201647881 201975764 202762779 301273978
precipitately	400356734
precipitateness	105067645
precipitating	300325578
precipitation	105067358 105068318 107448920 111515038 113561402 113794793
precipitator	104005031
precipitin	115052329
precipitous	301148636 301273978
precipitously	400431283 400431427
precipitousness	105067645 105076793
precis	106480622 201010464
precise	300634639 301843460
precisely	400159432 400370083 400370459
preciseness	104811129 104828682
precision	104811129
precision cookie	106399507
precision rifle	104257334
preclinical	302794218
preclinical phase	100795784
preclinical test	100795784
preclinical trial	100795784
preclude	202458316 202635471
preclusion	101080966
preclusive	301769644
precocial	300102213
precocious	300822620 301845744
precocious dentition	113561525
precociously	400431593
precociousness	105628077
precocity	105628077
precognition	107271600
precognitive	301888573
preconceive	201637553
preconceived	303164588
preconceived idea	105958804
preconceived notion	105958804
preconceived opinion	105958804
preconception	105958804 106211643
preconcerted	302137771
precondition	105901487 105901963 106768279 200408253
preconditioned	301850165
precook	201669731
precooked	301850365
precooled	302541025
precordial	302794601
precordium	105500654
precursor	106815429 109650305 114607246
precursory	301889325
predaceous	300030911 300314808
predacious	300030911 300314808
predate	200277856 201206120 202698528 202718318
predation	100713150 100969414
predator	102155392 110312833
predatory	300030911 300084491 301633893
predatory animal	102155392
predecease	200361458
predecessor	106815429 110484277
predestinarian	110100277 302794723
predestinarianism	105955431
predestinate	200705076 300341915
predestination	105974996 107345266
predestinationist	110100277
predestine	200704735 200705076 200748228
predestined	300341915
predetermination	100156790 105847039 105974996
predetermine	200682265 200704539
predetermined	301802142
predicament	114432050
predicate	106327619 106327806 200933194 201019010 201019231
predicate calculus	106175080
predication	106745976
predicative	300174254
predicatively	400125992
predicator	106327369
predict	200873606 200919743
predictability	104763280
predictable	301847459
predictably	400431708
prediction	105783078 106761683
predictive	301889424
predictor	104005225 105832637 110122275
predictor variable	105872320
predigest	201200508
predigested	301186098
predilection	106210079 107513449
predispose	200682611
predisposed	302370902
predisposition	104950641 106209913 114555374
prednisolone	114777367
prednisone	114777593
predominance	104714703 114466215
predominant	300795757 301070476
predominantly	400162217
predominate	202650318 202702345 300795757
predomination	104714703 114466215
preeclampsia	114214924
preemie	110485017
preeminence	114458911
preeminent	302347411
preeminently	400430768
preemployment training program	105918922
preempt	106750757 202306282 202307434 202307632 202411141
preemption	100085861 105185921 105186098 105966105
preemptive	301769749
preemptive bid	106750757
preemptive right	113262080
preemptor	110484436 110484568
preen	200043414 200885368 201394734
preen gland	102470648
preexist	202610107
preexistence	113980403
preexistent	300123196
preexisting	300123196
prefab	104005422 300676437
prefabricate	201625482 201743144
prefabrication	100928283
preface	106409546 200903562
prefaded	300407425
prefatorial	300127211
prefatory	300127211
prefect	110484694
prefectural	303114180
prefecture	100597611 108644522
