struggler	110684741
subgenus azaleastrum	112265584
subgenus calliopsis	111977631
subgenus chen	101859389
subgenus pastor	101579906
subgenus poinciana	112519244
subgross	302526747
subgroup	106026402 108017525
subhead	106356690
subheading	106356690
subhuman	301025115 301264600
subjacent	302358016
subject	104354303 105822417 106005806 106320921 106321115 106612141 109648571 110688105 201120710 202115410 202502465 300072167 302337856 302370095
subject area	106005806
subject case	106322150
subject field	106005806
subject matter	106611268
subjection	100089847 114019785
subjective	301277020 301620077
subjectively	400414088
subjectiveness	104899739
subjectivism	105221389 105986002
subjectivist	110688448
subjectivity	104899739
subjoin	201331708
subjoining	100372654
subjugable	300571732
subjugate	202428975 202502465
subjugated	300698373
subjugation	100089847 100422042 114019785
subjugator	110688564
subjunction	100372654
subjunctive	113824149 303105565
subjunctive mood	113824149
subkingdom	107957105
subkingdom metazoa	101911344
subkingdom parazoa	101908969
sublease	113269827 202214043
sublet	113269827 202214043
sublieutenant	110688675
sublimate	115086851 200366463 200366673 200476114 200553215 201957386 301913797
sublimated	303166474
sublimation	107312545 107374893
sublimaze	103333595
sublime	200366463 200366673 300709060 301125519 301499060 301593026 302063970
sublime porte	108068979
sublimed	303166474
sublimely	400217783 400472106
subliminal	301753609
sublimity	104878084
sublingual	302815338
sublingual gland	105541025
sublingual salivary gland	105541025
sublingual vein	105389009
subliterary	301050693
sublittoral	302900061
sublunar	301185205 302768218
sublunary	301185205 302768218
subluxate	200091265
subluxation	107459749
submachine gun	104354597
submandibular gland	105541268
submandibular salivary gland	105541268
submarine	104354832 107713570 201122221 201227921 201242752 201515553 201874667 302481612
submarine ball	100110591
submarine earthquake	107444470
submarine pitch	100110591
submarine sandwich	107713570
submarine torpedo	104355148
submariner	110688796
submaxilla	105283404
submaxillary gland	105541268
submaxillary salivary gland	105541268
submediant	106871434
submenu	106505712
submerge	200218126 201341976 201581103 201995486
submerged	300125557 302481727
submergence	107378715
submergible	302482168
submerging	107378715
submerse	201581103 201995486
submersed	300125557 302481727
submersible	104355262 104355437 302482168
submersible warship	104355262
submersion	100278413 107378715
submission	101169416 106744259 106784758 106784895 107182229 107524564 114603635
submissive	300792376 300794246
submissively	400309424
submissiveness	104913648
submit	200671680 200734417 200879667 200879879 200880167 201075052 201120499 202267560 202315308 202595169
submitter	110688925 110689166
submucosa	105437571
subnormal	110689315 301602284
subnormality	105654063 114529269
subocean	301384541
suboceanic	301384541
subocular	302881619
suborbital	302881619 302990988
suborder	108124157
suborder alcyonacea	101917931
suborder anisoptera	102270986
suborder anseres	101848797
suborder anthropoidea	102473082
suborder blattaria	102235748
suborder blattodea	102235748
suborder blennioidea	102615023
suborder brachyura	101979118
suborder carnosaura	101715951
suborder cephalaspida	101478062
suborder ceratopsia	101705982
suborder ceratosaura	101715073
suborder charadrii	102024789
suborder clamatores	101549784
suborder euronithopoda	101707888
suborder eurylaimi	101548864
suborder gorgonacea	101918651
suborder gorgoniacea	101918651
suborder heteroptera	102243836
suborder heterostraci	101477666
suborder homoptera	102248244
suborder hyperoartia	101479825
suborder hyperotreta	101480714
suborder hystricomorpha	102348967
suborder lacertilia	101676309
suborder lari	102043352
suborder lemuroidea	102499207
suborder limicolae	102025152
suborder lipotyphla	101891462
suborder maniraptora	101719373
suborder manteodea	102238227
suborder marginocephalia	101705264
suborder megachiroptera	102142131
suborder megaloptera	102268123
suborder menotyphla	101891589
suborder menurae	101547790
suborder microchiroptera	102143622
suborder mugiloidea	102603583
suborder myomorpha	102333234
suborder mysticeti	102065644
suborder myxiniformes	101480714
suborder myxinoidei	101480714
suborder natantia	101989008
suborder nematocera	102202364
suborder nothosauria	101728574
suborder odontoceti	102069103
suborder ophidia	101729031
suborder ornithomimida	101718333
suborder ornithopoda	101707888
suborder oscines	101527526
suborder osteostraci	101478062
suborder otides	102021139
suborder pachycephalosaurus	101705503
suborder passeres	101527526
suborder percoidea	102557143
suborder petromyzoniformes	101479825
suborder pinnipedia	102078379
suborder plesiosauria	101728068
suborder prosauropoda	101711289
suborder prosimii	102498420
suborder reptantia	101985123
suborder ruminantia	102401384
suborder sauria	101676309
suborder sauropoda	101711419
suborder sauropodomorpha	101710973
suborder sciuromorpha	102357602
suborder scombroidea	102625800
suborder scorpaenoidea	102644455
suborder serpentes	101729031
suborder strepsirhini	102499845
suborder tarsioidea	102503732
suborder theropoda	101714303
suborder thyreophora	101703975
suborder tyranni	101549301
suborder xenarthra	102456521
suborder zygoptera	102271398
subordinate	106303754 110689430 200580789 200661206 300733914 300796546 302337347
subordinate clause	106325801
subordinate conjunction	106337219
subordinate word	106303754
subordinateness	113975202
subordinating	300554838
subordinating conjunction	106337219 113822008
subordination	101130976 104914330 113822887 113830065 114025337
subordinative	300554838
suborn	200836622 200836837 202587361
subornation	106749695 107267635
subornation of perjury	107267810
suborner	109893726
subpart	113833552
subphylum	108120265
subphylum cephalochordata	101469821
subphylum craniata	101473711
subphylum pentastomida	101791371
subphylum tunicata	101470627
subphylum urochorda	101470627
subphylum urochordata	101470627
subphylum vertebrata	101473711
subpoena	106569038 200795080
subpoena ad testificandum	106569038
subpoena duces tecum	106569308
subpopulation	106035916
subprogram	106594579
subrogate	202365881
subrogation	100198967
subroutine	106594579
subroutine library	107994015
subscribe	200807976 200998530 202214527 202304071 202304230
subscribe to	202214527
subscribed	302168551
subscriber	110689749 110689922 110690107
subscriber line	104409192
subscript	106833078 302358391
subscription	100616899 101091942 107194480 113302153
subscription right	113262305
subscription warrant	113439886
subsection	104355626
subsequence	105054768 107310125
subsequent	300123436
subsequently	400061741
subsequentness	105054768
subserve	202554285
subservience	104913889 113975684 114553437
subservient	300794246 301200318 302338056
subserviently	400414319
subservientness	113975684
subset	108017651
subshrub	113139466
subside	200233328 201975943 201990199 201990381
subsidence	107376016 107376818 107434560
subsidiarity	113975202
subsidiary	108020377 110689430 301860057
subsidiary company	108020377
subsidiary ledger	113426052
subsiding	107376818
subsidisation	100088243 113406756
subsidise	202221492 202221793
subsidised	302361424
subsidiser	110690324
subsidization	100088243 113406756
subsidize	202221492 202221793
subsidized	302361424
subsidizer	110690324
subsidy	113288037
subsist	202622766
subsistence	113387710 113980779 113985696
subsistence farming	100922171
subsister	110700641
subsoil	114719999
subsonic	300176980
subspace	108020784
subspecies	108127614
substance	100019793 100020270 104941723 105928460 105929717 106611268 113374873 114604577
substance abuse	100949739
substance abuser	110055991
substandard	302305084
substantia alba	105491329
substantia grisea	105491040
substantia nigra	105507657
substantial	300627729 300628097 300905143 302029380 302283161 302569298
substantiality	104768467
substantially	400014747 400381262
substantialness	104768467
substantiate	200221839 200667804 201648288 202704285
substantiating	302364077
substantiation	100154781 105833569
substantiative	302364077
substantival	303132502
substantive	106314530 300055779 300905143 301500539
substantive dye	115011900
substation	104355780
substitutability	104744474
substitutable	300920882 302390181
substitute	105704390 110667676 110690481 202262575 202263424 202399804 301577367 301859862 301861341
substituting	100624910
substitution	100197334 107458361
substitution class	106320674
substrate	106916475 108675518 108677777 114763071
substratum	106916475 108675518 108677777
substring	107027047
substructure	103391862 103575552
subsume	200687125 202640748
subsumption	105743947 106767126
subsurface	302481257
subsystem	108452947
subtend	202699684
subterfuge	106773219
subterminal	301019390
subterranean	301712186 302481859
subterraneous	301712186 302481859
subthalamic nucleus	105506232
subthalamus	105506695
subtilin	104355932
subtilise	200393460
subtilize	200393460 200553215 200651886
subtitle	106358407 106358958 202337307
subtle	301165950 301722138 301750095
subtlety	104718532 106618544
subtly	400472327
subtonic	106871589
subtopia	108557456
subtotal	105869559
subtract	200588144 200642914
subtracter	104356066 110690739
subtraction	100361583 100873540
subtractive	300050303
subtrahend	113751245
subtreasury	113379433
subtropic	302940529
subtropical	302940529
subtropics	108692082
subularia	111918548
subularia aquatica	111918740
subunit	113684808
suburb	108571977
suburban	302815413
suburban area	108571977
suburbanise	200122661 200122826
suburbanised	301112279
suburbanite	110690826
suburbanize	200122661 200122826
suburbanized	301112279
suburbia	108305898 108571977
subvent	200891261
subvention	101063127 113288286 200891261
subversion	100216705 100273292
subversive	110546909 300966472
subversive activity	100216705
subversiveness	104886853
subvert	201567809 202407551 202549304 202585532
subverter	110546909
subvocalise	200981699
subvocaliser	110690906
subvocalize	200981699
subvocalizer	110690906
subway	103762667 104516099
subway fare	113329672
subway station	104356155
subway system	103762667
subway token	104356267
subway train	104356384
subwoofer	104356479
succade	107616077
succedaneum	105704906
succeed	202411715 202529837
succeeder	109782244
succeeding	300128168 301298098
success	100064472 107333703 109782244 114498478
successful	302339254
successfully	400120824
successfulness	114497636
succession	100083574 101012400 105051973 108476919 113584065
successive	301671982
successively	400181906
successiveness	105051973
successor	105704768 110691052 110691175
succinct	300549537
succinctly	400291622
succinctness	107103216
succinic	302851725
succinic acid	114640470
succinylcholine	104356604
succor	101211710 202554407
succorer	110691337
succory	111973507
succos	115186919
succotash	107895048
succoth	115186919
succour	101211710 202554407
succourer	110691337
succuba	109566150
succubus	109566150
succulence	105003380
succulency	105003380
succulent	113104944 301371994
succumb	200806138 202626546
succus	105405952
succuss	201894344
succussion	100878055
such	301558587 400148422
suchlike	301413194
suck	100844353 201171984 201188961 201541851 201858874 202121653 202680129 202771650
suck in	201200618 201284745 202771650
suck out	201543481
suck up	200882499 201541851 201808720
sucker	101447563 102468045 107623214 107795871 109940867 110691505 113185779
sucker punch	100136972
suckerfish	102577541
sucking	100844353
sucking fish	102577541
sucking louse	102186509
sucking pig	102398507
suckle	201188961 201189918
suckled	300268134
suckling	100844658 101325902 110387990 111343443
suckling pig	107684843
suckling reflex	100869468
sucralfate	104356779
sucrase	114945760
sucre	108872604 113729690
sucrose	115087345
suction	100844353 111537927 200073337 201858665
suction cup	104356991
suction curettage	100670930
suction lipectomy	100683496
suction pump	104357182
suction stop	107132918
suctorial	302815728
sudafed	103812592
sudan	109051612 109051827
sudanese	109751584 303132880
sudanese monetary unit	113717412
sudanese pound	113717525
sudate	200067316
sudation	113556464
sudatorium	104357313
sudatory	104357313 104357425
sudbury	108847143
sudden	301146764
sudden death	115259384
sudden infant death syndrome	114333719
suddenly	400062066 400062215 400172544
suddenness	105067645
sudoku	106798869
sudor	105413094
sudoriferous gland	105338207
sudorific	104357425 302722861
sudra	108324370 110613692
suds	107903167 109462117 200512936 201538864
sudsy	302765611
sue	111343575 202588127
suede	104357536 114788143
suede cloth	104357536
suede glove	103622188
suede leather	114788143
suer	110691631 110693569
suet	107688535
suet pudding	107635936
suety	300996066
suez	108920431
suez canal	108920604
suffer	200064841 200065410 200078154 200205112 200205234 200670017 201798679 202113644 202114536 202125976 202725682
sufferable	302444024
sufferance	104645532 105039950
sufferer	110316279 110615055
suffering	107510467 107511603 114347683 114472376 301153708 302468099
suffice	202675578
sufficiency	105119909 113601618 114516537
sufficient	302343832
sufficiently	400146607
suffix	106319977 201300709
suffix notation	106827513
suffixation	100929776
suffocate	200077451 200106166 200360165 200391723 200391905 201478810 201572009
suffocating	300269249
suffocation	100226460 114067364
suffocative	300269249
suffragan	110691979
suffragan bishop	110691979
suffrage	105193574
suffragette	110692101
suffragism	105961234
suffragist	110692347
suffrutescent	302586803
suffrutex	113139466
suffuse	200455206 200455606
suffusion	113556157
suffusive	300471459
sufi	110691810 302815862
sufism	105958133
sugar	107875260 113406389 114816873 202200397
sugar apple	107777587
sugar beet	107735829 111853542
sugar bowl	104357659
sugar candy	107624824
sugar cane	112153019 112153271
sugar cookie	107653737
sugar corn	112165259
sugar daddy	110692735
sugar loaf	107611070
sugar maple	112774005
sugar of lead	115013810
sugar palm	112605476
sugar pea	107741765 112581543
sugar ray robinson	111286269
sugar refinery	104357766
sugar shell	104357847
sugar snap pea	107741864 112581674
sugar sorghum	112159274
sugar spoon	104357847
sugar sumac	112784768
sugar syrup	107875772
sugar water	107952333
sugar-bush	112784768
sugar-coated	302345982
sugarberry	107762014 112430345
sugarcane	112153019 112153271
sugarcoat	201035814 202200824
sugared	302346267
sugariness	105001905 105724524
sugarless	302346397
sugarloaf	107611070
sugarplum	107624925
sugary	302345737
suggest	200876925 200929401 200932330 200932768
suggester	110692890
suggestibility	114558173
suggestible	302371276
suggestion	100159816 105779676 105924749 107177331 107261242 113795501
suggestive	300687611 300726986 302098448
suggestively	400518106
sugi	111656655
suharto	111343716
sui generis	302223051
suicidal	302068316
suicide	100223352 110693108
suicide bomber	110693215
suicide bombing	100981988
suicide mission	100733054
suicide pact	107193652
suicide pill	100177458
suicide squeeze	100565934
suicide squeeze play	100565934
suidae	102397474
suillus	113079899
suillus albivelatus	113080058
suisse	109054023
suit	101185144 104357983 104358311 107203230 107203345 110693385 202705783 202708690 202730133 202741157
suit of armor	102865388
suit of armour	102865388
suit of clothes	104357983
suitability	104722763
suitable	300855376 301024501
suitableness	104722763
suitably	400140318
suitcase	102776843
suite	104358628 107061069 108023976 108446124
suited	300458772 301024501
suiting	104358777
suitor	110693569
sukarno	111343844
sukiyaki	107895150
sukkoth	115186919
suksdorfia	112823202
suksdorfia violaceae	112823467
sukur	106997011
sula	102055933
sula bassana	102056079
sulamyd	104358854
sulawesi	108928880
sulcate	303148608
sulcus	105230843
sulcus centralis	105231116
sulcus lateralis cerebri	105231373
sulfa	104359148
sulfa drug	104359148
sulfacetamide	104358854
sulfadiazine	104359014
sulfamethazine	104359513
sulfamethoxazole	104359658
sulfamezathine	104359513
sulfanilamide	104359837
sulfanilic acid	115087925
sulfapyridine	104359984
sulfate	115088060 200587063
sulfide	115088266
sulfisoxazole	104360094
sulfonamide	104359148
sulfonate	114640588
sulfonic acid	114640686
sulfonylurea	104360267
sulfur	114680398 200517827
sulfur bacteria	101365929
sulfur bottom	102067469
sulfur butterfly	102284058
sulfur dioxide	115088620
sulfur hexafluoride	115088894
sulfur mine	104360765
sulfur mustard	114981409
sulfur oxide	115088513
sulfur paintbrush	112901559
sulfur-yellow	300385472
sulfurette	201464514
sulfuretted	302864139
sulfuric	303133062
sulfuric acid	115118049
sulfurized	302864139
sulfurous	301253205 301807340 302815971
sulidae	102055590
sulindac	104360488
sulk	107566964 202724891
sulkily	400472843
sulkiness	104649414 107564867 107566964
sulky	104360651 300276630 300984894 301141494
sulla	111344085 112555367
sullen	300464442 301140878
sullenly	400243780
sullenness	104649414 107567833
sullivan	111344207 111344423 111344614 111344780 111344897
sully	111345141 111345260 200848188 201540197 201540747
sulpha	104359148
sulphanilic acid	115087925
sulphate	115088060
sulphide	115088266
sulphonic acid	114640686
sulphur	114680398 200517827
sulphur bacteria	101365929
sulphur butterfly	102284058
sulphur dioxide	115088620
sulphur hexafluoride	115088894
sulphur mine	104360765
sulphur oxide	115088513
sulphur-crested cockatoo	101821954
sulphur-yellow	300385472
