dramamine	103203635
drinking straw	104341370
drinking vessel	103246199
drinking water	107952503
drip	103246363 107397923 107447159 201614420 202075070
drip coffee	107936134
drip culture	100921015
drip feed	100696413
drip loop	103246606
drip mat	103246823
drip mold	103246363
drip mould	103246363
drip pan	103246967 103247093
drip pot	103247209
drip-dry	200219742 301363001 302544514
dripless	301401652
drippage	107422059
drippily	400398104
drippiness	104634863 105017690
dripping	107397923 107422059 400463703
dripping pan	103247093
drippings	107688994
drippy	300857592 301400790 302560004
dripstone	103247298 114960768
drive	100104654 100308457 100318420 100568081 100573526 100799906 103247416 103247698 103247921 103249091 104842955 114058780 201028984 201144916 201145082 201184038 201313624 201410376 201410558 201508789 201512216 201514891 201519166 201649842 201934070 201934453 201934845 201943412 202060895 202061580 202412046 202413411 202511007 202748107
drive around	202061973 202424366
drive away	202006752
drive back	201133623
drive home	201016371 202363326
drive in	201116045 201355699 201984314
drive line	103248328
drive line system	103248328
drive off	202006752
drive out	200577305 202006752 202060390
drive up	201854102
drive-by killing	100220605
drive-by shooting	100226228
drive-in	103248204
drivel	105424022 106624619 200102728
driveller	110053388 110054510
driven	300105498 301563142 302531814
driven well	103248606
driver	103248750 106586649 110054631 110055039 110055155
driver ant	102223170
driver's licence	106562197
driver's license	106562197
driveshaft	103248934
driveway	103249091
driving	100299323 100573526 300812509 300877942
driving axle	103684205
driving belt	103249363
driving force	100104654
driving iron	103249478
driving licence	106562197
driving license	106562197
driving range	103452168
driving school	108296105
driving wheel	103249622
drixoral	103249778
drizzle	111522740 201378747 202763433
drizzling	302496182
drizzly	302560004
drms	108358478
drogheda	101280248
drogue	103249974 104165518 107272250 107277022
drogue chute	103249974
drogue parachute	103249974 103250124
droll	301269048
drollery	100516080 106794240
dromaeosaur	101720501
dromaeosauridae	101720307
dromaius	101522360
dromaius novaehollandiae	101522514
drome	102695091
dromedary	102439943
dronabinol	103250256
drone	102209831 103250427 103250592 107098752 110012790 200946820 202192888
drone on	200946820
drone pipe	103250427
droning	107098752
drool	105424022 106623500 200102728 201831367
drool over	201831687
drooler	110053388
droop	113928578 200470550 201989538 202723576
drooping	301241359 302412661 302442177
drooping brome	112131916
drooping juniper	111659149
droopingly	400324332
droopy	302412661
drop	100328192 103250755 103251157 105119135 107376986 108601320 109269370 113793544 113924278 200057478 200092045 200148161 200363763 200394236 200433636 200549696 200616690 200617306 200943477 201102419 201203299 201260866 201492094 201516062 201614420 201980855 201981715 201989937 202271905 202409062 202471362 202723347
drop a line	201009072
drop anchor	201307376
drop arch	103250900
drop away	200204753
drop back	201837450 202062680
drop behind	202062680
drop biscuit	107710013
drop by	202494290
drop by the wayside	201085437
drop cloth	103251015 103251157
drop curtain	103251157
drop dead	200359085
drop down	201989937
drop earring	103915139
drop forge	103251356
drop hammer	103251356
drop in	202494290
drop keel	102997543
drop like flies	200030846
drop line	106356936
drop off	200017275 200152707 200204753 201116231 201492094
drop one's serve	201159172
drop open	201986267
drop out	201085437 202388080 202388316
drop press	103251356
drop scone	107706836
drop shot	100568317
drop the ball	202572142
drop zone	108707932
drop-dead	400046987
drop-down menu	106505570
drop-kick	201373508 201374691
drop-leaf	103251491
drop-leaf table	103251636
drop-off	107370487 109269370 113577712
drop-off charge	113342360
drop-seed	112160875
dropforge	201679562
dropkick	100138697 201373508 201374691
dropkicker	110055380
droplet	113793968
dropline	106356936
dropout	110015463 110015577
dropped egg	107858178
dropper	103251786
dropping	302496306
dropping zone	108707932
droppings	114878998
dropseed	112160875
dropsical	301180088
dropsy	114340141
drosera	112803098
droseraceae	112802868
droshky	103252054
drosky	103252054
drosophila	102200341
drosophila melanogaster	102200341
drosophilidae	102200065
drosophyllum	112804361
drosophyllum lusitanicum	112804490
dross	114607850 115067423
drought	114560656 115269316
drouth	114560656 115269316
drove	103252198 108201135 108201253
drove chisel	103252198
drover	110191239
drown	200361154 200473463 200479991 201341976 202110088 202761786
drown out	202176978
drowse	100860527 200015296 200016373
drowse off	200017275
drowsily	400324442
drowsiness	114053917
drowsing	300189924
drowsy	300167028 300189924
drub	201415566
drubbing	101163216 107491763
drudge	110055534 110174170 202424873
drudgery	100622716
drudging	300294242
drug	103252323 200084491 201203078
drug abuse	100949739
drug addict	110055677
drug addiction	114087890
drug baron	110055860
drug bust	100087367
drug cartel	108253884
drug cocktail	103253263
drug company	108019020
drug dealer	110515140
drug enforcement administration	108158374
drug enforcement agency	108158374
drug lord	110055860
drug of abuse	103253661
drug peddler	110515140
drug traffic	101116165
drug trafficker	110515140
drug trafficking	101116165
drug user	110055991
drug war	101239056
drug withdrawal	100229778
drug-addicted	300047626
drug-free	300803371
drugged	300802450
drugget	103253538
drugging	100696553
druggist	110441215
drugless	301169858
drugs bust	100087367
drugstore	103254045
druid	110056169
druidism	106234593
drum	102597182 102893592 103254272 103254659 107398075 113923904 200607178 201736413 202179274
drum brake	103254792
drum major	110056299
drum majorette	110056417 110056527
drum out	202406951
drum printer	103255108
drum roll	107403416
drum sander	103255291
drum up	201388297
drum-like	302154175
drum-shaped	302154175
drumbeat	101216898 106817986 107406973
drumbeater	110421831
drumfire	100996709
drumfish	102597182
drumhead	103254982 301637923
drumhead court-martial	108348284
drumlin	109293563
drummer	110056654
drumming	100546231
drumstick	103255550 107663479
drumstick tree	112512611
drunk	110056805 110057110 300800854 300923501
drunk-and-disorderly	110056919
drunkard	110057110
drunken	300802062
drunken reveler	110545875
drunken reveller	110545875
drunken revelry	100512223
drunkenly	400200649
drunkenness	100749813 114042038 114088126
drupaceous	302725684
drupe	113159085
drupelet	113159435
druse	110057313
drusen	114278546
druthers	105799460
druze	110057313
dry	110057647 200218901 200219829 300803524 300860574 301162344 301182213 301269202 301797482 301797615 301873002 302268486 302315409 302376353 302483551 302562150 302565316 302565710 302566037
dry battery	103255655
dry cell	103255983
dry cereal	107720500
dry clean	201537905
dry cleaner	109946763
dry cleaners	103043812
dry cleaning	100253036
dry dock	103256236
dry fly	103256635
dry gangrene	114337088
dry ice	115071734
dry kiln	103256934
dry land	109357302
dry masonry	103257027
dry measure	113636317
dry milk	107862119
dry mop	103263608
dry mouth	114561931
dry mustard	104000775
dry nurse	110057844
dry out	200218901 200219829 202777714
dry pint	113641685
dry plate	113491218
dry plate process	113491218
dry point	103257125 103257245
dry quart	113641830
dry rot	113102759 114304006
dry run	100898724
dry season	115263971
dry socket	114281495
dry unit	113636317
dry up	200211534 200243091
dry vermouth	107915409
dry wall	103257340 104555277
dry walling	100913996
dry wash	109498025
dry-bulb thermometer	103255803
dry-cleaned	300419629
dry-dock	201308599
dry-eyed	302483452
dry-gulching	101249853
dry-nurse	201189377
dry-rot	200211427
dry-shod	302564330
dry-stone wall	103257340
dry-wall	201658764
dry-wood termite	102226172
dryad	109574169
dryadella	112080619
dryas	112649948
dryas octopetala	112650066
dryden	110963651
drydock	103256236 201308599
dryer	103256469
drygoods	103256767
drying agent	114803955
drying oil	114779820
drying up	113481771
dryland berry	112269458
dryland blueberry	112269458
dryly	400233186
drymarchon	101743757
drymarchon corais	101743873
drymarchon corais couperi	101744083
drymoglossum	113196222
drynaria	113196382
drynaria rigidula	113196580
dryness	104637494 104890999 114560040
dryopithecine	102480708
dryopithecus	102480521
dryopithecus rudapithecus hungaricus	102480870
dryopteridaceae	113212923
dryopteris	113213796
dryopteris dilatata	113214041
dryopteris filix-mas	113214754
dryopteris fragrans	113214167
dryopteris goldiana	113214364
dryopteris hexagonoptera	113251741
dryopteris marginalis	113214934
dryopteris noveboracensis	113250849
dryopteris oreades	113215110
dryopteris oreopteris	113250441
dryopteris phegopteris	113251976
dryopteris thelypteris	113248676
dryopteris thelypteris pubescens	113248915
drypis	111830499
drywall	104555277
ds	106718550 108155259 114660570
dscdna	114841516
dsl	103201674
dtic	108358725
dts	114421683
du barry	110963803
du bois	110964005
du maurier	110965040 110965255
duad	113765745
dual	302190774 302225139 302225486
dual carriageway	103220211
dual inline package switch	103209242
dual scan display	103257490
dual-lane	302229408
dual-purpose	302225866
dual-use	302225866
dualism	105969565
dualist	110057951
dualistic	302958589
duality	104743577 104927745 107956120
dub	105728468 200962594 201030649 202404327
dubai	109067189
dubbin	114863376
dubbing	103257662
dubiety	105706212
dubious	300338911 300339567 301923360
dubiously	400323505 400439689
dubiousness	104764777 105706212
dubitable	301923360
dublin	108909418
dubliner	109734823
dubnium	114660701
dubois heyward	111068996
dubonnet	107912397
dubrovnik	108836687
dubuque	109109677
dubya	110895517
dubyuh	110895517
duc d'elchingen	111225637
duc de richelieu	111281473
duc de sully	111345141
ducal	303074159
ducat	113410648
duce	110058045
duchamp	110964230
duchenne's muscular dystrophy	114185277
duchess	110058134
duchess of ferrara	110877614
duchess of windsor	111321804
duchesse de valentinois	110953680
duchy	108574668
duck	101848972 103257774 107662187 113617087 200811316 201869189 201971799 201980234
duck down	101899376
duck hunter	110058272
duck hunting	100454420
duck pate	107874090
duck sauce	107840244
duck shot	102847015
duck soup	100576402
duck's egg	113617087
duck-billed	300208492
duck-billed dinosaur	101708575
duck-billed platypus	101875951
duckbill	101875951 102642235 300208492
duckbilled platypus	101875951
duckboard	103257890
ducking	100278413 100454420
ducking stool	103149648
duckling	101849811 107662327
duckpin	103257982
duckpins	100463618
ducks and drakes	100460906
duckweed	111814988
duckweed family	111814736
ducky	110011405
duct	103258101 105258141 113111816
duct gland	105336415
duct tape	103258219
ductile	302151851 302460624
ductileness	105029339
ductility	105029339
ductless	303074304
ductless gland	105337283
ductule	105259001
ductulus	105259001
ductus arteriosus	105425521
ductus deferens	105533826
dud	107379793 107436349 110117246 301428027
dude	110010564 110103127
dude ranch	108577832
dudeen	103258417
dudgeon	107531995
dudley moore	111209819
dudley stuart john moore	111209819
duds	104453296
due	105183609 113418034 300137425 300138993 300173133 300933157 400052690
due care	101134115
due date	115178185
due east	113854554
due north	113853375
due process	101183965
due process of law	101183965
due south	113855574
due west	113856598
duel	100790898 101175274 201124374
dueler	110058654
duelist	110058654
dueller	110058654
duellist	110058654
duenna	110058889
duet	100530261 107055197 108002070 108263942 113765745
duette	107055197 108263942
duff	107633728
duffel	103258499 103258589
duffel bag	103258589
duffel coat	103258749
duffer	110058996
duffle	103258499 103258589
duffle bag	103258589
duffle coat	103258749
dufy	110964460
dug	102372917
dugald stewart	111338034
dugong	102077019
dugong dugon	102077019
dugongidae	102076656
dugout	102923887 103258892 103259077
dugout canoe	103259077
dukas	110964585
duke	110058345 110058503
duke ellington	110978002
duke of argyll's tea tree	112925895
duke of cumberland	110936916
duke of edinburgh	111252465
duke of lancaster	111107081
duke of marlborough	110917346
duke of wellington	111400918
duke of windsor	110971689
duke university	103259208
duke wayne	111397707
dukedom	108574668 114456210
dulcet	301505500 301805877
dulciana	103259328
dulcify	202199916
dulcimer	103259440 103259565
dulcinea	110263081
dulcorate	202199916
dull	200392374 200392673 200539279 201248885 201249008 202119756 202195757 300037111 300284569 300395053 300442596 300464282 300803819 300807541 300810082 301348155 301457764 302018718 302114914
dull-purple	300375797
dull-white	300390211
dullard	109886843 110686626
dulled	300406483 300804168 301346527
dulles	110964678
dullness	104713019 104852122 104962810 105213007 105653884
dully	400238021 400238120
dulse	101417780
duluth	109125125
duly	400140318
duma	108336982
dumas	110964894
dumb	300153123 300153272 300153897 300442596
dumb bomb	103259870
dumb cane	111808094
dumb show	100551053
dumbass	110059388
dumbbell	103259733 110059116
dumbfound	200624056
dumbfounded	302366833
dumbfounding	300648878
dumbly	400324586 400324708
dumbness	105653699
dumbstricken	302366833
dumbstruck	302366833
dumbwaiter	103260025
dumdum	103260191
dumdum bullet	103260191
dumdum fever	114204531
dumetella	101590047
dumetella carolinensis	101590167
dumfounded	302366833
dumfounding	300648878
dummy	102852159 103260351 110059116 110059294 201626693 301577224
dummy up	201042933 201626693
dummy whist	100497448
dump	103260493 106401870 108577564 113576978 201415000 201981094 201981559 202229727 202229986 202355874
dump routine	106595694
dump truck	103260869
dumpcart	103260602
dumper	103260869
dumpiness	105005981
dumping	101117910
dumpling	107626757 107717938
dumplings	107717938
dumps	114428465
dumpsite	108577564
dumpster	103260735
dumpy	300990698 302395530 302725783
dumpy level	103261175
dumuzi	109540627
dun	102383913 104980377 200312947 200529195 200846823 201806967 300375880
dun-colored	300398502
dun-coloured	300398502
duncan	110965407
duncan grant	111031555
duncan james corrow grant	111031555
dunce	110059388
dunce cap	103261334
dunce's cap	103261334
duncical	300442219
duncish	300442219
dundathu pine	111668490
dunderhead	110059388
dune	109293641
dune buggy	103261491
dune cycling	100452754
dung	114878998 200074206 200503704
dung beetle	102174834
dungaree	103179855
dungeness crab	101980928 107804585
dungeon	103261631 103615311
dunghill	107978909 114519564
dunk	100111374 201194845 201579924 201600583
dunk shot	100111374
dunkard	109697226
dunker	109697226 110059743 110059846
dunkerque	101280431 108955751
dunkers	108107513
dunkirk	101280431 108955751 114056350
dunlin	102030146
dunnock	101529988
duns scotus	110965538
duo	107055197 108002070 108263942 113765745
duodecimal	113760599 301921863
duodecimal digit	113763937
duodecimal notation	106823855
duodecimal number system	106823967
duodecimal system	106823967
duodenal	302919960
duodenal smear	105273595
duodenal ulcer	114236061
duodenum	105542588
duologue	107023808 107150914
duomo	102987658
dupe	110772148 200856586
dupery	100755028
duple	302225139
duple time	115288979
duplex	103261768 103261913 200587234 300235348 302226037
duplex apartment	103261768
duplex house	103261913
duplicability	104813397
duplicable	301874135
duplicatable	301874135
duplicate	103262046 103312926 200247103 201738383 201739189 202665436 301490161 302071307
duplication	101021645 103262046
duplicator	103262289
duplicidentata	102325644
duplicitous	301225960
duplicity	100754583 106773680
dura	105490181
dura mater	105490181
durability	105060839
durable	301442370 301758551 302131477
durable goods	103262580
durable press	103923936
durables	103262580
durabolin	114772514
dural	302725878
duralumin	114863492
duramen	113118511
durance	114023590
durango	108761062
durant	110965691
durante	110965817
duration	105058400 115158440 115158573
durative	113827391
durative aspect	113827391
durazzo	108723065
durban	109023377
durbar	103262752
durer	110965969
duress	105202816
durga	109548880
durham	102409723 109151209
durian	107778889 112211386
durian tree	112211386
durio	112211229
durio zibethinus	112211386
durion	112211386
durkheim	110966126
durmast	112296994
durra	112158308
durrell	110966278
durres	108723065
durum	112162967
durum wheat	112162967
dusanbe	109043683
duse	110966473
dushanbe	109043683
dusicyon	102118731
dusicyon cancrivorus	102118837
dusk	115194468 200313357
duskiness	104985483 114008808
dusky	300246314 300276352
dusky salamander	101639470
dusky shark	101493001
dusky-colored	300398375
dusky-coloured	300398375
dusky-footed wood rat	102341934
dusky-footed woodrat	102342838
dusseldorf	108790500
dust	114864016 114864262 114882048 201246915 201254780 201378910 201615564
dust bag	103262895
dust bowl	108595702
dust cloud	111462076
dust coat	103263433
dust contamination	100278111 114511486
dust cover	103263159 103263280 107262988
dust devil	111468350
dust jacket	107262988
dust mop	103263608
dust sheet	103263280
dust storm	111468490
dust wrapper	107262988
dust-covered	301700799
dustbin	102750182
dustcart	103421952
dustcloth	103263033
duster	100108901 103263033 103263433 111468490
dustin hoffman	111074437
dustiness	114522317
dusting powder	104454410
dustlike	302240817
dustman	110139987
dustmop	103263608
dustpan	103263712 113789182
dustpanful	113789182
dustrag	103263033
dustup	107198809
dusty	301694033 301700799
dusty miller	111832563 111951781 111968098 112032089 112043876
dutch	106965334 109719159 302972231
dutch auction	101118055
dutch capital	108969510
dutch case-knife bean	112578186
dutch clover	111774169
dutch courage	104865453
dutch door	103263821
dutch east indies	108927379
dutch elm	112427727
dutch elm disease	114306200
dutch elm fungus	112985680
dutch florin	113701960
dutch guiana	109053122
dutch hoe	104163652
dutch iris	112433806 112435323
dutch leonard	111148226
dutch monetary unit	113701844
dutch oven	103263983 103264104
dutch people	109719159
dutch treat	100843188
dutch uncle	110060037
dutch-elm beetle	102182543
dutch-processed cocoa	107619652
dutchman	109732504
dutchman's breeches	111930929
dutchman's-pipe	111822134
duteous	301617602
dutiable	302409352
dutiful	301617602
dutifully	400324912
dutifulness	104834623
duty	100720746 101132241 113337021
duty assignment	100731545
duty period	115317037
duty tour	115318833
duty-bound	301621043
duty-free	302409920
duvalier	110966616 110966742
duvet	103271660
dvd	104541241
dvorak	110966953
dwarf	100005930 109564236 110060141 202458045 202702148
dwarf astilbe	112816112
dwarf banana	112373156
dwarf bilberry	112267924
dwarf blueberry	112267924
dwarf buckeye	112789825
dwarf buffalo	102411684
dwarf cape gooseberry	112932024
dwarf chestnut	112284255
dwarf chinkapin oak	112297851
dwarf chinquapin oak	112297851
dwarf cornel	112969011
dwarf daisy	111944483
dwarf dandelion	112006372
dwarf elder	111818739 112699784
dwarf elm	112428582
dwarf flowering almond	112666958
dwarf golden chinkapin	112285600
dwarf gray willow	112751304
dwarf grey willow	112751304
dwarf hulsea	112004075
dwarf iris	112433670 112435437
dwarf juniper	111658442 111658829
dwarf lycopod	113245973
dwarf maple	112774934
dwarf mountain pine	111632800
dwarf mulberry	112678055
dwarf nipplewort	111948209
dwarf oak	112297851
dwarf phlox	112831787
dwarf pipefish	101458778
dwarf pocket rat	102353322
dwarf russian almond	112670990
dwarf sperm whale	102070421
dwarf spurge	112942075
dwarf sumac	112784522
dwarf tulip	112474941
dwarf willow	112749416
dwarf-white trillium	112489224
dwarfish	301396024
dwarfishness	105114968
dwarfism	114530005
dweeb	110704113
dwell	200706015 200961399 202655932 202659476 202761648
dwell on	202646310
dweller	109643248
dwelling	103264208
dwelling house	103264208
dwight d. eisenhower	110974958
dwight david eisenhower	110974958
dwight davis	110944204
dwight eisenhower	110974958
dwight filley davis	110944204
dwight lyman moody	111208732
dwindle	200268567
dwindle away	200268567
dwindle down	200268567
dwindling	107437400 302547985
dwindling away	107437400
dy	114660825
