gastrulation	113507874
genus automeris	102306569
genus avahi	102503103
genus avena	112130236
genus averrhoa	112724951
genus avicennia	112935990
genus ayapana	111957992
genus aythya	101853317
genus azadirachta	112717083
genus azolla	112980131
genus babesia	101428142
genus babyrousa	102399319
genus baccharis	111958434
genus bacillus	101359311
genus bacteroides	101367507
genus baiomys	102340132
genus bairdiella	102597847
genus balaena	102066499
genus balaeniceps	102007892
genus balaenoptera	102067261
genus balanus	102001253
genus balistes	102655989
genus ballota	112862446
genus balsamorhiza	111959446
genus bambusa	112168216
genus bankia	101970037
genus banksia	112235890
genus baphia	112529441
genus baptisia	112529802
genus barbarea	111893865
genus barosaurus	101712364
genus bartle-frere	112234762
genus bartramia	102032225
genus basiliscus	101684934
genus bassariscus	102511246
genus bassia	111852199
genus bathyergus	102371822
genus batis	111847817
genus batrachoseps	101640119
genus bauhinia	112511176
genus beaumontia	111791438
genus begonia	112380469
genus belamcanda	112436416
genus bellis	111959849
genus bemisia	102250015
genus bennettitis	111625027
genus benzoin	111726589
genus berberis	111717857
genus bergenia	112816589
genus beroe	101921899
genus berteroa	111894769
genus bertholletia	112348235
genus bessera	112464052
genus besseya	112898779
genus beta	111852577
genus bettongia	101883211
genus betula	112301403
genus bibos	102412348
genus bidens	111960356
genus bignonia	112834630
genus biscutella	111895176
genus bison	102412959
genus bitis	101755530
genus blaberus	102237730
genus blandfordia	112464434
genus blarina	101894912
genus blastocladia	112999586
genus blastomyces	113100934
genus blatta	102236419
genus blattella	102237371
genus blechnum	113205771
genus blennius	102616064
genus blephilia	112862865
genus bletia	112066720
genus bletilla	112067089
genus blighia	112762801
genus blissus	102241725
genus bloomeria	112464766
genus bocconia	111923636
genus boehmeria	112413460
genus bolbitis	113223831
genus boletellus	113080612
genus boletus	113075769
genus boltonia	111961730
genus bomarea	112440097
genus bombax	112209810
genus bombina	101651135
genus bombus	102212160
genus bombycilla	101606119
genus bombyx	102303030
genus bonasa	101800408
genus borago	112837119
genus borassus	112606273
genus borrelia	101385480
genus bos	102404313
genus boselaphus	102428039
genus boswellia	112712595
genus botaurus	102014322
genus bothrops	101760660
genus botrychium	112981489
genus bougainvillaea	111859210
genus bougainvillea	111859210
genus bouteloua	112132399
genus bowiea	112465171
genus boykinia	112816952
genus brachinus	102170027
genus brachychiton	112216482
genus brachycome	111962188
genus brachystegia	112511705
genus bradypus	102459880
genus brama	102585222
genus branchiobdella	101938638
genus branta	101859812
genus brasenia	111738990
genus brassavola	112067642
genus brassia	112068055
genus brassica	111895569
genus brevoortia	102534134
genus brickelia	111962613
genus brodiaea	112465643
genus bromus	112131147
genus brontosaurus	101711919
genus broussonetia	112424367
genus browallia	112919388
genus browmius	102527918
