recalcitrate	201094255
reflectorise	202365701
reflectorize	202365701
reflex	100865191 302532828
reflex action	100865191
reflex angle	113915255
reflex arc	105471025
reflex camera	104076546
reflex epilepsy	114113727
reflex response	100865191
reflexed	302321243
reflexion	104076088 104754355 105017811 105793513 106779826 106893299 111523478
reflexive	106339200 300204100 302532828
reflexive pronoun	106339200
reflexive verb	106339379
reflexively	400193383
reflexiveness	113821026 113821457
reflexivity	113821026 113821457
reflexly	400193383
reflexology	100661189 106150648
refloat	201879029
reflux	107416747 114359409
reflux condenser	104076694
refocus	200315406 200734114 202166592
refocusing	100376746
reforest	201571127
reforestation	100401257
reforge	201662480
reform	100261465 100262248 100802601 200167742 200266272 200266559 200266827 200266967 200385291
reform jew	110535456
reform judaism	106244882 108112392
reform movement	108490634
reform school	104076889
reform-minded	300578540
reformable	300638167
reformation	100096791 108492940 114447491
reformative	301200929
reformatory	104076889 301200929
reformed	301696428 301964122
reformer	104077115 110534787
reformism	105975964
reformist	110534787 300578540
reformulate	200928281
refract	200922900 202116321
refractile	302798829
refracting telescope	104077319
refraction	107425483 111523705
refractive	302320598 302798829
refractive index	113847141
refractiveness	105018752
refractivity	105018752
refractometer	104077527
refractoriness	104914752
refractory	103409810 301618681 302007041 302461635
refractory anaemia	114191658
refractory anemia	114191658
refractory period	115252187
refractory pot	102872315
refractory-lined	302799076
refracture	200107925
refrain	107064217 201198570 202731589
refresh	200024642 200024807 200164252 200698618
refreshed	302443615
refreshen	200024642 200024807
refresher	100893530 107930368 113343365
refresher course	100893530
refreshful	301359875
refreshfully	400442143
refreshing	301359875 301646687
refreshingly	400442014 400442143
refreshment	100402591 107590069
refried beans	107897600
refrigerant	115028364 301256733
refrigerate	200371704 200372608
refrigerated	301256951
refrigerating	301256733
refrigeration	100708597 113569734
refrigeration system	104077657
refrigerator	104077839
refrigerator car	104078076
refrigerator cookie	107653117
refuel	202241670 202343725
refueling	101061643
refuge	101211087 104078214 105162506 108661508
refugee	110535609
refugee camp	102949268
refulgence	104961131
refulgency	104961131
refulgent	300281329
refund	101124011 113303184 202289796
refurbish	200163249
refurbishment	114447921
refurnish	202341803
refusal	106646602 107220233
refuse	114881302 200799092 202217607 202242120 202508565 202713660 202760892
refuse collector	110139987
refuse heap	108591389
refutable	300724815
refutal	100156118
refutation	100156118 105834793 107215473
refute	200669665 200816512
refuter	110530139
regain	202252785 202290474
regaining	100090171
regal	301595801
regale	201178529
regalecidae	102549375
regalecus glesne	102549645
regalia	102745327 104078375
regally	400442305
regard	100880326 105710673 105828314 106216535 106643134 107560785 114461018 200692380 202137650 202682907
regard as	200691692
regardant	300204269
regardful	302001280
regardless	301197642 400119427
regatta	107483596
regency	100600085 115320846 115324238
regenerate	200097375 200097695 200167343 200167632 200168201 200168396 200385291 200385860 201634614 301963786
regenerating	303165266
regeneration	100270807 101049861 113560465 113569937
regent	110535710 110535887 301832979
reggae	107080325
reggane	108725146
regicide	100225937 110536015
regift	202205670
regime	105918179 108067430
regimen	105918179
regiment	108230738 202398103 202447237 202453751
regimental	303121313
regimentally	400513641
regimentals	104078505
regimentation	101150778
regimented	300602389
regina	108848997
reginald carey harrison	111051991
reginald joseph mitchell	111202815
reginald marsh	111178641
regiomontanus	111215609
region	105229188 106006992 108647614 108648560 113781286
regional	302417773 302883162
regional anaesthesia	114051156
regional anatomy	106070013
regional anesthesia	114051156
regional enteritis	114329417
regional ileitis	114329417
regionalism	104885629 106675595 107171205
regionally	400136377
register	102980897 104078648 104078824 104078988 105134114 106519032 113433494 200730186 200924838 201003902 201034198 201730482 202110264 202144213 202476510 202477113 202477456
register language	106918019
registered	300790179 301964837 301965708
registered bond	113360340
registered mail	106635823
registered nurse	110536120
registered post	106635823
registered representative	109781176
registered security	113361594
registrant	110536285
registrar	110536467 110536625 110536730
registration	100050857 101001729 104994605 106491045 108496997
registration fire	100995314
registration number	106437478
registry	106519032
regius professor	110536876
reglaecus	102549504
regnant	301833150
regnellidium	112979375
regnellidium diphyllum	112979375
regorge	200076153
regosol	114719512
regress	100236075 105791773 200093079 200250199 200387981 200492392
regression	100236075 106036794 113570134 114526956
regression analysis	106037551
regression coefficient	106038096
regression curve	106038836
regression equation	106037790
regression line	106038836
regression of y on x	106037790
regression toward the mean	106036794
regressive	301883056 301884018
regret	107551058 200913515 200913714 201800593 201800935
regretful	301153978
regretfully	400426224
regrets	106646746
regrettable	301055737
regrettably	400043179
regroup	200658496 202438228
regrow	200094766
regular	105104234 110536998 110537176 110537336 300491854 300641523 301070692 301092967 301599894 301966104 301968763 301977842 302304307 302309868 302375495 302381088 302478817
regular army	108208160
regular convex polyhedron	113939032
regular convex solid	113939032
regular dodecahedron	113940127
regular hexagon	113905042
regular hexahedron	113939754
regular icosahedron	113940367
regular octahedron	113940247
regular payment	113302298
regular polygon	113889754
regular polyhedron	113939032
regular recurrence	104775267
regular tetrahedron	113939636
regularisation	100808563 113948048
regularise	200276406 202517217
regularity	104774586 105072380
regularization	100808563 113948048
regularize	200276406 202517217
regularly	400332957 400333223 400333541
regulate	200235689 200300122 200702806 202517217
regulated	301969136
regulating	100806695
regulation	100806695 100808563 105854581 106676796 113570308 114466900 302304499
regulation time	115258575
regulative	302011781
regulator	103454962 104079305 110537419
regulator gene	105448629
regulatory	302011781
regulatory agency	108370333
regulatory authority	108370333
regulatory gene	105448629
regulatory offence	100776293
regulatory offense	100776293
regulus	101566220 109429822
regulus calendula	101566858
regulus regulus	101566586
regulus satrata	101566742
regur	114719658
regur soil	114719658
regurgitate	200076153 200961210 201180632 202073324
regurgitation	100119553 105770668 107421074
rehabilitate	202557860 202558526 202571187
rehabilitation	100269862 100401453 100701513 101244544
rehabilitation program	105909190
rehabilitative	300588549 301909591
reharmonisation	107041138
reharmonise	201710987
reharmonization	107041138
reharmonize	201710987
rehash	106648284 201011124 201164945
rehear	202506808
rehearing	100884138
rehearsal	100898530 100898724
rehearse	201727101
reheat	200545360
reheel	200534751
rehnquist	111276755
rehouse	202464955
reich	108186472 111277021 111277149
reichstein	111277385
reid	111277537
reification	100934113 100934619
reify	200694346
reign	114466998 115285625 115285775 202593467 202650318
reign of terror	115285247 115285462
reigning	301833150
reignite	202766302
reimburse	202254399 202290050
reimbursement	113311025
reimpose	202312120
reimposition	101150893
reims	108957367
rein	104079663 105204842 200235558 201862348 201866076 202447602
rein in	201862348 201866076 202447602
rein orchid	112086278
rein orchis	112086278
reincarnate	200167460 202704568 300633568
reincarnation	106200947 107335847 110537596
reincarnationism	105977420
reindeer	102436556
reindeer lichen	113011944
