acceptant	301992640
acute myeloid leukemia	114267131
acute organic brain syndrome	114078244
acute pyelonephritis	114590057
acute renal failure	114138368
acute schizophrenic episode	114423729
acute triangle	113902473
acute-angled triangle	113902473
acutely	400141793 400274018 400386914 400505194
acuteness	104712884 105628251 105661172
acyclic	300680581 300681144
acyclovir	102681382
acyl	114618888
acyl anhydrides	114832787
acyl group	114618888
acyl halide	114832922
acylation	113448121
acylglycerol	114909239
ad	107263469 400001885
ad agency	108370839
ad blitz	100800620
ad campaign	100800620
ad hoc	301107222 301802880 400252456
ad hominem	301772338
ad infinitum	400088265
ad interim	400089037
ad lib	400089143
ad libitum	400089143
ad nauseam	400252542
ad val	400252635
ad valorem	400252635
ad valorem tax	113337744
ad-lib	106727636 201732719 301851375 302221226
ada	114731522
ada-scid	114152705
adactylia	114176285
adactylism	114176285
adactylous	302613652
adactyly	114176285
adad	109538162
adage	107168546
adagio	100527296 107061862 300986072 400266490
adalia	102168406 109063314
adalia bipunctata	102168529
adam	102681592 109609728 110827649
adam smith	111325253
adam's apple	105537929 111796980
adam's needle	112503932
adam's needle-and-thread	112503932
adam's peak	109210491
adam-and-eve	112065983
adamance	104871024
adamant	114858733 301028427
adamantine	301028427 301154749 302613736
adamantly	400178660
adams	109210304 110827804 110827957 110828143
adams-stokes syndrome	114385998
adana	109062950
adansonia	112210137
adansonia digitata	112210504
adansonia gregorii	112210296
adapa	109538266
adapid	102498841
adapid group	102498841
adapin	103234608
adapt	200150107 200300361
adaptability	104666447
adaptable	301030878
adaptation	100194255 106420422 113448251
adaptational	300046691
adaptative	300046329
adapted	301544805
adapter	102681751 109829330
adaption	113448251
adaptive	300046329
adaptive radiation	107454645
adaptor	102681751
adar	115240276
adar sheni	115240489
adaxial	300002527
adaxially	400515130
add	114079762 200182551 200642490 200951320 201029183 202329474 202751047
add on	200183902 201331387
add to	200157155
add together	200642490 200951320
add up	200951320 202625692 202633444 202651091
add-in	103037971
add-on	102674051 102682269 106578832
addable	300048926
addax	102423782
addax nasomaculatus	102423782
addend	113750928
addendum	106411274
adder	101755226 102681996 109788176
adder's fern	113194780
adder's tongue	112981138
adder's tongue fern	112981138
addible	300048926
addict	109788253 109788499 201167606
addicted	300047249
addiction	100088669 107501285 114086207
addictive	300048006
adding machine	102682111
addis ababa	108796253
addison's disease	114140390
addison's syndrome	114140390
addition	100364614 100873785 102682269 108572409 113274322 113776433
addition reaction	113448529
additional	300049078
additionally	400046607
additions to esther	106470355
additive	102682642 300048349 301420302
additive inverse	113865200
addle	200211073 200622204
addle-head	110618312
addlebrained	300437587
addled	300437830 301072943
addlehead	110618312
addlepated	300437587
address	104849463 105089855 106367922 106800007 106807073 107081631 107253354 108508037 200465600 200899077 200991233 200992687 200992844 201035399 201153447 201163215 202253826 202607453
addressable	300185232
addressed	300050861
addressee	109788768
addressing machine	102682815
addressograph	102682815
adduce	201017875
adducent	300003131
adducer	109788948
adducing	106662449
adduct	114608196 201451829
adducting	300003131
adduction	100334029
adductive	300003131
adductor	105299227
adductor muscle	105299227
ade	107942206
adelaide	108853535
adelges	102257183
adelges abietis	102257675
adelges piceae	102257553
adelgid	102257349
adelgidae	102257022
adelie	102058882
adelie coast	108511792
adelie land	108511792
adelie penguin	102058882
adeline virginia stephen woolf	111416662
aden	109187696
aden-abyan islamic army	108041865
adenanthera	111779097
adenanthera pavonina	111779268
adenauer	110828360
adenine	114731050
adenitis	114281189
adenium	111789471
adenium multiflorum	111789645
adenium obesum	111789645
adenocarcinoma	114270192
adenocarcinomatous	302613840
adenohypophysis	105492007
adenoid	105536919 302613957
adenoidal	301216222 302614090
adenoidectomy	100667213
adenoma	114259275
adenomatous polyp	114258093
adenomegaly	114390410
adenomyosarcoma	114269579
adenomyosis	114228245
adenopathy	114140655
adenosine	114731262
adenosine deaminase	114731522
adenosine diphosphate	114732064
adenosine monophosphate	114731871
adenosine triphosphate	114732203
adenosis	114083410
adenota	102430604
adenota vardoni	102430735
adenovirus	101332767
adenylic acid	114731871
adept	109781932 302234002
adeptness	105650020
adequacy	104799588 105119909
adequate	300051265 302088076 302344113
adequate to	300051593
adequately	400371514
adequateness	104799588
ader wax	114689281
adermin	115116236
adesite	114956360
adh	105421490
adhd	114079762
adhere	200487493 201223449 201359453 202644714 202644929 202724053
adherence	101215372 104942705
adherent	110035803 300053272
adhesion	101215372 104942705 105591658 114229706
adhesion contract	106533869
adhesive	114726577 300052912
adhesive agent	114726577
adhesive bandage	102682964
adhesive friction	111480680
adhesive material	114726577
adhesive plaster	103963714
adhesive tape	102683191
adhesiveness	104942705
adhocracy	108025971
adi granth	106442454
adiabatic	300747753
adiabatic process	113448654
adiantaceae	113200114
adiantum	113227482
adiantum bellum	113228470
adiantum capillus-veneris	113227992
adiantum pedatum	113228233
adiantum tenerum	113228634
adiantum tenerum farleyense	113228821
adience	109203688
adient	302614196
adieu	106642117
adige	109210640
adios	106642117
adipic acid	114636495
adipose	300995483
adipose cell	105464198
adipose tissue	105276464
adipose tumor	114262804
adiposeness	105006906
adiposis	105007702
adiposity	105006906
adirondack mountains	109210820
adirondacks	109210820
adit	102683366
aditi	109547162
aditya	109547286
adjacency	105093198
adjacent	300447018 300449506 300568607
adjectival	302947357
adjectivally	400515224
adjective	106330022 106332695 300055580 302947357
adjectively	400268751
adjoin	200183528 201208316 201469607
adjoining room	102683492
adjourn	200364950 202433334
adjournment	100216905 101068994
adjudge	200824028
adjudicate	200700621 202506927
adjudication	100876135
adjudicative	302614343
adjudicator	109789059
adjudicatory	302614343
adjunct	106323757 109211126 109789226 300796805 302363453
adjunction	100148274
adjunctive	300568997
adjuration	107201810
adjuratory	300716230 300717619
adjure	200757376 200761702
adjust	200150107 200296959 200298848 200465234 200701100
adjustable	300345603 301031301
adjustable spanner	102683608
adjustable wrench	102683608
adjusted	300351723 300352624 300353637 301687337
adjuster	109789352
adjusting entry	113426653
adjustive	300046778
adjustment	100200556 101001729 107384204 113295115 113448251
adjustor	109789352
adjutant	102005691 109789602
adjutant bird	102005691
adjutant general	109789782
adjutant stork	102005691
adjuvant	102683801 301199641 302363453
adlai ewing stevenson	111337744
adlai stevenson	111337744
adlumia	111930214
adlumia fungosa	111930333
adman	109793385
