cancan	100532114
canful	113788130
cangue	102952792
canicola fever	114297103
canicula	109458869
canicular	302688069 302688286
canicular days	115262364
canicule	115262364
canid	102085998
canidae	102085690
canine	102085998 105314590 302688440 302688598
canine chorea	114285838
canine distemper	114287705
canine tooth	105314590
caning	104589491
canis	102086515
canis aureus	102117748
canis dingo	102118293
canis familiaris	102086723
canis latrans	102117507
canis lupus	102117019
canis lupus tundrarum	102117200
canis major	109255748
canis minor	109255896
canis niger	102117364
canis rufus	102117364
canistel	107771238 112796477
canistel tree	112796477
canister	102952978 102980100
canister shot	102980100
canker	105701634 114236241 114302919 200089725 200089827
canker brake	113220615
canker sore	114236241
cankerous	301178702
cankerweed	112017629
cankerworm	102290451
canna	112371275
canna edulis	112371608
canna generalis	112371476
canna indica	112371608
canna lily	112371476
cannabidaceae	112416772
cannabin	114815730
cannabis	102953127 112417441
cannabis indica	112417936
cannabis resin	114815730
cannabis sativa	112417727
cannaceae	112370950
cannae	101276493
canned	301075800 301426060
canned food	107588522
canned foods	107588522
canned goods	107588522
canned hunt	100453971
canned meat	107588668
cannel coal	114815892
cannelloni	107879523
cannery	102953454
cannes	108954985
cannibal	109910531
cannibal mound	107893651
cannibalic	301266942
cannibalise	201164459 201164607
cannibalism	100413852
cannibalistic	303064175
cannibalize	201164459 201164607
cannikin	102953556 102953622
cannily	400432154
cannister	102952978
cannon	100501460 102465459 102953692 102953918 102954068 102954262 201136948 201150453
cannon ball	102954379
cannon bone	102465655
cannon cracker	102954526
cannon fire	100996535
cannon fodder	109910752
cannonade	100996709 201138907
cannonball	102954379
cannonball along	202062918
cannoneer	109831257
cannula	102954606
cannular	302272563
cannulate	201424826
cannulation	100322021
cannulisation	100322021
cannulise	201424826
cannulization	100322021
cannulize	201424826
canny	300440992
canoe	102954794 201951402
canoe birch	112302491
canoe cedar	111664497
canoeist	109910922
canola	107689746
canola oil	107689746
canon	106442207 106499566 106677339 107056608 109256353 109911065
canon law	108470310
canonic	301694697 302302973 303013035 303013161
canonical	301694697 302302973 303013035 303013161
canonical hour	115254204
canonically	400515407
canonisation	101042422
canonise	200824790 200862741
canonised	300180490
canonist	109911182 303013361
canonization	101042422
canonize	200824790 200862741
canonized	300180490
canoodle	201229345
canopic jar	102955139
canopic vase	102955139
canopied	301699816
canopus	109256041
canopy	102955279 102955545 102955673 201340208
canorous	301505298
cant	102836781 106620630 107150806 107171981 109236735 201888570
cant dog	103909211
cant hook	102956371
cant over	201888570
cantabile	301505397
cantabrian mountains	109256191
cantabrigian	109723104
cantala	112498088 112498636
cantaloup	107771905 112185173
cantaloup vine	112185173
cantaloupe	107771905 112185173
cantaloupe vine	112185173
cantankerous	301139173 302335070
cantankerously	400282813
cantata	107055995
canted	301237400
canteen	102955810 102955921 102956021 102956110 102956234
canter	100289330 201963199 201963341 201963528
canterbury	108903999
canterbury bell	112058160 112853298
canterbury tales	107236283
cantering	303159804
cantering rhythm	114135022
cantharellus	113024920
cantharellus cibarius	113025183
cantharellus cinnabarinus	113025752
cantharellus clavatus	113025586
cantharellus floccosus	113025400
canthus	105321600
canticle	107050189
canticle of canticles	106449494
canticle of simeon	106468312
canticles	106449494
cantilever	102956492 201659776 202720740
cantilever bridge	102956633
cantillate	201051609
cantillation	101257469
cantle	102956891
canto	106395912 107045123
canton	108558333 108743287 202475019 202659254
canton crepe	102956988
canton flannel	103120051
canton ginger	112376540
canton river	109506470
cantonal	303064368
cantonese	106943204
cantonese dialect	106943204
cantonment	102948281
cantor	109911316 109939229
cantus firmus	107048968
canty	300877855
canuck	109716340
canulate	201424826
canulation	100322021
canulisation	100322021
canulization	100322021
canute	110901134
canute the great	110901134
canvas	102957109 102957286 102957504 102957599 104135005 114537091 201270861
canvas tent	102957599
canvasback	101853514
canvasback duck	101853514
canvass	102957109 102957286 102957504 102957599 104135005 105809006 114537091 200646245 202459761 202464179
canvasser	109911518 110471164 110584930 110642716
canvassing	107260545
canyon	109256353
canyon live oak	112291463
canyon oak	112291463
canyon treefrog	101653700
canyonlands national park	108620864
canyonside	109256510
caoutchouc	115030825
caoutchouc tree	112946799
cap	102957776 102958374 102958501 102959683 103143740 103186898 106670391 109328264 111552802 200236954 202699010
cap off	200486366
cap opener	102960231
cap screw	102960571
cap-a-pie	400253175
capability	105209765 105630964 114554438
capable	300051593 300307112 300308813 300512273 302370095
capableness	105209765 105630964
capably	400186658
capacious	301387506
capaciousness	105112565 105626390
capacitance	102958683 111453660
capacitance unit	113654205
capacitate	200301960 200527012 200974489
capacitive	302688738
capacitor	102958683
capacitor microphone	103092238
capacitor mike	103092238
capacity	100722203 100916626 105040724 105210665 105630739 111453660 113777193 113801586 114554438
capacity measure	113622065
capacity unit	113622065
caparison	102958976 201674210
caparisoned	300457223
cape	102959203 109256622
cape aloe	112457412
cape ann	109120619
cape breton island	108845691
cape buffalo	102412154
cape canaveral	109257011
cape cod	109120776
cape cod bay	109257281
cape cod canal	109120950
cape colony	109023950
cape dagga	112871666
cape fear	109149687
cape fear river	109257398
cape flattery	109149834
cape forget-me-not	112838615 112838764
cape froward	109149947
cape girardeau	109129015
cape gooseberry	112931839
cape hatteras	109150134
cape horn	108740478
cape hunting dog	102119390
cape hyacinth	112479379
cape jasmine	112687726
cape jessamine	112687726
cape kafferboom	112548614
cape kennedy	109257011
cape lobster	101986470
cape marigold	111981915
cape may	109136915
cape may warbler	101571361
cape of good hope	109024466 109024565
cape of good hope province	109023950
cape passero	101292655 108829505
cape periwinkle	111792877
cape primrose	112854950
cape province	109023950
cape sable	109257663 109257792
cape town	109022832
cape trafalgar	109257960
cape tulip	112441227
cape verde	108735748
cape verde escudo	113697929
cape verde islands	108735563
cape verde monetary unit	113697813
cape yellowwood	111673029
cape york	109258151
cape york peninsula	109258376
capek	110901368
capelan	102543888
capelin	102543888
capeline bandage	102959380
capella	102034406 109257561
caper	100428583 100512828 100513278 100784446 107838029 111885540 201971111
caper family	111885071
caper sauce	107856195
caper spurge	112939164
caper tree	111885898 111886043
capercaillie	101799661
capercailzie	101799661
capet	110911023
capetian	109911608 302688824
capetian dynasty	108171112
capeweed	112004613
capful	113788220
capibara	102368132
capillarity	111453920
capillary	102959505 105433487 302421676 302938171
capillary action	111453920
capillary artery	105344849
capillary bed	105276009
capillary fracture	114317007
capillary tube	102959505
capillary tubing	102959505
capillary vein	105433664
capillary vessel	105433487
capital	102959683 106837277 107297634 108374056 108535783 108535930 113374622 113375435 301470834 301858476 302350884
capital account	113376519 113376671
capital cost	113326954
capital expenditure	113299298
capital gain	113332852
capital gains tax	113333212
capital letter	106837277
capital levy	113333351
capital loss	113333032
capital of afghanistan	108722051
capital of alabama	109076264
capital of alaska	109078249
capital of antigua and barbuda	108728158
capital of argentina	108730709
capital of arizona	109080839
capital of arkansas	109082750
capital of armenia	109040400
capital of australia	108851261
capital of austria	108865316
capital of azerbaijan	109040796
capital of bahrain	108867560
capital of bangladesh	108868218
capital of barbados	108773497
capital of belarus	109033888
capital of belgium	108869442
capital of benin	108777517
capital of bolivia	108872300
capital of botswana	108871677
capital of brazil	108874300
capital of burundi	108734350
capital of california	109087443
capital of cameroon	108735343
capital of canada	108846478
capital of cape verde	108735927
capital of central africa	108736634
capital of chad	108738113
capital of chile	108739392
capital of colombia	108750812
capital of colorado	109090592
capital of connecticut	109091681
capital of costa rica	108754209
capital of cuba	108768445
capital of cyprus	108774965
capital of delaware	109092731
capital of djibouti	108780656
capital of ecuador	108795085
capital of egypt	108918860
capital of estonia	109034900
capital of ethiopia	108796253
capital of finland	108797870
capital of florida	109097675
capital of france	108952341
capital of gabon	108965478
capital of gambia	108965815
capital of georgia	109041564 109099186
capital of ghana	108966337
capital of greece	108803195
capital of grenada	108966953
capital of guatemala	108755209
capital of guinea	108967390
capital of guinea-bissau	108967800
capital of hawaii	109101302
capital of hungary	108972196
capital of iceland	108973369
capital of idaho	109104091
capital of illinois	109107021
capital of indiana	109108138
capital of indonesia	108929492
capital of iowa	109109546
capital of iran	108931194
capital of iraq	108933966
capital of ireland	108909418
capital of israel	108812650
capital of italy	108824749
capital of jamaica	108772071
capital of japan	108943121
capital of jordan	108947321
capital of kansas	109111373
capital of kazakhstan	109042489
capital of kentucky	109112196
capital of kenya	108948355
capital of kuwait	108949328
capital of kyrgyzstan	109043162
capital of laos	108976837
capital of latvia	109035723
capital of lebanon	108977579
capital of lesotho	108978878
capital of liberia	108979268
capital of libya	108979872
capital of liechtenstein	108980616
capital of lithuania	109036643
capital of louisiana	109113970
capital of luxembourg	108981175
capital of madagascar	108982238
capital of maine	109115400
capital of malawi	108982868
capital of malaysia	108983758
capital of malta	108988998
capital of maryland	109116801
capital of massachusetts	109118343
capital of mexico	108762069
capital of michigan	109123918
capital of minnesota	109125985
capital of mississippi	109127619
capital of missouri	109129534
capital of moldova	109037220
capital of mongolia	108991474
capital of montana	109131810
capital of morocco	108992796
capital of mozambique	108993905
capital of nebraska	109132519
capital of nepal	108926582
capital of nevada	109133423
capital of new hampshire	109134400
capital of new jersey	109135675
capital of new mexico	109138978
capital of new york	109140980
capital of new zealand	108995553
capital of nicaragua	108756880
capital of niger	108995998
capital of nigeria	108996541
capital of north carolina	109150517
capital of north dakota	109152399
capital of north korea	108975170
capital of northern ireland	108908706
capital of norway	108782902
capital of ohio	109153681
capital of oklahoma	109155285
capital of oman	108997805
capital of oregon	109156897
capital of pakistan	108999405
capital of panama	108757345
capital of papua new guinea	108864045
capital of paraguay	109001037
capital of pennsylvania	109158434
capital of peru	109002248
capital of poland	109005475
capital of portugal	109008436
capital of qatar	109009632
capital of red china	108742559
capital of rhode island	109160159
capital of romania	108832326
capital of rwanda	108833198
capital of san marino	109014878
capital of saudi arabia	109016241
capital of senegal	109018488
capital of serbia and montenegro	108835270
capital of seychelles	109019084
capital of sierra leone	109019502
capital of singapore	109020171
capital of slovakia	108777096
capital of somalia	109021223
capital of south africa	109022642
capital of south carolina	109161073
capital of south dakota	109162230
capital of south korea	108975724
capital of spain	109046837
capital of sri lanka	108737298
capital of sudan	109052580
capital of suriname	109053431
capital of swaziland	109053871
capital of sweden	108784069
capital of switzerland	109054796
capital of syria	109056411
capital of taiwan	108748728
capital of tajikistan	109043683
capital of tanzania	109057442
capital of tennessee	109164027
capital of texas	109165754
capital of thailand	109059355
capital of the bahamas	108866562
capital of the dominican republic	108770126
capital of the netherlands	108969510
capital of the philippines	109004116
capital of the russian federation	109026438
capital of the ukraine	109038277
capital of the united kingdom	108893849
capital of the united states	109093291
capital of tibet	108927150
capital of togo	108778061
capital of trinidad and tobago	108774344
capital of tunisia	109060313
capital of turkey	109063076
capital of turkmenistan	109044182
capital of uganda	109066401
capital of uruguay	109183364
capital of utah	109170480
capital of uzbek	109044908
capital of vanuatu	109183761
capital of venezuela	109185069
capital of vermont	109171008
capital of vietnam	109186888
capital of virginia	109172802
capital of washington	109176763
capital of west virginia	109178569
capital of western samoa	109014122
capital of wisconsin	109180810
capital of wyoming	109182468
capital of zambia	109188789
capital of zimbabwe	109190298
capital offense	100769842
capital punishment	101166269
capital ship	102959829
capital stock	113355665 113363413
capitalisation	100093826 100953737 100954325 106414068
capitalise	200161975 200732985 200733144 201696161 202284617 202335738
capitalism	108381070
capitalist	109632262 109911714 300298269 303011618
capitalist economy	108381070
capitalistic	300298269 303011618
capitalization	100093826 100953737 100954325 106414068
capitalize	200161975 200732985 200733144 201696161 202284617 202335738
capitate	105280722 302049360
capitate bone	105280722
capitation	113335248
capitol	102959936 102960135
capitol building	102959936
capitol hill	109093847
capitol reef national park	108621081
capitonidae	101844752
capitular	302688955
capitulary	302688955
capitulate	201120230
capitulation	100068527 106479539 106482913
capitulum	113148915 113154372 113154545
capiz	101965429
caplin	102543888
capo	109911862
capon	101795171 107660993
capone	110901536
caponise	200060850
caponize	200060850
caporetto	101276664
capote	102960319 102960444
capoten	102961438
cappadocia	108718975
cappadocian	302689108
capparidaceae	111885071
capparis	111885375
capparis arborea	111885745
capparis cynophallophora	111885898
capparis flexuosa	111886043
capparis mitchellii	111886207
capparis spinosa	111886343
capped	300657148 300658315
capped macaque	102490306
cappelletti	107716989
cappuccino	107936589
cappuccino coffee	107936589
capra	102419056 110901738
capra aegagrus	102420309
capra falconeri	102420431
capra hircus	102419716
capra ibex	102420560
caprella	101996054
capreolus	102436057
capreolus capreolus	102436177
capri	108823805
capric acid	114816000
capriccio	107295129
caprice	107505719
capricious	300722886 301848219
capriciously	400282921 400283116
capriciousness	104679198 104742315
capricorn	108705447 109258620 109772829
capricorn the goat	108705447
capricornis	102421580
capricornus	109258620
caprifig	112422398
caprifoliaceae	112691918
caprimulgid	101837917
caprimulgidae	101837728
caprimulgiform bird	101837559
caprimulgiformes	101837343
caprimulgus	101838225
caprimulgus carolinensis	101838559
caprimulgus europaeus	101838410
caprimulgus vociferus	101838728
caprine	302689239
caprine animal	102419165
capriole	100513278 100513362 201899161 201968898
caproic acid	114816158
caproidae	101455829
capromyidae	102369354
capros	101455971
capros aper	101456116
caprylic acid	114816316
capsaicin	115057396
capsella	111901532
capsella bursa-pastoris	111901658
capsicum	112920908 112921222
capsicum annuum cerasiforme	112922325
capsicum annuum conoides	112921543
capsicum annuum grossum	112922024
capsicum annuum longum	112921747
capsicum baccatum	112922484
capsicum frutescens	112922781
capsicum frutescens baccatum	112922484
capsicum pepper plant	112921222
capsid	101332435 102240233
capsidae	102239891
capsize	201897306
capsizing	107367832
capstan	102960688
capstone	102960863 105650523
capsula glomeruli	105254964
capsular	302689414 302689587
capsulate	201583919 301661846
capsulated	301661846
capsule	102961022 102961191 103272379 104271875 105324741 106479794 111705648 200245302 201583919
capsulise	200245302 201583919
capsulize	200245302 201583919
captain	109911965 109912145 109912283 109912467 109912643 109912796 110318579 202445351
captain bligh	110872557
captain bob	110856619
captain cook	110928065
captain hicks	113766862
captain horatio hornblower	109623613
captain james cook	110928065
captain john smith	111325397
captain kidd	111124448
captain's chair	102961298
captaincy	100590806
captainship	100590806
caption	106358261 106358958 107224351 202328866
captious	300650889
captiously	400283263
captivate	201810472
captivated	300868825 301468473
captivating	300168015
captivatingly	400280264
captivation	107513215 114431303
captive	109912954 109913052 110495671 300165213 301068815
captive finance company	108438398
captivity	114020535 114022691
captopril	102961438
captor	109632591
capture	100089301 100167523 100776783 113463888 113464040 201217985 201482779 201690521 201810472 202277394 202309221
capturer	109632591
capuchin	102494666 102961700
capulin	107773850 112663725
capulin tree	112663725
caput	105546258 113918055
capybara	102368132
car	102937835 102961779 102963378 102963788 102963937
car battery	102964661
car bomb	102964980
car boot sale	101120935
car care	100268761
car carrier	102965850
car company	108018711
car dealer	108080486
car door	102967273
car factory	102764701
car horn	102764839
car insurance	113366418
car loan	113421197
car maker	108083599
car manufacturer	108083599
car mirror	102969235
car park	108633213
car part	102765049
car pool	108257405
car port	102971533
car race	107473683
car racing	100450502
car rental	113269497
car seat	102974144
car sickness	114227295
car tire	102974626
car traffic	108443068
car train	102975038
car transporter	104481270
car wheel	102977462
car window	102977678
car-ferry	102967747
car-mechanic	109845152
carabao	102411463
carabid beetle	102169803
carabidae	102169638
carabineer	109913198
carabiner	102964126
carabinier	109913198
caracal	102130330
caracara	101615269
caracas	109185069
carack	102971669
caracole	201913154
caracolito	112722884
caracul	102416689
carafate	104356779
carafe	102964339
caragana	112532361
caragana arborescens	112532600
caragana sinica	112532799
carageen	101417274
carambola	107762527 112725103
carambola tree	112725103
caramel	104981224 107610751 107617380 300373861
caramel apple	107616267
caramel brown	104981224 300373861
caramel bun	107708968
caramelise	200114099 200114423
caramelize	200114099 200114423
caramelized sugar	107610751
carancha	101615818
caranda	112609541
caranda palm	112609541
caranday	112609541
carangid	102578854 302689800
carangid fish	102578854
carangidae	102578397
caranx	102579091
caranx bartholomaei	102579672
caranx crysos	102579795
caranx hippos	102579537
carapace	101906397
carapidae	102561863
carassius	101446039
carassius auratus	101446178
carassius carassius	101446472
carassius vulgaris	101446472
carat	113606330 113745687
caravaggio	110901841
caravan	104527677 108444586 201953192
caravan inn	102964471
caravanning	101067985
caravansary	102964471
caravanserai	102964471
caraway	107832702 112955239
caraway seed	107843530
caraway seed bread	107697100
carbamate	114816451
carbamic acid	114816559
carbamide	115110039
carbide	114816720
carbine	102964887
carbineer	109913198
carbo loading	107578216
carbocyclic	302689939
carbohydrate	114816873
carbohydrate loading	107578216
carbolated	302690089
carbolic acid	114820243
carboloy	114817393
carbomycin	102965150
carbon	102965287 114657384 114821983
carbon 14	114658034
carbon arc	102965383
carbon arc lamp	102965383
carbon atom	114657959
carbon black	114817703
carbon copy	102965287
carbon cycle	113464293 113464401
carbon dating	100994818
carbon dichloride	104423473
carbon dioxide	114821139
carbon dioxide acidosis	114043742
carbon disulfide	114821606
carbon monoxide	114821811
carbon monoxide gas	114821811
carbon monoxide poisoning	114534003
carbon nanotube	114646669
carbon paper	114821983
carbon process	106693780
carbon steel	114827244
carbon tet	114822209
carbon tetrachloride	114822209
carbon tetrahalide	114822501
carbon-14 dating	100994818
carbonaceous	302875006
carbonado	107680213 114817563
carbonara	107847122
carbonate	114822620 200186885 202633302
carbonated	302284601
carbonated water	107952788
carbonation	113464171
carbondale	109105689
carbonic	302875006
carbonic acid	114823254
carbonic acid gas	114821139
carboniferous	115152259 302875006 303064449
carboniferous period	115152259
carbonisation	113464543
carbonise	200370281 200374173
carbonization	113464543
carbonize	200370281 200374173
carbonnade flamande	107879620
carbonous	302875006
carbonyl	114814696 302690205
carbonyl group	114814863
carbonylic	302690205
carborundum	114823646
carboxyl	114814966 302690390
carboxyl group	114814966
carboxylate	200527161
carboxylic	302690390
carboxylic acid	114763539
carboxymethyl cellulose	114818373
carboy	102965497
carbuncle	114207256 114901637
carbuncled	300057730 301178842
carbuncular	301178842
carburet	201602356
carburetor	102965636
carburettor	102965636
carburise	200374173
carburize	200374173
carcajou	102451814
carcase	101761398
carcass	101761398
carcharhinidae	101491180
carcharhinus	101491916
carcharhinus leucas	101492142
carcharhinus limbatus	101492561
carcharhinus obscurus	101493001
carcharhinus plumbeus	101492350
carcharias	101489953
carcharias taurus	101490147
carchariidae	101489718
carcharinus longimanus	101492753
carcharodon	101487358
carcharodon carcharias	101487491
carcinogen	114817982
carcinogenic	302690595
carcinoid	114260630
carcinoma	114265819
carcinoma in situ	114270517
carcinomatous	302690754
carcinomatous myopathy	114102638
carcinosarcoma	114260833
card	102965981 103037971 106489042 106497998 106504930 106519932 106639513 106645712 106806283 110782010 114824204 200665812 201358959
card catalog	102966738 106500310
card catalogue	102966738 106500310
card game	100489236
card index	102966738
card player	109914106
card shark	109914361
card sharp	109914361
card sharper	109914361
card table	102967527 102967648
card trick	100553256
card-house	103550936
card-playing	301300894
cardamine	111901895
cardamine bulbifera	111902706
cardamine bulbosa	111903290
cardamine diphylla	111902895
cardamine douglasii	111903441
cardamine pratensis	111902543
cardamine rotundifolia	111903105
cardamom	107838299 112378810
cardamon	107838299 112378810
cardamum	107838299
cardboard	114823771 301576718
cardcase	102966279
cardcastle	103550936
cardholder	109913368 109913492
cardhouse	103550936
cardia	105403572
cardiac	302854602
cardiac arrest	114048052
cardiac arrhythmia	114134156
cardiac cycle	107355904
cardiac glucoside	115084506
cardiac glycoside	115084506
cardiac insufficiency	114137118
cardiac massage	100660592
cardiac monitor	102966374
cardiac murmur	114358219
cardiac muscle	105397282
cardiac output	115302912
cardiac pacemaker	105396803
cardiac plexus	105513880
cardiac resuscitation	100834287
cardiac rhythm	104775425
cardiac sphincter	105578763
cardiac tamponade	114532180
cardiac valve	105402441
cardiff	108915613
cardigan	102115838 102966595
cardigan welsh corgi	102115838
cardiidae	101962309
cardinal	101544027 104970626 109913595 113618828 301280207 302191250
cardinal bellarmine	110862326
cardinal compass point	113853199
cardinal flower	112189267
cardinal grosbeak	101544027
cardinal newman	111224952
cardinal number	113618828
cardinal richelieu	111281473
cardinal tetra	102586776
cardinal vein	105367376
cardinal virtue	104854831
cardinalate	100590985 108102739
cardinalfish	102574827
cardinalis cardinalis	101544027
cardinality	113612789
cardinalship	100590985
cardiogenic shock	114090963
cardiogram	107017173
cardiograph	102784787 102966939
cardiographic	302690888
cardiography	100833753
cardioid	113932647
cardioid microphone	102967128
cardioid mike	102967128
cardiologic	302926215
cardiologist	109913897
cardiology	106056806
cardiomegaly	114358036
cardiomyopathy	114134448
cardiopathy	114126770
cardiopulmonary	302690979
cardiopulmonary arrest	114048052
cardiopulmonary exercise	100436503
