allium tuberosum	112456282
alnico	114740519
alnus	112304498
alnus crispa	112306714
alnus glutinosa	112305338
alnus incana	112305566
alnus maritima	112305712
alnus rhombifolia	112305886
alnus rubra	112306029
alnus rugosa	112306222
alnus serrulata	112306417
alnus veridis	112306585
alnus veridis crispa	112306714
alnus vulgaris	112305338
alocasia	111802505
alocasia macrorrhiza	111802735
aloe	112457182
aloe family	112456765
aloe ferox	112457412
aloe vera	112457552
aloeaceae	112456765
aloes	102701225
aloft	400500697 400500808 400501202 400501282
aloha	106644428
aloha state	109100742
alois senefelder	111312652
alone	300507765 301868647 302257510 302258956 400009062 400159090
aloneness	104629772
along	400068768 400068977 400069153 400069386 400069564
alongside	400251525
alonso	110834947
aloof	301994728 400123700
aloofness	104664353 107521110
alopecia	114480809
alopecia areata	114481078
alopecic	302624510
alopecurus	112128006
alopecurus pratensis	112128227
alopex	102122613
alopex lagopus	102122731
alopiidae	101488314
alopius	101488442
alopius vulpinus	101488651
alosa	102532925
alosa alosa	102533630
alosa chrysocloris	102533462
alosa pseudoharengus	102533745
alosa sapidissima	102533268
alouatta	102495167
aloud	400070171 400070301
aloys senefelder	111312652
alp	109216583
alpaca	102440903 102701332 115129165
alpena	109122680
alpenstock	102701493
alpestrine	301221950
alpha	106847188 107343769 300881125 301279592
alpha and omega	106616562 115268905
alpha blocker	102701628
alpha brass	114744635
alpha bronze	114744749
alpha centauri	109216650
alpha crucis	109216811
alpha decay	113450605
alpha fetoprotein	115058413
alpha foetoprotein	115058413
alpha geminorum	109260655
alpha globulin	114756143
alpha iron	114744853
alpha methyl dopa	103761520
alpha orionis	109242638
alpha particle	109216930
alpha privative	106319664
alpha radiation	111443721
alpha ray	111443721
alpha receptor	105616866
alpha rhythm	111443870
alpha software	106578981
alpha test	105807769
alpha wave	111443870
alpha-adrenergic blocker	102701628
alpha-adrenergic blocking agent	102701628
alpha-adrenergic receptor	105616866
alpha-adrenoceptor	105616866
alpha-beta brass	114744399
alpha-blocker	102701628
alpha-interferon	102701955
alpha-linolenic acid	114633621
alpha-lipoprotein	114931500
alpha-naphthol	114633867
alpha-naphthol test	114633962
alpha-tocopheral	114744994
alphabet	105881364 106509450
alphabet soup	107599543 108417148
alphabetic	300101395 302624611
alphabetic character	106841868
alphabetic script	106372721
alphabetic writing	106372721
alphabetical	300101395 302624611
alphabetically	400204261
alphabetisation	101012970
alphabetise	200280009
alphabetised	300101750
alphabetiser	109804850
alphabetization	101012970
alphabetize	200280009 202335963
alphabetized	300101750
alphabetizer	109804850
alphameric	302624996
alphamerical	302624996
alphanumeric	302624996
alphanumeric characters	106512253
alphanumeric display	103201282
alphanumerical	302624996
alphanumerics	106512253
alphavirus	101335129
alphonse bertillon	110868809
alphonse capone	110901536
alpine	301222044 303037104 303037260
alpine anemone	111745780
alpine ash	112357490
alpine azalea	112260994
alpine bearberry	112252226
alpine besseya	112899085
alpine celery pine	111670881
alpine clover	111773267
alpine clubmoss	113243883
alpine coltsfoot	112003408
alpine enchanter's nightshade	112362312
alpine fir	111643042
alpine glacier	109217105
alpine gold	112003844
alpine golden chain	112558714
alpine goldenrod	112037383
alpine hulsea	112003844
alpine lady fern	113215656
alpine lift	104403785
alpine milk vetch	112529123
alpine mouse-ear	111828165
alpine salamander	101632789
alpine scurvy	114224355
alpine sunflower	112045976
alpine totara	111673417
alpine type of glacier	109217105
alpine woodsia	113223253
alpinia	112377185
alpinia galanga	112377477
alpinia officinalis	112377617
alpinia officinarum	112377617
alpinia purpurata	112377860
alpinia speciosa	112378002
alpinia zerumbet	112378002
alpinism	100326801
alpinist	109805100
alprazolam	102702202
alps	109217235
already	400032194
alright	302088638 400015933 400053542 400053690
als	114129219
alsace	108959982
alsatia	108959982
alsatian	102109314 109805227 302983889
also	400048072
also known as	400271877
also-ran	110292610
alsobia	112851734
alsobia dianthiflora	112851901
alsophila	102290128
alsophila pometaria	102290274
alstonia	111790482
alstonia scholaris	111790725
alstroemeria	112459076
alstroemeria pelegrina	112459288
alstroemeriaceae	112458551
alt	113858749
altace	104058180
altai mountains	109217588
altaic	106938989 109709604 302625233
altaic language	106938989
altair	109217816
altar	102702353 102702488
altar boy	109805332
altar wine	107909400
altarpiece	102702629
altay mountains	109217588
altazimuth	102702774
alter	200060248 200122978 200126072 200201771 201671027
alter ego	109805433
alterability	104748770
alterable	300349482 300350397
alteration	100200556 100400201 107311046
alterative	301169487
altercate	200777201
altercation	107199205
altered	300353228 301544805 302144382
altering	100693759
alternanthera	111845017
alternanthera philoxeroides	111845216
alternate	110699600 200121022 200121314 200121486 200606325 202398868 300679196 300679361 301667824 301859862
alternately	400138372
alternating	300679196 300767310
alternating current	111444066
alternating electric current	111444066
alternation	101012626
alternation of generations	111444308
alternative	105798949 300566932 300611045 301859862
alternative birth	113450758
alternative birthing	113450758
alternative energy	111444514
alternative medicine	100614760
alternative pleading	106572012
alternatively	400063710
alternator	102702923
althaea	112194828
althea	112194828
althea gibson	111018113
althea officinalis	112195038
althea rosea	112194429
altimeter	102703117
altissimo	301216393
altitude	105138912 113858749 113920350
altitude sickness	114066396
altitudinal	302625362
altitudinous	301207803
alto	104993775 104993886 106885835 106885955 109805556 301216458 301216633 301218334
alto clef	106876136
alto relievo	102703281
alto rilievo	102703281
alto saxophonist	109805667
altocumulus	109217976
altocumulus cloud	109217976
altogether	114480034 400008423 400064168 400152813
altoist	109805667
alton glenn miller	111200199
altoona	109157843
altostratus	109218113
altostratus cloud	109218113
altricial	300102092
altruism	104840507
altruist	110441701
altruistic	300102370
altruistically	400272405
alula	101900308 102193117
alular	302625496
alum	102703481 109805779 114652297 114652485
alumbloom	112819044
alumina	114848114
aluminate	114848310
aluminiferous	301532158
aluminise	201340795
aluminium	114651998
aluminium bronze	114747073
aluminium chloride	115042445
aluminium foil	102703626
aluminium hydroxide	114848408
aluminium oxide	114848114
aluminize	201340795
aluminous	302625624
aluminum	114651998
aluminum bronze	114747073
aluminum business	108083022
aluminum chloride	115042445
aluminum foil	102703626
aluminum hydroxide	114848408
aluminum industry	108083022
aluminum oxide	114848114
alumna	109805779
alumnus	109805779
alumroot	112819044
alundum	114848639
alupent	103758140
alvar aalto	110826297
alveolar	107130201 302625742 302625841
alveolar arch	105317731
alveolar artery	105342858
alveolar bed	105395185
alveolar consonant	107130201
alveolar ectasia	114087778
alveolar point	105242241
alveolar process	105317876
alveolar resorption	114104606
alveolar rhabdomyosarcoma	114269240
alveolar rhabdosarcoma	114269240
alveolar ridge	105317876
alveolate	300328588
alveolitis	114281281 114281495
alveolus	105292979 105536028
alvin ailey	110830275
alvine	302860932
always	400019801 400020071 400020219 400020735 400020931
alyssum	111891076 111891216
alytes	101650642
alytes cisternasi	101650997
alytes obstetricans	101650780
alzheimer's	114419500
alzheimer's disease	114419500
alzheimers	114419500
am	106292247 106713764 114652672
amabilis fir	111641732
amadavat	101546577
amaethon	109530771
amah	110302369 110794538
amain	400274479 400274564
amalgam	107980601 114740711
amalgamate	201464634 302486112
amalgamated	302486112
amalgamation	101240989
amalgamative	302626004
amalgamator	109806363
amandine aurore lucie dupin	111300003
amanita	113023193
amanita caesarea	113023510
amanita mappa	113023685
amanita muscaria	113023821
amanita phalloides	113024014
amanita rubescens	113024282
amanita verna	113024472
amanuensis	110673454
amaranth	111843512 111843774
amaranth family	111843026
amaranthaceae	111843026
amaranthine	301562479 302626128
amaranthus	111843318
amaranthus albus	111843905
amaranthus caudatus	111844041
amaranthus cruentus	111844225
amaranthus graecizans	111843905
amaranthus hybridus erythrostachys	111844225
amaranthus hybridus hypochondriacus	111844225
amaranthus hypochondriacus	111844615
amaranthus spinosus	111844813
amarelle	107774101 112664449
amaretto	107924807
amarillo	109165508
amaryllidaceae	112439185
amaryllis	112439542
amaryllis belladonna	112439899
amaryllis family	112439185
amass	200158612 202309962
amastia	114045840
amaterasu	109557786
amaterasu omikami	109557786
amateur	109806026 109806201 301875584 301876586
amateurish	301876586
amateurishly	400215731
amateurishness	105656961
amateurism	106256206
amati	102703754 110835081
amative	301467951
amativeness	107504199
amatory	301468104
amatungulu	111792393
amauropelta	113249092
amaurosis	114119894
amaurotic	302626221
amaze	200624056 200726794
amazed	302366366
amazement	107524811
amazing	301285602 302368344
amazingly	400214599
amazon	101820940 109218250 109806517 109806734
amazon ant	102225234
amazon river	109218250
amazona	101820810
ambage	107104571
ambages	100417001
ambagious	300771186
ambassador	109806975 109807206
ambassadorial	303052360
ambassadorship	100589817
ambassadress	109807319
amber	104973417 114919031 300370566
amber lily	112460335
amber-green	300370710
amberbell	112471345
amberboa	111939100
amberboa moschata	111939277
amberfish	102581402
ambergris	114725146
amberjack	102581402
ambiance	108511143 114548451
ambidexterity	105074368
ambidextrous	301225960 302037130
ambidextrousness	105074368
ambience	108511143 114548451
ambient	300449787
ambiguity	104832345 106616672
ambiguous	300103000 300898735 301676562
ambiguously	400221803
ambit	105132642
ambition	104843499 107499687 201830002
ambitionless	300105822
ambitious	300104850 300749254
ambitiously	400263637
ambitiousness	104843499
ambivalence	107498445
ambivalency	107498445
ambivalent	300338739
ambiversion	104629573
ambiversive	301354770
amble	100284945 201922176
ambler	110572663
ambloplites	102566761
ambloplites rupestris	102567034
amblygonite	114689784
amblyopia	114120080
amblyopic	302626338
amblyrhynchus	101680254
amblyrhynchus cristatus	101680388
ambo	103164306
amboina pine	111668319
amboyna	112585873 112586095
amboyna pine	111668319
ambrogio damiano achille ratti	111258293
ambrose	110835252
ambrose bierce	110870735
ambrose everett burnside	110893524
ambrose gwinett bierce	110870735
ambrosia	107625904 107626111 111939916 114798251
ambrosia artemisiifolia	111940230
ambrosia psilostachya	111940602
ambrosia trifida	111940444
ambrosiaceae	111939701
ambrosial	301182785 302404495
ambrosian	301182785 302404495 302626488
ambulacral	302626619
ambulacrum	102319677
ambulance	102703861
ambulance chaser	109807396
ambulant	301527104
ambulant plague	114162815
ambulate	201915691
ambulation	100284795
ambulatory	102703984 301527104 302626762
ambulatory plague	114162815
ambuscade	101249473 201140630
ambush	101249473 201140630 201144629
ambusher	109807514
ambystoma	101634544
ambystoma maculatum	101635099
ambystoma mexicanum	101635418
ambystoma talpoideum	101634949
ambystoma tigrinum	101635242
ambystomatidae	101634400
ambystomid	101634688
ambystomid salamander	101634688
amd	114280371
ameba	101395021
ameban	303052488
amebiasis	114198647
amebic	303052488
amebic dysentery	114198795
amebiosis	114198647
ameboid	302626897
amebous	303052488
amedeo avogadro	110849642
amedeo modigliano	111203945
ameer	110072305
ameiuridae	102521444
ameiurus	102521621
ameiurus melas	102521971
amelanchier	112644129
amelanchier alnifolia	112644579
amelanchier bartramiana	112644816
amelia	114489928
amelia earhart	110967395
ameliorate	200205454 200206293
ameliorating	300233977
amelioration	100261872
ameliorative	300233977
amelioratory	300233977
ameloblast	105455629
amelogenesis	113450953
amen	109534502
amen cadence	107060088
amen corner	102704119
amen-ra	109534654
amenability	104913203
amenable	300700266 302004515 302369880 302371053
amenableness	104913203
amend	200200276 200206293 200998373
amendable	300637918
amendatory	300234212
amended	300232435 300355201
amended return	106560982
amendment	101252688 106736384
amends	100096149 113311699
amenhotep iv	110830527
amenia	114325781
amenities	113387310
amenity	104786292
amenorrhea	114325781
amenorrheal	302627044
amenorrheic	302627044
amenorrhoea	114325781
amenorrhoeal	302627044
amenorrhoeic	302627044
ament	111695249
amentaceous	301871590
amentia	105654771
amentiferae	112334091
amentiferous	301871590
amerce	202504636 202505914
amercement	113322350
amerciable	301405347
america	109067337 109218493
american	106960241 109757749 109758057 302938616 302938825
american agave	112497668
american alligator	101701281
american aloe	112497015
american angelica tree	111817977
american antelope	102432102
american arborvitae	111664677
american arrowroot	112372307
american aspen	112754830
american badger	102450393
american baptist convention	108106763
american barberry	111718271
american basswood	112224046
american beech	112282325
american bison	102413348
american bittern	102014459
american bittersweet	112769008
american black bear	102135813
american blight	102256565
american bog asphodel	112484633
american brooklime	112911445
american buffalo	102413348
american bugbane	111749238
american capital	109093291
american centaury	112318912
american chameleon	101685355
american cheese	107868895
american chestnut	112283555
american civil war	101304121
american cockroach	102237007
american columbo	112313394
american coot	102020861
american copper	102285205
american crab apple	112655912
american cranberry	112266402
american cranberry bush	112701163
american crayfish	101988438
american creeper	101592359
american cress	111894314
american crow	101581790
american dewberry	112676006 112676112
american dog tick	101781789
american dog violet	112408810
american dogwood	112968304
american dream	107499932
american dwarf birch	112304307
american eagle	101617566
american egret	102012566
american elder	112699309
american elk	102433768 102434431
american elm	112426993
american english	106960241
american falls	109218674
american featherfoil	112114918
american federalist party	108276674
american federation of labor	108250834
american federation of labor and congress of industrial organizations	108251024
american feverfew	112021763
american flag	102704425
american flagfish	101450587
american fly honeysuckle	112695446
american flying squirrel	102363433
american football	100470726
american football game	100470726
american foxhound	102092377
american frogbit	112634857
american gallinule	102020129
american gentian	112313394
american germander	112890428
american ginseng	111820489
american gray birch	112302752
american green toad	101649674
american grey birch	112302752
american hackberry	112430156
american harvest mouse	102338927
american hazel	112309827
american hellebore	112485154
american holly	112778576
american hop	112418889
american hornbeam	112307712
american indian	106919215
american indian day	115215614
american ivy	113169167
american kestrel	101614763
american labor party	108274700
american lady crab	101982167
american language	106960241
american larch	111639678
american laurel	112258158
american legion	108245901
american leishmaniasis	114204891
american licorice	112553695
american lime	112224046
american liquorice	112553695
american lobster	101986122 107808902
american lotus	111738046
american magpie	101585139
american maidenhair fern	113228233
american marten	102453192
american mastodon	102508879
american mastodont	102508879
american merganser	101857479
american mink	102445646
american mistletoe	112759019 112760726
american mountain ash	112679364
american oil palm	112611361
american olive	112330147
american organ	102704589
american oriole	101574545
american parasol	113035169
american parsley fern	113231248
american party	108274892
american pasqueflower	111758221
american pennyroyal	112868687
american persimmon	112792357
american pit bull terrier	102096080
american plaice	102662721
american plan	113436917
american plane	112828169
american pulsatilla	111758221
american quaking aspen	112754830
american raspberry	112677289
american rattlebox	112540329
american red elder	112700193
american red plum	112659725
american red squirrel	102360053
american redstart	101570935
american revised version	106461147
american revolution	101304577
american revolutionary leader	109759416
american revolutionary war	101304577
american robin	101561634
american rock brake	113231248
american sable	102453192
american saddle horse	102382282
american samoa	109014248
american shrew mole	101893915
american sign language	106889057
american smelt	107814704
american smokewood	112781076
american smooth dogfish	101495349
american spicebush	111726794
american spikenard	111818450
american staffordshire terrier	102096080
american standard code for information interchange	106368162
american standard version	106461147
american star grass	112443949
american state	108673095
american stock exchange	102704730
american sweet chestnut	112283555
american sweet gum	112337089
american sycamore	112828169
american toad	101649443
american turkey oak	112294032
american twinflower	112694349
american virgin islands	108772836
american wall fern	113194595
american war of independence	101304577
american water ouzel	101604850
american water shrew	101895385
american water spaniel	102105458
american watercress	111894314 111903105
american white birch	112302491
american white oak	112290544
american white pine	111633670
american widgeon	101851481
american wistaria	112601644
american wisteria	112601644
american woodcock	102034239
american wormseed	111849273
american-indian language	106919215
americana	102704252
americanisation	113451061
americanise	200410568 200411331
americanism	100414567 104885734 107095537
americanization	113451061
americanize	200410568 200411331
americium	114652672
americus vespucius	111385095
amerigo vespucci	111385095
amerind	106919215 302939379
amerindian	109664887
amerindian language	106919215
amerindic	302939379
ametabolic	301512271 301535393
ametabolous	301512271
amethopterin	103761241
amethyst	114746750 300370794
amethystine	302627323
amethystine python	101747196
ametria	114176406
ametropia	114120206
ametropic	300106187
amex	102704730
amhara	109725067
amharic	107000472 302627414
amia	102641590
amia calva	102641717
amiability	104662009 107567157
amiable	301078866 301137732
amiableness	104662009
amiably	400221532
amianthum	112459482
amianthum muscaetoxicum	112459659
amianthum muscitoxicum	112459659
amicability	104662355 107515069
amicable	301249453
amicableness	104662355 107515069
amicably	400263983
amicus curiae	109807678
amicus curiae brief	106555940
amide	114748425
amidopyrine	102705025
amidship	300331117 400274669 400403940
amidships	400403940
amigo	109807962
amiidae	102641465
amine	114763183
aminic	302627563
amino	114641775 302627563
amino acid	114626007
amino group	114641775
amino plastic	114767560
amino resin	114767560
aminoaciduria	114289670
aminoalkane	114763183
aminoalkanoic acid	114626007
aminobenzine	114778684
aminobenzoic acid	114767468
aminomethane	114641893
aminopherase	115101905
aminophylline	102704843
aminoplast	114767560
aminopyrine	102705025
aminotransferase	115101905
amiodarone	102705163
amir	110072305
amish	109697109
amish sect	108110779
amiss	301096064 400010509 400010738 400273429
amitosis	113451247
amitotic	302627774
amitriptyline	102705434
amitriptyline hydrochloride	102705434
amity	104663286 113993907
amlodipine besylate	102705668
amman	108947321
ammeter	102705848
ammine	114767906
ammino	302627893
ammo	102706134
ammobium	111940967
ammobium alatum	111941132
ammodytes	102621002
ammodytidae	102620874
ammonia	114767761 114768019
ammonia alum	114652485
ammonia clock	102705983
ammonia water	114768019
ammoniac	114768155 302628058
ammoniacal	302628058
ammoniate	200187292
ammoniated	303144383
ammonification	113451435
ammonify	200498300
ammonite	109218836
ammonitic	302628229
ammonium	114768299
ammonium alum	114652485
ammonium carbamate	114768470
ammonium carbonate	114768596
ammonium chloride	114768768
ammonium hydroxide	114768019
ammonium ion	114768299
ammonium nitrate	115038579
ammoniuria	114289815
ammonoid	109218836
ammotragus	102418617
ammotragus lervia	102418750
ammunition	102706134 106496385 114609988
ammunition chest	102940621
amnesia	105680235
amnesiac	109808052 301985301
amnesic	109808052 301985301 302628350
amnesic aphasia	114122145
amnestic	302628350
amnestic aphasia	114122145
amnesty	101251862 106564630 114552684 200907630
amnic	302628525
amnio	100945416
amniocentesis	100945416
amnion	101475279
amnionic	302628525
amnionic fluid	105406970
amnios	101475279
amniota	101474944
amniote	101475143
amniotic	302628525
amniotic cavity	105406829
amniotic fluid	105406970
amniotic sac	101475279
amobarbital	102706358
amobarbital sodium	102706551
amoeba	101395021
amoeban	303052488
amoebiasis	114198647
amoebic	303052488
amoebic dysentery	114198795
amoebida	101394210
amoebina	101394210
amoebiosis	114198647
amoeboid	302626897
amoebous	303052488
amok	300086117 400274737 400274935
amon	109534502
amon-ra	109534654
amontillado	107917504
amor	109583190
amora	109808202
amoralism	105967294
amoralist	109808591
amorality	104862124
amorally	400366419
amorist	109808745
amoristic	302628778
amorous	301467951 301468104
amorously	400269381
amorousness	107504199 107559601
amorpha	112524599
amorpha californica	112525075
amorpha canescens	112524811
amorpha fruticosa	112525288
amorphophallus	111803230
amorphophallus campanulatus	111803347
amorphophallus paeonifolius	111803347
amorphophallus rivieri	111803631
amorphophallus titanum	111803957
amorphous	300270446 300432059 301676810 301684942 302159252
amorphous shape	113890113
amort	300706811
amortisation	101123391 101125259
amortise	202357259
amortization	101123391 101125259
amortize	202357259
amos	106451230 110835740
amount	100033914 105115065 105869651 113352213 202633444 202651091 202671069
amount of money	113352213
amour	113954922
amour propre	107524235
amoxicillin	102706753
amoxil	102706753
amoy	106943410
amp	113658855 114731871
amperage	111444818
ampere	113658855 113659320
ampere-hour	113658603
ampere-minute	113658468
ampere-second	113658127
ampere-turn	113663601
ampersand	106854923
amphetamine	102707012
amphetamine sulfate	102707321
amphetamine sulphate	102707321
amphibia	101628388
amphibian	101630065 102707504 102707651 302842864
amphibian family	101628775
amphibian genus	101629241
amphibiotic	300126425
amphibious	300126191 302842864
amphibious aircraft	102707504
amphibious assault	100983455
amphibious demonstration	100974423
amphibious landing	100058568
amphibious operation	100983266
amphibious vehicle	102707651
amphibole	114689946
amphibole group	114690191
amphibolips	102219702
amphibolite	114690548
amphibology	106617096
amphiboly	106617096
amphibrach	107110182
