pocahontas	111260239
pointed	300769422 301814940
pointed arch	103981393
pointed-leaf maple	112776319
pointed-toe	301035895
pointedly	400004419
pointedness	104926188 105078725
pointel	103460299
pointer	102102649 103155461 103981590 106830979
pointillism	103981777 108292974
pointillist	110467498 301794243
pointillistic	301794243
pointing out	106811330
pointing trowel	103982015
pointless	301816789 302343111 302513350
pointlessly	400428539
pointlessness	105181550
pointrel	103460299
pointsman	110467896
pointy-toed	301035895
poise	104911339 113737345 114027365 201605239 201605586 201810076 201947430
poised	300532559 300897565
poison	105173924 115056943 200088091 200533509 201326002 201326457 202586763
poison arrow plant	111788974
poison ash	112787355
poison bush	111772234 112550410
poison camas	112487938
poison dogwood	112787355
poison gas	115017945
poison hemlock	112956369
poison ivy	112787629 114246974
poison mercury	112787629
poison milkweed	113256217
poison oak	112787629 114247120
poison parsley	112956369
poison pea	112550410
poison pill	100177298
poison sumac	112787355 114247234
poison-berry	112917067
poisonberry	112917067
poisoner	110468142
poisoning	100225605 114533314
poisonous	300227697 300833195 302459585
poisonous nightshade	112915367
poisonous parasol	113034725
poisonous plant	113120915
poisonous substance	115056943
poisonously	400428672
poisson distribution	106035262
poitier	111260599
poitiers	101294332
poitou	108963997
poitou-charentes	108963997
poitrine d'agneau	107683225
poivrade	107855288
poke	100135600 100335761 104129919 110012790 111876022 201232540 201232805 201417280 201426874 202173563
poke at	201233816
poke bonnet	102873198
poke check	100564249
poke fun	200853615
poke into	201229439 201231317
poke milkweed	113255417
poke out	202695935
poker	100495779 103982284
poker alumroot	112819392
poker chip	103024099
poker face	104687490
poker game	100495779
poker hand	107974269
poker heuchera	112819392
poker plant	112458274
poker-faced	300503225
pokeweed	111875743
pokeweed family	111875229
pokey	103597432 300640313 300984258
poking	100335761
pokomo	107007676
poky	103597432 300640313 300984258
pol	110469877
polack	109747089
poland	109004957
polanisia	111887539
polanisia dodecandra	111887780
polanisia graveolens	111887780
polar	300359900 300659530 301255223 302073716 302453215 302848890
polar bear	102136736
polar body	105466279
polar circle	108513665
polar coordinate	106021252
polar front	111481228
polar glacier	109419483
polar hare	102330308
polar opposition	113878646
polar region	108590805
polar star	109419587
polar zone	108590805
polarimeter	103982463
polaris	109419587
polarisation	111512414 114025594
polariscope	103982463
polarise	200488118 200488286 200488490
polarity	113878307 113878771
polarization	111512414 114025594
polarize	200488118 200488286 200488490
polarographic	302792231
polarography	100648390
polaroid	103982626
polaroid camera	103982825
polaroid land camera	103982825
polder	109419876
pole	103983015 103983318 103983516 104420286 105959426 108638456 108638674 109746969 113635960 113672539 200240859 201221216 201374854
pole bean	112577161
pole horse	102390104 102391105
pole jump	107484912
pole jumper	110766599
pole jumping	107484912
pole position	108638858
pole star	109419587
pole vault	107484912
pole vaulter	110766599
pole vaulting	107484912
pole-handled	301437841
poleax	103983624 103983788 201261206
poleaxe	103983624 103983788 201261206
polecat	102445745 102448346
polecat weed	111813211
polemic	107198320 110468244 300605207
polemical	300605207
polemically	400303994
polemicise	200776977
polemicist	110468244
polemicize	200776977
polemics	106195193
polemise	200776977
polemist	110468244
polemize	200776977
polemoniaceae	112829693
polemoniaceous	302792337
polemoniales	112828987
polemonium	112830125
polemonium boreale	112830767
polemonium caeruleum	112830386
polemonium reptans	112830628
polemonium van-bruntiae	112830386
polemonium viscosum	112830911
polenta	107719488
poler	102390104
polestar	109419587
polianthes	112500738
polianthes tuberosa	112500961
police	108226608 202460361
police academy	108296345
police action	100957917
police blotter	106514849
police boat	103983950
police captain	109912467
police car	103145716
police chief	109912467
police commissioner	110468408
police constable	109978737
police court	108351800
police cruiser	103145716
police department	108138517
police detective	110028930
police dog	102109506
police force	108226608
police headquarters	103984036
police investigation	100636255
police lieutenant	110278922
police lineup	108448162
police matron	110468986
police officer	110468557
police precinct	108556147
police sergeant	110469095
police squad	108097824
police state	108458031
police station	103984036
police van	103984324
police wagon	103984324
police work	100636255
policeman	110468557
policeman bird	102007146
policewoman	110468986
policy	105910115 106535632 106669153
policy change	100164227
policy maker	110469419
policy-making	301820214
policyholder	110469238
polio	114163658
poliomyelitis	114163658
polioptila	101565954
poliosis	104984137
poliovirus	101340375
poliovirus vaccine	103984488
polish	104962337 106957482 114483408 115020587 200474730 200474948 201248201 302972803
polish monetary unit	113732756
polish notation	106827301
polish off	200485823 201199335 202488014
polish up	200474730
polished	301008895 301817282 301958975 302278936
polished rice	107820633
polisher	102914678
polishing	100579832
polistes	102216619
polistes annularis	102216748
politburo	108344020
polite	300644180 300645401 301954376
politely	400219959
politeness	101230397 104920159
politesse	104920915
politic	300762345 301818685
political	301819670 302868496 302868676
political action committee	108344142
political arena	114538946
political boss	110422907
political campaign	100801198 107488069
political commissar	109962176
political contribution	113291929
political correctitude	104906890
political correctness	104906890
political detainee	110028816
political dissident	110038257
political donation	113291929
political economy	106158935
political entity	108376876
political hack	110298502
political incorrectness	104908931
political leader	110469877
political liberty	114019147
political machine	108281504
political movement	108489346
political orientation	106222574
political party	108273889
political platform	106513302
political prisoner	110469612
political program	106513302
political relation	113862918
political science	106157599
political scientist	110469735
political sphere	114538946
political sympathies	106158643
political system	108384807
political theory	106222574
political unit	108376876
politically	400116652 400116766
politically correct	302792491
politically incorrect	302792589
politician	110469877 110470837 110471024
politicise	200535302
politicize	200535302
politick	202380839
politico	110469877
politics	100613259 101126829 106157599 106158643 113862918
polity	101139776 108067137 113992306
polk	111260723
polka	100539181 107070544 201901576
polka dot	103984658
poll	100655054 101819987 105546645 105547228 105809006 201323329 202459761 202460257 202468721
poll parrot	101819987
poll taker	110471164
poll tax	113335377
pollachius	102526712
pollachius pollachius	102526833
pollack	102526833 107805216 111260986
pollard	101321830 113129082 201323329
pollen	111695988
pollen count	113614074
pollen tube	111701065
pollenate	200053776
pollenation	107451972
pollex	105574850
pollinate	200053776
pollination	107451972
pollinator	102164109
polling booth	103984779
polling day	115197928
polling place	108556480
polling station	108556480
pollinium	111696189
pollinosis	114557801
polliwog	102472103
pollock	102526833 107805216 111261096
polls	108638968
pollster	110471164
pollucite	114715246
pollutant	114881429
pollute	200493642
polluted	301915270
polluter	110471414
pollution	100277831 114521988 114540345
pollux	109420025
polly fish	102613294
pollyannaish	301668480
pollyfish	102613294
pollywog	102472103
polo	100478650 111261290
polo ball	103984933
polo mallet	103985044
polo pony	102383116
polo shirt	103985324
polo stick	103985044
polo-neck	104509492
polo-neck collar	104509659
polonaise	103985173
polonium	114674735
polony	107692712
polska	109004957
poltergeist	109569274
poltroon	110471580 300267175
poltroonery	104868374
polyamide	114990233
polyandrist	110471707
polyandrous	301549370
polyandry	113990169
polyangiaceae	101380778
polyangium	101380987
polyanthus	112112470
polyarteritis	114282367
polyarteritis nodosa	114103834
polyatomic	302896380
polyborus	101615444
polyborus cheriway audubonii	101615596
polyborus plancus	101615818
polybotria	113220142
polybotria cervina	113219380
polybotrya	113220142
polybotrya cervina	113219380
polybutene	114811556
polybutylene	114811556
polycarp	111261445
polychaeta	101938860
polychaete	101939032
polychaete worm	101939032
polychete	101939032
polychete worm	101939032
polychromatic	300367606 300401254
polychrome	103985458 200285573 300401254
polychromic	300401254
polychromise	200285573
polychromize	200285573
polycillin	102708510
polycirrus	101940063
polyconic projection	103985570
polycrystalline	300270230
polycystic kidney disease	114137668
polycythemia	114220797
polydactyl	302792691
polydactylous	302792691
polydactylus	102613784
polydactylus virginicus	102613924
polydactyly	114495308
polydipsia	114064448
polyelectrolyte	114614621
polyergus	102225111
polyergus rufescens	102225234
polyester	103985735 115018126 115018280
polyester fiber	115018435
polyestrous	302145553
polyethylene	114618493
polyfoam	114927490
polygala	112725604
polygala alba	112725980
polygala lutea	112726218
polygala paucifolia	112726458
polygala senega	112726738
polygala vulgaris	112727170
polygalaceae	112725396
polygamist	110471816
polygamous	301547392 301549023
polygamy	113990322
polygene	105448131
polygenic	301317979
polygenic disease	114098681
polygenic disorder	114098681
polyglot	110283916 301550071
polygon	113888765
polygonaceae	112621335
polygonal	303112068
polygonal shape	113888765
polygonales	112621178
polygonally	400513562
polygonatum	112494511
polygonatum biflorum	112494923
polygonatum commutatum	112494923
polygonia	102280547
polygonia comma	102280676
polygonum	112621649
polygonum aubertii	112621867
polygonum fagopyrum	112622255
polygonum orientale	112622566
polygraph	103985850
polygynist	110471988
polygynous	301549484
polygyny	113990515
polyhedral	302792912
polyhedral angle	113939396
polyhedron	113906542
polyhidrosis	113516412
polyhymnia	109590033
polymastigina	101421723
polymastigote	101421973
polymath	110226696
polymer	115018895
polymerase	115008937
polymeric	302793031
polymeric amide	114990233
polymerisation	113559960
polymerise	200267083 200267472
polymerization	113559960
polymerize	200267083 200267472
polymethyl methacrylate	114618054
polymonium caeruleum van-bruntiae	112830386
polymorph	101330762
polymorphemic	302948101
polymorphic	301974106 302866070 302866388
polymorphism	111512788 111513233 111513666
polymorphous	301974106 302866070 302866388
polymox	102706753
polymyositis	114233117
polymyxin	103986075
polynemidae	102613464
polynesia	108860659
polynesian	106950545 109747168 302972941
polynesian tattler	102033222
polyneuritic psychosis	114419001
polyneuritis	114376719
polynomial	105870439 303112208
polynucleotide	114990367
polynya	109420143
polyodon	102642094
polyodon spathula	102642235
polyodontidae	102641942
polyoestrous	302145553
polyoicous	301547392
polyoma	101343163
polyoma virus	101343163
polyose	115018571
polyostotic fibrous dysplasia	114389891
polyp	101912547 114257918
polypectomy	100692101
polypedates	101646886
polypedatidae	101646745
polypeptide	114767096
polypetalous	301780706
polyphase	302899599
polyphemus moth	102307084
polyphone	106852461
polyphonic	301548336 302866642 302867009
polyphonic letter	106852461
polyphonic music	107038213
polyphonic prose	106388483
polyphonically	400132437
polyphonous	302866642
polyphony	107038213
polyphosphate	115019293
polyphosphoric acid	114639442
polyplacophora	101957370
polyplacophore	101957725
polyploid	101323183 301151339
polyploidy	114594520
polypodiaceae	113193005
polypodiales	113190572
polypodium	113193623
polypodium aureum	113197946
polypodium glycyrrhiza	113194030
polypodium polypodioides	113194157
polypodium scouleri	113194386
polypodium virgianum	113194595
polypodium vulgare	113194780
polypody	113193821
polyporaceae	113070321
polypore	113070713
polyporus	113073191
polyporus frondosus	113073430
polyporus squamosus	113073691
polyporus tenuiculus	113073008
polyprion	102570957
polyprion americanus	102571078
polypropene	115020725
polypropenonitrile	103986205
polypropylene	115020725
polyptoton	107115188
polypus	114257918
polysaccharide	115018571
polysemant	106312943
polysemantic	300104246
polysemantic word	106312943
polysemous	300104246
polysemous word	106312943
polysemy	104832807
polysomy	114491430
polystichum	113220343
polystichum acrostichoides	113220615
polystichum aculeatum	113216239
polystichum adiantiformis	113221884
polystichum braunii	113221091
polystichum lonchitis	113221309
polystichum scopulinum	113221440
polystichum setiferum	113221549
polystyrene	114619891
polysyllabic	301438550 302297137
polysyllabic word	106313073
polysyllabically	400145067
polysyllable	106313073
polysyndeton	107119711
polysynthetic	300112829
polytechnic	108302328
polytechnic institute	108302328
polytetrafluoroethylene	114620578
polytheism	106234067
polytheist	110472091
polytheistic	301785901
polythene	114618493
polytonal	302446889
polytonalism	107038435
polytonality	107038435
polyunsaturated	300761328
polyunsaturated fat	115019391
polyunsaturated fatty acid	114765909
polyurethan	114927246
polyurethane	114927246
polyurethane foam	114927490
polyuria	114137847
polyvalence	114593672 114593911
polyvalency	114593672 114593911
polyvalent	301550516 301552128
polyvinyl acetate	114619459
polyvinyl chloride	114619583
polyvinyl resin	115113007
polyvinyl-formaldehyde	115020862
polyzoa	102316147
polyzoan	102316361
pom	109722969
pom-pom	102718623 103987092
pomacanthus	102608439
pomace fly	102198996
pomacentridae	102608824
pomacentrus	102609220
pomacentrus leucostictus	102609381
pomade	103986384 200039815
pomaded	302436694
pomaderris	113164707
pomaderris apetala	113164861
pomatomidae	102576037
pomatomus	102576194
pomatomus saltatrix	102576335
pomatum	103986384
pome	113159619
pomegranate	107784670 112365797
pomegranate tree	112365797
pomelo	107766122 112729863
pomelo tree	112729863
pomeranian	102114670
pomfret	102585352
pomme blanche	112585118
pomme de prairie	112585118
pommel	103631563 103986536 103986690 201418674
pommel horse	103986836
pommy	109722969
pomo	106934077 109685744
pomolobus	102533993
pomolobus pseudoharengus	102533745
pomologist	110472187
pomology	106079436
pomoxis	102565311
pomoxis annularis	102565710
pomoxis nigromaculatus	102565602
pomp	104822233 106893184
pompadour	105267723 111261645 200038980
pompano	102582188 107797665
pompeii	108821735
pompey	108899907 111261844
pompey the great	111261844
pompon	102592426 103987092
pomposity	104825154
pompous	301855888 302793173
pompously	400234475
pompousness	104825154
ponca	106924534 109685911
ponce	110453501 110472308
ponce de leon	111262067
poncho	103987232
poncirus	112734874
poncirus trifoliata	112735014
pond	109420266
pond apple	107777930 111715754
pond bald cypress	111662414
pond cypress	111662694
pond lily	111735899
pond pine	111632012
pond scum	101413098
pond-apple tree	111715754
pond-scum parasite	112998836
pond-skater	102246214
ponder	200632042
ponderable	301820594 302426889
ponderer	110359217
pondering	302428209
ponderosa	111634871
ponderosa pine	111634871
ponderosity	105035003
ponderous	301189750 301196329 301349386
ponderously	400429045 400429154
ponderousness	105035003 105214097
pondweed	112635078 112636471
pondweed family	112636188
pone	107704369
pong	105723097
pongamia	112584072
pongamia glabra	112584207
pongee	103987344
pongid	102482784
pongidae	102482527
pongo	102482977
pongo pygmaeus	102483126
poniard	103987452 201234442
ponka	106924534 109685911
pons	105508643 111262311
pons asinorum	106799215
pons varolii	105508643
ponselle	111262459
ponstel	103748022
ponte 25 de abril	103987562
pontederia	112630603
pontederia cordata	112630729
pontederiaceae	112630399
pontiac	111262586
pontifex	110472448
pontiff	110473089
pontifical	103987698 301855888 302731793 302890942
pontificate	108070012 200830415 202437242
pontius pilate	111255102
pontoon	103987822 103987924
pontoon bridge	103988118
pontoon plane	103370077
pontos	109591905
pontus	108719533 109591905
pony	102382987 102385089 102387750 104213292 106358595
pony cart	103988282
pony express	106276468
pony up	202204855
pony-trekking	100451852
ponycart	103988282
ponytail	105267863
pooch	102087384 200145843
pooch out	200145843
pood	113740943
poodle	102115987
poodle dog	102115987
pooecetes	101537646
pooecetes gramineus	101537781
poof	110095821
pooh-bah	110194602
pooh-pooh	200798638 201066084
pool	100502091 103988418 108253359 108498380 108682839 109420266 109420482 113390647 113391030 201092518 202300803
pool ball	103988590
pool cue	103150188
pool player	110472740
pool stick	103150188
pool table	103988788
pooler	110472617
pooling of interest	113428185
poolroom	103988689
poon	112385121 112385340
poop	104323784 106648638 110378493 114878732
poop deck	103989000
poop out	200099271
poor	108196123 301054589 302030204 302031662 302032876 302344882
poor box	103989125
poor boy	107713570
poor devil	110472821
poor fish	110686626
poor law	106550776
poor man's orchid	112933904
poor man's pulse	112568377
poor man's weatherglass	112112934
poor people	108196123
poor person	110472913
poor rates	113336099
poor speller	110654547
poor white trash	109662205
poor-spirited	300267286
poorhouse	103989253
poorly	302553095 400011978
poorness	104738055 105120762 105155646 114516729
poorwill	101839314
poove	110095821
pop	107074002 107405000 107943752 110007601 200310364 200310574 201136497 201202125 201204994 201403659 201407567 201477610 201502149 202086193 202161949 202190434 202190638 300416037 400429305
pop art	103989426
pop bottle	103989754
pop fly	100129796
pop group	108266673
pop in	201924323
pop music	107074002
pop off	200359085 202013137
pop out	200427109 200530491 201924450 202086193
pop quiz	107213417
pop tent	103990483
pop the question	200881285
pop up	202161949
pop-fly	100129796
pop-up	100129796 106424903
pop-up book	106424903
popcorn	107748612 112165994
popcorn ball	107624330
pope	110473089 111262733
pope alexander vi	110832808
pope's nose	107665072
popery	101032520
popeyed	300957693 302367317
popgun	103989857
popillia	102175892
popillia japonica	102176025
popinjay	101819904 110474201
popish	302933066
popishly	400429384
poplar	112752161 112752474
poplar bluff	109129927
poplar tree	112752161
poplin	103989970
popliteal	302793331
popliteal artery	105352969
popliteal vein	105384714
popover	107706484
popper	103990070 103990172 111262839
poppet	103990286
poppet valve	103990286
popping	107405000
poppy	111921038
poppy day	115225496
poppy family	111920527
poppy mallow	112195443
poppy seed	107843726
poppycock	106622262
popsicle	107631383
populace	108196607
popular	300416037 300488527 300719814 301821123
popular democratic front for the liberation of palestine	108036276
popular front	108311502
popular front for the liberation of palestine	108055131
popular front for the liberation of palestine-general command	108055500
popular music	107073295
popular music genre	107073295
popular opinion	105958593
popular struggle front	108055747
popularisation	100273921 107188911
popularise	200579585 200972247
populariser	110474308
popularism	107038586
popularity	104815891
popularity contest	101171690
popularization	100273921 107188911
popularize	200579585 200972247
popularizer	110474308
popularly	400190181
populate	200452234 202655932
populated	301315170
populated area	108693705
population	101260649 106035684 108195659 108196797 113802016
population commission	108315658
population control	101126705
population growth	113560199
population profile	107015979
population scientist	110021919
population shift	107374520
populism	105974800
populist	110021663
populist party	108279415
populous	301315331
populus	112751962
populus alba	112752769
populus balsamifera	112752595
populus canescens	112753012
populus deltoides	112753726
populus grandidentata	112754975
populus heterophylla	112754188
populus nigra	112753251
populus nigra italica	112753365
populus tremula	112754630
populus tremuloides	112754830
populus trichocarpa	112753978
porbeagle	101486471
porc	107684447
porcelain	103990592
porcelain clay	114694800
porcelainize	201618693
porcellio	101994767
porcellionidae	101994636
porch	103990739
porcine	300011346 300991162 303112378
porcupine	102349279
porcupine ball	107887564
porcupine fish	102658478
porcupine provision	100176454
porcupinefish	102658478
porcupines	107887564
pore	105253249 111700483 113935130 200724156
pore fungus	113070713
pore mushroom	113070713
porgy	102593617 107806057
porifera	101909193
poriferan	101909390
poriferous	300330294
poring over	106610798
pork	107684447 113379173
pork and beans	107890650
pork barrel	113379173
pork belly	107685458
pork butcher	110474538
pork loin	107685215
pork pie	107888260
pork roast	107685533
pork sausage	107693338
pork tenderloin	107676028
pork-and-veal goulash	107606412
pork-barreling	100079641
pork-fish	102592253
porkchop	107685999
porker	102398583
porkfish	102592253
porkholt	107606545
porkpie	103991001
porkpie hat	103991001
porn	100748513
porn merchant	110474660
porno	100748513
pornographer	110474660
pornographic	302141644
pornographically	400116911
pornography	100748513
poronotus	102635917
