sound film	104268978
south australia	108853400
south bend	109108615
south by east	113855455
south by west	113855703
south carolina	109160577 109160954
south carolinian	109764866
south celestial pole	108670429
south china sea	109464011
south dakota	109161650
south dakotan	109764967
south dravidian	106991909
south equatorial current	111509783
south frigid zone	108511469
south island	108994686
south korea	108975399
south korean	109738603 302979711
south korean monetary unit	113731328
south korean won	113731465
south of houston	109144286
south pacific	109464491
south platte	109464629
south platte river	109464629
south pole	108670292
south sea	109464779
south sea islands	109464905
south side	108668082
south southeast	113855318
south southwest	113855822
south temperate zone	108680026
south vietnam	109186637
south west africa	108717468
south wind	111531838
south yorkshire	108905858
south-african yellowwood	111673204
south-central	301607379 301610151
south-central dravidian	106993125
south-east	400464314
south-polar	302453695
south-seeking pole	103822871
south-southeast	400464501
south-southwest	400464599
south-west	400464408
southbound	301607265
southeast	108578999 108581015 113855040 113857980 301608100 301608231 400464314
southeast asia	108732943
southeast by east	113854916
southeast by south	113855192
southeaster	111469051
southeasterly	301608100 301608231
southeastern	300831282 301608100
southeastern pocket gopher	102356972
southeastern united states	108581015
southeastward	113855040 301608371 400514743
southeastwardly	400514743
souther	111531838
southerly	111531838 301607548 301607761 400465157 400465252
southern	301607548 301607761 301609663 301611230
southern arrow wood	112701902
southern aster	111957492
southern baptist	110647459
southern baptist convention	108106921
southern beech	112286734
southern beech fern	113251741
southern blue flag	112435777
southern bog lemming	102348649
southern buckthorn	112793668
southern cabbage butterfly	102283919
southern crab apple	112656293
southern cross	109464256
southern cypress	111662414
southern dewberry	112676259
southern flounder	102664103
southern flying squirrel	102363585
southern harebell	112058333
southern hemisphere	108670126
southern lights	111447615
southern live oak	112300289
southern magnolia	111730605
southern maidenhair	113227992
southern porgy	102596309
southern red cedar	111658261
southern red oak	112292450
southern rhodesia	109189894
southern scup	102596309
southern spadefoot	101652197
southern spatterdock	111737167
southern tai	106948600
southern triangle	109484994
southern white cedar	111655603
southern yellow pine	111636418
southerner	110647584
southernism	106205433 107166735
southernmost	301607936
southernness	105086516
southernwood	111949760
southey	111329159
southland	108580622
southmost	301607936
southpaw	110272618 110272819
southward	113855574 301607265 400465252
southwards	400465252
southwest	108579251 108581164 113856085 113858217 301608451 301608582 400464408
southwest by south	113855959
southwest by west	113856237
southwester	111468930
southwesterly	301608451 301608582
southwestern	106962169 300829754 301608451
southwestern lip fern	113230358
southwestern toad	101650107
southwestern united states	108581164
southwestern white pine	111634143
southwestward	113856085 301608728 400514912
southwestwardly	400514912
soutine	111329313
souvenir	103615483 105821923
souvlaki	107886045
souvlakia	107886045
sovereign	110648006 300796196 301066082
sovereign immunity	100215393
sovereignty	105205589 114016420 114466998
soviet	108337131 302970952
soviet kgb	108502444
soviet russia	109030093
soviet socialist republic	109028575
soviet union	109025654
sovietise	201748147 202438966
sovietism	108385235
sovietize	201748147 202438966
soviets	108070159
sow	102398740 200971402 201503512 201503986
sow bug	101994916
sow in	201503986
sow one's oats	201194712
sow one's wild oats	201194712
sow thistle	112039229
sowbane	111850391
sowbelly	107687108
sowbread	112114117
sower	110648382
soweto	109024803
sown	301837963
soy	107745461 107841948 112552673 112553069
soy flour	107585438
soy sauce	107841948
soya	107745461 112552673
soya bean	107745461 112552673 112553069
soya milk	107860843
soyabean oil	107691007
soybean	107745461 112552673 112553069
soybean flour	107585438
soybean future	104271595
soybean meal	107585438
soybean milk	107860843
soybean oil	107691007
soybean plant	112552673
soymilk	107860843
sozzled	300801674
spa	103511514 104087817 108696353
space	100028950 104037131 106401196 106852240 106875252 108517454 108670545 113933399 115197259 201992094
space age	115287605
space bar	104271738
space biology	106081272
space cadet	110648504
space capsule	104271875
space heater	104272385
space helmet	104272538
space laboratory	104273272
space lattice	105740031
space medicine	106072825
space needle	104272645
space platform	104273272
space probe	104272778
space program	105909323
space rocket	104273014
space shuttle	104273124
space station	104273272
space travel	100314328
space vehicle	104272024
space walk	100293825
space writer	110648811
space-reflection symmetry	106114921
space-time	106020086
space-time continuum	106020086
spacecraft	104272024
spacecraft clock time	115156550
spacecraft event time	115156400
spaced	300544502 301660209
spaced-out	300439159 300612329
spacefaring	100314328
spaceflight	100314328
spaceman	109837427
spaceship	104311353
spacesuit	104273485
spacewalk	201910195
spacewalker	110648691
spaceward	400517761
spacewards	400517761
spacey	300612329
spacial	302851951
spacing	105090535 115307752
spaciotemporal	300530538
spacious	300478239 301387146
spaciously	400446725
spaciousness	105112565
spackle	115073455
spackling compound	115073455
spacy	300612329
spade	104273596 104273770 201312909
spade bit	104273959
spade casino	100499958
spade-like	302157444
spade-shaped	302157444
spadefish	102607584
spadefoot	101651811
spadefoot toad	101651811
spadeful	113792010
spadework	100797169
spadix	113154691
spaghetti	107715659 107715748
spaghetti and meatballs	107893163
spaghetti junction	104274078
spaghetti sauce	107854209
spaghetti squash	107732651 112180820
spaghetti western	106631160
spaghettini	107715840
spain	109045691
spalacidae	102371215
spalax	102371339
spall	109465050
spallanzani	111329444
spallation	113580712
spam	106291000 107588912 201034587
spammer	110648907
span	100350039 102901994 105094268 113677822 113765745 115159292 202691213
span loading	113848945
spandau	104274201
spandex	104274275
spandrel	104274356
spandril	104274356
spang	201239505
spangle	104180759 201673801 202167614
spangled	300056900
spangly	300056900
spaniard	109751320
spaniel	102103760
spanish	106979499 109752657 302970122
spanish american	110649009
spanish armada	108310009
spanish bayonet	112502942 112503173
spanish broom	112551134 112591835
spanish burgoo	107605538
spanish capital	109046837
spanish cedar	112717913
spanish cedar tree	112717913
spanish chestnut	112283721
spanish civil war	101311328
spanish dagger	112503596 112504346
spanish elm	112839106 112839361
spanish fly	102181992
spanish garlic	112455490
spanish gorse	112551134
spanish grunt	102591575
spanish guinea	108781333
spanish heath	112249403
spanish inquisition	108350151
spanish iris	112436100
spanish lime	107779266 112765610
spanish lime tree	112765610
spanish mackerel	102583310 102627437 102628242 107797473
spanish monetary unit	113712755
spanish moss	112628888
spanish needles	111960818 111960947
spanish oak	112299382
spanish onion	107738508
spanish oyster plant	112031284
spanish paprika	107840839
spanish people	109752657
spanish peseta	113712863
spanish pointer	102102649
spanish psyllium	112620635
spanish rice	107893275
spanish sahara	108993184
spanish tamarind	112691723
spanish tea	111849273
spanish war	101311159
spanish-american war	101311159
spanish-speaking	300502171
spank	100135292 201423582
spanker	104274545 110628319
spanking	101165274 300877534
spanner	104613932
spar	100447789 104274687 115073663 200775967 201422848 201422958 202367699
spar buoy	107281684
sparaxis	112438861
sparaxis tricolor	112439012
spare	100188739 103339857 104274980 201160800 202350643 202470006 202570589 300060864 300107633 300994531 301585713 301586714 301628296
spare part	104274980
spare time	101067611 115162377
spare tire	105563837
spare-time activity	100433629
spareness	105008647 105122081
sparer	110649182
sparerib	107672570
spareribs	107687204 107878324
sparganiaceae	112176825
sparganium	112177001
sparge	100279399 200229081 201894216
sparge pipe	104275095
sparid	102593125
sparid fish	102593125
sparidae	102592867
sparing	302430138
sparingly	400398603
spark	104960557 107426910 109465245 111329608 111531956 113795739 201647199 202772645
spark advance	105058239
spark arrester	104275252 104275385
spark chamber	104275528
spark coil	104275675
spark counter	104275528
spark gap	104275790 104275909
spark lever	104276196
spark off	201647199
spark plug	104276380
spark transmitter	104276778
sparker	104275252
sparking plug	104276380
sparkle	104960121 104960557 107427268 200473934 200520443 202772348 202772645
sparkle metal	115073876
sparkleberry	112267290
sparkler	104276079 113393296
sparkling	107426245 302285028 302307429
sparkling water	107952788
sparkling wine	107909503
sparkly	300280484 300809380
sparkplug wrench	104276612
sparling	102543614 107814848
sparmannia	112225825
sparmannia africana	112225977
sparring	100447789 107197404
sparring match	107486848
sparring mate	110649301
sparring partner	110649301
sparrow	101529988 101542214
sparrow hawk	101609313 101614763
sparrow unit	108226307
sparrow-sized	302232446
sparse	300544579
sparsely	400458383
sparseness	105122081
sparsity	105122081
sparta	108805092
spartan	109731057 300009637 301304251 301998544 302984235
spartina	112159884
spartina cynosuroides	112160310
spartina pectinmata	112160438
spartium	112591699
spartium junceum	112591835
spasm	100226974 114383864
spasmodic	300596301 302311435
spasmodic laryngitis	114197493
spasmodically	400465378 400465509
spasmolysis	100355611
spasmolytic	102727458
spassky	111329767
spastic	110649455 302311435 302557483 303131276
spastic abasia	114573415
spastic bladder	114425048
spastic colon	114329672
spastic paralysis	114118135
spasticity	104778977
spat	101958985 104276932 107199395 200034108 200056543 200776862 200863593 201240625 201541573 202763140
spatangoida	102322341
spatchcock	107661495 201643134 201669227
spate	107421737 107454840 113796604
spathe	113175970
spathe flower	111812810
spathiphyllum	111812810
spatial	302851951
spatial arrangement	105090535
spatial property	105069917
spatial relation	105081943
spatiality	105069917
spatially	400131326
spatiotemporal	300530538 302822020
spatter	100719000 107409414 201376685 201541417 202763786
spatterdock	111736891
spattered	301700344
spattering	100719000 107409414
spatula	104277054 104277257
spatula-shaped	302178378
spatulate	302178378
spatulate leaf	113180788
spavin	114296417
spavined	301023623
spawl	109465050
spawn	101463956 200056397 201652566
spawner	102516570
spay	200060248
spayed	302144617
spaying	100693979
speak	200944022 200964479 200965602 200991233 202140072
speak for	202547838
speak in tongues	200935201
speak of the devil	200884203
speak out	201029677
speak up	200918076 201029677
speakable	300947038
speakeasy	104277386
speaker	103696785 110649550 110650671
speaker identification	105771764
speaker system	103696785
speaker unit	103696785
speakerphone	104277481
speakership	100605539
speaking	107144575 107256497 300154164
speaking trumpet	104277686
speaking tube	104277875
spear	104278001 104278258 201447506 202720075
spear carrier	110696008
spear thistle	111975622
spear thrower	104437292
spear up	202720075
spear-point	104278481
spearfish	102634669
spearhead	104278481 108432618 110650874 202445473
spearhead-shaped	302175957
spearmint	112877047
spearmint oil	107828638
spearnose bat	102145386
spearpoint	104278481
spec	106737816
special	107030648 107181502 107595818 300490174 301107537 301107719 301683388 301859156 302285760 302375887
special act	106577910
special agent	110651127
special air service	108362958
special assessment	113336849
special branch	108138842
special contract	106536269
special court-martial	108348689
special delivery	106635988
special drawing rights	113351956
special education	105765728
special effect	105926588
special forces	108230345
special interest	107985266
special interest group	107985266
special jury	108432426
special k	103611785
special olympics	107472102
special pleading	106575469 107197548
special relativity	106116690
special relativity theory	106116690
special session	107162610
special theory of relativity	106116690
special verdict	101196162
special weapons and tactics squad	108291047
special weapons and tactics team	108291047
special-interest group	107985266
specialisation	100584498 100584784 113580985
specialise	200119074 200438402 200438687 201023982 202451029
specialised	302285356
specialiser	110651303
specialism	100584498 105713131
specialist	110651303 110651974
specialistic	302285944 302810811
speciality	100584498 104771180 105166608
specialization	100584498 100584784 113580985
specialize	200119074 200438402 200438687 201023982 202451029
specialized	302285356
specializer	110651303
specially	400084573 400504802
specialness	104769888 104771180
specialty	100584498 104771180 105166608
specialty store	104278641
speciate	200119074
speciation	113581282
specie	113409050
species	105853408 108127339
specifiable	301276143
specific	104278750 105826326 301103644 301106714 301108926 303000784
specific gravity	104948864
specific heat	111492752
specific performance	100098743
specifically	400042168
specification	101151798 106688083 106737816 107245859
specificity	104770170 104770402
specified	301103229
specifier	110652696
specify	200679602 200711208 200717446 200949109 201020937 201023982 202617665
specimen	105274378 105830599
specimen bottle	104278903
specious	302189932 302471438
specious argument	106767867
speciously	400465693
speciousness	104882308
speck	104688587 113796315 114609699 201275970
specked	301792954
speckle	104689819 201541098 201541257
speckled	301792954
speckled alder	112306222
speckled rattlesnake	101759984
speckled trout	102540847 107810869
speckless	300419883
specs	104279164
spectacle	100076291 104279001 106902188
spectacled	300057183
spectacled caiman	101701895
spectacles	104279164
spectacular	106907282 300583156 300798801 301287304
spectacularly	400211285
spectate	202156130
spectator	104279508 110652848
spectator pump	104279508
spectator sport	100888646
specter	105906778 109570240
spectinomycin	104279660
spectral	301579318 302810955
spectral color	104966849
spectral colour	104966849
spectre	105906778 109570240
spectrogram	104279757
spectrograph	104279757 104279901
spectrographic	302811114
spectrographic analysis	100650725
spectrographically	400465770
spectrometer	103732007
spectrometric	302929445
spectrometry	100650725
spectrophotometer	104280047
spectroscope	104280183
spectroscopic	302929584
spectroscopic analysis	100650725
spectroscopical	302929584
spectroscopy	100650725
spectrum	105135484 111440945
spectrum analysis	100650725
spectrum line	106813996
specular	302015178
speculate	200632042 200635105 200929020 202276935
speculation	105793890 105900390 106795537 113363707
speculative	300668084 300865005 302282286
speculatively	400243330
speculativeness	104766389 114567358
speculator	110653473 110653714
speculum	104280404 104280552
speech	105658665 106726869 107023937 107085523 107123904 107125165 107144758 107253354
speech act	107175534
speech communication	107123904
speech community	108241906
speech day	115247482
speech defect	114424081
speech disorder	114424081
speech intelligibility	104827333
speech organ	105313113
speech pattern	107146219
speech perception	105719621
speech production	107144575
speech rhythm	107100515
speech sound	107125755
speech spectrum	111531314
speech therapist	110653862
speech therapy	100708466
speech-endowed	300152103
speech-read	200629632
speechifier	110400371
speechify	200992040
speechless	300153897
speechlessly	400465914
speechlessness	104989994
speechmaker	110400371
speechmaking	107256497
speechwriter	110651016
speed	100330986 102707012 105065291 113843620 115307914 200439133 200440298 202059573 202059899 202062918
speed bump	104280778
speed cop	110353551
speed demon	110653994
speed freak	110654121
speed indicator	104280915
speed limit	106677218
speed of light	115309503
speed skate	104281091 201942147
speed skater	110654247
speed skating	100450153
speed trap	105846067
speed up	200439133 200440298
speed-reading	105817090
speedboat	104280688
speeder	110653994
speedily	400086161
speediness	105066283
speeding	100330986
speeding ticket	106570884
speedometer	104280915
speedskater	110654247
speedup	100331283
speedway	104281229 104281333
speedwell	112911025
speedy	300982557 300983053
speer	111329953
speke	111330076
spelaeologist	110479852
spelaeology	100799769 106131161
speleologist	110479852
speleology	100799769 106131161
spell	107174442 114430940 115271164 115317305 200121195 200934598 200939909 201066582 201703755 202417496
spell out	200939909 201007949 201704008
spell-bound	300869156
spell-checker	106431696
spellbind	200020919 200779567 201825070
spellbinder	110654388
spellbinding	300169450
spellbound	300869156
spelldown	107492206
speller	106426966 110654547
spelling	106364852
spelling bee	107492206
spelling checker	106431696
spelling contest	107492206
spelt	112163582
spelter	115074312
spelunk	200651540
spelunker	110479852
spencer	111330316
spencer tracy	111367514
spend	202271905 202272374 202714280
spend a penny	200071765
spend-all	110654858
spendable	300781450
spender	110654673 110654858 111330518
spending	101124470 113296311
spending cut	100353839
spending money	113443718
spending spree	100511635
spendthrift	110654858 302431016
spendthrift trust	113384229
spengler	111330674
spenser	111330828
spenserian sonnet	106394977
spenserian stanza	106398083
spent	300929382 302442263
spergula	111837469
spergula arvensis	111837629
spergularia	111837798
spergularia rubra	111837970
sperm	105465045
sperm bank	104281428
sperm cell	105465045
sperm count	100655356 113614268
sperm oil	115074469
sperm whale	102069893
sperm-filled	301089731
spermaceti	115119956
spermatic	302811352
spermatic cord	105535481
spermatid	105466677
spermatocele	105466435
spermatocide	104281515
spermatocyte	105466566
spermatogenesis	113581532
spermatophyta	111571662
spermatophyte	111572837
spermatozoan	105465045
spermatozoid	113116302
spermatozoon	105465045
spermicidal	302811250
spermicide	104281515
spermophile	102360743
spermophilus	102360393
spermous	302811352
sperry	111331006
spew	200076153 200076824 200101710
spew out	200076824
spewer	110779370
spf	105126007
sphacelate	200097148
sphacele	112872433
sphacele calycina	112872620
sphacelotheca	113088292
sphacelotheca reiliana	113088432
sphacelus	111507108 114336867
sphaeralcea	112207967
sphaeralcea coccinea	112208408
sphaeralcea fasciculata	112203543
sphaeralcea remota	112201869
sphaeriaceae	112984890
sphaeriales	112984556
sphaerobolaceae	113067771
sphaerocarpaceae	111564765
sphaerocarpales	111564582
sphaerocarpos	111564991
sphaerocarpus	111564991
sphagnales	111562164
sphagnum	111562588
sphagnum moss	111562588
sphalerite	115132443
sphecidae	102217986
sphecius	102218718
sphecius speciosis	102218863
sphecoid	102217813
sphecoid wasp	102217813
sphecoidea	102217624
sphecotheres	101578853
sphenion	105242680
spheniscidae	102058085
sphenisciform seabird	102058312
sphenisciformes	102057934
spheniscus	102059527
spheniscus demersus	102059689
sphenodon	101675759
sphenodon punctatum	101675923
sphenoid	105288497
sphenoid bone	105288497
sphenoid fontanel	105551174
sphenoid fontanelle	105551174
sphenoidal fontanel	105551174
sphenoidal fontanelle	105551174
sphenopsida	113239620
sphere	104281649 105861665 108538450 108671145 113921592 113921893 114537641
sphere of influence	108671145
spheric	302048649
spherical	302048649 302811512
spherical aberration	111534194
spherical angle	113912024
spherical geometry	106017208
spherical polygon	113906260
spherical triangle	113906420
spherical trigonometry	106017356
spherically	400144655
sphericalness	105080300
sphericity	105080300
spherocyte	105462689
spheroid	113921338
spheroid joint	105603286
spheroidal	302053866
spherometer	104281805
spherule	113922428
sphincter	105578470
sphincter ani	105579344
sphincter muscle	105578470
sphingid	102301193
sphingidae	102301031
sphingine	302811764
sphinx	104281926 109525430 110655186
sphinx moth	102301193
sphygmomanometer	104282104
sphyraena	102605804
sphyraena barracuda	102606170
sphyraenidae	102605600
sphyrapicus	101843609
sphyrapicus varius	101843929
sphyrapicus varius ruber	101844082
sphyrna	101496980
sphyrna tiburo	101497647
sphyrna tudes	101497523
sphyrna zygaena	101497398
sphyrnidae	101496829
spic	109739802 300419883
spic-and-span	300419883 301645705
spica	109465400
spicate	303131479
spiccato	100102390
spiccato bowing	100102390
spice	104999748 107828160 115074578 200560996 202197016
spice bush	111726794
spice cake	107648673
spice cookie	107651543
spice islands	108929006
spice rack	104282294
spice tree	111728296 113131933
spice up	200560996 202197016
spice-scented	301060969
spiceberry	107759699 112117913
spicebush	111721771 111726794
spicemill	104282212
spicery	104999748
spicily	400424855
spiciness	104909460 104999748
spick	109739802 300419883
spick-and-span	300419883 301645705
spicule	105480970
spiculum	105480970
spicy	302139604 302406317
spider	101774863 104282402 106591891
spider angioma	114271551
spider brake	113235238
spider crab	101984343
spider fern	113235238 113235383
spider flower	111886938
spider mite	101784850
spider monkey	102496424
spider nevus	114271551
spider orchid	112068353 112068525 112095652
spider plant	111886938
spider web	104282482 104282667
spider's web	104282482 104282667
spider-shaped	302157545
spiderflower	111886717
spiderlike	302647462
spiderly	302647462
spiderwort	112627306
spiderwort family	112626726
spidery	302647462
spiegel	115073968
spiegel iron	115073968
spiegeleisen	115073968
spiel	107026516 200965187 201728336
spiel off	200947680
spielberg	111331168
spielmeyer-vogt disease	114192610
spiff	104695171
spiff up	200294739
spiffed up	300457857
spiffing	302352878
spiffy	300975112
spigot	103330033 104398064
spik	109739802
spike	104282780 104283023 104283169 104283368 104283523 104283650 104283927 107323068 107494506 113154197 113154372 200157027 200222561 200295480 201308835 201446945 202563916
spike arrester	104371247
spike heath	112253368
spike heel	104283927
spike lavender	112871096
spike lavender oil	112871291
spike lee	111144637
spike microphone	104284048
spike mike	104284048
spike moss	113245571
spike oil	112871291
spike out	200295480
spike rush	112174097
spike suppressor	104371247
spiked	301816637
spiked loosestrife	112349084
spikelet	113110391
spikelike	301816715
spikemoss	113245571
spikenard	103814751
spiky	301216927
spile	102923032 103942545
spill	100077704 100330445 104284172 115074161 200430595 200954873 201544361 201544585 201544989 202073816
spill out	202074078
spill over	201766953 202074078
spill the beans	200939238
spillage	100330445 113785946
spillane	111331282
spiller	104483135 110606786
spillikin	103596652
spillikins	100486461
spillover	111534313
spillway	104284172
spilogale	102449519
spilogale putorius	102449652
spin	100101823 100307036 100310366 100344075 107456888 200319507 200955732 201521405 201642906 201643042 202050704 202052000 202071990
spin around	202050704
spin doctor	110655412
spin drier	104284964
spin dryer	104284964
spin off	200345838
spin out	200319507
spin the bottle	100488464
spin the plate	100488628
spin the platter	100488628
spin-dry	200215789
spin-off	102933876
spina bifida	114494808
spinach	107752668 111856037
spinach beet	107736022 111853140
spinach blight	114242199
spinach mustard	111899760
spinach plant	111856037
spinacia	111855920
spinacia oleracea	111856037
spinal	114052887 302895760
spinal accessory	105488053
spinal anaesthesia	114052887
spinal anaesthetic	104284342
spinal anesthesia	114052887
spinal anesthetic	104284342
spinal canal	105256575
spinal column	105595824
spinal cord	105511356
spinal curvature	114528491
