djibouti	108780328 108780656
doctorow	110957874
doctorspeak	107083042
doctrinaire	110043381 301327223
doctrinal	303017733
doctrinally	400322327
doctrine	105952149
doctrine of analogy	105951428
docudrama	106629313
document	103222161 106481744 106522968 113424504 200668428 201004342
documental	302908041
documentary	106629313 301940473 302908041
documentary film	106629313
documentation	100155253 106600607 106663176
documented	300789846 301119662
dod	108148512
dodder	112846257 201922796
dodderer	110042370
doddering	301649738
doddery	301649738
doddle	100576694
dodecagon	113905540
dodecahedron	113938817
dodecanese	108801138
dodecanoic acid	114954614
dodge	100060715 105914396 106769391 200811316 202100772 202100948
dodge city	109110554
dodgem	102922348
dodger	107704502 110042484
dodging	100204602 100742010 106769391
dodgson	110903813
dodgy	300149346 302066785
dodo	101813884 110042633
dodoma	109057628
dodonaea	112761839
doe	101891052 108149937
doei	108150171
doer	109786620
doeskin	103222356 114786751
doff	201593579
dog	102086723 102712903 103907626 107692347 109905672 110042764 110133978 202005890
dog bent	112127519
dog biscuit	107651355
dog bite	114311069
dog breeding	100917405
dog catcher	110042854
dog collar	103028565 103045949 103222517
dog days	115262364
dog do	109291386
dog fennel	111943643 111988988
dog flea	102189802
dog food	107821942
dog grass	112126095
dog hobble	112260397
dog hook	103909211
dog house	103615737
dog in the manger	110043231
dog laurel	112260397
dog mercury	112945044
dog paddle	100571609
dog pound	104000061
dog racing	107474825
dog rose	112641871
dog shit	109291386
dog show	100520548
dog sled	103222901
dog sleigh	103222901
dog star	109458869
dog stinkhorn	113062072
dog tag	107287399 107287512
dog turd	109291386
dog violet	112409375
dog wrench	103223149
dog's breakfast	114433122
dog's dinner	114433122
dog's mercury	112945044
dog's-tooth check	103549125
dog's-tooth violet	112470849
dog-day cicada	102259655
dog-ear	106808025
dog-eared	302592267
dog-iron	102712903
dog-sized	302230823
dog-tired	302442263
dogbane	111787823
dogbane family	111787078
dogcart	103222442
doge	110042989
dogfight	100973906 100976310 101174931 107473003 201095237 201651915
dogfighter	110043106
dogfish	101494515 102641717
dogged	302335561
doggedly	400237428
doggedness	104871746
doggerel	106390876
doggerel verse	106390876
doggie	102087384
doggie bag	103222592
dogging	300598687
doggo	400253718
doggy	102087384
doggy bag	103222592
doggy do	109291386
doghouse	103615737 106210664
dogie	102406572
dogleg	103222803 113914835
doglike	300965097
dogma	105969331 106802899
dogmatic	300288936 303017897 303073387
dogmatical	300288936
dogmatically	400322408
dogmatise	200965315 200982940
dogmatism	106215945
dogmatist	110043381
dogmatize	200965315 200982940
dogs-tooth check	103549125
dogsbody	110043610
dogshit	106623729
dogsled	103222901 201943265
dogstooth check	103549125
dogtooth	103223037 105314590 112470849
dogtooth violet	112470849
dogtrot	100295210
dogwatch	115317860
dogwood	112967609 112967931
dogwood family	112966848
dogwood tree	112967609
dogy	102406572
doh	106881359
doha	109009632
doi	108156000
doily	103223713
doing business as	106345523
doings	101223473
doj	108152324
dojc	108360251
dol	108154495 113733091
dolabrate	302175571
dolabriform	302175571
dolby	110958011
dolce	400515781
dolce far niente	101067531
doldrums	111467787 114036138
dole	101090228 113306878
dole out	202299397
doled out	300542456
doleful	301365303
dolefully	400322558
dolefulness	107548220
dolichocephalic	110043750 300263395
dolichocephalism	105219761
dolichocephaly	105219761
dolichocranial	300263395
dolichocranic	300263395
dolichonyx	101576416
dolichonyx oryzivorus	101576539
dolichos	112547896
dolichos biflorus	112568377
dolichos lablab	112558074
dolichos lignosus	112547586
dolichotis	102367641
dolichotis patagonum	102367760
doliolidae	101472527
doliolum	101472786
doll	103223838 110008583
doll up	200042809
doll's eyes	111744832
doll's house	103224065 103224186
dollar	106834465 113413140 113417070 113683378
dollar bill	113417070
dollar diplomacy	107163536
dollar mark	106834306 106834465
dollar sign	106834306 106834465
dollar volume	105119608
dollarfish	102580864 102636052
dolled up	300457857
dollhouse	103224065 103224186
dollop	113794160
dolly	103223838 103224315 103224435
dolman	103224562 103224669
dolman jacket	103224669
dolman sleeve	103224798
dolmas	107882385
dolmen	103224940
dolobid	103199802
dolomite	114697908 114862225
dolomite alps	109291498
dolomitic	303073556
dolophine hydrochloride	103759543
dolor	107550920
dolorous	301368155
dolour	107550920
dolourous	301368155
dolphin	102071627 102584588
dolphin kick	100575827
dolphin oil	115021276
dolphin striker	103225104
dolphinfish	102584588 107794914
dolt	110686626
doltish	300442506
doltishly	400176830
dom pedro	107928333
domain	106008444 107982551 108016560 108574028 114537641
domain name	106858353
domain of a function	108016560
domatium	111554450
dombeya	112218418
dome	103225216 103225395 105547087 113894711
dome-shaped	302053535
domed	302053437
domed stadium	103225395
domenikos theotocopoulos	110976369
domesday book	106515377
domestic	110043844 301040436 301041784 301042490 302397489 302930907
domestic animal	101320032
domestic ass	102392211
domestic carp	101442449
domestic cat	102124460
domestic dog	102086723
domestic flight	100302554
domestic fowl	101792381
domestic goat	102419716
domestic help	110043844
domestic llama	102440602
domestic partner	110044087
domestic pigeon	101817011
domestic prelate	110044346
domestic relations court	108349017
domestic science	106158795
domestic sheep	102415777
domestic silkworm moth	102303206
domestic terrorism	100765140
domestic violence	100967829
domestically	400322759 400322917
domesticate	200302637 200302911 200303245
domesticated	301042885 302397489
domesticated animal	101320032
domesticated silkworm moth	102303206
domestication	100195106 104913019 113490157
domesticise	200302911
domesticity	100409896 105216381
domesticize	200302911
domicile	103264208 108576692 202656647
domiciliary	303073685
domiciliate	202464596 202656647
domiciliation	103200169
dominance	105005582 105203850 111433914 114465291
dominant	105445706 106871316 300794782 300797348 301070476
dominant allele	105445706
dominant gene	105445176
dominate	202545000 202650318 202653015 202701971 202750155
dominated	300601830 300793543
dominating	300791150 300795186 301207904
domination	101130711 114465996
dominatrix	110044509
domine	110044785
dominee	110044785
domineer	201785576
domineering	300790691
domineeringly	400323100
domineeringness	104895983
domingo	110958191
domingo de guzman	110958355
dominic	110958355
dominica	108780843 108781026
dominical	302857812 302857910
dominican	110044662 110798013 303073871 303074000
dominican dollar	113695185
dominican mahogany	112720682
dominican monetary unit	113714256
dominican order	108166167
dominican peso	113714383
dominican republic	108769854
dominick	101796206
dominicus	115188844
dominie	110044785
dominion	108184148 108569713 114466399
dominion day	115225149
dominique	101796206
domino	103225505 103225762 103225908 110958632
domino effect	111434155
domino theory	106227401
dominoes	100500488
dominos	100500488
dominus	110044785
domitian	110958813
domoic acid	114616081
don	106351765 109291684 109532107 110044920 110045020 110484108 200050369
don budge	110890027
don juan	110045212 110959467
don luchino visconti conte di modrone	111387576
don marquis	111178354
don quixote	109621544 110045986
don river	109291684
don't-know	110046092
dona	106351933
donald arthur glaser	111021844
donald barthelme	110856009
donald duck	102454856
donald glaser	111021844
donald robert perry marquis	111178354
donar	109608825
donate	202267835
donatello	110959032
donation	101091702 113291061
donatism	106238217
donatist	110045116 302858011
donato bramante	110882103
donato d'agnolo bramante	110882103
donato di betto bardi	110959032
donatus	110959179
donbas	109038602
donbass	109038602
done	300619963 301007109
done for	300739426 302342313
done with	301007395
donee	109869529
donets basin	109038602
donetsk	109038469
donetske	109038469
dong	113696995 202185620
dongle	103226054
donizetti	110959352
donjon	103615311
donkey	102392211 106894410
donkey boiler	102765730
donkey cart	103988282
donkey engine	102765914 104380515
donkey jacket	103226243
donkey pump	102766088
donkeywork	100622716
donkin	110959622
donna	110045360
donne	110959848
donnean	303042267
donner pass	109291833
donnian	303042267
donnish	302091054
donor	110045455 110045783
donor card	106489316
donut	107654678
doo-wop	107075717
doob	112136265
doodad	103223248
doodia	113206334 113206556
doodle	104162371 201697219
doodlebug	102266884 102933307 103226346
doodly-squat	113795187
doofus	110032859
doohickey	103223248
doojigger	103223248
doolittle	110960045
doom	107348806 200748465 200892376 200908688
doomed	107963280 300098158 300341725 301055109 301454004
doomsday	107348806 115196354
doomsday book	106515377
door	103226423 103226879 103227021 103228735 105188408
door guard	110046278
door latch	103650325
door prize	113289507
door-to-door	300529727 300764804
doorbell	103227219
doorcase	103227425
doorframe	103227425
doorhandle	103227662
doorjamb	103227560
doorkeeper	110046278 110046488 110761768
doorknob	103227662
doorknocker	103632051
doorlock	103227865
doorman	110046278
doormat	103228002 110791304
doornail	103228144
doorplate	103228256
doorpost	103227560
doorsill	103228389
doorstep	103228389
doorstop	103228626
doorstopper	103228626
doorway	103228735
dooryard	103229090
dopa	114629137
dopamine	114862387
dopastat	114862387
dope	103997192 106648638 107944171 110059116 200084799 200558099 201203444
dope off	200017275
dope sheet	106608229
dope up	200084799
doped	300802450 301961240
dopey	300441663
doppelganger	109510822
doppelzentner	113747381
doppler	110960307
doppler effect	111533612
doppler radar	103229193
doppler shift	111533612
dopy	300441663
dorado	109292080
dorbeetle	102175413
dorian	108177707 109730282 302858092
dorian order	104706346
doric	106990728 302858255
doric dialect	106990728
doric order	104706346
doriden	103446702
doris	108801296 109582200
doris lessing	111149468
doris may lessing	111149468
dork	110240710
dorking	101792812
dorm	103229596
dorm room	103229811
dormancy	101066787 114035282
dormant	300034145 300040908 300189643 301241787
dormant account	113385775
dormer	103229306
dormer window	103229306 103229456
dormie	302500627
dormition	115219029
dormitory	103229596 103229811
dormitory room	103229811
dormouse	102355243
dormy	302500627
doronicum	111982155
doroteo arango	111386400
dorothea dix	110957603
dorothea lange	111136456
dorothea lynde dix	110957603
dorotheanthus	111840220
dorotheanthus bellidiformis	111840381
dorothy dix	111020465
dorothy hodgkin	111073812
dorothy l. sayers	111303672
dorothy leigh sayers	111303672
dorothy mary crowfoot hodgkin	111073812
dorothy parker	111242749
dorothy rothschild parker	111242749
dorothy sayers	111303672
dorsal	300002312 300133198
dorsal fin	102469031
dorsal horn	105432547
dorsal root	105432547
dorsal scapular vein	105372968
dorsal vertebra	105596782
dorsally	400083430
dorsiflexion	100406713
dorsoventral	300133825
dorsoventrally	400083518
dorsum	105565133 105566350
dortmund	108788551
dory	101455439 102560380 103204585
dorylinae	102223045
doryopteris	113231725
doryopteris pedata	113231918
dos	106580598 108154738
dos passos	110960466
dosage	103229941 113794246
dose	102678511 103229941 113794246 114156641 200084491 200517664
dose rate	115302344
dosed	301962492
dosemeter	103230161
dosimeter	103230161
dosimetry	101004107
doss	200017667
doss down	200017667
dossal	103230319
dossel	103230319
dosser	110046701
dosshouse	103372167
dossier	106515542
dostoevski	110960661
dostoevskian	303042433
dostoevsky	110960661
dostoyevskian	303042433
dostoyevsky	110960661
dot	102678511 106818684 108160653 113934887 200508994 201000339 201378910 202695724
dot com	108018826
dot com company	108018826
dot matrix	108284877
dot matrix printer	103230480
dot printer	103230480
dot product	105873468
dot-com	108018826 302858358
dotage	115179150
dotard	110046830
dote	201781380 202703452
doting	301467366
dotrel	102026839
dotted	300291349 301792954
dotted gayfeather	112012018
dotted line	106813202
dotterel	102026839
dottily	400305302
dottle	114862709
dotty	300889690 302082059
douala	108735462
douay bible	106460538
douay version	106460538
douay-rheims bible	106460538
douay-rheims version	106460538
double	100133576 100805055 105868784 110046971 110686285 200247103 201412177 201528293 201738383 202067237 202305386 300899319 301388083 301550993 302224928 302225139 302225486 302228166 400083743 400323217 400323299
double agent	110047201
double back	202008542
double bar	106877950
double bass	102807100
double bassoon	103101090
double bed	103230691
double bind	105694077
double birdie	201601558
double blind	100795505
double bogey	201601706
double boiler	103230957
double bond	111457937
double check	105746839
double chin	105607524
double clinch	103231363
double cream	107867419
double creme	107863561
double crochet	103231446 201677032
double cross	100751289 202543478
double dagger	106841712
double damages	113313127
double date	108402333
double decomposition	113490269
double decomposition reaction	113490269
double digit	113768559
double dipper	110047523
double dipping	113276612
double door	103231583
double dribble	100479866
double dutch	100486826 106622789
double dye	200289076
double eagle	113413530 113617349
double entendre	106618133
double entry	100620818
double fault	100072366
double feature	100462012
double first	106713088
double flat	106880107
double glazing	103231713
double gloucester	107869321
double gold	112029516
double helix	113899392
double indemnity	106405263
double jeopardy	101200558
double knit	103232020
double leg circle	100436122
double negative	107219968 107220099
double obelisk	106841712
double over	202067237
double play	100565410
double pneumonia	114171893
double quick	400323386
double quotes	106857559
double reed	103232559 103232719
double refraction	111523900
double replacement reaction	113490520
double reverse	100561178
double rhyme	107112373
double salt	115036554
double saucepan	103230957
double sharp	106879807
double standard	106682258
double standard of sexual behavior	106682418
double star	109243977
double stitch	103231446 201677032
double stopping	100102859
double take	100865095
double talk	106623250
double time	113300936 115308545 400323386
double tongue	201738012
double up	201142049 202067237 202300678
double vision	114176767
double-barreled	300103377 300797832
double-barrelled	300103377 300797832
double-bass	301218816
double-bedded	300209298
double-bitted ax	103230793
double-bitted axe	103230793
double-blind experiment	100179026
double-blind procedure	100179026
double-blind study	100179026
double-bogey	113616942
double-breasted	300797981
double-breasted jacket	103231078
double-breasted suit	103231241
double-check	200665467
double-chinned	300990537
double-crosser	110047315
double-crossing	100751289
double-date	202491678
double-dealer	110047315
double-dealing	100754583 301225960
double-decker	102927500
double-dyed	301524174
double-edged	300103585
double-entry bookkeeping	100620818
double-faced	301225960 301764388
double-geared	301104087 301104288
double-glaze	202340523
double-humped	302830414
double-hung window	103231887
double-jointed	301026273
double-magnum	103600602
double-park	201938835
double-prop	103232208
double-propeller plane	103232208
double-quick	300980797
double-reed instrument	103232719
double-space	201007593
double-spaced	301660398
double-spacing	106414413
double-team	201150926
double-tongued	301225960
double-u	106846594
doubled	302224928
doubleheader	100462012
doubler	103232424
doubles	100484519 100484616
doublespeak	106774193
doublet	103232957
doublethink	105734182
doubleton	113766009
doubletree	103233068
doubling	100805055 113490729
doubloon	113414069
doubly	400083743 400084297
doubly transitive verb	106342470
doubly transitive verb form	106342470
doubt	104764777 105706212 200689196 200689424
doubter	109798565 110624042
doubtful	300338911 301923360 302138052
doubtfully	400323505
doubtfulness	104764777 105706212
doubting	302473075
doubting thomas	110047678 111358791
doubtless	400079373
doubtlessly	400079373
douche	100696970 103233236 200037912
douche bag	103233236
dough	107876964 113406389
doughboy	107654507 110224757
doughnut	107654678 113898031
doughnut-shaped	302052280
doughy	301188960
douglas	110961198
douglas elton fairbanks	110985353
douglas fairbanks	110985353
douglas fairbanks jr.	110985542
douglas fir	111648907 111649129
douglas hemlock	111649244
douglas macarthur	111166660
douglas moore	111210014
douglas pine	111649244
douglas spruce	111649244
douglas squirrel	102360237
douglass	110961507
doula	110260721
dour	301140878 301808137 302335561
doura	112158308
dourah	112158308
dourly	400243780
douroucouli	102494987
douse	200216642 200422259 200437046 201579924 201980234 202655322 202766453
dousing	100278413
dove	101814978 106894544 107662012 109273457 110047848
dove's foot geranium	112707805
dovecote	103233395
dovekie	102048825
dover	109092731
dover's powder	103233499
dovetail	103233670 202666368
dovetail joint	103233670
dovetail plane	103233818
dovish	301746202
dovishness	106231430
dovyalis	112399063
dovyalis caffra	112399270
dovyalis hebecarpa	112399480
dow jones	106653182
dow-jones industrial average	106653182
dowager	110048014
dowager's hump	114529071
dowdily	400323648
dowdiness	104823759
dowding	110961706
dowdy	107638972 110961706 300977710 300979530
dowel	103233947
dowel pin	103233947
doweling	100149582
dower	113285102 113286324 202206050
dowered	300674622
dowerless	300674858
dowery	113286324
dowitcher	102035695
dowland	110961984
down	100459310 101899202 105263175 109292247 110962136 200474948 201105747 201199565 201204994 201242426 201985293 300707060 300837276 301211164 301215539 301755101 302069082 302495926 302497092 302501639 400095870 400096162 400096391 400096496 400096639 400096782
down easter	109762818
down feather	101899202
down in the mouth	300707060
down pat	301755101
down payment	113370849
down quark	109292479
down syndrome	114183105
down the stairs	400094946
down town	108561059
down's syndrome	114183105
down-and-out	110048127 302342428
down-bow	100548997
down-to-earth	301947089
downbeat	107101164
downbound	302502243
downcast	103234123 300707060 302502397
downdraft	111543163
downer	104173614
downfall	107332733 107442328 111515038
downfield	302502490 400097908
downgrade	105076254 200662401
downhearted	300707060
downheartedness	107553056
downhill	107478829 109292378 302495573 400323816 400323926
downiness	104946015
downing	110962271
downing street	108069082 108896199
downlike	301157533
download	202238486
downmarket	302498123
downplay	200514573 200842804
downpour	111522520
downright	300522835 301225393 400098072
downrightness	104925675
downriver	400097781
downscale	302498231
downshift	100169868 100169968
downside	105861384
downsize	200587808 200587970 202408915
downsizing	100193759
downslope	109288526
downspin	100267404
downstage	103234229 302503545 400265610
downstair	302503770
downstairs	302503770 400094946
downstream	302504177 400097781
downstroke	106812343
downswing	100267245 100572993
downtick	101112716
downtime	115142563
downtown	108556635 302504394 400189364
downtrodden	301055417
downturn	100267245
downward	302495926 302502659 400095870
downward-arching	302496103
downward-sloping	302495573
downwardly	400095870
downwards	400095870
downwind	301403241 400095315 400095613
downy	300215202 301157533
downy ash	112325992
downy birch	112303254
downy brome	112131916
downy bromegrass	112131916
downy cheat	112131916
downy chess	112131916
downy ground cherry	112931436
downy haw	112649117
downy manzanita	112253020
downy mildew	113001600
downy poplar	112754188
downy wood mint	112863402
downy woodpecker	101841971
downy yellow violet	112410244
dowry	113286324
dowse	105784676 200216642 200422259 201317800 202655322
dowser	103220902 110790559
dowsing	105784676
dowsing rod	103220902
doxastic logic	106176110
doxazosin	103234359
doxepin	103234608
doxepin hydrochloride	103234608
doxology	107049949
doxorubicin	103234852
doxy	109971872
doxycycline	103234950
doyen	110016606
doyenne	110048266
doyley	103223713
doyly	103223713
doze	100860527 200015296
doze off	200017275
dozen	113768925 302195104
dozens	113799721
dozer	102919525
dozy	300189924
dp	110037615
dph	106717129
dphil	106717058
dprk	108974855
dpt vaccine	103235149
dr.	110040615 110041617
dr. j	110980764
dr. johnson	111108612
dr. seuss	111013632
drab	104981730 300365961 300379749 300406256 300810969
draba	111906325
draba verna	111906626
drably	400324059
drabness	104823759
dracaena	112500042
dracaena draco	112500194
dracaenaceae	112499571
dracenaceae	112499571
drachm	113639910 113642471 113744445
drachma	113697323 113744445
draco	101691069 109292623 110962667
dracocephalum	112866903
dracocephalum parviflorum	112867095
draconian	303042616
dracontium	111808508
dracula	109615446 112080352
dracunculiasis	114199533
dracunculidae	101936327
dracunculus	101936475 111808692
dracunculus medinensis	101936629
dracunculus vulgaris	111808851
draft	100116487 100841850 101160337 103235373 103235488 103235617 105142420 106402605 107899955 111542881 113398441 201099911 201687477 201705493
draft animal	101319785
draft beer	107903074
draft board	108399798
draft copy	106402605
draft dodger	110048363
draft evader	110048363
draft horse	102389148
draftee	110048490
drafter	110048702
drafting	100609152 100932551 100937756
drafting board	103235727
drafting instrument	103235863
drafting table	103236071
draftsman	110048793 110048994
draftsmanship	100937756
draftsperson	110048994
drafty	301400678
drag	100115691 100839336 103236179 105213713 105697896 111525316 200342412 200785736 201201647 201247256 201456044 201457421 201921838 202062680 202103822 202106067 202683607
drag a bunt	201410951
drag coefficient	113608034
drag down	201600017
drag in	202683607
drag on	200342412 202711288
drag one's feet	202648322
drag one's heels	202648322
drag out	200342412 202711288
drag through the mud	200849849
drag up	201027794
dragee	103236426 107620807 107620891
dragger	104483351 110511787
dragging	300840623
draggingly	400515852
draggle	200217118
draggled	300421806
dragnet	104482984 108450871
dragoman	110049154
dragon	101691230 109292623 109517519 110049454
dragon arum	111808851
dragon lizard	101697701
dragon tree	112500194
dragon's blood	114862847
dragon's eye	107782385
dragon's head	112867095
dragon's mouth	112066497
dragonet	102621457
dragonfly	102271095
dragonhead	112867095
dragoon	110049556 202429380 202511830
dragunov	103236522
drain	100396837 101064179 103236615 103236861 200390309 200452603 201160320 202075385
drain basket	103237246
drain the cup	201178234
drainage	100396837
drainage area	108536123
drainage basin	108536123
drainage ditch	103237012
drainage system	103237120
drainboard	103237379
drained	300360340 301092170 302442934
draining	301361079
draining board	103237379
drainpipe	103236615
drainplug	103237518
drake	101849641 110962858
dram	113721547 113741913 113744445
drama	104634062 106387777 107021061 107305001
drama critic	110049872
